Id,Prediction
0,4183550
1,3702754
2,3674663
3,3457678
4,3995301
5,4548837
6,3957395
7,4030273
8,5017963
9,4089459
10,4501150
11,4770905
12,4483853
13,4581893
14,4297981
15,4887022
16,4844664
17,3811768
18,5275672
19,3875495
20,3233018
21,5016935
22,4454767
23,5246418
24,5058051
25,4033005
26,3700878
27,4705949
28,3761473
29,4647565
30,4278878
31,3403681
32,3704106
33,4859507
34,3408530
35,4369929
36,4026956
37,4544599
38,3506130
39,3933620
40,4536016
41,4514511
42,4983488
43,4802743
44,5401327
45,4155338
46,3534322
47,3165650
48,4966147
49,4354340
50,4398447
51,4069399
52,4911095
53,3489326
54,3495248
55,4644578
56,5278170
57,4247658
58,4613191
59,4945846
60,3108553
61,3894239
62,4103490
63,4159820
64,4693545
65,5576696
66,4494037
67,5503630
68,5214972
69,4704562
70,4057147
71,3537546
72,4390857
73,3748815
74,5099272
75,4447104
76,4762726
77,4157315
78,4667235
79,4354287
80,5275143
81,4731369
82,3969096
83,4380933
84,5368813
85,2587374
86,4553354
87,4848510
88,4523748
89,3989209
90,5121117
91,4240481
92,3803543
93,4361039
94,5222202
95,3874639
96,4424017
97,4368144
98,3934819
99,4725553
100,4408316
101,2953865
102,3883380
103,3670744
104,4021174
105,3436846
106,4384806
107,4855161
108,4855870
109,4918327
110,4973013
111,4400107
112,4884618
113,4628660
114,4010209
115,4852340
116,3472501
117,4926590
118,3970816
119,4721318
120,5175165
121,4745713
122,4182173
123,5330944
124,3656657
125,4096733
126,5111790
127,3866785
128,4150972
129,4454987
130,3113227
131,4639554
132,5182372
133,3573721
134,4444162
135,4061963
136,4165093
137,4241220
138,4318815
139,4411928
140,5562810
141,3107008
142,4969109
143,3287737
144,4675373
145,3960907
146,4761878
147,3513635
148,4399477
149,4552109
150,4082996
151,3559211
152,5169477
153,5368750
154,3731596
155,4901783
156,5093401
157,4939595
158,3833115
159,3982867
160,3567734
161,4222531
162,3916988
163,5214480
164,5646952
165,3652317
166,4434551
167,3962782
168,4454523
169,5031868
170,4038345
171,3419927
172,3941589
173,4715821
174,4725262
175,3645336
176,5591533
177,5023794
178,4246039
179,3801515
180,4307001
181,4326267
182,4738666
183,4169268
184,4659357
185,3619411
186,3900248
187,4954888
188,5419132
189,4752191
190,4197705
191,5016861
192,5229224
193,3988706
194,4553776
195,4469086
196,4101541
197,3149638
198,3963368
199,4486975
200,4277828
201,3916890
202,4459689
203,4754750
204,4919977
205,5002936
206,5110925
207,4220783
208,4570100
209,3960551
210,4566074
211,4655583
212,3783071
213,3439562
214,5545456
215,2560542
216,4555453
217,4806649
218,4466519
219,3152808
220,5274643
221,4976016
222,5116285
223,4180117
224,4931684
225,4431322
226,3978483
227,5596226
228,3485444
229,4894045
230,4691313
231,5719079
232,4428737
233,4197100
234,3843117
235,4632846
236,4267151
237,3818700
238,4305892
239,4536668
240,4262726
241,4063617
242,3415218
243,4225316
244,4954642
245,4757904
246,4126411
247,4579794
248,4419011
249,4427913
250,3390584
251,4705462
252,5380587
253,4232366
254,4630631
255,4063244
256,4469994
257,4353799
258,3724401
259,4282692
260,4347988
261,4004869
262,5225792
263,4140701
264,2909314
265,5352927
266,4418988
267,5761846
268,4656195
269,4340656
270,3855102
271,3266004
272,4979630
273,4458721
274,3852910
275,5294878
276,5520391
277,5031651
278,4647481
279,4283368
280,5138037
281,4017642
282,3444375
283,4060201
284,4805272
285,3156509
286,5048295
287,4235271
288,4660015
289,3773462
290,4276694
291,4407160
292,3535120
293,4418675
294,3860202
295,5079427
296,5095339
297,5350704
298,4532173
299,5139862
300,4434425
301,4819492
302,5089119
303,5107976
304,4287179
305,4957510
306,4046964
307,4729391
308,2795156
309,4279112
310,4346168
311,3928763
312,3575081
313,4402306
314,3715237
315,3953184
316,3390032
317,4548286
318,5311717
319,4267845
320,4189625
