Id,Prediction
0,4185545
1,3701311
2,3668440
3,3446179
4,3997278
5,4555937
6,3969659
7,4044860
8,5021833
9,4083229
10,4513078
11,4781100
12,4496298
13,4580311
14,4284937
15,4883266
16,4843212
17,3805080
18,5279158
19,3883270
20,3225797
21,5006061
22,4456823
23,5246670
24,5066084
25,4036665
26,3699490
27,4717992
28,3757963
29,4642984
30,4292090
31,3409390
32,3700284
33,4855696
34,3408421
35,4371556
36,4043958
37,4534413
38,3493230
39,3932190
40,4536253
41,4532262
42,4976720
43,4799821
44,5406011
45,4160994
46,3534222
47,3155839
48,4976431
49,4345227
50,4401568
51,4062383
52,4904178
53,3498646
54,3497688
55,4642071
56,5276081
57,4251794
58,4618083
59,4945026
60,3095031
61,3888767
62,4113681
63,4165514
64,4698762
65,5573785
66,4485469
67,5516138
68,5226123
69,4716432
70,4057528
71,3524399
72,4407759
73,3757564
74,5097186
75,4449292
76,4765181
77,4164681
78,4667352
79,4359142
80,5261409
81,4725270
82,3966019
83,4380637
84,5371629
85,2594605
86,4553095
87,4845455
88,4521289
89,3993884
90,5128854
91,4245655
92,3810554
93,4364512
94,5217193
95,3870708
96,4419584
97,4361446
98,3950347
99,4726580
100,4395589
101,2961300
102,3896044
103,3673642
104,4029243
105,3441429
106,4397444
107,4849783
108,4841528
109,4913772
110,4973550
111,4410988
112,4880225
113,4644420
114,4009011
115,4855640
116,3464060
117,4913801
118,3960503
119,4727196
120,5162869
121,4740960
122,4186747
123,5322527
124,3655225
125,4101785
126,5125321
127,3868027
128,4168868
129,4471717
130,3101135
131,4638530
132,5176044
133,3581023
134,4450127
135,4062611
136,4168929
137,4246706
138,4337777
139,4410266
140,5578279
141,3099676
142,4959738
143,3282372
144,4680044
145,3971464
146,4765237
147,3514710
148,4407053
149,4551227
150,4070318
151,3553620
152,5164172
153,5360451
154,3724821
155,4901831
156,5088851
157,4922042
158,3819301
159,3997052
160,3562503
161,4222623
162,3919540
163,5200256
164,5638957
165,3651384
166,4442799
167,3958797
168,4464622
169,5023336
170,4052970
171,3430311
172,3934585
173,4696072
174,4734515
175,3641556
176,5597211
177,5008096
178,4235422
179,3809027
180,4298310
181,4329400
182,4733712
183,4176014
184,4666445
185,3609639
186,3893812
187,4953490
188,5413735
189,4743598
190,4206830
191,5013667
192,5234351
193,4003308
194,4540941
195,4468313
196,4109812
197,3147893
198,3961569
199,4482739
200,4285992
201,3924679
202,4448951
203,4754793
204,4916284
205,5001882
206,5112717
207,4226415
208,4568581
209,3957588
210,4564598
211,4652470
212,3784167
213,3452192
214,5558321
215,2563688
216,4565619
217,4810647
218,4466176
219,3141757
220,5279642
221,4973136
222,5121493
223,4191107
224,4938961
225,4452276
226,3981112
227,5596637
228,3487423
229,4896212
230,4680177
231,5696271
232,4432673
233,4193495
234,3853500
235,4638972
236,4261313
237,3835450
238,4315975
239,4534219
240,4261237
241,4067145
242,3402117
243,4229006
244,4966242
245,4761286
246,4120453
247,4578673
248,4398163
249,4429197
250,3394093
251,4714133
252,5380058
253,4231994
254,4629685
255,4068452
256,4457127
257,4353267
258,3724623
259,4275682
260,4348636
261,3999992
262,5222375
263,4133345
264,2901193
265,5352413
266,4400306
267,5765369
268,4659268
269,4333566
270,3843744
271,3264895
272,4974227
273,4446219
274,3848545
275,5308946
276,5526689
277,5030736
278,4650235
279,4278455
280,5124110
281,4021452
282,3443230
283,4058295
284,4806118
285,3160653
286,5056942
287,4233693
288,4653427
289,3770481
290,4272111
291,4401862
292,3540688
293,4423400
294,3844050
295,5070514
296,5104516
297,5363834
298,4541876
299,5131876
300,4433989
301,4822842
302,5103968
303,5109857
304,4299242
305,4955874
306,4048304
307,4735178
308,2796553
309,4294136
310,4349853
311,3933728
312,3584196
313,4395103
314,3716783
315,3957944
316,3401127
317,4544499
318,5315044
319,4262546
320,4195137
321,3638392
322,4168017
323,4511875
324,4570863
325,4276454
326,4970483
327,4409482
328,4612723
329,5037182
330,3645102
331,4925327
332,4911637
333,5166105
334,5201088
335,4565257
336,3198853
337,4491528
338,4222767
339,3739844
