Id,Prediction
0,4187280
1,3720751
2,3651507
3,3466989
4,3998866
5,4535390
6,3952771
7,4033908
8,5052740
9,4116561
10,4488371
11,4801623
12,4492524
13,4580027
14,4306134
15,4885739
16,4842846
17,3826174
18,5290029
19,3890805
20,3239230
21,5001291
22,4459875
23,5263546
24,5062989
25,4042144
26,3708941
27,4702404
28,3766120
29,4640012
30,4288073
31,3392022
32,3692134
33,4852623
34,3378969
35,4384775
36,4030297
37,4538894
38,3520202
39,3916172
40,4535466
41,4512920
42,4985394
43,4806598
44,5392594
45,4154873
46,3533507
47,3172293
48,4976004
49,4365440
50,4391312
51,4069668
52,4899146
53,3477935
54,3493947
55,4661258
56,5269274
57,4251243
58,4613668
59,4957432
60,3097653
61,3893010
62,4107434
63,4171302
64,4709906
65,5576033
66,4479379
67,5496063
68,5205793
69,4728423
70,4049713
71,3545309
72,4389068
73,3759638
74,5092516
75,4432450
76,4749729
77,4160591
78,4665880
79,4352593
80,5289358
81,4733774
82,3970751
83,4396419
84,5360452
85,2594181
86,4560577
87,4845521
88,4524348
89,3978701
90,5108251
91,4242293
92,3810309
93,4387291
94,5215830
95,3876127
96,4422128
97,4349097
98,3931196
99,4708189
100,4417335
101,2943346
102,3885758
103,3664065
104,4025575
105,3429918
106,4388862
107,4861842
108,4874670
109,4914913
110,4952274
111,4390355
112,4897634
113,4618322
114,4020501
115,4853470
116,3488144
117,4907461
118,3970035
119,4709035
120,5203256
121,4754172
122,4195794
123,5321519
124,3652602
125,4092100
126,5122356
127,3864267
128,4157693
129,4434679
130,3110081
131,4631828
132,5168405
133,3579988
134,4446955
135,4062441
136,4151272
137,4252750
138,4322355
139,4409708
140,5562038
141,3104363
142,4951726
143,3284913
144,4667263
145,3951036
146,4751690
147,3510236
148,4377520
149,4561448
150,4088871
151,3559317
152,5168993
153,5361830
154,3741466
155,4902514
156,5085493
157,4952646
158,3831104
159,3977245
160,3564661
161,4212956
162,3905768
163,5239801
164,5663349
165,3654758
166,4421616
167,3953052
168,4452065
169,5038740
170,4026898
171,3396124
172,3926179
173,4717286
174,4728910
175,3650065
176,5591335
177,5024500
178,4241221
179,3810091
180,4293893
181,4330263
182,4730414
183,4165926
184,4664762
185,3628229
186,3890457
187,4967433
188,5423032
189,4751482
190,4196742
191,5013629
192,5225035
193,3989577
194,4554860
195,4477083
196,4119032
197,3155770
198,3963705
199,4492594
200,4281337
201,3906099
202,4468531
203,4756558
204,4921061
205,5005754
206,5111368
207,4211092
208,4568713
209,3959776
210,4560432
211,4673458
212,3774227
213,3436666
214,5537621
215,2550004
216,4553146
217,4805277
218,4482822
219,3150345
220,5264303
221,4991401
222,5129620
223,4178157
224,4917067
225,4429250
226,3974400
227,5598460
228,3481668
229,4899201
230,4696517
231,5705960
232,4419222
233,4190998
234,3838537
235,4628874
236,4267276
237,3788416
238,4301321
239,4549084
240,4251873
241,4073073
242,3417499
243,4224412
244,4956461
245,4741388
246,4126860
247,4595782
248,4419990
249,4428933
250,3381579
251,4704262
252,5382220
253,4236185
254,4626871
255,4061881
256,4492136
257,4330552
258,3748229
259,4285651
260,4356990
261,3989056
262,5221951
263,4138522
264,2914609
265,5337027
266,4424033
267,5749740
268,4656148
269,4347035
270,3857456
271,3276267
272,4989076
273,4450929
274,3854512
275,5286420
276,5507148
277,5041478
278,4646861
279,4282072
280,5145085
281,4023582
282,3448456
283,4072127
284,4814368
285,3159721
