Id,Prediction
0,4181903
1,3702412
2,3674095
3,3458367
4,3995678
5,4548467
6,3957107
7,4030482
8,5016956
9,4088867
10,4501870
11,4771274
12,4485270
13,4580658
14,4298987
15,4887789
16,4844087
17,3811277
18,5275939
19,3876633
20,3232515
21,5013366
22,4452703
23,5247244
24,5058100
25,4031797
26,3701672
27,4705438
28,3763181
29,4647885
30,4279189
31,3403493
32,3702823
33,4860718
34,3408412
35,4370391
36,4027045
37,4546443
38,3506499
39,3933287
40,4536488
41,4515334
42,4982202
43,4803469
44,5401243
45,4155174
46,3535156
47,3166016
48,4965071
49,4354347
50,4399949
51,4068894
52,4911287
53,3489070
54,3494015
55,4645932
56,5276971
57,4247529
58,4615924
59,4946258
60,3108544
61,3892684
62,4101909
63,4160296
64,4694464
65,5575174
66,4494295
67,5503486
68,5216409
69,4704918
70,4055869
71,3537828
72,4390992
73,3750752
74,5100164
75,4446473
76,4763953
77,4155709
78,4667654
79,4354554
80,5275165
81,4730858
82,3968773
83,4380542
84,5368497
85,2587215
86,4552226
87,4847958
88,4522191
89,3990359
90,5119731
91,4241244
92,3803086
93,4361436
94,5222499
95,3874254
96,4422953
97,4368427
98,3935586
99,4726136
100,4408931
101,2952226
102,3884757
103,3669510
104,4022540
105,3435921
106,4383962
107,4854448
108,4857551
109,4916854
110,4973658
111,4398751
112,4884088
113,4629044
114,4010891
115,4852230
116,3473777
117,4927070
118,3972012
119,4721113
120,5174176
121,4745920
122,4182004
123,5332101
124,3657288
125,4094825
126,5111372
127,3867046
128,4150678
129,4455197
130,3113619
131,4640064
132,5184176
133,3574908
134,4444135
135,4062106
136,4164609
137,4241475
138,4318853
139,4412699
140,5561809
141,3106983
142,4969228
143,3287770
144,4675577
145,3960828
146,4763254
147,3515572
148,4397546
149,4551806
150,4083670
151,3559517
152,5169341
153,5369812
154,3731279
155,4903846
156,5092638
157,4939132
158,3833352
159,3983135
160,3567599
161,4221435
162,3916969
163,5214541
164,5646794
165,3651683
166,4434187
167,3961707
168,4453830
169,5030826
170,4040218
171,3419423
172,3940670
173,4713951
174,4724996
175,3645548
176,5592638
177,5022663
178,4245983
179,3801471
180,4307510
181,4325713
182,4738901
183,4169275
184,4659234
185,3617838
186,3901633
187,4954826
188,5416431
189,4752161
190,4198694
191,5015805
192,5228066
193,3989347
194,4554347
195,4468822
196,4103762
197,3151101
198,3965802
199,4486342
200,4279505
201,3916397
202,4459039
203,4753487
204,4919709
205,5000602
206,5108754
207,4220507
208,4570336
209,3961237
210,4565752
211,4656637
212,3782984
213,3441504
214,5544741
215,2561746
216,4555068
217,4808018
218,4467521
219,3152835
220,5274945
221,4975366
222,5117273
223,4180453
224,4932129
225,4433696
226,3975959
227,5595699
228,3484280
229,4894767
230,4692598
231,5718467
232,4428702
233,4198409
234,3843615
235,4632080
236,4267151
237,3818708
238,4305891
239,4536660
240,4262540
241,4063736
242,3413996
243,4224702
244,4954636
245,4757039
246,4127705
247,4579743
248,4419007
249,4428519
250,3388921
251,4704570
252,5379897
253,4231921
254,4630599
255,4064246
256,4471899
257,4353136
258,3725935
259,4282275
260,4346989
261,4005698
262,5227851
263,4141303
264,2910382
265,5353729
266,4419317
267,5761868
268,4655486
269,4340511
270,3854185
271,3265441
272,4979015
273,4457438
274,3851941
275,5295864
276,5520366
277,5032230
278,4646861
279,4282621
280,5135974
281,4017636
282,3444954
283,4059624
284,4805070
285,3157323
286,5047468
287,4235226
288,4658998
289,3773619
290,4276520
291,4406448
292,3533383
293,4418877
294,3861081
295,5079829
296,5095373
297,5352038
298,4532666
299,5138285
300,4434977
301,4819656
302,5090313
303,5107076
304,4288502
305,4956576
306,4046146
307,4729808
308,2794258
309,4279571
310,4347171
311,3925734
312,3575203
313,4402396
314,3716014
315,3952787
316,3390836
317,4549684
318,5311678
319,4266803
320,4190887
321,3651500
322,4155535
323,4519522
324,4563360
325,4272257
326,4962958
327,4429094
328,4611314
329,5039402
330,3631798
331,4932843
332,4900480
333,5157741
334,5206346
335,4570542
336,3193847
337,4492736
338,4214475
339,3727459
340,4673964
341,4474193
342,4705211
343,4687007
344,4544133
345,3935098
346,3945617
347,5266380
348,3437112
349,4857764
350,4373677
351,5078286
352,5516920
353,4135153
354,3918230
355,4444205
356,5031887
357,4465347
358,4681101
359,5220920
360,4455197
361,4208873
362,4084132
363,4549595
364,5025925
365,3951491
366,3207136
367,3784214
368,3858412
369,4762583
370,4031509
371,4621692
372,4688134
373,5073575
374,3867780
375,4597326
376,3916229
377,3954799
378,4804506
379,4352363
380,4716162
381,4064955
382,3581500
383,4769486
384,4026705
385,5639681
386,4171703
387,4748079
388,4630140
389,4507772
390,5279010
391,3860571
392,3790480
393,4543287
394,5003603
395,3588315
396,5269200
397,5078085
398,5076258
399,5028047
400,3551066
401,3971331
402,3865988
403,4659241
404,3591093
405,4353994
406,4695724
407,4302050
408,2975219
409,3818479
410,3619265
411,4099479
412,4553981
413,5005492
414,5157926
415,4371780
416,5071139
417,2955570
418,4170722
419,3986017
420,4373578
421,4931584
422,4709851
423,3994739
424,4626285
425,4527415
426,4364461
427,3737018
428,4952864
429,3517958
430,3854088
431,4130091
432,3105632
433,4357297
434,3665368
435,4429373
436,4137754
437,3130173
438,3563538
439,5034023
440,4657173
441,4530646
442,4561823
443,4995539
444,4504421
445,4471271
446,5404261
447,4270968
448,4663646
449,5307827
450,4911926
451,3709848
452,3778799
453,4968677
454,4681000
455,4137852
456,3545920
457,4153708
458,4470537
459,3153840
460,5139438
461,4590695
462,5163639
463,3489760
464,4639463
465,3818484
466,4328282
467,3567474
468,4303595
469,4464045
470,4179766
471,4689551
472,3649824
473,4549088
474,4814922
475,4106896
476,3670161
477,4684939
478,4233530
479,4810605
480,4082860
481,5330305
482,3655125
483,4492160
484,5417435
485,3785702
486,4527366
487,4283808
488,4821954
489,3847013
490,4460527
491,3365753
492,4494814
493,4801941
494,4440297
495,4209259
496,4694643
497,4191900
498,4222986
499,4444579
500,4467122
501,3075789
502,4069875
503,5064234
504,4206499
505,3989882
506,4064978
507,4432295
508,3566768
509,4530930
510,4927512
511,5374200
512,3005403
513,5048216
514,3703134
515,3042961
516,3515402
517,4772976
518,4453337
519,4424601
520,3922388
521,5279294
522,5141665
523,5052382
524,4648979
525,5040458
526,3162734
527,4989503
528,5304802
529,4462963
530,3834704
531,4339186
532,4679615
533,3980745
534,4652575
535,4412655
536,4230464
