Id,Prediction
0,2190000.00
1,3530000.00
2,5530000.00
3,4710000.00
4,4660000.00
5,4880000.00
6,5280000.00
7,4410000.00
8,4810000.00
9,4250000.00
10,4710000.00
11,4620000.00
12,5450000.00
13,5040000.00
14,4330000.00
15,5170000.00
16,5170000.00
17,4710000.00
18,5040000.00
19,5120000.00
20,4620000.00
21,5140000.00
22,4290000.00
23,4710000.00
24,4760000.00
25,4620000.00
26,4630000.00
27,4250000.00
28,5120000.00
29,4250000.00
30,5250000.00
31,5550000.00
32,5140000.00
33,4620000.00
34,4790000.00
35,4790000.00
36,5120000.00
37,4660000.00
38,4620000.00
39,4600000.00
40,4710000.00
41,5120000.00
42,5020000.00
43,5470000.00
44,4650000.00
45,5120000.00
46,4910000.00
47,4250000.00
48,5630000.00
49,5530000.00
50,5120000.00
51,5630000.00
52,4790000.00
53,4710000.00
54,5120000.00
55,4300000.00
56,5170000.00
57,4650000.00
58,5170000.00
59,5280000.00
60,4620000.00
61,4710000.00
62,5590000.00
63,4710000.00
64,4910000.00
65,5170000.00
66,4710000.00
67,5320000.00
68,5170000.00
69,5280000.00
70,5280000.00
71,4710000.00
72,5470000.00
73,4380000.00
74,4450000.00
75,5530000.00
76,4710000.00
77,4330000.00
78,5510000.00
79,5510000.00
80,5170000.00
81,5180000.00
82,4870000.00
83,5470000.00
84,4920000.00
85,4620000.00
86,4710000.00
87,4630000.00
88,4260000.00
89,5170000.00
90,4290000.00
91,5140000.00
92,4330000.00
93,5170000.00
94,4320000.00
95,5170000.00
96,4300000.00
97,5470000.00
98,4670000.00
99,4610000.00
100,4270000.00
101,4730000.00
102,4710000.00
103,4620000.00
104,4620000.00
105,5120000.00
106,5170000.00
107,4330000.00
108,4760000.00
109,4730000.00
110,5530000.00
111,5170000.00
112,5630000.00
113,4330000.00
114,5140000.00
115,5150000.00
116,4710000.00
117,5580000.00
118,4790000.00
119,4650000.00
120,5170000.00
121,4710000.00
122,5120000.00
123,4920000.00
124,5220000.00
125,5280000.00
126,5180000.00
127,5120000.00
128,4670000.00
129,5170000.00
130,4330000.00
131,5170000.00
132,4760000.00
133,5530000.00
134,5580000.00
135,4600000.00
136,5530000.00
137,5020000.00
138,4300000.00
139,5140000.00
140,5170000.00
141,4780000.00
142,4790000.00
143,4630000.00
144,5460000.00
145,4250000.00
146,4710000.00
147,4640000.00
148,5460000.00
149,5010000.00
150,5120000.00
151,4620000.00
152,4620000.00
153,4840000.00
154,4430000.00
155,5170000.00
156,4760000.00
157,5220000.00
158,5530000.00
159,5120000.00
160,5110000.00
161,4670000.00
162,4640000.00
163,5250000.00
164,4650000.00
165,4930000.00
166,5120000.00
167,5280000.00
168,4620000.00
169,4920000.00
170,5120000.00
171,4910000.00
172,5120000.00
173,4620000.00
174,4330000.00
175,4630000.00
176,4760000.00
177,5170000.00
178,5140000.00
179,5120000.00
180,4990000.00
181,5280000.00
182,4760000.00
183,5170000.00
184,5590000.00
185,4620000.00
186,4940000.00
187,5100000.00
188,4760000.00
189,5370000.00
190,5580000.00
191,4760000.00
192,4780000.00
193,5300000.00
194,4330000.00
195,4840000.00
196,5200000.00
197,4250000.00
198,5180000.00
199,5120000.00
200,5530000.00
201,4660000.00
202,4710000.00
203,4330000.00
204,4690000.00
205,4620000.00
206,5020000.00
207,5140000.00
208,5140000.00
209,4730000.00
210,5630000.00
211,4330000.00
212,4620000.00
213,4620000.00
214,5020000.00
215,5140000.00
216,4760000.00
217,4610000.00
218,5290000.00
219,5120000.00
220,5120000.00
221,5580000.00
222,4970000.00
223,4730000.00
224,4710000.00
225,4610000.00
226,4620000.00
227,4840000.00
228,4620000.00
229,4710000.00
230,5510000.00
231,4650000.00
232,5710000.00
233,5530000.00
234,4620000.00
235,4710000.00
236,5120000.00
237,4620000.00
238,5020000.00
239,4620000.00
240,5140000.00
241,5140000.00
242,5120000.00
243,4970000.00
244,4650000.00
245,5170000.00
246,4250000.00
247,4920000.00
248,4710000.00
249,4730000.00
250,4630000.00
251,4400000.00
252,4650000.00
253,5120000.00
254,5220000.00
255,5170000.00
256,4990000.00
257,4620000.00
258,4630000.00
259,5120000.00
260,4260000.00
261,5710000.00
262,5170000.00
263,4620000.00
264,4330000.00
265,4920000.00
266,4620000.00
267,4760000.00
268,5120000.00
269,4790000.00
270,5530000.00
271,4320000.00
272,5580000.00
273,5120000.00
274,5290000.00
275,4710000.00
276,4840000.00
277,4660000.00
278,4780000.00
279,5530000.00
280,5120000.00
281,4320000.00
282,4710000.00
283,5120000.00
284,4870000.00
285,4640000.00
286,5170000.00
287,4880000.00
288,4300000.00
289,5290000.00
290,4710000.00
291,5020000.00
292,4540000.00
293,5120000.00
294,4620000.00
295,5170000.00
296,4630000.00
297,4970000.00
298,4850000.00
299,5120000.00
300,4920000.00
301,5170000.00
302,5070000.00
303,5170000.00
304,4880000.00
305,5170000.00
306,4710000.00
307,4250000.00
308,4620000.00
309,4620000.00
310,4710000.00
311,5140000.00
312,5120000.00
313,5170000.00
314,5550000.00
315,5170000.00
316,4730000.00
317,4730000.00
318,4970000.00
319,5100000.00
320,5060000.00
321,4780000.00
322,4950000.00
323,5710000.00
324,5370000.00
325,4650000.00
326,4710000.00
327,5170000.00
328,4740000.00
329,5060000.00
330,5410000.00
331,5070000.00
332,4720000.00
333,5120000.00
334,4710000.00
335,5580000.00
336,5140000.00
337,5180000.00
338,4320000.00
339,5170000.00
340,5020000.00
341,4620000.00
342,4730000.00
343,5030000.00
344,4330000.00
345,5300000.00
346,4710000.00
347,4960000.00
348,4800000.00
349,4710000.00
350,5170000.00
351,4300000.00
352,4810000.00
353,5560000.00
354,5120000.00
355,4760000.00
356,4760000.00
357,4920000.00
358,4680000.00
359,5120000.00
360,5170000.00
361,4260000.00
362,4620000.00
363,4290000.00
364,4970000.00
365,4710000.00
366,4640000.00
367,4290000.00
368,4980000.00
369,4880000.00
370,5170000.00
371,5370000.00
372,4330000.00
373,4250000.00
374,5280000.00
375,4760000.00
376,4330000.00
377,4660000.00
378,5510000.00
379,4790000.00
380,4680000.00
381,5140000.00
382,5470000.00
383,5170000.00
384,5290000.00
385,4760000.00
386,5630000.00
387,5510000.00
388,5100000.00
389,5170000.00
390,5120000.00
391,5170000.00
392,4790000.00
393,5170000.00
394,5460000.00
395,5170000.00
396,5560000.00
397,5120000.00
398,4620000.00
399,5170000.00
400,4640000.00
401,4320000.00
402,4970000.00
403,5170000.00
404,5140000.00
405,5530000.00
406,4920000.00
407,5470000.00
408,4640000.00
409,4640000.00
410,4730000.00
411,5170000.00
412,4620000.00
413,5170000.00
414,5240000.00
415,4650000.00
416,5060000.00
417,4780000.00
418,5120000.00
419,5120000.00
420,5580000.00
421,5560000.00
422,4640000.00
423,5120000.00
424,5120000.00
425,5120000.00
426,5470000.00
427,4730000.00
428,5170000.00
429,4790000.00
430,4660000.00
431,4630000.00
432,4630000.00
433,5170000.00
434,5280000.00
435,4710000.00
436,4300000.00
437,5120000.00
438,5140000.00
439,4420000.00
440,5170000.00
441,5120000.00
442,4620000.00
443,5220000.00
444,5530000.00
445,5660000.00
446,5460000.00
447,4320000.00
448,4910000.00
449,4890000.00
450,5560000.00
451,4620000.00
452,5060000.00
453,5170000.00
454,4710000.00
455,4630000.00
456,5060000.00
457,5140000.00
458,5120000.00
459,4640000.00
460,5020000.00
461,5580000.00
