Id,Prediction
0,5.18E+06
1,4.37E+06
2,4.88E+06
3,4.95E+06
4,4.83E+06
5,4.82E+06
6,3.67E+06
7,3.82E+06
8,5.05E+06
9,3.25E+06
10,4.11E+06
11,4.98E+06
12,4.72E+06
13,4.16E+06
14,4.34E+06
15,4.44E+06
16,4.49E+06
17,4.47E+06
18,5.03E+06
19,3.67E+06
20,4.16E+06
21,4.69E+06
22,3.56E+06
23,5.05E+06
24,4.96E+06
25,4.77E+06
26,4.95E+06
27,4.74E+06
28,5.05E+06
29,5.39E+06
30,4.22E+06
31,4.39E+06
32,4.85E+06
33,4.14E+06
34,4.32E+06
35,4.25E+06
36,5.05E+06
37,4.90E+06
38,4.36E+06
39,5.17E+06
40,4.12E+06
41,4.13E+06
42,4.23E+06
43,4.76E+06
44,5.21E+06
45,4.66E+06
46,4.07E+06
47,4.22E+06
48,4.12E+06
49,4.52E+06
50,4.39E+06
51,4.58E+06
52,4.76E+06
53,4.66E+06
54,4.96E+06
55,4.49E+06
56,4.88E+06
57,5.17E+06
58,4.82E+06
59,3.75E+06
60,4.20E+06
61,4.78E+06
62,4.20E+06
63,4.75E+06
64,4.81E+06
65,4.84E+06
66,4.47E+06
67,4.54E+06
68,4.44E+06
69,4.37E+06
70,3.94E+06
71,3.95E+06
72,4.14E+06
73,4.22E+06
74,4.63E+06
75,3.88E+06
76,4.26E+06
77,3.74E+06
78,4.75E+06
79,4.92E+06
80,5.08E+06
81,4.88E+06
82,4.13E+06
83,4.55E+06
84,4.47E+06
85,4.35E+06
86,4.53E+06
87,5.05E+06
88,3.97E+06
89,4.76E+06
90,4.91E+06
91,3.62E+06
92,4.43E+06
93,4.02E+06
94,4.91E+06
95,5.00E+06
96,5.01E+06
97,4.84E+06
98,3.79E+06
99,4.93E+06
100,4.91E+06
101,4.12E+06
102,4.85E+06
103,4.52E+06
104,4.46E+06
105,3.62E+06
106,4.74E+06
107,4.68E+06
108,4.76E+06
109,4.79E+06
110,4.75E+06
111,5.23E+06
112,3.58E+06
113,4.29E+06
114,4.14E+06
115,4.41E+06
116,4.93E+06
117,4.04E+06
118,4.63E+06
119,4.69E+06
120,3.72E+06
121,3.55E+06
122,4.96E+06
123,3.83E+06
124,4.66E+06
125,3.67E+06
126,3.47E+06
127,4.92E+06
128,4.53E+06
129,3.62E+06
130,4.46E+06
131,4.17E+06
132,4.92E+06
133,3.56E+06
134,3.74E+06
135,4.37E+06
136,3.95E+06
137,4.03E+06
138,3.67E+06
139,4.99E+06
140,5.05E+06
141,4.66E+06
142,4.28E+06
143,3.66E+06
144,4.80E+06
145,3.56E+06
146,4.96E+06
147,3.79E+06
148,4.00E+06
149,3.63E+06
150,4.97E+06
151,4.36E+06
152,4.38E+06
153,4.76E+06
154,4.12E+06
155,5.05E+06
156,4.92E+06
157,3.52E+06
158,3.88E+06
159,5.05E+06
160,4.84E+06
161,4.29E+06
162,4.96E+06
163,4.76E+06
164,4.97E+06
165,4.05E+06
166,4.75E+06
167,4.82E+06
168,3.77E+06
169,3.63E+06
170,4.97E+06
171,4.93E+06
172,5.02E+06
173,4.25E+06
174,4.76E+06
175,4.58E+06
176,4.96E+06
177,4.96E+06
178,3.90E+06
179,4.37E+06
180,3.68E+06
181,4.24E+06
182,4.96E+06
183,3.70E+06
184,4.14E+06
185,4.95E+06
186,4.22E+06
187,4.09E+06
188,4.92E+06
189,4.88E+06
190,4.86E+06
191,3.55E+06
192,3.84E+06
193,4.97E+06
194,4.47E+06
195,4.25E+06
196,4.79E+06
197,4.35E+06
198,4.85E+06
199,4.93E+06
200,3.25E+06
201,5.03E+06
202,3.99E+06
203,3.45E+06
204,5.17E+06
205,4.83E+06
206,3.88E+06
207,3.91E+06
208,4.50E+06
209,4.81E+06
210,4.12E+06
211,4.91E+06
212,4.89E+06
213,4.79E+06
214,5.17E+06
215,4.05E+06
216,3.98E+06
217,4.80E+06
218,4.48E+06
219,4.66E+06
220,4.96E+06
221,4.29E+06
222,3.54E+06
223,4.71E+06
224,4.84E+06
225,3.73E+06
226,5.14E+06
227,5.05E+06
228,5.14E+06
229,4.24E+06
230,4.92E+06
231,4.78E+06
232,5.14E+06
233,4.42E+06
234,5.14E+06
235,3.78E+06
236,4.15E+06
237,4.91E+06
238,5.00E+06
239,3.87E+06
240,3.74E+06
241,4.50E+06
242,4.74E+06
243,5.59E+06
244,4.15E+06
245,4.46E+06
246,4.40E+06
247,4.84E+06
248,4.74E+06
249,4.81E+06
250,4.73E+06
251,4.06E+06
252,5.17E+06
253,4.60E+06
254,4.45E+06
