Id,Open Date,City,Bit City,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P19,P20,P21,P22,P23,P28,P29,revenue
0,34896,128,1,1,4,5,4,4,2,2,5,4,5,5,3,5,5,4,1,3,3,2,3,5653753
1,38030,65,1,2,4,5,4,4,1,2,5,5,5,5,1,5,3,2,1,3,2,3,3,6923131
2,39880,68,0,1,2,4,2,5,2,3,5,5,5,5,2,5,1,1,1,1,1,1,3,2055379
3,39479,84,0,1,6,4.5,6,6,4,4,10,8,10,10,8,10,20,12,6,1,10,2.5,7.5,2675511
4,38480,71,0,1,3,4,3,4,2,2,5,5,5,5,2,5,2,2,1,2,1,1,3,4316715
5,38759,65,1,2,6,6,4.5,7.5,8,10,10,8,8,8,10,8,5,6,3,1,5,7.5,5,5017319
6,39000,128,1,1,2,3,4,4,1,5,5,5,5,5,2,5,2,4,1,2,1,1,3,5166635
7,39253,128,1,1,4,5,4,5,2,3,5,4,4,4,4,3,3,5,2,4,2,3,2,4491607
8,38956,65,0,1,1,1,4,4,1,2,1,5,5,5,1,5,1,1,1,1,1,2,3,4952497
9,39401,69,0,1,6,4.5,6,7.5,6,4,10,10,10,10,2,10,25,3,3,1,10,5,2.5,5444227
10,40033,75,0,2,9,6,6,6,4,4,10,8,10,10,8,10,25,15,15,3,20,10,2.5,3745135
11,39589,128,1,1,2,4,4,4,2,5,5,5,5,5,2,5,2,5,1,1,3,3,3,5161370
12,39871,65,1,1,2,2,4,4,2,1,5,4,5,5,3,5,3,4,1,2,2,1,3,1734634
13,39005,128,1,2,4,5,4,4,1,3,5,5,5,5,2,5,3,4,1,2,1,3,3,4807746
14,39444,66,0,2,2,2,4,4,1,2,5,5,5,5,2,5,3,3,1,3,2,2,3,1999097
15,39484,128,1,1,12,7.5,6,6,2,10,10,10,10,10,4,10,10,9,3,2,5,7.5,7.5,3218918
16,35070,128,1,2,3,5,4,4,2,5,5,4,5,4,3,5,1,4,1,1,1,2,2,19696939
17,38663,128,1,2,2,4,4,5,1,3,5,4,5,5,3,5,1,1,1,1,1,1,1,8213524
18,39558,128,1,1,4,5,4,3,1,2,5,5,5,5,2,5,4,5,1,4,2,2,3,5337526
19,39309,83,0,1,2,4,4,4,2,2,5,5,4,4,1,3,2,1,1,1,1,2,3,2021934
20,38953,69,0,1,3,4,4,4,2,2,5,4,5,5,3,5,5,5,1,1,5,1,3,5525735
21,40202,128,1,2,5,5,4,4,2,2,5,4,4,4,4,3,4,5,1,3,1,3,1,1149870
22,37437,75,0,2,9,6,6,6,4,6,10,10,10,10,2,10,15,12,3,3,10,7.5,7.5,3956086
23,38505,83,0,2,2,4,4,4,2,2,5,3,4,4,5,4,2,2,1,1,1,2,3,2999068
24,38614,128,1,1,5,5,3,5,2,2,5,5,5,4,2,5,5,5,2,2,3,3,2,8904084
25,39438,69,0,2,4,4,5,5,2,2,5,5,5,5,2,5,3,1,2,1,1,2,3,3778621
26,38770,65,1,1,3,5,4,5,2,3,5,3,5,4,5,5,5,5,2,3,2,3,3,2267425
27,34980,66,0,2,4,5,4,3,1,2,5,4,4,5,4,4,5,5,5,5,5,4,3,5435276
28,34361,128,1,1,4,5,4,4,1,3,5,5,4,4,2,4,5,5,2,4,3,4,2,4705945
29,37541,65,1,2,1,1,4,4,2,1,1,4,4,4,5,2,1,1,1,1,1,1,3,3447890
30,38321,83,0,1,1,1,3,3,2,1,1,5,5,5,2,5,1,1,1,1,1,1,3,3008199
31,39812,128,1,1,4,5,4,4,1,3,5,5,5,5,2,5,4,2,1,2,1,2,3,2058644
32,38368,129,0,2,3,4,3,4,3,2,5,4,4,4,3,4,5,1,1,1,1,1,3,3261924
33,39925,83,0,2,2,3,4,4,2,2,5,5,5,5,1,5,3,1,1,2,1,2,3,2371202
34,39527,128,1,2,4,5,4,4,1,3,5,4,4,5,4,4,1,4,1,2,1,4,3,4100886
35,33731,65,0,1,4,5,4,3,1,2,5,4,4,5,5,4,5,5,4,3,5,3,2,3903884
36,38115,65,1,2,3,5,5,3,1,5,5,5,5,5,2,5,2,5,2,4,3,3,3,3028267
37,38951,65,1,1,2,3,4,3,1,5,5,5,5,5,1,5,1,3,1,2,5,1,3,2740687
38,39099,128,1,2,3,5,4,4,2,5,5,4,5,4,3,5,1,4,1,1,1,2,2,5461700
39,38438,128,1,1,4,5,4,4,2,3,5,4,4,4,4,4,3,5,1,2,2,2,2,3818055
40,39121,128,1,1,3,5,4,4,2,2,5,1,4,4,5,2,5,5,5,1,1,3,2,6836483
41,38503,128,1,1,4,5,5,4,1,5,5,3,4,5,5,3,5,5,5,5,5,5,1,4554237
42,39351,128,1,1,12,7.5,6,6,4,4,10,8,10,10,6,10,25,15,6,4,20,7.5,5,4952255
43,38618,65,1,2,2,4,5,4,1,2,5,5,5,5,2,5,1,1,1,2,1,1,3,2732645
44,36811,65,1,1,2,3,5,3,1,5,5,5,5,5,1,5,1,3,1,2,1,2,3,4264176
45,39479,65,0,2,6,6,6,4.5,2,8,10,10,10,8,4,10,5,15,3,2,5,5,7.5,3752885
46,39318,128,1,1,3,5,5,3,1,2,5,5,5,5,2,5,2,5,2,4,2,3,3,4250758
47,38708,128,1,1,4,5,5,3,1,2,5,4,5,5,3,5,3,5,3,5,5,5,3,7865428
48,39436,75,0,2,4,5,4,4,2,2,5,4,4,5,4,4,5,5,3,3,5,4,3,7201784
49,38077,128,1,2,12,7.5,6,6,2,8,10,10,10,10,4,10,15,3,3,3,5,7.5,7.5,8630682
50,38837,65,1,1,3,5,4,5,3,4,5,4,4,4,5,4,5,5,1,3,2,3,3,2156098
51,39393,75,0,1,2,2,4,4,2,2,4,4,5,5,4,5,5,4,2,1,2,1,3,3273041
52,40128,85,0,2,2,3,4,4,2,1,1,4,4,5,3,4,1,1,1,1,1,1,3,1763231
53,39900,83,0,2,3,4,4,3,1,2,5,5,5,5,2,5,2,4,2,1,1,3,3,5595267
54,34854,77,0,1,2,4,5,4,1,1,3,4,4,4,4,2,1,2,2,1,1,2,3,4651866
55,38210,128,1,2,2,4,4,4,1,4,5,5,5,5,1,5,1,1,1,1,1,3,3,6941173
56,39887,128,1,1,4,5,4,4,2,2,5,4,4,4,5,3,4,5,2,2,2,3,3,2390534
57,38158,65,0,2,2,3,4,3,1,4,5,5,5,5,2,5,1,2,1,1,1,3,2,3258837
58,39548,128,1,2,3,4,4,5,2,2,5,5,5,5,2,5,1,3,1,3,1,2,3,3004429
59,37955,128,1,2,4,5,4,4,1,3,5,5,5,5,2,5,3,3,1,3,1,2,3,3600467
60,39568,65,1,1,12,7.5,6,6,2,6,10,8,10,10,6,10,10,15,6,3,10,5,7.5,3164972
61,38136,128,1,2,12,7.5,6,6,4,6,10,8,8,8,6,8,15,12,3,2,5,7.5,5,4350573
62,39035,83,0,2,2,4,4,4,2,3,5,5,5,4,2,5,3,1,1,1,1,2,3,5286212
63,40029,75,0,2,2,2,4,4,3,1,4,5,5,5,2,5,2,1,1,1,1,1,3,1619683
