Id,Prediction
0,3987300
1,3742300
2,3652700
3,3996900
4,3999900
5,4193700
6,3791700
7,4104800
8,5069600
9,4085100
10,4273900
11,4855100
12,4508700
13,4433400
14,3601500
15,4891900
16,4866300
17,4122100
18,5377900
19,4322000
20,3196000
21,4088100
22,4452500
23,5295500
24,4507700
25,3258200
26,3335300
27,4283900
28,3829800
29,4150600
30,4429700
31,3953000
32,3636300
33,4832900
34,3704000
35,3811900
36,4373700
37,4589600
38,3227900
39,4154700
40,4141100
41,4695900
42,5005800
43,4939900
44,5455600
45,4184100
46,3571900
47,3237900
48,4394800
49,4341300
50,4490100
51,4127100
52,4008600
53,3482100
54,3594400
55,4290100
56,5469200
57,4421500
58,4210900
59,5085700
60,2927400
61,3874300
62,4427700
63,3955500
64,4332500
65,5707100
66,4611400
67,5610800
68,4487000
69,4377500
70,3538000
71,3579600
72,4377800
73,3111900
74,5133200
75,4474300
76,4844200
77,4034000
78,4506300
79,4479000
80,5313300
81,4034300
82,4052000
83,4420300
84,5486800
85,2773400
86,3835600
87,3996600
88,4526000
89,4393200
90,5173400
91,4221500
92,3292900
93,4354600
94,5214600
95,3762700
96,4203700
97,4121600
98,3613600
99,4154900
100,4436300
101,2968700
102,3812900
103,3666800
104,4005300
105,3587500
106,4560500
107,4916600
108,4856200
109,4940300
110,4914800
111,4398800
112,4450200
113,4721700
114,3668500
115,4447400
116,3845900
117,4435900
118,3492500
119,4679700
120,4507200
121,4843200
122,3808600
123,5396500
124,3764000
125,3933900
126,5248400
127,3712700
128,4072500
129,4476300
130,3094900
131,4436000
132,5352200
133,3683200
134,4480600
135,3743600
136,4182600
137,4352300
138,4439400
139,4235200
140,5643900
141,3138100
142,4959200
143,3309000
144,4209600
145,3957800
146,4376700
147,3069900
148,4346300
149,4074600
150,4115500
151,3615000
152,5181500
153,5529000
154,3217300
155,4946900
156,5189900
157,4432900
158,3911200
159,4099900
160,4061200
161,4159000
162,3981000
163,4353600
164,5731600
165,3647100
166,4450800
167,4009200
168,3631300
169,4516300
170,4176100
171,3781600
172,4419400
173,4767100
174,3455900
175,3627200
176,5671900
177,4301800
178,3395000
179,4053600
180,4381400
181,4393300
182,4794900
183,4192400
184,4473800
185,3129100
186,3953400
187,4539700
188,5486600
189,4810300
190,4213900
191,5000600
192,5295300
193,4228500
194,3654400
195,3829700
196,4115400
197,3154400
198,4228900
199,4017900
200,4342700
201,4054200
202,4663700
203,4759100
204,5021500
205,4967800
206,5121500
207,4042400
208,3954700
209,3433200
210,4626900
211,4112200
212,3674600
213,3599400
214,5531800
215,2859500
216,4292500
217,4337500
218,3987600
219,3171000
220,5265800
221,4435800
222,5165300
223,3750200
224,4306500
225,4350800
226,3980800
227,5742400
228,3515800
229,4315400
230,4688700
231,5637100
232,4489900
233,4100200
234,3821800
235,4503900
236,3424300
237,3304200
238,4373800
239,4567700
240,3925100
241,4159900
242,3681900
243,4215200
244,4442900
245,4848900
246,3652700
247,4450900
248,4548000
249,4509600
250,3415500
251,4651700
252,5394700
253,4073100
254,4332500
255,3976300
256,3904900
257,4375900
258,3589400
259,4274100
260,3743600
261,4276600
262,5272400
263,3744000
264,2898200
265,5403700
266,4303800
267,5868300
268,4486700
269,3558300
270,3974000
271,3257400
272,4553300
273,4594500
274,3764800
275,5435900
276,5669800
277,4124800
278,4817300
279,3621500
280,4475300
281,3983300
282,3376700
283,3987500
284,4336300
285,3142800
286,4480400
287,4221700
288,4763700
289,3936200
290,4267000
291,4303900
292,3907400
293,4300900
294,3789600
295,4416400
296,5258200
297,4479700
298,3684900
299,4251500
300,4448600
301,4935100
302,5028000
303,5103300
304,4341100
305,5008300
306,3710900
307,4764500
308,3128800
309,4372200
310,4474300
311,3312800
312,3535300
313,4492600
314,4225800
315,4047900
316,3750100
317,4011600
318,5343700
319,4264100
320,4216800
321,3903000
322,4188400
323,4536400
324,4495300
325,4289700
326,5010400
327,4527000
328,3933400
329,5118700
330,3639000
331,4938000
332,4836100
333,5289500
334,5294800
335,4436100
336,3047700
337,4587700
338,4110300
339,3721200
340,4559900
341,3601800
342,4207100
343,4216100
344,4604700
345,3743600
346,3920900
347,5261900
348,3522500
349,4814500
350,4328300
351,4097400
352,5485400
353,4202800
354,3843600
355,4335000
356,4384800
357,4436800
358,4355800
359,5099500
360,4476300
361,3566300
362,3884400
363,4603400
364,5041300
365,3986100
366,3173900
367,3270200
368,3631900
369,3952900
370,3971600
371,4651100
372,4768800
373,4069500
374,3898600
375,4083700
376,3906900
377,3926000
378,4279700
379,4188600
380,4818900
381,3642400
382,4189900
383,4089700
384,4316500
385,5788100
386,4355900
387,4801000
388,4538900
389,4534900
390,4512800
391,4280600
392,3992600
393,4749800
394,4567600
395,4018100
396,5258000
397,4494700
398,5211900
399,5102000
400,3595300
401,3192100
402,4278000
403,4709300
404,3662000
405,4479100
406,4768100
407,4086000
408,2927000
409,3209100
410,3777100
411,4046100
412,4588800
413,5025000
414,4453100
415,4326600
416,4391400
417,3172500
418,4253100
419,3950100
420,4148300
421,4476500
422,4793300
423,3536200
424,4368600
425,4540300
426,4362200
427,3690900
428,4448300
429,3461900
430,3793800
431,4192000
432,3427100
433,4413900
434,3661500
435,4442500
436,4015000
437,3074100
438,3549500
439,5191000
440,4476500
441,4623500
442,4499600
443,5114200
444,4310300
445,4114600
446,5533700
447,3913800
448,4649900
449,4390800
450,4987900
451,3708300
452,4205800
453,4506000
454,4870100
455,4224400
456,3635100
457,4284500
458,4391700
459,2964900
460,4302900
461,4643300
462,5194000
463,3742000
464,4670300
465,3820500
466,4230600
467,3952800
468,4441700
469,4513300
470,4229500
471,4635200
472,3692000
473,4744900
474,4880600
475,4068200
476,3173400
477,4403700
478,3965100
479,3678900
480,4000900
481,5440300
482,4227400
483,4129500
484,4622400
485,3800800
486,4493800
487,4372700
488,4884000
489,3878500
490,4611400
491,3244900
492,4374900
493,4510200
494,4415600
495,3820800
496,4883900
497,4188900
498,4089500
499,4597900
500,4142500
501,3464000
502,3718800
503,4469600
504,4031100
505,4012300
506,4017900
507,4423900
508,3541700
509,4524100
510,5078500
511,5319000
512,2915000
513,5027900
514,3788400
515,3253800
516,3755600
517,4364500
518,3809200
519,4295400
520,3937300
521,5211500
522,4550500
523,4515600
524,4577000
525,4573700
526,3213800
527,4464900
528,5344500
529,4352500
530,3459900
531,4377200
532,4762400
533,3423800
534,4767900
535,4437100
536,4121900
537,3870700
538,3342800
539,5018400
540,4572700
541,3641500
542,4237500
543,3583100
544,4328600
545,3891000
546,3764700
547,4330600
548,4194000
549,4390500
550,3611300
551,3921600
552,4287900
553,5108900
554,4279200
555,4592100
556,2988700
557,4983400
558,3999500
559,3893000
560,4671500
561,5589800
562,3508300
563,4343200
564,3571100
565,4683400
566,3291700
567,5126000
568,3753400
569,4340100
570,4354500
571,4235700
572,4712200
573,4000700
574,4441500
575,3004000
576,5523600
577,4069500
578,4420300
579,4517500
580,4068000
581,4430100
582,4404400
583,4010700
584,4462000
585,3456900
586,3611300
587,4138800
588,4998200
589,4473600
590,3938900
591,3850100
592,4544200
593,3782800
594,3830100
595,3698000
596,4448300
597,4057700
598,4390700
599,4467100
600,5131000
601,4449900
602,5090800
603,3603300
604,3359600
605,4013300
606,3319000
607,3983700
608,3332400
609,4927500
610,5528400
611,3204700
612,4695800
613,4832400
614,4352900
615,3433400
616,5125400
617,4986200
618,5592200
619,4479500
620,4000200
621,5472700
622,4370600
623,4635800
624,3688400
625,4865000
626,5052100
627,4468200
628,3488700
629,4025000
630,5739900
631,4988000
632,5203900
633,5237600
634,3507400
635,4310900
636,4983200
637,3518500
638,4316800
639,4621000
640,4321900
641,4851800
642,3579200
643,4379300
644,4680700
645,3303300
646,4754100
647,3606100
648,4046600
649,4300100
650,3563300
651,4300200
652,5159100
653,5032900
654,4275400
655,5139600
656,3554000
657,5115000
658,5467900
659,3653800
660,5165900
661,5505000
662,4895200
663,3998200
664,3640700
665,4202300
666,4460700
667,4113600
668,4263700
669,3840900
670,5316100
671,5310300
672,4115400
673,4539700
674,4879700
675,3689600
676,4302600
677,3861200
678,4117200
679,4832400
680,3169700
681,4814400
682,3832100
683,4489500
684,4720700
685,4423400
686,4185900
687,2947400
688,5192200
689,3878200
690,4310800
691,4015800
692,3781000
693,4066300
694,3735900
695,3976100
696,3963000
697,4232700
698,3507200
699,3579900
700,5310800
701,3311200
702,4462800
703,4846100
704,3998300
705,4013700
706,5156200
707,4363400
708,4558100
709,3783100
710,4557800
711,5230600
712,4244300
713,3592000
714,4083300
715,3610900
716,3597100
717,4431500
718,4826700
719,5145600
720,4010400
721,5611800
722,4408400
723,3351500
724,4659000
725,4223800
726,3339000
727,3566200
728,4160600
729,3809700
730,4126600
731,4165300
732,3691600
733,5636500
734,4278300
735,4135200
736,3950500
737,4523800
738,3746600
739,3735900
740,4839800
741,4318800
742,4303400
743,4980300
744,4446300
745,4446300
746,3877100
747,4486600
748,4529600
749,4601800
750,5506000
751,3573100
752,4120400
753,2945100
754,3513200
755,3572000
756,4099400
757,4781100
758,3899500
759,5317800
760,3858400
761,3447100
762,3623100
763,4025900
764,5162600
765,4452700
766,4127000
767,4026900
768,4307500
769,4389000
770,4024900
771,3880500
772,4811600
773,4070900
774,3857700
775,4244100
776,3895600
777,4557400
778,4379000
779,3422900
780,3645500
781,4689300
782,5341300
783,3982600
784,4676600
785,4318100
786,4573200
787,4272800
788,4911500
789,4535600
790,3219400
791,5063900
792,3362900
793,3004500
794,3645700
795,4783600
796,3572100
797,3954500
798,4069400
799,4584200
800,5238200
801,4570500
802,4659600
803,4252900
804,3545300
805,4136400
806,4453400
807,4276200
808,4107700
809,3439900
810,4199200
811,3655300
812,4900400
813,4551700
814,3291900
815,4037600
816,3880200
817,4195200
818,3379100
819,3992700
820,4385600
821,4116900
822,4530900
823,4033600
824,4262300
825,4560800
826,4568300
827,3399900
828,5399200
829,4190700
830,4478900
831,5000100
832,4442200
833,4441300
834,5321300
835,3838300
836,3119300
837,4561300
838,3376000
839,3161700
840,3891400
841,3686500
842,5071200
843,4396800
844,4200800
845,4538800
846,4915400
847,4397100
848,3298800
849,3974700
850,4423800
851,4382900
852,5740700
853,3594200
854,3938800
855,3823200
856,4301500
857,4509700
858,4286500
859,4175700
860,3934500
861,5057000
862,3715500
863,4611300
864,4536300
865,4083000
866,3265900
867,3819700
868,4254200
869,4473200
870,3141000
871,4699400
872,4032400
873,4483600
874,4476900
875,3781300
876,3651700
877,5287000
878,3185700
879,4305200
880,3113100
881,3532200
882,5025400
883,4575200
884,4697900
885,4557300
886,4055900
887,5025700
888,3756300
889,4235200
890,4217600
891,4495600
892,5113500
893,4426700
894,5026400
895,4533700
896,4449600
897,3905000
898,4351200
899,5090000
900,3875600
901,5244400
902,4818800
903,4312400
904,3483300
905,4077000
906,3730000
907,4396100
908,4508000
909,3820300
910,4602100
911,4439700
912,4088600
913,4450100
914,4020800
915,4862900
916,2894100
917,5395100
918,4027600
919,4004800
920,4122700
921,3874400
922,4374000
923,4326200
924,4769600
925,5426600
926,5044800
927,4244600
928,5096900
929,4392800
930,3959100
931,3382100
932,4481800
933,5340200
934,4021000
935,4173000
936,4146000
937,4401500
938,4358000
939,5403900
940,4868200
941,4645500
942,4229000
943,4946900
944,4272400
945,3454600
946,5431600
947,4714800
948,4255600
949,3497800
950,5002300
951,3542000
952,3933100
953,4010100
954,4494100
955,4458600
956,4446300
957,5204600
958,4532700
959,4086300
960,4369800
961,4856100
962,4755000
963,5420600
964,5925200
965,3763200
966,4380600
967,4506300
968,3800900
969,3823800
970,3195300
971,3212400
972,4103600
973,3512400
974,3819000
975,3668400
976,3753000
977,4327300
978,4517200
979,5782100
980,4825900
981,3226600
982,3887200
983,5179700
984,4389100
985,4493800
986,4397300
987,4600000
988,4327900
989,3585200
990,4676900
991,2920000
992,4299900
993,4997200
994,5106000
995,3677900
996,4313500
997,4837400
998,4202300
999,4093000
1000,4339900
1001,3141700
1002,3401200
1003,4502200
1004,4335000
1005,4806600
1006,5818900
1007,4286300
1008,3653400
1009,4049100
1010,3622400
1011,4921500
1012,3884700
1013,4787800
1014,4222100
1015,4213100
1016,5052900
1017,4175800
1018,3943500
1019,4077500
1020,4477900
1021,4131400
1022,4499600
1023,3810300
1024,3577000
1025,4851000
1026,4489000
1027,3981100
1028,4915800
1029,3507600
1030,5296600
1031,3656200
1032,3018900
1033,5177500
1034,5070700
1035,3796300
1036,4540600
1037,4365900
1038,4193300
1039,3880500
1040,4769500
1041,3942200
1042,3482300
1043,4398500
1044,4713200
1045,5176800
1046,4215300
1047,4508400
1048,3908000
1049,4371200
1050,4471000
1051,4339300
1052,3640400
1053,3164100
1054,5466700
1055,2837000
1056,5951500
1057,4858300
1058,3292400
1059,4686100
1060,4660100
1061,4316100
1062,4889400
1063,4787700
1064,4539000
1065,4106000
1066,4519600
1067,4358100
1068,4605200
1069,4095200
1070,4358800
1071,3768900
1072,4585300
1073,4476400
1074,4337600
1075,4335100
1076,3439600
1077,3887200
1078,3523800
1079,5255500
1080,4078800
1081,3606400
1082,3358200
1083,4499700
1084,3624500
1085,3013200
1086,4467900
1087,3940700
1088,4576800
1089,3398000
1090,4740500
1091,4145200
1092,4381800
1093,4430700
1094,4743500
1095,4370100
1096,3215000
1097,3737700
1098,4169600
1099,4323700
1100,4104900
1101,5113400
1102,4145900
1103,3816700
1104,4547900
1105,3485600
1106,3812400
1107,4970200
1108,3941300
1109,4752100
1110,4480900
1111,4115600
1112,4045200
1113,4048300
1114,4022200
1115,3676500
1116,4063400
1117,4274200
1118,4410400
1119,4076100
1120,4365600
1121,2930600
1122,4731800
1123,3952100
1124,4374400
1125,4276000
1126,4520100
1127,3468800
1128,4417100
1129,4741800
1130,4255600
1131,4578000
1132,3476400
1133,4082800
1134,4581100
1135,3171700
1136,4823400
1137,4188800
1138,3812200
1139,4853700
1140,4809400
1141,4519000
1142,4586400
1143,4236700
1144,3850100
1145,3990800
1146,4334600
1147,5486800
1148,4024000
1149,4415700
1150,4521700
1151,3044200
1152,4209200
1153,4857600
1154,3245700
1155,3262500
1156,4459200
1157,4457000
1158,4355600
1159,4155100
1160,4315300
1161,4453500
1162,4309200
1163,3663400
1164,4551800
1165,4398100
1166,4502300
1167,4418600
1168,3720900
1169,5131800
1170,3588000
1171,4156200
1172,2888400
1173,4480200
1174,3513200
1175,4053300
1176,3925700
1177,4862000
1178,4330000
1179,4447400
1180,5056000
1181,4140800
1182,5055500
1183,3937000
1184,3766000
1185,3936100
1186,4494600
1187,3463400
1188,4776200
1189,4626200
1190,4593900
1191,4291800
1192,4263000
1193,3255000
1194,4713500
1195,4303000
1196,3542800
1197,3768300
1198,3995500
1199,4193500
1200,5884600
1201,4294400
1202,3740900
1203,3547300
1204,4199800
1205,3542500
1206,4361300
1207,3723500
1208,4369100
1209,4672900
1210,4246800
1211,4211800
1212,3458200
1213,4951000
1214,3784700
1215,4013100
1216,4489700
1217,4214600
1218,3989400
1219,4740300
1220,4209200
1221,4524400
1222,4474400
1223,4973400
1224,5370300
1225,4373400
1226,4204300
1227,5012800
1228,3955100
1229,4415800
1230,4370000
1231,4281200
1232,3355400
1233,5085600
1234,4895900
1235,3364400
1236,4376000
1237,3423500
1238,4468200
1239,4851600
1240,4432600
1241,3961100
1242,5445200
1243,3854900
1244,4381700
1245,4173800
1246,3526900
1247,4904400
1248,3353900
1249,4709900
1250,4492700
1251,3788700
1252,4018000
1253,5035300
1254,4118100
1255,3519600
1256,4466000
1257,4107100
1258,5210600
1259,3933500
1260,4077400
1261,4240800
1262,4472500
1263,3447300
1264,4568300
1265,3602100
1266,3302600
1267,4334000
1268,3789900
1269,3979100
1270,3057300
1271,4963700
1272,4794900
1273,3146900
1274,3722600
1275,5332000
1276,3692800
1277,4104400
1278,3954700
1279,3513200
1280,4378700
1281,3777100
1282,4053500
1283,3131200
1284,4471500
1285,4200000
1286,3755700
1287,4102500
1288,4451200
1289,3113300
1290,4370400
1291,3818100
1292,5786300
1293,5021400
1294,5025200
1295,4907300
1296,5083400
1297,4719800
1298,4094000
1299,3484500
1300,4542100
1301,3635100
1302,4260400
1303,4383300
1304,3685000
1305,4244400
1306,4822200
1307,4661400
1308,5402400
1309,3750700
1310,4144300
1311,4448900
1312,3865100
1313,4205800
1314,4146600
1315,4598900
1316,4486900
1317,4393500
1318,4317700
1319,5158100
1320,4896700
1321,4094900
1322,4492200
1323,4007800
1324,5148100
1325,4276300
1326,4067300
1327,4806600
1328,4510700
1329,4497900
1330,5811200
1331,3582100
1332,4564400
1333,3832200
1334,3795500
1335,3684400
1336,3215600
1337,4523500
1338,3271400
1339,3729400
1340,3810400
1341,5321700
1342,3967800
1343,2957000
1344,5709500
1345,3683000
1346,4056000
1347,3657500
1348,4427300
1349,3842900
1350,4347600
1351,5471000
1352,4259300
1353,4459900
1354,3835400
1355,3651900
1356,4436100
1357,3983100
1358,4443300
1359,2991400
1360,4057500
1361,5091000
1362,3663100
1363,3868800
1364,4314200
1365,3777500
1366,4291200
1367,4326800
1368,4959500
1369,5174900
1370,4533000
1371,4715700
1372,5835200
1373,5024400
1374,3792900
1375,4476300
1376,4475200
1377,3445700
1378,4364600
1379,4177300
1380,4393100
1381,5624300
1382,4098300
1383,5251200
1384,4168300
1385,4326200
1386,3465900
1387,4313600
1388,5075500
1389,3434800
1390,4550500
1391,4020200
1392,4172100
1393,4305100
1394,3996200
1395,4162100
1396,3975000
1397,4512700
1398,4611900
1399,4613200
1400,4219400
1401,5302200
1402,4479100
1403,4519700
1404,3874200
1405,4111500
1406,4142800
1407,5162600
1408,4347800
1409,4897000
1410,4354100
1411,3577200
1412,4079500
1413,4299000
1414,4162800
1415,4536000
1416,4880500
1417,4222100
1418,3744400
1419,5605500
1420,4522400
1421,4468200
1422,3909100
1423,4479700
1424,3908800
1425,4369500
1426,3284500
1427,4318000
1428,4063700
1429,3345100
1430,4635200
1431,3804300
1432,4015600
1433,3578600
1434,3042400
1435,5368500
1436,3944400
1437,4945000
1438,3943400
1439,4187400
1440,5481700
1441,4594300
1442,3017000
1443,4289700
1444,4384300
1445,4291600
1446,4477700
1447,4479900
1448,4433800
1449,4297400
1450,4452200
1451,4972600
1452,4823000
1453,3920900
1454,4298800
1455,4651600
1456,4506000
1457,4845700
1458,5365000
1459,3975800
1460,3925100
1461,4235700
1462,4576900
1463,3365100
1464,4232700
1465,3820300
1466,3359300
1467,5420000
1468,4296600
1469,4152200
1470,5006300
1471,4026900
1472,5080700
1473,3253400
1474,4245100
1475,4086900
1476,5028200
1477,3967500
1478,4506000
1479,4699100
1480,4438100
1481,4147300
1482,4728700
1483,4270300
1484,5002200
1485,5153000
1486,4811300
1487,4502900
1488,3716300
1489,3992300
1490,3684200
1491,4384900
1492,4386600
1493,4041600
1494,5444200
1495,4938100
1496,5000200
1497,4020700
1498,3556600
1499,4635300
1500,4055000
1501,4171600
1502,4930100
1503,3984400
1504,5111900
1505,4836700
1506,4053200
1507,4037200
1508,4031100
1509,5306400
1510,3723900
1511,4060100
1512,5113100
1513,4346100
1514,5008700
1515,5659300
1516,5324000
1517,5212800
1518,4904200
1519,4408900
1520,5142700
1521,4630500
1522,4503000
1523,5166300
1524,4231600
1525,4310600
1526,4636400
1527,3756800
1528,3701600
1529,5111400
1530,4189700
1531,3823500
1532,4182300
1533,3699100
1534,4814000
1535,5366000
1536,4398800
1537,4023400
1538,4037100
1539,4437900
1540,4404500
1541,4004800
1542,5276300
1543,4186400
1544,4460200
1545,3950100
1546,3735800
1547,3439800
1548,5652300
1549,4642900
1550,4488800
1551,5759500
1552,3696600
1553,4568900
1554,3535600
1555,4137100
1556,4208700
1557,4144600
1558,4378400
1559,3975000
1560,5283600
1561,5513500
1562,3241600
1563,4174800
1564,4048500
1565,5358000
1566,4164800
1567,3372200
1568,2828500
1569,4496400
1570,3771200
1571,5184000
1572,5423800
1573,4133700
1574,3667900
1575,4768200
1576,4242000
1577,4002600
1578,4122400
1579,4676700
1580,3237100
1581,3205400
1582,4193600
1583,4532200
1584,4472600
1585,4342700
1586,3548800
1587,4312900
1588,3734200
1589,3907600
1590,3878700
1591,4354300
1592,5206200
1593,5017400
1594,4493400
1595,4846300
1596,3803600
1597,4193100
1598,4329300
1599,4039800
1600,4421800
1601,4262600
1602,4504500
1603,4306400
1604,4502800
1605,3706300
1606,4109700
1607,3871100
1608,4297400
1609,4852600
1610,5139300
1611,4641100
1612,3463000
1613,4315400
1614,4491900
1615,4352700
1616,4887600
1617,4298100
1618,4538500
1619,4143000
1620,4188100
1621,5102700
1622,3816600
1623,4110500
1624,5135800
1625,4463500
1626,5130700
1627,4115800
1628,5271400
1629,4806600
1630,3169600
1631,4212600
1632,4398100
1633,4484200
1634,5088800
1635,4899700
1636,4537100
1637,4161100
1638,3044400
1639,4458500
1640,4413800
1641,4041400
1642,4566800
1643,4692900
1644,3642400
1645,4266900
1646,3683100
1647,4871800
1648,3379400
1649,3747900
1650,4418100
1651,4274000
1652,3387900
1653,4288300
1654,3497600
1655,4056200
1656,4011700
1657,3795500
1658,4413500
1659,4787200
1660,4248100
1661,3930600
1662,4299300
1663,3718800
1664,3174400
1665,4911000
1666,3336100
1667,4198100
1668,3824900
1669,4952900
1670,3265100
1671,3570200
1672,5117600
1673,5332000
1674,3900600
1675,5053800
1676,4439300
1677,3672100
1678,3987300
1679,4173400
1680,4415700
1681,3865700
1682,4294800
1683,5152800
1684,3566400
1685,4801800
1686,3139400
1687,4160200
1688,4063800
1689,3683500
1690,4584500
1691,3911700
1692,4170600
1693,4214000
1694,4316900
1695,4014200
1696,4119400
1697,4330000
1698,3201300
1699,4226700
1700,4895900
1701,4381700
1702,3876200
1703,3545900
1704,4072000
1705,4399300
1706,3549600
1707,3692500
1708,4095800
1709,4915300
1710,3491200
1711,4468100
1712,4857500
1713,4424500
1714,3883200
1715,3571500
1716,4339800
1717,4673700
1718,4255000
1719,4435900
1720,4624300
1721,5875300
1722,3549600
1723,5033400
1724,3637400
1725,4265100
1726,4393400
1727,5186100
1728,4299900
1729,3831500
1730,4942100
1731,3788200
1732,4480600
1733,5182800
1734,4663900
1735,5279400
1736,4821000
1737,4101500
1738,4499300
1739,5134300
1740,3965000
1741,5039100
1742,3500300
1743,4286200
1744,3597000
1745,4311100
1746,3226900
1747,4774200
1748,4352400
1749,4694800
1750,4519100
1751,2807100
1752,3829300
1753,4440100
1754,4122000
1755,4383200
1756,4746400
1757,4357100
1758,4188000
1759,4926500
1760,5298200
1761,4034500
1762,4817900
1763,3568600
1764,3256300
1765,4230800
1766,4313400
1767,4409000
1768,4291700
1769,4919300
1770,4372900
1771,3347700
1772,3112800
1773,4121200
1774,3164700
1775,3222000
1776,4823700
1777,3798800
1778,4503400
1779,3645800
1780,5643700
1781,3087200
1782,4641000
1783,4690400
1784,4505000
1785,4931800
1786,4168500
1787,3836900
1788,3703200
1789,4034600
1790,3111300
1791,4490000
1792,4183300
1793,3928800
1794,4275400
1795,4235100
1796,3673500
1797,4552700
1798,4359700
1799,3352800
1800,2894100
1801,4051500
1802,4234200
1803,4011600
1804,3732700
1805,4925900
1806,4519600
1807,5101400
1808,4209800
1809,4432600
1810,3988800
1811,4085200
1812,4423500
1813,4242200
1814,4194100
1815,4509100
1816,4807600
1817,4276800
1818,3624800
1819,3889300
1820,3131400
1821,4350200
1822,4953200
1823,4298200
1824,5043900
1825,4254400
1826,4557400
1827,2745700
1828,3230200
1829,3346800
1830,4146800
1831,4098300
1832,5052100
1833,4445800
1834,3229800
1835,3830400
1836,5445100
1837,4379300
1838,4506900
1839,5378100
1840,4808900
1841,3910000
1842,3572200
1843,4516300
1844,4373700
1845,3783200
1846,4742800
1847,4424300
1848,4358100
1849,4716300
1850,4465200
1851,4984200
1852,4268700
1853,4122600
1854,4355700
1855,3835700
1856,4015900
1857,4340100
1858,3832400
1859,4325800
1860,4740700
1861,5233200
1862,4398800
1863,3291800
1864,3792000
1865,4469400
1866,3914800
1867,4198600
1868,4100100
1869,4129400
1870,4930000
1871,3848400
1872,3793600
1873,5262400
1874,5533700
1875,4352100
1876,4085400
1877,4355600
1878,4277600
1879,4339900
1880,4816300
1881,3837200
1882,3701800
1883,4268200
1884,4746500
1885,3441600
1886,4639600
1887,3864800
1888,4429400
1889,3825400
1890,4407400
1891,4177200
1892,4421500
1893,4342300
1894,3651200
1895,3580500
1896,4222900
1897,4495100
1898,3947000
1899,4358200
1900,4016500
1901,4273400
1902,4989000
1903,4382700
1904,3580200
1905,3791400
1906,3908100
1907,3707900
1908,4518600
1909,3103400
1910,4289600
1911,3935300
1912,4472900
1913,4014000
1914,5431700
1915,4127800
1916,3961300
1917,3996400
1918,4813500
1919,4566600
1920,4363000
1921,3836400
1922,4865200
1923,3126300
1924,4404300
1925,5518900
1926,4514000
1927,3450200
1928,4341300
1929,3115700
1930,4383500
1931,5033800
1932,4779800
1933,5783900
1934,3535200
1935,3168500
1936,5181500
1937,4469700
1938,3793000
1939,4631400
1940,5716500
1941,4837700
1942,4561300
1943,5447900
1944,4312000
1945,4288700
1946,3602000
1947,4288600
1948,3214800
1949,4030000
1950,4471400
1951,3679900
1952,3715700
1953,4481200
1954,4381700
1955,4607200
1956,3934400
1957,4845800
1958,5143900
1959,3992600
1960,3913400
1961,4267400
1962,3513100
1963,5167200
1964,5076900
1965,5294400
1966,4484800
1967,4208500
1968,4216800
1969,4061400
1970,5043000
1971,3776400
1972,3694700
1973,4541300
1974,4714700
1975,3796000
1976,4034700
1977,4632300
1978,4474100
1979,4480200
1980,3471600
1981,4544800
1982,4163200
1983,5147200
1984,3790400
1985,5097000
1986,4356000
1987,3771800
1988,3793000
1989,4115500
1990,3715300
1991,4777900
1992,3941600
1993,3659800
1994,4416500
1995,3779000
1996,4812600
1997,3607100
1998,3595600
1999,5389700
2000,4868600
2001,4128200
2002,4377500
2003,4011300
2004,4450900
2005,4447700
2006,3908300
2007,4361600
2008,3502700
2009,3114700
2010,3928700
2011,3936800
2012,4169800
2013,4859500
2014,4340600
2015,4642400
2016,4316700
2017,5173200
2018,4450600
2019,5303200
2020,4691100
2021,4166500
2022,3783200
2023,3429500
2024,3575400
2025,4725000
2026,4821300
2027,4994700
2028,3747100
2029,4321100
2030,4357300
2031,3259400
2032,3103800
2033,3259800
2034,5166900
2035,4502600
2036,4352800
2037,4524400
2038,3209900
2039,3729000
2040,4222400
2041,4509800
2042,4476100
2043,3819500
2044,4597000
2045,4342000
2046,5354300
2047,3796700
2048,4896600
2049,3699100
2050,4143100
2051,4336700
2052,3093900
2053,4357600
2054,4398900
2055,4970200
2056,3927300
2057,3104200
2058,4901000
2059,4512800
2060,3865500
2061,3169700
2062,4645600
2063,3861800
2064,4177500
2065,4435500
2066,4372000
2067,4393400
2068,4389700
2069,3250900
2070,4362700
2071,4594200
2072,4080400
2073,3908600
2074,4343100
2075,3716400
2076,4064500
2077,5163400
2078,4206300
2079,4036900
2080,4663300
2081,3818900
2082,4486900
2083,3126000
2084,4422000
2085,5950500
2086,4469300
2087,3856400
2088,3379400
2089,4765700
2090,4544800
2091,4404500
2092,3698100
2093,4478700
2094,3963900
2095,3644800
2096,4899800
2097,4341000
2098,4827300
2099,3915500
2100,3986200
2101,4660100
2102,4015500
2103,4751900
2104,4459300
2105,4819500
2106,3710300
2107,4485900
2108,4490900
2109,4063500
2110,4072000
2111,4246100
