Id,Prediction
0,4289200
1,3822700
2,3778100
3,3555600
4,4289600
5,4553000
6,4178400
7,4231000
8,5162000
9,4137900
10,4794300
11,4654600
12,4697300
13,5116300
14,4579600
15,5610400
16,5038300
17,3811400
18,5997500
19,4063300
20,3333500
21,5717200
22,4530900
23,5295300
24,5410900
25,4170100
26,3697400
27,4864300
28,3898000
29,4892200
30,4688900
31,3428100
32,3693800
33,5291000
34,3391700
35,5137400
36,4091100
37,4661800
38,3619600
39,3949900
40,4718300
41,4530400
42,5006800
43,5391300
44,5471900
45,4180800
46,3671700
47,3131400
48,5075600
49,4438400
50,4564500
51,4366000
52,5359100
53,3612000
54,3486700
55,5039500
56,5422000
57,4333000
58,4750000
59,4908700
60,3264900
61,3965000
62,4101000
63,4294700
64,4789300
65,6375400
66,4616700
67,6161100
68,5704500
69,5157800
70,4112600
71,3621400
72,4376000
73,3973300
74,5510100
75,4374800
76,4722500
77,4230200
78,4680400
79,4511400
80,5262400
81,5421100
82,4158000
83,4491000
84,6260000
85,2608200
86,5241600
87,5413900
88,4597400
89,4176100
90,5316600
91,4371300
92,3952800
93,4680100
94,5729600
95,3982400
96,4650300
97,4338000
98,4090100
99,5123200
100,4838600
101,3012000
102,4007100
103,3628800
104,4048200
105,3466300
106,4859600
107,5247200
108,5077000
109,4772400
110,5010200
111,4631400
112,5575000
113,4605900
114,4128500
115,5005000
116,3476300
117,5161000
118,4040900
119,4803300
120,5661900
121,4840300
122,4533600
123,5515600
124,3812600
125,4041400
126,5206300
127,3874000
128,4225500
129,4578400
130,3172300
131,4846900
132,5332400
133,3561200
134,4530000
135,4039200
136,4243600
137,4302000
138,4510100
139,4425900
140,6000700
141,3192600
142,5308100
143,3392600
144,5216900
145,4072800
146,4757700
147,3775200
148,4631600
149,4644400
150,4103900
151,3473400
152,5717100
153,6158000
154,3870500
155,4790300
156,5168100
157,5889100
158,3871900
159,4005500
160,3621500
161,4294300
162,3923400
163,5714700
164,5834200
165,3821200
166,4464500
167,4031600
168,5052600
169,5403300
170,4114000
171,3503000
172,3927700
173,5384700
174,5425800
175,3755300
176,6308700
177,5237600
178,4500200
179,3867100
180,4478800
181,4397400
182,4754300
183,4228400
184,4656300
185,3631000
186,3820200
187,5216600
188,5578200
189,4827600
190,4437600
191,4988000
192,5390900
193,4383300
194,5201100
195,4950100
196,4206800
197,3185800
198,3951600
199,5010100
200,4339600
201,4056400
202,4511600
203,5271700
204,5028900
205,5535200
206,5392100
207,4434000
208,5156400
209,4111900
210,4776600
211,4738200
212,3793600
213,3673000
214,5903400
215,2574000
216,4651700
217,5330700
218,4538200
219,3144500
220,5810300
221,5030900
222,5173000
223,4301500
224,5362700
225,4574500
226,4050500
227,5800500
228,3583200
229,5195700
230,4653800
231,6243800
232,4542100
233,4354100
234,3779300
235,4691500
236,4825600
237,3878000
238,4525600
239,4811900
240,4517800
241,4086600
242,3519500
243,4401600
244,5223900
245,5210600
246,4251700
247,4618500
248,4561800
249,4333100
250,3530000
251,4882100
252,5340200
253,4430800
254,4704600
255,4165400
256,5107000
257,4383400
258,3765000
259,4212100
260,4387800
261,4276500
262,5193700
263,4223200
264,2976600
