Id,Prediction
0,4176405
1,3732780
2,3639016
3,3440928
4,3968685
5,4527181
6,3996028
7,4033749
8,4987888
9,4101531
10,4574257
11,4743757
12,4519592
13,4575659
14,4321431
15,4856837
16,4850212
17,3787482
18,5254402
19,3926526
20,3210511
21,5006104
22,4440816
23,5228798
24,5024797
25,4014444
26,3713147
27,4781848
28,3828030
29,4695344
30,4373324
31,3395602
32,3672846
33,4834431
34,3410797
35,4384944
36,4055972
37,4592696
38,3518284
39,3899852
40,4633108
41,4574801
42,5004782
43,4823095
44,5372851
45,4229762
46,3522077
47,3118806
48,4917346
49,4385455
50,4451535
51,4088875
52,4931577
53,3469274
54,3518111
55,4648617
56,5352984
57,4186805
58,4612391
59,4975872
60,3112892
61,3885887
62,4088856
63,4150850
64,4755444
65,5582617
66,4536560
67,5483455
68,5178891
69,4700954
70,4053201
71,3512773
72,4421962
73,3780580
74,5084633
75,4493724
76,4788070
77,4153841
78,4679861
79,4368833
80,5199266
81,4735432
82,3991227
83,4385089
84,5349446
85,2590335
86,4548182
87,4844851
88,4488174
89,3959824
90,5114599
91,4202932
92,3797453
93,4308373
94,5208965
95,3819844
96,4482287
97,4432153
98,3943292
99,4742327
100,4405855
101,2984676
102,3846934
103,3636598
104,4005286
105,3468771
106,4433584
107,4827347
108,4857653
109,4867757
110,4966248
111,4367241
112,4856959
113,4624937
114,4007193
115,4788432
116,3474269
117,4968708
118,4017727
119,4731719
120,5118876
121,4765923
122,4200909
123,5274657
124,3642035
125,4068680
126,5131182
127,3877202
128,4154289
129,4479142
130,3118636
131,4704362
132,5218421
133,3581122
134,4475080
135,4061329
136,4205788
137,4253351
138,4330961
139,4441864
140,5568018
141,3113805
142,4943842
143,3289693
144,4726878
145,4003763
146,4791439
147,3552378
148,4431090
149,4557719
150,4078648
151,3550544
152,5144278
153,5395736
154,3721447
155,4927635
156,5093856
157,4917360
158,3802400
159,4018761
160,3542986
161,4201958
162,3929150
163,5183938
164,5645419
165,3621165
166,4434350
167,3968198
168,4371922
169,4966760
170,4065987
171,3383234
172,3908106
173,4657019
174,4681795
175,3621818
176,5564812
177,5029202
178,4237590
179,3808001
180,4336425
181,4324954
182,4788789
183,4192627
184,4643503
185,3615303
186,3903190
187,4985882
188,5375646
189,4799324
190,4255047
191,4972953
192,5229363
193,3961510
194,4543498
195,4495036
196,4119017
197,3131324
198,3922276
199,4476672
200,4283285
201,3904245
202,4501586
203,4706111
204,4931107
205,4996449
206,5068117
207,4266351
208,4604450
209,3993863
210,4609303
211,4722034
212,3749749
213,3447827
214,5466211
215,2576899
216,4565905
217,4823007
218,4420980
219,3144720
220,5264571
221,4939165
222,5074447
223,4190428
224,4944552
225,4424468
226,3969351
227,5620333
228,3471853
229,4901952
230,4679906
231,5606092
232,4482141
233,4225841
234,3815495
235,4644898
236,4249195
237,3823351
238,4345353
239,4538232
240,4277052
241,4070484
242,3418439
243,4272740
244,4925509
245,4809253
246,4139102
247,4607754
248,4472161
249,4431955
250,3384394
251,4681450
252,5348979
253,4277993
254,4643118
255,4040721
256,4454003
257,4411176
258,3761705
259,4264818
260,4289194
261,4053217
262,5247240
263,4191647
264,2892214
265,5285852
266,4361453
267,5744255
268,4727679
269,4291166
270,3837704
271,3242891
272,4947454
273,4535528
274,3896998
275,5290143
276,5529559
277,5084287
278,4662162
279,4279456
280,5105006
281,3999581
282,3425060
283,4017602
284,4779914
285,3160804
286,4992424
287,4213055
288,4650474
289,3716007
290,4308443
291,4424029
292,3503974
293,4475459
294,3853020
295,5086384
296,5035592
297,5384689
298,4482911
299,5133503
300,4456509
301,4868231
302,5048957
303,5117412
304,4274674
305,4941322
306,4072120
307,4782058
308,2792455
309,4311748
310,4426077
311,3961420
312,3539879
313,4414409
314,3693053
315,3951284
316,3386438
317,4530342
318,5311594
319,4230780
320,4173264
321,3646837
322,4170747
323,4535014
324,4569646
325,4234450
326,4930465
327,4483699
328,4641283
329,5054295
330,3621539
331,4940003
332,4885833
333,5207012
334,5158513
335,4546669
336,3231787
337,4535858
338,4180723
339,3710105
340,4668157
341,4496473
342,4743632
343,4714312
344,4523125
345,3970911
346,3938188
347,5284664
348,3454894
349,4832940
350,4426607
