Id,Prediction
0,4084855
1,3819635
2,3351853
3,3455009
4,3624557
5,4503119
6,3963663
7,3400355
8,5595386
9,4455724
10,4577848
11,4137721
12,4824481
13,4448038
14,4019409
15,4012213
16,5416251
17,3648364
18,4583545
19,3865213
20,3295498
21,4627822
22,5076203
23,5411751
24,4766422
25,3778774
26,3556471
27,4460456
28,3783534
29,4386963
30,4199604
31,3182637
32,3407594
33,4864541
34,2975235
35,4219905
36,4165085
37,5252103
38,3440197
39,3712976
40,3944129
41,4492322
42,4501260
43,5115696
44,6045055
45,3708184
46,3281350
47,2786932
48,4504912
49,4743821
50,5260632
51,3906960
52,4394912
53,3163894
54,3591185
55,4506198
56,5697833
57,3957985
58,4489247
59,5555758
60,2748999
61,4532927
62,3999457
63,3906646
64,5673418
65,6166287
66,4999197
67,5927684
68,4580390
69,4785294
70,3699396
71,2988116
72,4521315
73,3645190
74,6000687
75,4981858
76,5112622
77,4186338
78,4796406
79,4054106
80,5753895
81,4351977
82,4362377
83,4817710
84,6326792
85,2240280
86,4056613
87,4726285
88,5039816
89,3608455
90,5572360
91,4257263
92,3459398
93,3832016
94,5869191
95,3403706
96,4302664
97,4581320
98,3599312
99,4508415
100,4797696
101,2734737
102,3862516
103,4202496
104,4831032
105,3350051
106,4884769
107,5226320
108,5306440
109,4513514
110,5115164
111,3903663
112,4301257
113,4200210
114,3774798
115,4197475
116,3523497
117,4653267
118,3803980
119,5249919
120,5128834
121,5109285
122,3926018
123,5843658
124,3356132
125,3571959
126,5702643
127,3822518
128,4907829
129,4195654
130,2739538
131,4236269
132,5260829
133,3274285
134,4551889
135,3737108
136,4239622
137,4361437
138,4280005
139,4571763
140,5974499
141,3167098
142,5286342
143,3487728
144,4525660
145,3602437
146,4241592
147,3286366
148,4136313
149,4226294
150,4941871
151,3986353
152,5923759
153,5896920
154,4468396
155,5292501
156,5530448
157,4560932
158,3548791
159,4177280
160,3045497
161,4785813
162,4221848
163,4542141
164,6278834
165,3716396
166,3882517
167,3369665
168,3999062
169,4228948
170,4043260
171,3310149
172,3781004
173,5405625
174,4190232
175,3329333
176,5734287
177,4780509
178,3851814
179,3975690
180,5070151
181,3940829
182,4815005
183,4346650
184,4712778
185,3404726
186,4554142
187,4552078
188,5576041
189,5073680
190,4708280
191,4522135
192,5803045
193,3813571
194,4093302
195,4432351
196,4408292
197,2772402
198,3669603
199,4313340
200,4852484
201,3942902
202,4828912
203,5362010
204,5743948
205,5934857
206,5309362
207,4149591
208,4525635
209,3730494
210,5015239
211,4510786
212,3933599
213,3349723
214,5558126
215,2269123
216,4559904
217,4471943
218,4028943
219,3303960
220,5763202
221,4653996
222,5695168
223,4340007
224,4600758
225,5111529
226,4093803
227,6125412
228,3272579
229,4428294
230,5436867
231,6533499
232,4040301
233,4349726
234,3792307
235,4653321
236,3761958
237,3769925
238,4984266
239,4221056
240,3995636
241,4349575
242,3402134
243,4210365
244,4599279
245,5341602
246,4078397
247,4709544
248,4864883
249,4902587
250,3660226
251,5676961
252,5540071
253,4259722
254,4351406
255,3912778
256,3946536
257,5080550
258,3802331
259,4843578
260,4125343
261,3915011
262,4777932
263,4455217
264,2369158
265,4295467
266,5179522
267,6483085
268,4643998
269,3955892
270,3847822
271,3262462
272,5203444
273,4657521
274,3826348
275,4036705
276,6157636
277,4769834
278,4825565
279,3896788
280,4824502
281,4388318
282,3628782
283,4303824
284,4155916
285,2850733
286,4409855
287,4401489
288,5009748
289,3392022
290,4095583
291,4597848
292,3243231
293,4533734
294,4680288
295,4507411
296,5896030
297,5067628
298,4174833
299,4544530
300,3777225
301,4655408
302,6269100
303,6008509
304,4455197
305,5897349
306,3882009
307,5695421
308,2438373
309,4128147
310,4888741
311,3900762
312,3457423
313,4981716
314,3476338
315,3432048
316,2989931
317,4127599
318,6084500
319,3963200
320,4050911
321,3461046
322,4534358
323,3930579
324,4443559
325,4097017
326,5874684
327,4151064
328,4742918
329,5452672
330,3338429
331,5975559
332,5978855
333,6067006
334,5026804
335,4256537
336,3174502
337,4910763
338,3652861
339,3578225
340,4109406
341,4268886
342,4507799
343,4813777
344,4915255
345,3931653
346,3347457
347,5925209
348,3475592
349,5588830
350,4499073
351,4657047
352,6073559
353,3717095
354,3639223
355,3976710
356,4003760
357,3814244
358,4501258
359,5597466
360,4231790
361,3979657
362,4183256
363,5355980
364,5848848
365,3910012
366,3750952
367,3739900
368,4144859
369,4669322
370,3967202
371,5032443
372,5029450
373,4461975
374,3800012
375,4017934
376,4230410
377,4108000
378,4217359
379,4553968
380,5005958
381,3762171
382,3389783
383,4485787
384,3926990
385,5811733
386,3848164
387,5333419
388,3882879
389,4416755
390,5065392
391,3867033
392,3699051
393,4897057
394,4556752
395,3432629
396,5773316
397,4925720
398,5515679
399,5229469
400,3958059
401,3518686
402,3650790
403,5531981
404,3540765
405,4337171
406,4952350
407,3839854
408,2651389
409,3808047
410,3569397
411,3931676
412,5120737
413,5612329
414,4908574
415,4379083
416,4680960
417,2832835
418,4520200
419,3590737
420,4042768
421,4687399
422,5426073
423,3549982
424,4526765
425,3951962
426,4517318
427,3511108
428,4539808
429,3101694
430,4461024
431,4497111
432,2952769
433,4346939
434,3381485
435,4612161
436,3802727
437,3095289
438,3332336
439,5873918
440,4852718
441,4517842
442,5175826
443,5698906
444,4193620
445,4074212
446,5719253
447,4544719
448,5325500
449,5035158
450,5457799
451,4283633
452,3316737
453,4396423
454,4867511
455,4632830
456,3078149
457,4526954
458,4427909
459,3205703
460,4665431
461,4039581
462,5698499
463,3379740
464,5127575
465,4252438
466,5121346
467,3611269
468,4043146
469,4752402
470,4824453
471,5460233
472,4126461
473,4789169
474,5355692
475,4014134
476,3373940
477,4389985
478,3963491
479,4182406
480,3696928
481,5958153
482,3518252
483,4864924
484,4971586
485,3632497
486,3965479
487,4074618
488,4973890
489,3902319
490,4800915
491,3531704
492,4637400
493,4554908
494,4856317
495,4172216
496,5290470
497,4895137
498,3786020
499,4795812
500,3763902
501,2856702
502,3759646
503,4559403
504,4226134
505,3565902
506,3833082
507,4225204
508,3233555
509,4944780
510,4764930
511,4826340
512,2668732
513,5994827
514,4258100
515,2792856
516,3627399
517,4677292
518,4326004
519,4564295
520,4423694
521,5965274
522,4448131
523,4808452
524,3861329
525,4477437
526,2535684
527,4789662
528,6049410
529,4410659
530,4129855
531,4424821
532,5407585
533,3778774
534,5188857
535,5253048
536,4387820
537,3700604
538,3820384
539,6072690
540,5121372
541,3529839
542,3740813
543,3975446
544,4147651
545,3924592
546,3291744
547,4756398
548,3632053
549,4587182
550,4068907
551,4096540
552,4716434
553,5143911
554,4372955
555,5642603
556,3205703
557,5363134
558,4344551
559,3566440
560,5295115
561,5546700
562,3004826
563,4338316
564,3602956
565,5044139
566,3300102
567,5709508
568,3712404
569,3525528
570,4553650
571,3827630
572,4766235
573,4953297
574,4535345
575,3104898
576,6455459
577,4271189
578,4364265
579,3909702
580,3887873
581,5040578
582,4707812
583,4553910
584,4305087
585,4131222
586,4576002
587,3930141
588,4186518
589,4693177
590,3699411
591,3864150
592,5060812
593,3354890
594,3886588
595,4348289
596,3792819
597,3489900
598,4032470
599,5703746
600,5906957
601,5130561
602,4849597
603,3056414
604,3336800
605,3465750
606,2833353
607,4468506
608,3699423
609,5794729
610,6579000
611,2893067
612,5255260
613,5452257
614,5166807
615,3381076
616,5601262
617,5143261
618,6283235
619,4117763
620,4763878
621,6134456
622,4419232
623,4327487
624,3760976
625,5530094
626,4462693
627,4605956
628,3542922
629,4345834
630,6465776
631,5821007
632,5695800
633,6145260
634,2919168
635,3676688
636,5750337
637,4075198
638,3975811
639,4675156
640,4843730
641,5312288
642,3496836
643,4748826
644,5251971
645,3159128
646,5222089
647,4009872
648,3614868
649,3472585
650,3582726
651,4950952
652,6031194
653,4580862
654,3811095
655,5524309
656,3679966
657,4031058
658,6024873
659,4232502
660,6081412
661,6076580
662,5660166
663,4844431
664,4157658
665,3684694
666,4889157
667,3884736
668,4773120
669,4201993
670,6171855
671,5692231
672,3753290
673,4130560
674,5312237
675,3526340
676,4022425
677,3450970
678,4578074
679,5454517
680,3467319
681,4891548
682,3420755
683,4368695
684,3802277
685,4902896
686,3667631
687,2737562
688,4137154
689,3449054
690,3945636
691,3483023
692,3599757
693,3708711
694,3462693
695,3187923
696,3969121
697,4502648
698,4007805
699,3218159
700,5979866
701,4021519
702,4948702
703,4906984
704,4513690
705,4850813
706,5699542
707,5043235
708,4989357
709,4031947
710,4900157
711,6005108
712,4908863
713,3770538
714,4187096
715,3737172
716,3783010
717,3835699
718,5374990
719,5398633
720,4330820
721,6596688
722,3703183
723,3533895
724,4894035
725,4903163
726,3201578
727,3619073
728,4335722
729,3735163
730,3739595
731,4192589
732,3394718
733,4840891
734,3871090
735,4309464
736,3938665
737,4231822
738,3661506
739,3629748
740,3902864
741,4398676
742,4551858
743,4313421
744,4617802
745,4722322
746,3517857
747,4688612
748,4834241
749,5333103
750,5719253
751,4133068
752,3824786
753,2400603
754,3825615
755,3491942
756,3793442
757,4942455
758,3909646
759,5757244
760,4369514
761,3687878
762,3781609
763,3496174
764,5641378
765,4931435
766,4201934
767,3607311
768,4053333
769,4223028
770,3759458
771,3759502
772,5190856
773,3623928
774,3877412
775,4486234
776,3517843
777,4089601
778,4511670
779,3630013
780,3618411
781,4179865
782,4449392
783,3764558
784,5586871
785,3680232
786,4846934
787,4923581
788,5255808
789,5277301
790,3164162
791,5707606
792,3381739
793,2644822
794,3820364
795,5168747
796,3462663
797,4278629
798,4698213
799,5110984
800,4639517
801,4945516
802,4161834
803,4282355
804,3869012
805,3843068
806,4779001
807,4636693
808,4492716
809,2792110
810,4392049
811,4327893
812,4494274
813,3965540
814,2785257
815,4726058
816,3736561
817,3674160
818,3824915
819,3333325
820,4825434
821,4482529
822,4414098
823,4087770
824,4348907
825,4855556
826,5641068
827,2887650
828,5503821
829,3775290
830,4390363
831,5334693
832,4439620
833,6033499
834,4530423
835,3695461
836,2513129
837,5009751
838,3981955
839,2599300
840,3950832
841,4098816
842,4562105
843,3672803
844,4288473
845,4326299
846,5107069
847,4612883
848,3417444
849,3613764
850,3339126
851,4440119
852,6367367
853,3534872
854,3888975
855,3841510
856,4908270
857,4145096
858,3624970
859,4818063
860,3783902
861,5160556
862,3984020
863,5221853
864,4808995
865,4587989
866,3717094
867,3172852
868,4581843
869,4526738
870,3237021
871,5532930
872,3890474
873,5138140
874,4564243
875,3795305
876,4043541
877,5934056
878,3186657
879,5106934
880,3703400
881,3585215
882,5859257
883,5060265
884,4813154
885,4738512
886,3485091
887,5292114
888,3596956
889,4537707
890,3831543
891,4724173
892,6115472
893,4018161
894,5659471
895,4869179
896,3834748
897,3969551
898,4260162
899,5415084
900,3257379
901,5353837
902,4600408
903,5292767
904,3231627
905,4123278
906,5274976
907,4799930
908,5298095
909,4461024
910,5115098
911,4696276
912,4474025
913,3852923
914,4397687
915,4599412
916,2317525
917,5711724
918,3839549
919,4079838
920,4612615
921,3673038
922,4572707
923,4201433
924,4992106
925,5968727
926,5958511
927,3999073
928,5838979
929,5129378
930,3865384
931,3419553
932,4039581
933,5939335
934,3916450
935,3806312
936,3356500
937,4530717
938,3900603
939,5846206
940,5596237
941,3691578
942,4004093
943,5457325
944,3565153
945,2824541
946,5587221
947,3990659
948,4066902
949,4075820
950,5009321
951,3721279
952,3712659
953,4025727
954,5206600
955,4236536
956,4829978
957,5093097
958,4653707
959,4586877
960,4958565
961,4969882
962,5025916
963,4513603
964,6752769
965,3676950
966,4450879
967,4211778
968,4663817
969,4167108
970,3342876
971,3608363
972,3366704
973,3135064
974,3444075
975,3568297
976,3024150
977,4444619
978,3964535
979,6538891
980,5753937
981,2803175
982,3871870
983,5437217
984,4889444
985,5357797
986,3411512
987,5316639
988,5068222
989,4046409
990,5119696
991,2543063
992,4389443
993,5080978
994,4383576
995,3136029
996,4538705
997,5259438
998,3695003
999,4806451
1000,4550071
1001,3507132
1002,3876103
1003,4735135
1004,4679177
1005,4986386
1006,6269367
1007,5120073
1008,3158828
1009,3461004
1010,3719382
1011,5737583
1012,4443534
1013,4343307
1014,4245562
1015,4099517
1016,5384693
1017,3890642
1018,4051919
1019,4495398
1020,5081393
1021,4499168
1022,4466898
1023,3762652
1024,5449619
1025,3862882
1026,4306240
1027,4900381
1028,5270568
1029,3587430
1030,5834555
1031,3670224
1032,2914984
1033,5632908
1034,5722197
1035,3890175
1036,5110828
1037,4808051
1038,4704602
1039,4571856
1040,4046669
1041,3612557
1042,2818377
1043,4494448
1044,5096203
1045,5396148
1046,4520023
1047,4713591
1048,3755230
1049,4170965
1050,4539473
1051,4072402
1052,3764884
1053,4329247
1054,5919282
1055,2632503
1056,6446709
1057,5449280
1058,3600821
1059,4649605
1060,5068128
1061,4422448
1062,5203130
1063,5182900
1064,4683127
1065,4278496
1066,4528831
1067,4297574
1068,5510368
1069,4221094
1070,4126653
1071,3966275
1072,4724570
1073,4946887
1074,5086386
1075,3687246
1076,3805327
1077,4197723
1078,3295141
1079,4408764
1080,3763727
1081,4136845
1082,3264534
1083,4924240
1084,3804649
1085,2543293
1086,4969289
1087,4506265
1088,5164746
1089,3473772
1090,5245473
1091,4118891
1092,4430554
1093,5000267
1094,5182354
1095,4769948
1096,3206522
1097,4070530
1098,4190681
1099,4300534
1100,3696928
1101,5642583
1102,4712566
1103,3765569
1104,4814933
1105,3550980
1106,4135115
1107,5611543
1108,3961102
1109,5776512
1110,4615947
1111,4346176
1112,3788890
1113,3485247
1114,4574212
1115,3346991
1116,3894070
1117,5121707
1118,4503229
1119,3690263
1120,4252691
1121,3169506
1122,5356133
1123,3691178
1124,3672026
1125,4704507
1126,4838843
1127,3699396
1128,4746297
1129,5164921
1130,4426367
1131,5015981
1132,4031124
1133,3574215
1134,4966325
1135,2734737
1136,4959927
1137,3519465
1138,4464112
1139,5105948
1140,5378962
1141,4579031
1142,5058150
1143,3541190
1144,3729245
1145,3988724
1146,4376201
1147,5928612
1148,4501365
1149,4617837
1150,4661081
1151,2551330
1152,3561123
1153,4444506
1154,3594120
1155,3295734
1156,3728471
1157,4286373
1158,4878248
1159,4350283
1160,4590426
1161,4717342
1162,4748651
1163,3334128
1164,4931041
1165,4754584
1166,4468404
1167,4960134
1168,3991719
1169,5475502
1170,4100267
1171,3612187
1172,2254950
1173,6165624
1174,3825615
1175,4395428
1176,4579754
1177,4998102
1178,4106901
1179,4542961
1180,4946680
1181,4088915
1182,5493269
1183,3688220
1184,4672753
1185,3369252
1186,4726547
1187,3890223
1188,4276761
1189,5214064
1190,4163995
1191,4207632
1192,4470155
1193,3887301
1194,5008792
1195,3893744
1196,3762088
1197,3918031
1198,3817022
1199,4480079
1200,6661756
1201,4427401
1202,4119895
1203,3511626
1204,3561028
1205,3395345
1206,4742262
1207,3919695
1208,5113191
1209,4302748
1210,3542943
1211,3967932
1212,3890816
1213,5077124
1214,4513799
1215,4269999
1216,4693177
1217,3493995
1218,3648983
1219,5688454
1220,4657647
1221,5565351
1222,4950983
1223,5490328
1224,4439422
1225,4801861
1226,3757744
1227,5571470
1228,4312719
1229,4509734
1230,4462399
1231,4565765
1232,2697263
1233,5576902
1234,5739421
1235,3624319
1236,4106733
1237,3006724
1238,4399574
1239,5411184
1240,3933361
1241,3744594
1242,5800348
1243,4138504
1244,4625020
1245,3777288
1246,3605610
1247,4859426
1248,2951693
1249,4430752
1250,4961544
1251,3567999
1252,3571763
1253,6191348
1254,4550083
1255,3563475
1256,4116256
1257,3899048
1258,5830907
1259,4018783
1260,4128797
1261,4992753
1262,4545364
1263,3154423
1264,4969836
1265,4347337
1266,3739820
1267,4887334
1268,4094397
1269,4483393
1270,3194119
1271,5723274
1272,5412862
1273,3203289
1274,3249957
1275,5371563
1276,3649273
1277,3858794
1278,4196448
1279,3806770
1280,4502493
1281,3653378
1282,4024394
1283,2656921
1284,4851285
1285,4872408
1286,2889709
1287,3968293
1288,3952388
1289,3167098
1290,3736364
1291,4172782
1292,6323880
1293,5375163
1294,4332355
1295,4528350
1296,5618967
1297,5084527
1298,3418512
1299,3856364
1300,4782210
1301,3639938
1302,4148698
1303,4401375
1304,3317206
1305,4977132
1306,5510894
1307,4373463
1308,5781546
1309,4138838
1310,4498939
1311,4578552
1312,3234372
1313,4875262
1314,4502621
1315,5114338
1316,4603794
1317,4602369
1318,4810794
1319,5776646
1320,5278365
1321,4364068
1322,4786817
1323,3330200
1324,5951899
1325,3582806
1326,4039788
1327,5451081
1328,4557575
1329,4306025
1330,5184673
1331,3756059
1332,4754333
1333,3666961
1334,4109811
1335,3645408
1336,2770573
1337,4228447
1338,3724866
1339,3365089
1340,3672178
1341,5617652
1342,4117275
1343,2563825
1344,6886010
1345,3033866
1346,3992512
1347,3376702
1348,3915915
1349,4783853
1350,3907581
1351,5874185
1352,4217361
1353,4201650
1354,3713216
1355,3459158
1356,4340746
1357,3709896
1358,4694647
1359,3710947
1360,3820498
1361,5675020
1362,4160029
1363,3571558
1364,4050147
1365,3955837
1366,3769341
1367,5081504
1368,5512151
1369,4253563
1370,4068532
1371,5409653
1372,6304559
1373,4931041
1374,3915021
1375,4238718
1376,5067418
1377,3672705
1378,4203384
1379,3983452
1380,4740845
1381,6240697
1382,4016770
1383,5906697
1384,4922722
1385,4050176
1386,3814499
1387,4509488
1388,4884286
1389,3568428
1390,4612746
1391,4224663
1392,4131406
1393,4562549
1394,6298042
1395,4787803
1396,4587042
1397,4482320
1398,4583287
1399,4311031
1400,3817853
1401,5544422
1402,4052482
1403,5014493
1404,4376366
1405,4427720
1406,4940379
1407,5356130
1408,4259722
1409,5231941
1410,3988403
1411,4063096
1412,3777245
1413,4429400
1414,3893522
1415,5125867
1416,5606721
1417,3872617
1418,3921231
1419,6321235
1420,4728038
1421,4242228
1422,4294688
1423,4372212
1424,4062646
1425,3871265
1426,3132975
1427,4176017
1428,3819740
1429,3055427
1430,4905396
1431,4113656
1432,4740707
1433,4179438
1434,3250820
1435,5660627
1436,4004776
1437,5196254
1438,4220490
1439,4427350
1440,5808404
1441,5374429
1442,2902810
1443,4693177
1444,3675933
1445,4142016
1446,4950292
1447,4162100
1448,3902200
1449,4417113
1450,4741286
1451,5098377
1452,5051807
1453,3911774
1454,4440045
1455,4763878
1456,4559135
1457,5306536
1458,5783433
1459,3575886
1460,4082186
1461,5240730
1462,4295043
1463,3931651
1464,4873962
1465,3664849
1466,3929950
1467,6076580
1468,3885661
1469,4662466
1470,4414961
1471,4022797
1472,5627626
1473,3422457
1474,4711818
1475,3567095
1476,4977311
1477,4545789
1478,3715897
1479,5114917
1480,4699673
1481,4107104
1482,3694715
1483,4439427
1484,5747453
1485,4430157
1486,5068236
1487,5041793
1488,3661237
1489,4606393
1490,3203750
1491,4952611
1492,4323977
1493,4005903
1494,6911798
1495,4280666
1496,5090080
1497,4058695
1498,3170525
1499,5273515
1500,5497657
1501,4079206
1502,5392108
1503,4196252
1504,4334432
1505,4057273
1506,4373909
1507,4420536
1508,3700799
1509,6281587
1510,4081482
1511,4658401
1512,5838332
1513,4791851
1514,5614231
1515,6452264
1516,5445163
1517,5072811
1518,5275964
1519,5092738
1520,5065527
1521,4927867
1522,5190930
1523,5904204
1524,4597452
1525,3335323
1526,4455967
1527,3818277
1528,3641343
1529,5224471
1530,4438663
1531,4335059
1532,3604494
1533,4211599
1534,5298783
1535,6437218
1536,5059873
1537,4414558
1538,4463438
1539,4528335
1540,4097017
1541,3781071
1542,6105762
1543,4751254
1544,5428478
1545,3184546
1546,3688756
1547,3205703
1548,6219136
1549,4763878
1550,4306080
1551,6325574
1552,3642455
1553,4899163
1554,3664015
1555,4366482
1556,4324730
1557,3735146
1558,3657026
1559,4430564
1560,4394166
1561,5574877
1562,2700088
1563,4369301
1564,4657921
1565,5062753
1566,3340674
1567,3455062
1568,2468070
1569,4853281
1570,3760328
1571,5915574
1572,4572399
1573,4085247
1574,3819939
1575,5651889
1576,3648276
1577,3516903
1578,3965484
1579,4970116
1580,3249553
1581,3629333
1582,3553201
1583,4901423
1584,4771185
1585,3599405
1586,3743322
1587,4807294
1588,4275288
1589,3680084
1590,4223089
1591,4524065
1592,5546719
1593,4954904
1594,4799354
1595,5235768
1596,3521058
1597,4703204
1598,3894745
1599,3968793
1600,4408922
1601,3834191
1602,4449700
1603,3577276
1604,5092328
1605,3772209
1606,4703646
1607,4004777
1608,4014377
1609,5472322
1610,5050699
1611,4296179
1612,3568697
1613,4451938
1614,3760685
1615,3954358
1616,5674315
1617,5203647
1618,4623550
1619,4621950
1620,4125226
1621,4304020
1622,3722872
1623,3933579
1624,5273764
1625,4441269
1626,5610678
1627,4785157
1628,5402375
1629,4938930
1630,3562347
1631,5012690
1632,4593771
1633,5061445
1634,5679841
1635,4971065
1636,5286508
1637,4821753
1638,3033363
1639,4293250
1640,4776792
1641,3722233
1642,4901868
1643,5393174
1644,3446858
1645,4257223
1646,3697087
1647,5294864
1648,2927783
1649,3519914
1650,4569749
1651,4667652
1652,3184704
1653,4717520
1654,3475376
1655,3936318
1656,4271353
1657,3982256
1658,4263210
1659,5060070
1660,4309179
1661,3421742
1662,3918326
1663,3890288
1664,3598105
1665,4110072
1666,2905815
1667,4002979
1668,4609722
1669,5071989
1670,3895834
1671,3464568
1672,4537972
1673,5371563
1674,4077602
1675,5232398
1676,4544846
1677,3383987
1678,5214064
1679,4394858
1680,4694859
1681,3733855
1682,3707640
1683,5095620
1684,3074627
1685,5605715
1686,3461102
1687,4107593
1688,3160858
1689,4161732
1690,4921866
1691,3882389
1692,4258731
1693,4246261
1694,4812299
1695,3678999
1696,4302742
1697,4599103
1698,3419560
1699,3877472
1700,4761462
1701,4612515
1702,3870252
1703,3976947
1704,4163264
1705,4133555
1706,3659041
1707,3403867
1708,4073193
1709,5466350
1710,3879904
1711,4480563
1712,4938581
1713,3772884
1714,3842928
1715,3083539
1716,3871203
1717,3823117
1718,4490387
1719,4564882
1720,4657521
1721,6350808
1722,3617015
1723,5812354
1724,3935177
1725,3763491
1726,4804181
1727,5565386
1728,4799159
1729,4380116
1730,5941986
1731,3945747
1732,4592796
1733,4192243
1734,5368913
1735,5457458
1736,5331621
1737,5208168
1738,4089729
1739,4168824
1740,3914272
1741,5038172
1742,3737306
1743,4103616
1744,3795042
1745,4787711
1746,3531704
1747,5429586
1748,3601616
1749,4108666
1750,4652674
1751,2312244
1752,3492512
1753,4173372
1754,4498754
1755,4485226
1756,5066093
1757,4485851
1758,4279554
1759,3890044
1760,5022272
1761,3952897
1762,5068236
1763,4252184
1764,3383792
1765,4486602
1766,3580448
1767,3869000
1768,3992396
1769,5601326
1770,4517712
1771,2969991
1772,3287639
1773,4228326
1774,2885627
1775,3774881
1776,4270235
1777,3610347
1778,4507194
1779,3801499
1780,5951671
1781,2382914
1782,5010271
1783,5134912
1784,4008337
1785,4260808
1786,5024158
1787,4475878
1788,3759646
1789,4377218
1790,2491456
1791,5117566
1792,3793920
1793,4205249
1794,3611147
1795,3869427
1796,3014904
1797,5590458
1798,4548470
1799,3591494
1800,2293692
1801,4343492
1802,3801612
1803,4302691
1804,4383984
1805,5737583
1806,4569021
1807,5620757
1808,3746252
1809,4989367
1810,4544781
1811,3678999
1812,4604606
1813,4047729
1814,4294251
1815,4377247
1816,5202794
1817,4173720
1818,3614668
1819,3897931
1820,3324048
1821,4608014
1822,5339930
1823,4718289
1824,5669640
1825,3915223
1826,4399876
1827,2234932
1828,3603231
1829,2746991
1830,4121306
1831,3998930
1832,5934175
1833,4016923
1834,3511181
1835,2940034
1836,5828678
1837,5029397
1838,4415247
1839,5796467
1840,5109091
1841,3162356
1842,4428347
1843,5107437
1844,4931937
1845,3632164
1846,5054141
1847,4712944
1848,4842234
1849,5358443
1850,4478879
1851,5274747
1852,4492481
1853,4561829
1854,4311747
1855,3667261
1856,3865775
1857,4694954
1858,4488695
1859,5100290
1860,5236727
1861,5303748
1862,4869090
1863,3405112
1864,3264840
1865,4911191
1866,3629913
1867,3578175
1868,3775168
1869,3703042
1870,5682603
1871,4736191
1872,4261402
1873,5839074
1874,5719253
1875,3942141
1876,4286930
1877,3885661
1878,4540788
1879,4846944
1880,5184512
1881,3844677
1882,3509704
1883,4835830
1884,4995598
1885,3672850
1886,5259281
1887,4338192
1888,4845123
1889,3741217
1890,4873877
1891,4064252
1892,4243219
1893,4849084
1894,3455957
1895,2650662
1896,4891197
1897,3882446
1898,4107689
1899,5070740
1900,3967909
1901,4614266
1902,5393674
