Id,Prediction
0,3934350
1,3297246
2,3198233
3,2753658
4,3075457
5,4110030
6,3984312
7,3190851
8,6006091
9,3998913
10,4981971
11,3693930
12,4861881
13,4280238
14,3961612
15,3965079
16,4721699
17,3452244
18,4428996
19,3469855
20,2998957
21,4975764
22,4365955
23,7269202
24,4922844
25,3754626
26,3565607
27,4440134
28,4540503
29,4732411
30,4343552
31,3334705
32,3413651
33,5240236
34,3192068
35,4526710
36,3958513
37,5485359
38,3590777
39,3883376
40,4087804
41,4535334
42,4254740
43,5364324
44,5881747
45,3257241
46,3252107
47,2363883
48,4611117
49,5061696
50,5211612
51,3401796
52,4512340
53,3186314
54,3472795
55,4683010
56,6230024
57,4413292
58,4659969
59,4947008
60,2594550
61,4481318
62,4093864
63,3736273
64,5303761
65,6593917
66,4883396
67,5583101
68,4693831
69,4413782
70,3674581
71,2804881
72,4515755
73,3158528
74,5259107
75,4896717
76,6040427
77,4270186
78,4771593
79,3779566
80,5406273
81,4714603
82,4344910
83,4743746
84,5638402
85,2025548
86,4217174
87,4103426
88,4351550
89,3636053
90,5207524
91,4454555
92,3270367
93,3617643
94,7457299
95,3339885
96,4198828
97,5124859
98,3587828
99,4369340
100,4850997
101,2586879
102,3885035
103,3647681
104,4799796
105,3427722
106,4796164
107,5839787
108,5918488
109,4747645
110,5186434
111,3764589
112,4108913
113,4338426
114,3806119
115,4088250
116,3415120
117,4602738
118,3503637
119,4269186
120,4702758
121,5521600
122,3914279
123,6733102
124,3420449
125,3532717
126,6598133
127,3755533
128,4643075
129,4385456
130,2384350
131,4365042
132,5434532
133,3872530
134,3999816
135,3593678
136,4764585
137,3805059
138,4330140
139,5055053
140,6377606
141,3599532
142,5733297
143,3334959
144,4439797
145,3161703
146,4065038
147,3269011
148,4199233
149,4500096
150,4524951
151,3941644
152,6130384
153,6643512
154,4468817
155,4850341
156,5646218
157,4574229
158,3777870
159,3884004
160,3313386
161,4775048
162,3951556
163,4641536
164,6405391
165,3268178
166,4108922
167,3182749
168,3089269
169,3893064
170,3282062
171,3095434
172,4243402
173,5799140
174,3873896
175,3234352
176,6433908
177,5155377
178,4063867
179,4157254
180,5448351
181,3685374
182,5001307
183,3965605
184,4557555
185,3165676
186,4212704
187,5025831
188,5174817
189,5007371
190,5191130
191,4378843
192,6938471
193,3671651
194,4003895
195,4059638
196,4925049
197,2348167
198,3601825
199,3826939
200,4449307
201,3723748
202,6231647
203,5693855
204,4909140
205,6356692
206,5511375
207,4460674
208,4727967
209,3576904
210,4897018
211,4998930
212,4109128
213,3046162
214,5003014
215,2059865
216,4870871
217,4568763
218,3897901
219,3624106
220,6338329
221,4220840
222,5638855
223,3869730
224,4415891
225,4239206
226,3167468
227,7246555
228,3286244
229,4850426
230,5115280
231,5221060
232,4302531
233,4412941
234,2868962
235,4692689
236,4223617
237,3308389
238,4962366
239,4252894
240,4073414
241,4733199
242,2780583
243,4648318
244,4399655
245,4854083
246,4001554
247,5061477
248,4900681
249,4998225
250,3682007
251,5228155
252,5137087
253,3969026
254,4809729
255,3426701
256,3604749
257,6357247
258,3899486
259,4533048
260,4113227
261,4731653
262,5431183
263,4650287
264,2057331
265,4640895
266,4811676
267,7590757
268,5169015
269,3734853
270,4377612
271,3046845
272,4836252
273,5053022
274,4225562
275,3490568
276,7173963
277,5066126
278,5544137
279,3840857
280,4429596
281,4975325
282,3722292
283,4758201
284,4054783
285,2866349
286,4497693
287,4129373
288,4710598
289,3452992
290,4004946
291,4824235
292,3049342
293,4764349
294,4591690
295,4980671
296,5530664
297,4389358
298,3733728
299,4210612
300,3717092
301,4375201
302,6047925
303,7117931
304,4568669
305,5184516
306,4072366
307,6135934
308,2482471
309,3331720
310,4934752
311,4024560
312,3846576
313,4946261
314,3678713
315,3813145
316,3176034
317,4210843
318,5997131
319,3347529
320,3503955
321,3710002
322,5222115
323,3746640
324,4470678
325,4148176
326,5506716
327,4232346
328,4953473
329,5223153
330,3313398
331,5076595
332,5733952
333,6977044
334,5890320
335,4564726
336,3145009
337,5617190
338,3424203
339,3761965
340,4180889
341,4191016
342,4856961
343,4833555
344,5708903
345,3766021
346,3085681
347,5009250
348,2987054
349,6973090
350,4275645
351,5290575
352,6572862
353,3748458
354,3453850
355,3736852
356,4303335
357,3433274
358,4930625
359,5563765
360,4517390
361,3917729
362,3663329
363,4752900
364,6654315
365,3597810
366,3124259
367,3474357
368,4203215
369,4566111
370,4140516
371,5219799
372,5708903
373,4349331
374,3865848
375,4203868
376,4258384
377,4878056
378,4369799
379,4733033
380,4676450
381,3804491
382,3151321
383,4925837
384,3671948
385,5903135
386,4024487
387,4959756
388,3761752
389,4645267
390,4530819
391,3686277
392,4127227
393,5304765
394,4697965
395,3913229
396,5982505
397,4918067
398,6662449
399,5505338
400,3908828
401,3532963
402,3700734
403,4828157
404,3632784
405,4361688
406,4789061
407,4108649
408,2622444
409,3797467
410,3463291
411,3580395
412,4559534
413,4980553
414,5781158
415,3542006
416,4856543
417,2639818
418,5475398
419,4019030
420,3876597
421,4961355
422,4958948
423,3113685
424,4068589
425,3874673
426,4507002
427,3389754
428,4494852
429,3313591
430,3899256
431,4992451
432,3069128
433,3585259
434,3213703
435,4821052
436,3235364
437,2972256
438,3474367
439,5917816
440,4728252
441,4340965
442,5295096
443,5420616
444,4947161
445,3847069
446,5406791
447,4931825
448,4741719
449,5458014
450,5867031
451,4716934
452,3205116
453,4459396
454,5049044
455,4777692
456,3490019
457,4811051
458,4336438
459,3207621
460,4555572
461,4311374
462,5828600
463,2960512
464,4948506
465,4175075
466,4845352
467,3534189
468,4371301
469,4384215
470,5041408
471,5176738
472,3671945
473,4953769
474,4822497
475,3840965
476,3563900
477,4507855
478,3519688
479,4105506
480,3619957
481,6039097
482,3148995
483,5572474
484,4893448
485,3442234
486,3555358
487,4213827
488,5714133
489,3394206
490,5939050
491,3374405
492,4884166
493,4788898
494,4984770
495,4158204
496,5080811
497,3871126
498,4247740
499,4776675
500,4120320
501,2629826
502,4093867
503,4731530
504,4394922
505,3461918
506,3222779
507,4188640
508,2599267
509,5203628
510,5371311
511,4546196
512,2624071
513,5731603
514,4575277
515,2612579
516,3745565
517,4651078
518,4470587
519,4735645
520,3750876
521,6792905
522,4631877
523,5357311
524,3458367
525,4775014
526,3020958
527,4494852
528,7268879
529,4449885
530,4007311
531,4002226
532,5708793
533,3754626
534,5962950
535,5118134
536,4250626
537,3510224
538,4111091
539,6427322
540,4805585
541,3793499
542,3449759
543,3656886
544,3844169
545,4010289
546,2632097
547,3862897
548,3739343
549,5232390
550,3800232
551,4346241
552,5096289
553,5376721
