Id,Prediction
0,4165074
1,4110011
2,3500080
3,3556759
4,3451063
5,4780954
6,3895483
7,3376549
8,4878625
9,4425339
10,4347149
11,4007075
12,4978509
13,4368541
14,4110709
15,4250294
16,5876965
17,3439583
18,4423612
19,3710228
20,3478005
21,4547372
22,4604623
23,6533109
24,4625626
25,3755242
26,3423834
27,4623074
28,4054062
29,3636956
30,3741467
31,3491178
32,3229793
33,5861367
34,3117781
35,4410330
36,3961613
37,4382595
38,3693351
39,3453230
40,4378694
41,3702449
42,4541551
43,5401070
44,6082028
45,3653903
46,3170608
47,2951214
48,3945035
49,4240694
50,5738748
51,4224212
52,4440172
53,2603951
54,3469872
55,3995777
56,5382715
57,3763046
58,4147742
59,4969540
60,3066937
61,4439391
62,3600087
63,4161363
64,5832028
65,6684478
66,4978292
67,5504108
68,4750813
69,4213785
70,3819176
71,3269243
72,4154927
73,3912739
74,5256247
75,5213013
76,5418705
77,3890751
78,4261876
79,3848827
80,5524509
81,4069375
82,4093340
83,4717176
84,5819837
85,2667954
86,3632509
87,4554757
88,5132727
89,3587234
90,5030469
91,4717578
92,3778892
93,3581368
94,4952698
95,3408312
96,3957131
97,4232782
98,3567831
99,3709987
100,4904525
101,3194082
102,3414541
103,3767339
104,4846863
105,3466818
106,4736818
107,5268128
108,5117486
109,4136036
110,4715890
111,4071974
112,4146098
113,4279259
114,3970476
115,4077406
116,3203809
117,4333124
118,3982300
119,4423414
120,4360865
121,5323523
122,3955812
123,5706742
124,2871516
125,3832534
126,5196581
127,3618163
128,4327802
129,4189482
130,2839097
131,4009923
132,5494656
133,3562160
134,4170911
135,4025284
136,3772017
137,3962281
138,3632053
139,4222251
140,6132029
141,3134552
142,4725466
143,3399022
144,4313812
145,3899131
146,3953363
147,3603762
148,4523179
149,3820547
150,4679492
151,4116161
152,5191676
153,5269678
154,4631223
155,5384717
156,5963780
157,4653600
158,2912005
159,3869724
160,3020184
161,4864067
162,5414813
163,4452016
164,6070979
165,3991007
166,4054725
167,3495141
168,4322027
169,4136661
170,4440826
171,3243957
172,3884705
173,6232312
174,3810718
175,3501537
176,6173829
177,3907751
178,3531332
179,3504240
180,4601532
181,4118634
182,5300161
183,4361898
184,4268160
185,3248325
186,4783219
187,3940536
188,5742878
189,5163700
190,4523953
191,4204193
192,5813725
193,3758815
194,4277315
195,4528655
196,4395837
197,2898604
198,3231521
199,4632231
200,5040473
201,3180319
202,5415462
203,5080144
204,5781675
205,4982506
206,5731631
207,3887908
208,4235186
209,3654717
210,5152768
211,4213564
212,3626651
213,3329080
214,6108714
215,2710551
216,4122562
217,4391141
218,4628142
219,3205844
220,5605730
221,4395419
222,6176937
223,4543049
224,4441938
225,4572799
226,3603015
227,5681374
228,3211576
229,4110891
230,5286272
231,6125722
232,3705383
233,4530193
234,3794416
235,4395344
236,3563012
237,3769549
238,4507077
239,3949245
240,3752896
241,5067198
242,3460645
243,3888990
244,4677199
245,5537818
246,3915805
247,4366793
248,4595909
249,5654046
250,3366541
251,5136135
252,5796684
253,4241158
254,4372174
255,3958203
256,4287003
257,4759954
258,3953140
259,5504283
260,4266511
261,3619983
262,4413013
263,4322219
264,2492221
265,4128911
266,4866602
267,6287928
268,4420552
269,4294398
270,3336181
271,3857424
272,4925363
273,5037729
274,4119695
275,4305391
276,6423420
277,4513839
278,5424616
279,4004836
280,4792770
281,3728646
282,3670350
283,4709769
284,4588526
285,2929463
286,4645087
287,4356758
288,4952728
289,3406335
290,4127044
291,3923657
292,3125991
293,4360125
294,4633730
295,4307397
296,5835694
297,4819040
298,4795494
299,4845652
300,3935993
301,4294056
302,5098416
303,5219887
304,4901524
305,4679965
306,3864977
307,5023017
308,2837651
309,4072620
310,4706398
311,3771532
312,3751025
313,4545987
314,3510327
315,2814923
316,3133129
317,3843450
318,5912327
319,4041974
320,4226442
321,3265596
322,4776233
323,3765107
324,3980749
325,3907790
326,5566603
327,4106088
328,4391145
329,5496718
330,3575681
331,5171885
332,5063329
333,6292253
334,5807253
335,4006819
336,3399208
337,4709301
338,3149090
339,3234819
340,3734068
341,3870235
342,4226425
343,4203414
344,5268128
345,4150198
346,3294384
347,5030469
348,3816296
349,5080144
350,4012157
351,3788229
352,5856592
353,3478096
354,3458013
355,3817370
356,4465362
357,3898035
358,4203379
359,6363739
360,4269063
361,4016856
362,4217429
363,4604623
364,5497408
365,3693168
366,4030726
367,3649499
368,3958831
369,4310846
370,3590800
371,4787586
372,5575115
373,3835204
374,4031432
375,4344848
376,4423253
377,3913750
378,4434135
379,4256384
380,4768672
381,4112827
382,3412848
383,4223835
384,3835012
385,6168362
386,3753588
387,5193508
388,4082784
389,4764577
390,5085616
391,3584363
392,3166867
393,5927523
394,4551794
395,2866667
396,5763376
397,4563526
398,5605730
399,5243470
400,4702239
401,3935892
402,3497940
403,5262245
404,3603907
405,4143808
406,4906550
407,3830868
408,2896329
409,3756607
410,3487707
411,3587015
412,4808165
413,5067420
414,4551859
415,3822926
416,4276601
417,2724974
418,5130195
419,3514030
420,4104023
421,4158001
422,5215916
423,4203210
424,4299489
425,4273899
426,4523619
427,3489900
428,4235031
429,2866863
430,4641453
431,4914014
432,2616220
433,4355731
434,3082300
435,4388726
436,3756977
437,3554524
438,3668718
439,5116172
440,4326423
441,4194778
442,5708663
443,4893152
444,4164561
445,3942437
446,5462373
447,3761194
448,4800461
449,4753028
450,5064702
451,4958057
452,3421033
453,4200020
454,4878209
455,4922909
456,3745244
457,4755223
458,4280670
459,3617396
460,4211845
461,4066269
462,6173829
463,3490918
464,4765342
465,4417582
466,4792580
467,3561533
468,4189855
469,4868066
470,5247660
471,5137314
472,4681686
473,5188230
474,5382236
475,4307609
476,3652445
477,4223720
478,4491809
