Id,Prediction
0,4004261
1,3750309
2,3401064
3,3365899
4,3796246
5,4801939
6,4127114
7,3671733
8,4941621
9,3884876
10,4798637
11,4542482
12,4360115
13,4414884
14,4391472
15,4664036
16,4776204
17,3737295
18,5119716
19,3767738
20,2559745
21,5232654
22,4327137
23,5196885
24,5007784
25,4122550
26,3686253
27,4746634
28,3866813
29,4509016
30,4396360
31,3190666
32,3261965
33,4701870
34,3167025
35,4577068
36,4018517
37,4475698
38,3595078
39,3926194
40,4768353
41,4498234
42,4698569
43,4738310
44,5321003
45,4417674
46,3328253
47,2827578
48,4762562
49,4354364
50,4412415
51,3752465
52,5166377
53,3363974
54,3430721
55,4760726
56,5401870
57,3943038
58,4912992
59,4837105
60,3046571
61,3854895
62,4066930
63,4270329
64,4593032
65,5588981
66,4702809
67,5528427
68,5213502
69,4924715
70,4103654
71,3262134
72,4430508
73,3973237
74,4834726
75,4303865
76,5111664
77,4245169
78,4606597
79,4340338
80,5146071
81,4831318
82,4206817
83,4360822
84,5453445
85,2394165
86,4686977
87,4798595
88,4413987
89,3877126
90,4882873
91,4013946
92,3755238
93,4275787
94,5288527
95,3644934
96,4411602
97,4570243
98,3961768
99,4811820
100,4160392
101,2883905
102,3807486
103,3553074
104,3547491
105,3403696
106,4214750
107,4710101
108,4841136
109,4642674
110,4765893
111,4095330
112,4692174
113,4514533
114,4046886
115,4676201
116,3368426
117,5201562
118,3998793
119,4593599
120,4978195
121,4857310
122,4281520
123,5362200
124,3476720
125,3845132
126,5269182
127,3786949
128,4114133
129,4377222
130,2982774
131,4743908
132,5110884
133,3552040
134,4368432
135,3933633
136,4225401
137,3986922
138,4352511
139,4640834
140,5588374
141,2743693
142,4862842
143,3027995
144,4925837
145,3926878
146,4965181
147,3440430
148,4344286
149,4697252
150,3982593
151,3276080
152,5090455
153,5472925
154,3730744
155,4787470
156,5202973
157,4804801
158,3828123
159,4179522
160,3259409
161,3896650
162,3734896
163,5222021
164,5745431
165,3499109
166,4437510
167,3716246
168,4438903
169,4803054
170,4178651
171,3309863
172,3865944
173,4503826
174,4707358
175,3361833
176,5734452
177,5427422
178,4478489
179,3642027
180,4419742
181,4086766
182,4705268
183,4016539
184,4546589
185,3512574
186,3970657
187,5308100
188,5331548
189,4665280
190,4211884
191,4894536
192,5121121
193,3772550
194,4654287
195,4562817
196,4058998
197,2927304
198,4010409
199,4617800
200,4183033
201,3558617
202,4432914
203,4651090
204,4767124
205,4888260
206,4821624
207,4290855
208,4828482
209,3939178
210,4352540
211,5029325
212,3354994
213,3594926
214,5305261
215,2321512
216,4611791
217,4804284
218,4304469
219,2787601
220,5385203
221,4673148
222,4742850
223,4125478
224,5118399
225,4254636
226,3348475
227,5817874
228,3124663
229,5100214
230,4666076
231,5225723
232,4443651
233,4216546
234,3670529
235,4696347
236,4306558
237,3798590
238,4156071
239,4140377
240,4598284
241,3987939
242,3423709
243,4555033
244,5107004
245,4629819
246,4105062
247,4849615
248,4510142
249,4211931
250,2872368
251,4580521
252,5269650
253,4267970
254,4679183
255,3857115
256,4277380
257,4386965
258,3906969
259,3943652
260,4316573
261,4013231
262,5292800
263,4326395
264,2612649
265,5217997
266,4184991
267,5740734
268,4832063
269,4154285
270,3691337
271,2956478
272,4686118
273,4727603
274,4034861
275,5272837
276,5752233
277,5350709
278,4734260
279,4265917
280,5021649
281,3867566
282,3392326
283,3866044
284,4943587
285,2826909
286,5108123
287,4062478
288,4414698
289,3762988
290,4306682
291,4409597
292,3431452
293,4941221
294,3423065
295,5315060
296,4850718
297,5114374
298,4527052
299,4867587
300,4478860
301,4694905
302,4890169
303,5083383
304,4108647
305,4756022
306,4481109
307,4463735
308,2511184
309,4115848
310,4424636
311,3894330
312,3565271
313,4317583
314,3515126
315,3685909
316,3020940
317,4398142
318,5097218
319,3862272
320,4100653
321,3778119
322,4210328
323,4536892
324,4609943
325,4204986
326,4788471
327,4511479
328,4614024
329,5132774
330,3335779
331,4666878
332,4636475
333,5541902
334,5194238
335,4629956
336,3273481
337,4584794
338,4102287
339,3401512
340,4458431
341,4732539
342,4668883
343,4806170
344,4307202
345,4069767
346,3917775
347,4835055
348,3072431
349,4995647
350,4493845
351,5098634
352,5589069
353,3804331
354,3922465
355,4386635
356,5228690
357,4418484
358,4880675
359,4892779
360,4346677
361,4299764
362,4035203
363,4477398
364,5019928
365,3736858
366,2773428
367,3863656
368,3943859
369,4728898
370,3953911
371,4572749
372,4601880
373,5092161
374,3620733
375,4580628
376,3730466
377,3830381
378,4941965
379,4661105
380,4756870
381,3936137
382,3397550
383,4797098
384,4059123
385,5739901
386,3971824
387,4694114
388,4440272
389,4388614
390,5300417
391,3748318
392,3677838
393,4608738
394,5213882
395,3547314
396,4844618
397,5050353
398,4990458
399,5112356
400,3381907
401,3997370
402,3689606
403,4738488
404,3646886
405,4414320
406,4527946
407,4438419
408,2803319
409,3858386
410,3701701
411,3998488
412,4371693
413,4902219
414,5362534
415,4134155
416,5405337
417,2766027
418,4296353
419,3730336
420,4496813
421,4967004
422,4425723
423,4030885
424,4612007
425,4478700
426,4444864
427,3727233
428,4827623
429,3405622
430,3558756
431,3847583
432,2797766
433,4281049
434,3806971
435,4535821
436,3968141
437,3355003
438,3530410
439,5121191
440,4751357
441,4730428
442,4164425
443,4686470
444,4727658
445,4398451
446,5514680
447,4695729
448,4628841
449,5906914
450,4862251
451,3716411
452,3611286
453,5005710
454,4958811
455,4143431
456,3351367
457,3901016
458,4423050
459,3253192
460,4942098
461,4478390
462,4883152
463,3345041
464,4618766
465,3659135
466,4154854
467,3534922
468,4306570
469,4392781
470,4089659
471,4406369
472,3234172
473,4573110
474,4790794
475,3948582
476,3826663
477,4868065
478,4223559
479,4883254
480,3860717
481,5457845
482,3784386
483,4803799
484,5341080
485,3362049
486,4639889
487,4207848
488,4899080
489,3959849
490,4718358
491,3444001
492,4514948
493,4806590
494,4345670
495,4248201
496,4773141
497,3932873
498,4262374
499,4298333
500,4541563
501,2819963
502,4147456
503,5270602
504,3656549
505,4073491
506,3805941
507,4471433
508,3440435
509,4525151
510,5069271
511,5029027
512,2812300
513,4855707
514,3711518
515,2787590
516,3576090
517,4576250
518,4337787
519,4587124
520,3841394
521,5051359
522,5453445
523,5349665
524,4183414
525,4769266
526,2652026
527,4785615
528,5441588
529,4605967
530,3896347
531,3989482
532,4646802
533,4114525
534,4947831
535,4091960
536,4457908
537,3554565
538,3723185
539,4970601
540,4549349
541,3643741
542,3750517
543,4175882
544,4322758
545,4877300
546,3096494
547,4039153
548,3861256
549,4182648
550,3893966
551,4335596
552,3968787
553,4910954
554,4569272
555,4454845
556,3561339
557,4900740
558,4006332
559,4320945
560,4204784
561,5412427
562,2743144
563,4721596
564,3342343
565,4612946
566,3425929
567,5228834
568,4179166
569,3733868
570,4244620
571,5106132
572,4333130
573,5015268
574,4029432
575,3239447
576,5730603
577,4029788
578,4006199
579,4337200
580,3722176
581,4463225
582,5327508
583,3852883
584,4109749
585,4690185
586,3590559
587,3968518
588,4863453
589,4176174
590,3932423
591,4279744
592,4276033
593,3252717
594,3647382
595,3439544
596,3985004
597,3723708
598,4439749
599,5264098
600,4980407
601,4959375
602,4877776
603,3483761
604,2912401
605,3374970
606,3129598
607,3639866
608,2860253
609,4778259
610,5356655
611,2703738
612,4539346
613,4554925
614,5300443
615,3151354
616,4767045
617,4836154
618,5616399
619,4090663
620,4293850
621,5290696
622,4775703
623,4766481
624,3189067
625,4838862
626,4644183
627,4847985
628,3653853
629,3800957
630,5792825
631,5039081
632,5101655
633,5054593
634,2957110
635,3846556
636,4836097
637,4168448
638,4083476
639,4506289
640,4889256
641,4823402
642,3448982
643,4946070
644,4650661
645,3340680
646,4621077
647,3748680
648,3875393
649,3946589
650,3837680
651,4307386
652,5198301
653,4821579
654,4022179
655,5184127
656,3888167
657,4923698
658,5176541
659,4384853
660,4971976
661,5204694
662,4836869
663,4819130
664,4189601
665,3617350
666,5508481
667,3652514
668,4267044
669,4276492
670,5176531
671,5085187
672,3709523
673,4389304
674,4521859
675,3261976
676,3970870
677,3425895
678,3710469
679,4889089
680,3727921
681,4478847
682,3535815
683,4625584
684,4688388
685,4822485
686,3670389
687,2897949
688,5141840
689,3758724
690,4006305
691,3701192
692,3530379
693,3638700
694,3439588
695,3445795
696,4197408
697,4969156
698,4205511
699,3340745
700,5450041
701,4172874
702,4280588
703,5036096
704,5109025
705,5393910
706,4851065
707,4381550
708,4596803
709,3973017
710,4532499
711,5075807
712,4069174
713,4085165
714,4752528
715,4368868
716,3591184
717,4439554
718,4868309
719,5278715
720,4646931
721,5449733
722,4774295
723,2840211
724,4490088
725,3932235
726,2951775
727,3749832
728,4003613
729,3611334
730,3880652
731,4194919
732,3656454
733,5762553
734,4318658
735,4478409
736,3496541
737,4325784
738,3325373
739,4294096
740,4635231
741,4637919
742,4117174
743,4756203
744,4710773
745,5290322
746,3325097
747,5538729
748,4847497
749,4729902
750,5439264
751,4243492
752,4013077
753,2492431
754,3677818
755,3456981
756,3907153
757,5034239
758,3616481
759,5140234
760,3732108
761,4026241
762,3503605
763,3724037
764,5062899
765,5712170
766,4665680
767,3699788
768,4251052
769,4778424
770,4011199
771,4175284
772,4535992
773,4199340
774,4432182
775,4397603
776,3663410
777,4158385
778,4493974
779,4053345
780,3425582
781,4370617
782,5070814
783,3564452
784,4543322
785,3617385
786,5516063
787,4711990
788,4919940
789,4616775
790,3234704
791,4695338
792,3593187
793,3336374
794,3665905
