Id,Prediction
0,4180212
1,3732958
2,3659278
3,3405358
4,4133794
5,4497190
6,4126142
7,4031208
8,5200295
9,4190724
10,4726979
11,4936707
12,4717317
13,4930609
14,4523240
15,5536705
16,5055733
17,3871034
18,6148981
19,3961639
20,2999011
21,5620264
22,4561121
23,5586716
24,5463567
25,4037315
26,3581320
27,5119424
28,3914778
29,4991337
30,4526185
31,3235685
32,3363584
33,5202804
34,3252341
35,5019977
36,4161675
37,4903303
38,3432452
39,3853015
40,4807542
41,4657766
42,5024059
43,5214684
44,5572442
45,4536253
46,3460222
47,2859123
48,4946459
49,4426142
50,4500578
51,3987705
52,5459689
53,3442945
54,3442262
55,4849410
56,5865404
57,4244386
58,4719622
59,5066937
60,3089084
61,3807624
62,4040765
63,4250958
64,4874335
65,6691631
66,4657653
67,6230930
68,5543190
69,5083376
70,4133810
71,3443880
72,4356388
73,4018632
74,5475775
75,4481593
76,4956055
77,4288528
78,4833908
79,4543139
80,5480240
81,5565634
82,3912205
83,4597236
84,6232487
85,2192310
86,4974460
87,5566895
88,4710797
89,3946311
90,5304667
91,4323358
92,3792691
93,4589781
94,5807832
95,3672582
96,4706207
97,4597773
98,4059666
99,5037015
100,4794192
101,2763836
102,3853734
103,3668111
104,4015098
105,3439068
106,4770210
107,5427411
108,4974974
109,5083582
110,5031081
111,4513646
112,5393889
113,4863113
114,4184225
115,4740134
116,3348110
117,5043972
118,4052581
119,4857311
120,5275245
121,4850249
122,4470828
123,5751623
124,3623203
125,4142051
126,5463622
127,3847902
128,4303980
129,4477878
130,2910770
131,4917064
132,5371923
133,3574337
134,4423177
135,3923923
136,4295396
137,4155848
138,4577727
139,4468344
140,6290706
141,2961837
142,5278035
143,3176682
144,5281325
145,3958228
146,4913106
147,3548899
148,4571477
149,4790327
150,3995874
151,3401511
152,5700997
153,6122100
154,3607704
155,5125858
156,5114151
157,5540756
158,3875955
159,3979134
160,3393082
161,4243808
162,3955500
163,5834399
164,6280209
165,3523593
166,4422528
167,3867268
168,4892461
169,5075613
170,4074990
171,3312192
172,3938569
173,5614518
174,5398324
175,3488346
176,6280039
177,5158426
178,4490771
179,3790913
180,4500434
181,4449761
182,4826074
183,4176968
184,4617226
185,3512720
186,3931302
187,5450354
188,5618892
189,4723974
190,4456702
191,4989451
192,5735235
193,4232002
194,5071223
195,4957482
196,4352951
197,2856845
198,3891753
199,4900006
200,4324396
201,4056970
202,4502200
203,5203201
204,5162733
205,5676843
206,5173931
207,4558988
208,5032415
209,3909954
210,4700650
211,4989391
212,3765188
213,3598512
214,6076342
215,2276831
216,4744489
217,5259130
218,4508175
219,2947599
220,5959544
221,5041874
222,5323674
223,4136429
224,5228943
225,4627451
226,3839709
227,6276692
228,3311077
229,5195393
230,4727302
231,6261337
232,4559389
233,4422613
234,3831867
235,4659830
236,4689303
237,3602898
238,4588770
239,4918562
240,4577484
241,4171235
242,3551380
243,4518068
244,5075302
245,5228876
246,3990753
247,4760893
248,4568926
249,4436038
250,3166691
251,4858424
252,5618827
253,4288115
254,4615836
255,4024411
256,4887836
257,4694588
258,3684860
259,4104932
260,4393711
261,4350541
262,5503400
263,4341198
264,2570296
265,5938571
266,4440422
267,6632377
268,4976269
269,4273587
270,3862625
271,3052860
272,4970374
273,4760315
274,3925913
275,6015355
276,6153328
277,5595484
278,4927335
279,4596353
280,5372666
281,4095334
282,3388978
283,3965913
284,4803130
285,2929894
286,5024060
287,4363441
288,4759330
289,3850571
290,4358489
291,4488498
292,3473352
293,4831799
294,3863415
295,5599266
296,5860937
297,6063484
298,5316390
299,5451028
300,4659580
301,5072399
302,5519117
303,5974789
304,4277015
305,5199938
306,4151625
307,4898566
308,2453293
309,4224371
310,4489901
311,3915962
312,3448069
313,4329450
314,3572936
315,3846275
316,3249836
317,4567041
318,5482188
319,4080401
320,4251702
321,3780122
322,4148352
323,4641895
324,4520096
325,4389559
326,5361950
327,4583870
328,4719107
329,5507287
330,3658187
331,5488499
332,4915318
333,5843964
334,5659982
335,4676762
336,3163203
337,4826366
338,4345336
339,3658658
340,4899168
341,4731734
342,5033902
343,4972761
344,5036030
345,4101210
346,3865224
347,5555931
348,3460746
349,5041324
350,4533385
351,5808681
352,5824416
353,3965034
354,3883939
355,4839983
356,5251314
357,4772113
358,4939491
359,5064752
360,4477878
361,4531436
362,4004683
363,4617407
364,5399315
365,3875601
366,3037790
367,3973851
368,3903253
369,5238110
370,4019744
371,4599954
372,5241408
373,5723692
374,3792186
375,4830726
376,3941523
377,4093724
378,5288724
379,4629872
380,5074624
381,4103073
382,3471157
383,5298213
384,4130590
385,6416785
386,4273861
387,4864399
388,4731324
389,4577210
390,5889565
391,3722648
392,3779025
393,4978132
394,5537191
395,3627843
396,5566143
397,5685203
398,5874987
399,5126901
400,3433121
401,4220344
402,3748650
403,5311362
404,3507365
405,4510444
406,4624336
407,4480581
408,2739090
409,3870590
410,3633552
411,4033168
412,4649063
413,5451687
414,5550485
415,4272973
416,5648504
417,2758523
418,4089496
419,3912778
420,4676043
421,4925448
422,5312236
423,3995515
424,4918420
425,4680461
426,4427787
427,3778406
428,4980470
429,3643658
430,3791198
431,4120235
432,2852076
433,4703533
434,3644518
435,4621105
436,4207681
437,3196763
438,3652041
439,5545773
440,4975106
441,4829570
442,5112953
443,5492351
444,4866911
445,4701068
446,5918741
447,4500593
448,4662419
449,6029987
450,5023433
451,3774052
452,3761733
453,5051991
454,5067195
455,4296806
456,3452708
457,4059086
458,4196096
459,3125824
460,5380735
461,4651543
462,5765855
463,3450251
464,4728012
465,3808359
466,4413709
467,3532533
468,4453645
469,4710711
470,4231381
471,4736767
472,3683441
473,4620691
474,5211788
475,4045712
476,3807817
477,5034489
478,4218271
479,5570008
480,3972904
481,5749282
482,3685017
483,4838875
484,5843544
485,3570618
486,4567787
487,4567445
488,4866660
489,3877700
490,4631060
491,3354921
492,4677643
493,5063632
494,4443463
495,4421163
496,4905878
497,4533726
498,4207249
499,4620134
500,4694964
501,2834430
502,4225330
503,5681962
504,4286037
505,3969828
506,3912937
507,4631677
508,3509859
509,4621564
510,5417766
511,5522156
512,2756048
513,5780485
514,3670881
515,2791429
516,3629986
517,4986483
518,4706433
519,4572754
520,3902383
521,5913863
522,5580967
523,5406067
524,5148995
525,5355383
526,3022517
527,5168528
528,6170713
529,4605716
530,3863388
531,4485558
532,4649040
533,4047218
534,5142943
535,4552769
536,4532242
537,3831846
538,3757139
539,5322300
540,4843804
