Id,Prediction
0,4115541
1,3747731
2,3456824
3,3351098
4,3980994
5,4605207
6,4140616
7,3828534
8,4989120
9,4164994
10,4628659
11,4935983
12,4482303
13,4585248
14,4318270
15,4727196
16,4910166
17,3850000
18,5399771
19,3809954
20,2819287
21,5124586
22,4518688
23,5342034
24,5139494
25,4004251
26,3678233
27,4943817
28,3840675
29,4856026
30,4122781
31,3275725
32,3318991
33,4847707
34,3187867
35,4411092
36,4139322
37,4700929
38,3393602
39,3605001
40,4787515
41,4597758
42,4855227
43,4807488
44,5565048
45,4490237
46,3401383
47,2798711
48,4748928
49,4351283
50,4407504
51,3755710
52,5084429
53,3380282
54,3491167
55,4619211
56,5711201
57,4142331
58,4898401
59,4944431
60,3010338
61,3960843
62,4075395
63,4250230
64,4667345
65,5709137
66,4599555
67,5607964
68,5130196
69,4800515
70,4116592
71,3192314
72,4408726
73,4031837
74,5123631
75,4396873
76,4878283
77,4235136
78,4754507
79,4392166
80,5408268
81,4812439
82,4072382
83,4481286
84,5410951
85,2248616
86,4590257
87,4956332
88,4567357
89,3866196
90,5179420
91,4243958
92,3834945
93,4425135
94,5401221
95,3579023
96,4554965
97,4599796
98,4078661
99,4840137
100,4371257
101,2840974
102,3777531
103,3657387
104,3968909
105,3434282
106,4425099
107,4800854
108,5032393
109,4998815
110,5050051
111,4245036
112,4627596
113,4687602
114,4102766
115,4649163
116,3367813
117,5132490
118,4022800
119,4723746
120,4886147
121,4813345
122,4118513
123,5574550
124,3513023
125,4202650
126,5297818
127,3823728
128,4147279
129,4379848
130,2983716
131,4814650
132,5191215
133,3578952
134,4343749
135,3914866
136,4188482
137,4142929
138,4383338
139,4508123
140,5746979
141,2860915
142,5017101
143,3180834
144,4850870
145,4028178
146,5011930
147,3585905
148,4388112
149,4710157
150,4163795
151,3308748
152,5275055
153,5569715
154,3598605
155,4943337
156,5224354
157,4967218
158,3706181
159,4105505
160,3248997
161,4155698
162,3936025
163,5107277
164,6103559
165,3391931
166,4438686
167,3823281
168,4521710
169,4766561
170,4112107
171,3368325
172,3888090
173,5041091
174,4680419
175,3429919
176,5759110
177,5050582
178,4427378
179,3727374
180,4471075
181,4344906
182,4826899
183,4097216
184,4632999
185,3599301
186,4048488
187,5307732
188,5503836
189,4833353
190,4392164
191,5037640
192,5426775
193,3907771
194,4597102
195,4532879
196,4198643
197,2740837
198,3623763
199,4511121
200,4280357
201,3801781
202,4467834
203,4838789
204,5033438
205,5112009
206,4960862
207,4344140
208,4748656
209,3821289
210,4530370
211,4921451
212,3556218
213,3552727
214,5542890
215,2287062
216,4665294
217,4904855
218,4145300
219,2928711
220,5433804
221,4769369
222,5047031
223,4116207
224,5007825
225,4425887
226,3638260
227,6041437
228,3267970
229,5020084
230,4591014
231,5643920
232,4290133
233,4242852
234,3722188
235,4766151
236,4364205
237,3725213
238,4259577
239,4485677
240,4581184
241,4208911
242,3457043
243,4557133
244,5000154
245,4729245
246,4086682
247,4768178
248,4580993
249,4565276
250,3063550
251,4647073
252,5681236
253,4313141
254,4633124
