Id,Prediction
0,4651939
1,3936947
2,4010233
3,3225099
4,3228597
5,5665501
6,3672384
7,3119256
8,4610717
9,4266492
10,4915979
11,3591153
12,4369116
13,4297981
14,4961868
15,4522283
16,5088013
17,3635083
18,4991217
19,3351798
20,2592293
21,5218407
22,4387599
23,5551500
24,4690420
25,3589125
26,3521387
27,4394481
28,2985535
29,4084685
30,3857240
31,3886892
32,3303516
33,4261205
34,2986040
35,5367070
36,3587324
37,4043696
38,3624533
39,3904185
40,4697329
41,4724447
42,4589164
43,4036821
44,5145654
45,5046104
46,2774321
47,3882159
48,5074415
49,4220769
50,4491109
51,3543006
52,6411630
53,3017716
54,3779828
55,4030862
56,5134105
57,3607644
58,5430247
59,4562202
60,3845055
61,4052474
62,4240830
63,5377340
64,4190853
65,5089055
66,3482346
67,5121029
68,5117725
69,5562016
70,4703389
71,3549008
72,4457653
73,3710268
74,4380407
75,3823198
76,4621891
77,3709832
78,4463678
79,4718428
80,5525900
81,4864635
82,3813876
83,3603232
84,4800592
85,2306545
86,4247454
87,4571979
88,4619310
89,3656366
90,4614922
91,4907900
92,3606408
93,3897055
94,5972940
95,3982547
96,4594859
97,4418724
98,3875788
99,4511951
100,4972741
101,3265001
102,3745352
103,2893342
104,3705257
105,4063555
106,4184652
107,5500155
108,5035226
109,6265051
110,5612225
111,4244066
112,4305399
113,4510041
114,4317696
115,5276100
116,3268635
117,4885282
118,4749995
119,3382436
120,4551522
121,5590237
122,4447182
123,4842268
124,3158821
125,4047905
126,5198970
127,3316212
128,4178360
129,4513397
130,2792527
131,4520111
132,4405954
133,3791818
134,4775519
135,4848688
136,3914650
137,4270964
138,3829509
139,5146549
140,6084986
141,3215733
142,4829996
143,3710220
144,5224735
145,4242973
146,5000207
147,3795580
148,3821278
149,5487579
150,4403247
151,3323499
152,4339741
153,6544656
154,3324345
155,4306138
156,5343658
157,4542532
158,3622419
159,4071002
160,3179644
161,4380424
162,3774169
163,5962987
164,5136506
165,3451095
166,4407054
167,2960383
168,4252584
169,4410514
170,4031164
171,3161891
172,4030244
173,5069448
174,4310730
175,3137854
176,6584483
177,5355031
178,4809660
179,3665548
180,4072928
181,4244266
182,5096793
183,4264377
184,5395960
185,3218597
186,3605010
187,5263530
188,5063750
189,4766023
190,4433588
191,4143042
192,5089518
193,3736985
194,6561866
195,4714151
196,4422774
197,2946036
198,3175626
199,4832967
200,5336144
201,3633828
202,4349299
203,4936012
204,5335934
205,4477102
206,4520672
207,4502778
208,4799510
209,3878732
210,4655665
211,4813872
212,2477375
213,3076076
214,5815353
215,2329237
216,4450804
217,5840047
218,5193052
219,3133865
220,5343202
221,4517891
222,4654447
223,3893493
224,5725771
225,4459718
226,2893011
227,5794448
228,3929695
229,4987026
230,5602201
231,6367496
232,4713496
233,5213026
234,3198519
235,5175476
236,4053035
237,3525381
238,4073659
239,4261407
240,3881957
241,3281368
242,2725374
243,4847991
244,5564235
245,4473097
246,3597532
247,4600029
248,5516173
249,4230090
250,3678393
251,4446863
252,5554370
253,3713888
254,5590022
255,3706139
256,4935244
257,3518061
258,4451381
259,4270746
260,3787346
261,3441799
262,5206787
