Id,Prediction
0,3920720
1,3673733
2,3951898
3,3639171
4,4252876
5,4345197
6,3705901
7,4226099
8,5104284
9,3770543
10,4378102
11,4417556
12,4654216
13,4649226
14,4419972
15,4909561
16,4363692
17,3829160
18,5057707
19,4199895
20,3607384
21,5003879
22,4067392
23,4959924
24,5201880
25,4184693
26,3598308
27,4311711
28,3936330
29,4344048
30,4672443
31,3408721
32,3977117
33,5195244
34,3775895
35,4488724
36,4059232
37,4422257
38,3797435
39,4352954
40,4407966
41,4411741
42,4868119
43,5023653
44,5215503
45,4021300
46,3727736
47,3319786
48,4861241
49,4403899
50,4418987
51,4374859
52,4764295
53,3583576
54,3527295
55,4868727
56,5168946
57,4353753
58,4555626
59,4605877
60,3135882
61,3651934
62,3868323
63,4320370
64,4499533
65,5640550
66,4310055
67,5371530
68,5496829
69,4780052
70,4041085
71,3708751
72,4191566
73,3583557
74,5147011
75,4255486
76,4486263
77,4199870
78,4369755
79,4233070
80,5257638
81,4900880
82,4243565
83,4416024
84,5453123
85,3109629
86,4813210
87,4875823
88,4284219
89,4010697
90,5101701
91,4101452
92,3846629
93,4754744
94,5201020
95,4179274
96,4171724
97,4123004
98,4085117
99,4803670
100,4658081
101,3054434
102,3965529
103,3838341
104,4080196
105,3548859
106,4173788
107,5165605
108,4645529
109,5048784
110,4584627
111,4527605
112,5224865
113,4400890
114,3967656
115,4629449
116,3548057
117,4738262
118,3849581
119,4785093
120,5357564
121,4733473
122,4585919
123,5237020
124,3868850
125,3981357
126,5184469
127,3754618
128,3946629
129,4439324
130,3249374
131,4513028
132,4884298
133,3567342
134,4582937
135,3985725
136,4113559
137,4325576
138,4971745
139,4263006
140,6029249
141,3562383
142,4837889
143,3385593
144,4682916
145,4026907
146,4361996
147,3510486
148,4311013
149,4452075
150,4027624
151,3816533
152,5231963
153,5904904
154,3818626
155,4664845
156,4924034
157,5239446
158,3935958
159,3739426
160,3617588
161,4291949
162,3593695
163,4964803
164,5192003
165,3916213
166,4480251
167,4124875
168,4674672
169,5132472
170,3940907
171,3455745
172,4217923
173,5003542
174,4729960
175,3613775
176,5779774
177,4722125
178,4119124
179,3971967
180,4403261
181,4223044
182,4629323
183,4212883
184,4633171
185,3422502
186,3711384
187,4917639
188,5188121
189,4574397
190,4246482
191,4890396
192,4925071
193,4293112
194,4766528
195,4257389
196,4121288
197,3484442
198,4319994
199,4776981
200,4188698
201,4133041
202,4465661
203,4746267
204,4688475
205,5007950
206,5182962
207,4160683
208,4509568
209,4018852
210,4690188
211,4332875
212,4004496
213,3663047
214,5615846
215,2974566
216,4530520
217,4970130
218,4479444
219,3457809
220,5358496
221,4910760
222,4792099
223,4118457
224,4935563
225,4147353
226,4345599
227,5528224
228,3783998
229,4471955
230,4653203
231,5905463
232,4479874
233,3994891
234,4050881
235,4443511
236,4447256
237,4043874
238,4345934
239,4396170
240,4184965
241,3901487
242,3481129
243,4238275
244,4816395
245,4854212
246,4061534
247,4345946
248,4401062
249,4267668
250,3300863
251,4675305
252,5217544
253,4149126
254,4648639
255,4549582
256,4943880
257,4148244
258,3577745
259,4327345
260,4049539
