Id,Prediction
0,3848646
1,3829399
2,3498474
3,3559490
4,3529557
5,4246861
6,4128275
7,3486537
8,4436569
9,3724415
10,4172417
11,4134646
12,3697324
13,3687949
14,4660634
15,5476531
16,4053282
17,3527302
18,5180267
19,3527210
20,3557078
21,5666016
22,3924012
23,4659928
24,4536780
25,4195966
26,4071338
27,3742303
28,3498170
29,3723269
30,3625820
31,3562461
32,3606447
33,5584236
34,3511842
35,5234738
36,3668905
37,3723189
38,4399184
39,3619440
40,4018270
41,4040337
42,4021405
43,5378081
44,4313630
45,3732202
46,3529857
47,3573346
48,4395767
49,3669184
50,3987798
51,3548705
52,4963078
53,3536640
54,3749103
55,4660721
56,4067250
57,3506413
58,4386986
59,4048759
60,3654488
61,3756299
62,3691060
63,4382817
64,4171420
65,5412280
66,3730744
67,5458140
68,5668932
69,5173150
70,4318562
71,3585162
72,4072108
73,3757810
74,3898304
75,3994813
76,3940533
77,3637946
78,3857518
79,3829965
80,4387215
81,5245159
82,3662682
83,4335217
84,5779095
85,3515447
86,5485441
87,5057659
88,3921039
89,3501596
90,3946526
91,4044665
92,4311835
93,3505327
94,5150633
95,3528754
96,3708844
97,4071894
98,4335511
99,4963682
100,5256142
101,3693845
102,3629956
103,3629575
104,4399314
105,3703953
106,3714079
107,5256114
108,4120601
109,4399846
110,4288369
111,3598712
112,5671093
113,4141255
114,4078440
115,4399732
116,3559400
117,4294766
118,3996088
119,3822908
120,5666465
121,4002110
122,5035860
123,4491441
124,3535022
125,3725219
126,4203105
127,3966002
128,3672772
129,3854989
130,3671368
131,3928461
132,3959790
133,3704773
134,4074285
135,4204171
136,3669095
137,3723159
138,3596611
139,4336076
140,5731500
141,3559121
142,4585012
143,3622961
144,5233416
145,4382661
146,4067220
147,4100285
148,3782194
149,3884395
150,4246584
151,3675202
152,5804986
153,5539984
154,4431240
155,3742417
156,4280056
157,5564401
158,3613376
159,3860979
160,3548560
161,4335647
162,4394671
163,4605518
164,4327340
165,3628669
166,3708284
167,3512025
168,5290552
169,5564148
170,3886288
171,3529805
172,3584555
173,5232991
174,5035684
175,3493174
176,5768127
177,4245571
178,4406155
179,3655038
180,4001634
181,4292413
182,3825199
183,3720799
184,4205752
185,3732149
186,4015364
187,4033865
188,4120808
189,4040552
190,3725243
191,4131311
192,4723947
193,3582918
194,5319245
195,4031042
196,3709441
197,3612121
198,3606577
199,5191599
200,4131092
201,3584929
202,4292249
203,5246651
204,4336416
205,5260560
206,5320781
207,4078894
208,5499546
209,4318466
210,3988203
211,4118694
212,3536777
213,3610054
214,5481066
215,3560694
216,3917964
217,5467131
218,4605217
219,3560580
220,5245363
221,4814710
222,4436213
223,4318534
224,4963269
225,3704709
226,3537043
227,4366791
228,3667267
229,4304302
230,4030873
231,5564461
232,3731310
233,3781272
234,3629661
235,4018196
236,5584031
237,4318369
238,3669353
239,3720439
240,3788406
241,3948318
242,3559220
243,3731987
244,4274867
245,3730510
246,4119738
247,3868435
248,4326401
249,3948546
250,3606737
251,3930164
252,4250934
253,4323332
254,4408415
255,3620088
256,5562214
257,3732250
258,4015927
259,4450793
260,3923972
261,3546311
262,4050382
263,3786877
264,3564911
265,4638795
266,3938292
267,5164530
268,3964839
269,4436074
270,3686687
271,3515700
272,5699574
273,3969001
274,3754276
275,5485350
276,4367157
277,4033247
278,4086201
279,5590841
280,4659971
281,3633387
282,3628732
283,4192810
284,4348942
285,3671160
286,4402006
287,3703998
288,3683538
289,3611079
290,3707573
291,3859097
292,3530295
293,3858738
294,4431005
295,5835135
296,5367767
297,5215453
298,5698439
299,5476169
300,3721003
301,3742391
302,4638634
303,5164255
304,3704248
305,5700999
306,3885994
307,3853444
308,3504111
309,4303281
310,3756401
311,4348759
312,3628671
313,3854075
314,3498287
315,3505410
316,3495058
317,4134769
318,4267140
319,3536624
320,3613175
321,3515683
322,3860536
323,3964424
324,3896175
325,3528215
326,4661002
327,3792858
328,4335917
329,4082382
330,3495177
331,5671128
332,4399719
333,4745325
334,5835074
335,4161761
336,4015096
337,4044700
338,3633350
339,3580505
340,3719861
341,4206144
342,4308660
343,5699194
344,5256058
345,3964857
346,3628907
347,3946665
348,3565023
349,5246615
350,3943758
351,5164443
352,4436507
353,3548695
354,3821891
355,3598053
356,4400699
357,3697163
358,4121342
359,4391709
360,3854989
361,5057602
362,3917174
363,3924082
364,4206197
365,3563041
366,3671007
367,3923808
368,3997115
369,5212444
370,3754506
371,3940764
372,5256185
373,5805262
374,3619492
375,3853582
376,4118415
377,3527589
378,5500081
379,3885927
380,3742748
381,4299829
382,3507351
383,5284664
384,3613047
385,5768363
386,3519567
387,3886358
388,3782365
389,3725523
390,5215213
391,3527750
392,3572527
393,4660484
394,4030937
395,3515780
396,4436577
397,5234290
398,5140527
399,4033550
400,4271973
401,5478302
402,3539410
403,5730294
404,4015474
405,3781294
406,4005490
407,4335454
408,3671011
409,3897438
410,3616749
411,3606016
412,4121391
413,5453403
414,5454537
415,3619860
416,4527671
417,3559110
418,4018533
419,3551415
420,3730247
421,4308365
422,5244942
423,4366497
424,3968602
425,3963553
426,4040579
427,3616655
428,5454289
429,3616457
430,3920654
431,3998937
432,3481441
433,3625715
434,3619462
435,3886262
436,3527077
437,3748708
438,3584991
439,3758303
440,3930150
441,3766802
442,5319030
443,5477931
444,3733160
445,4265480
446,5504000
447,3886106
448,4335735
449,4256669
450,4307951
451,3741933
452,3503949
453,4397203
454,5835119
455,3897883
456,3561229
457,4020299
458,4383322
459,3949660
460,5584468
461,3730440
462,5503645
463,3536197
464,3931199
465,3686662
466,4436328
467,3618608
468,4385067
469,3708798
470,4134363
471,4383225
472,4066334
473,4030492
474,5466535
475,3782198
476,4348740
477,4021271
478,4326278
479,5260683
480,3525586
481,4131370
482,3505519
483,4117708
484,5699330
485,3618582
486,3868319
487,3687813
488,4536621
489,3749201
490,4040243
491,3888223
492,3886067
493,3888290
494,3897325
495,4080109
496,3830561
497,3687286
498,3884364
499,3741795
500,3908649
501,3503520
502,3996275
503,4527914
504,3580435
505,3808324
506,3507629
507,3797220
508,3529544
509,3917653
510,3964581
511,5666485
512,3671103
513,5805059
514,3895107
515,3534817
516,3694158
517,4660838
518,4623017
519,3857408
520,3612715
521,5260754
522,5503990
523,4337241
524,5590879
525,5564205
526,3601902
527,5454986
528,5164242
529,4071993
530,3895210
531,3560391
532,4386552
533,4196153
534,3766622
535,4195973
536,3833450
537,3530243
538,3894894
539,4246109
540,4675772
541,3538760
542,3536412
543,4025775
544,3730876
545,4399437
546,3559382
547,3649934
548,3614099
549,4292044
550,4095432
551,4335904
552,3676815
553,5466803
554,4386203
555,4005346
556,3949719
557,4307777
558,4025718
559,3948812
560,3860524
561,4120716
562,3582877
563,4267450
564,3560737
565,3833488
566,3741994
567,3999004
568,3966206
569,3539129
570,3697125
571,4052286
572,4584860
573,4284547
574,4086108
575,3786656
576,4256924
577,3637925
578,3725265
579,3710324
580,3616667
581,4015569
582,4250125
583,3629710
584,3720284
585,5246565
586,3749171
587,3782197
588,5233082
589,3720906
590,3606758
591,3853472
592,4348740
593,3605668
594,3781923
595,3888229
596,3509292
597,3572624
598,3998121
599,4256746
600,5730438
601,4103400
602,5805931
603,3618514
604,3511725
605,3498336
606,3584722
607,3895037
608,3582742
609,3861039
610,4336326
611,3486248
612,5172671
613,3946430
614,4745205
615,3537001
616,4623120
617,3758058
618,4323702
619,3720128
620,4030495
621,5173540
622,3898126
623,3736430
624,3582929
625,4451869
626,5699243
627,3943984
628,4056096
629,3563063
630,5458262
631,4203643
632,4660964
633,4623147
634,3567598
635,3513542
636,4103609
637,4265012
638,3528113
639,3705752
640,4202458
641,3889028
642,3559442
643,3925429
644,3905068
645,3962954
646,3731247
647,3895043
648,3597852
649,3608133
650,3756292
651,3929788
652,5730239
653,5476291
654,3560549
655,3994962
656,3830168
657,4345611
658,4585426
659,4102968
660,5699344
661,5378247
662,4300434
663,5666241
664,4265043
665,3619461
666,4285114
667,3677452
668,3788144
669,3885826
670,5779009
671,3943874
672,3572608
673,4135070
674,5499893
675,3606442
676,3625454
677,3527240
678,4017777
679,4306739
680,4100546
681,4005454
682,3610138
683,3795411
684,4345648
685,3969245
686,3519332
687,3693698
688,4387050
689,3505602
690,3720436
691,3563180
692,3597042
693,3606458
694,3493194
695,3562276
696,4080252
697,3858705
698,5191498
699,3572852
700,4723715
701,5232978
702,3966916
703,5478580
704,4723892
705,5150628
706,3908773
707,3854085
708,3732671
709,3781878
710,3925492
711,5378477
712,4193145
713,4307401
714,4246694
715,5233064
716,3742174
717,3754212
718,3996880
719,4033614
720,4675051
721,5805149
722,3873266
723,3481465
724,5284586
725,4019004
726,3559195
727,3662602
728,3723113
729,3619477
730,3808357
731,3997302
732,3629007
733,4256860
734,3615004
735,4066251
736,3536836
737,5284751
738,3548679
739,3857100
740,4002245
741,4408400
742,3704453
743,3908687
744,5564054
745,5175692
746,3582931
747,4436494
748,3966605
749,4408525
750,5504076
751,4584887
752,3661387
753,3572887
754,3895030
755,3671275
756,3808496
757,4172292
758,3560255
759,4040407
760,3629733
761,3777869
762,3536186
763,3719641
764,4080168
765,4814752
766,4120665
767,3551434
768,5150552
769,3823660
770,3775908
771,3830612
772,4193125
773,3822791
774,4134894
775,3756426
776,3686609
777,4134481
778,4073469
779,4335466
780,3545793
781,3943738
782,5667882
783,3536979
784,5178822
785,3505311
786,5458314
787,3830517
788,5290448
789,4103631
790,3686250
791,5699228
792,4405880
793,3622696
794,3940544
795,3886127
796,3519193
797,4638170
798,3896495
799,3994902
800,5500393
801,3697105
802,3708956
803,4086068
804,5499614
805,4462238
806,5779029
807,5319535
808,4025448
809,3602369
810,3987837
811,5478505
812,4196579
813,5290364
814,3536035
815,3946498
816,3669292
817,3596978
818,4265016
819,3559874
820,3708274
821,3908696
822,3749444
823,3924416
824,3719648
825,4206391
826,3997615
827,3494783
828,4774695
829,3782206
830,4195566
831,4019341
832,4023884
833,4410808
834,4205142
835,4431465
836,3558977
837,5768021
838,4161138
839,3560447
840,3836269
841,3676809
842,3930053
843,4311711
844,4141398
845,4034321
846,3708602
847,4675672
848,3756180
849,3487551
850,3509549
851,3683007
852,5215221
853,3561815
854,3509771
855,3649849
856,4661348
857,3721819
858,3562992
859,4197638
860,3943722
861,3861014
862,3612184
863,5233230
864,3797365
865,4188143
866,5178791
867,3559433
868,4071919
869,4387190
870,3485768
871,3924211
872,3791970
873,4406124
874,4173129
875,3486358
876,3565110
877,5666487
878,3693630
879,5666615
880,4015405
881,4405940
882,4745337
883,4399327
884,4366700
885,4067463
886,4128248
887,3963906
888,3573067
