Id,Prediction
0,4005411
1,3751459
2,3402214
3,3367049
4,3797396
5,4803089
6,4128264
7,3672883
8,4942771
9,3886026
10,4799787
11,4543632
12,4361265
13,4416034
14,4392622
15,4665186
16,4777354
17,3738445
18,5120866
19,3768888
20,2560895
21,5233804
22,4328287
23,5198035
24,5008934
25,4123700
26,3687403
27,4747784
28,3867963
29,4510166
30,4397510
31,3191816
32,3263115
33,4703020
34,3168175
35,4578218
36,4019667
37,4476848
38,3596228
39,3927344
40,4769503
41,4499384
42,4699719
43,4739460
44,5322153
45,4418824
46,3329403
47,2828728
48,4763712
49,4355514
50,4413565
51,3753615
52,5167527
53,3365124
54,3431871
55,4761876
56,5403020
57,3944188
58,4914142
59,4838255
60,3047721
61,3856045
62,4068080
63,4271479
64,4594182
65,5590131
66,4703959
67,5529577
68,5214652
69,4925865
70,4104804
71,3263284
72,4431658
73,3974387
74,4835876
75,4305015
76,5112814
77,4246319
78,4607747
79,4341488
80,5147221
81,4832468
82,4207967
83,4361972
84,5454595
85,2395315
86,4688127
87,4799745
88,4415137
89,3878276
90,4884023
91,4015096
92,3756388
93,4276937
94,5289677
95,3646084
96,4412752
97,4571393
98,3962918
99,4812970
100,4161542
101,2885055
102,3808636
103,3554224
104,3548641
105,3404846
106,4215900
107,4711251
108,4842286
109,4643824
110,4767043
111,4096480
112,4693324
113,4515683
114,4048036
115,4677351
116,3369576
117,5202712
118,3999943
119,4594749
120,4979345
121,4858460
122,4282670
123,5363350
124,3477870
125,3846282
126,5270332
127,3788099
128,4115283
129,4378372
130,2983924
131,4745058
132,5112034
133,3553190
134,4369582
135,3934783
136,4226551
137,3988072
138,4353661
139,4641984
140,5589524
141,2744843
142,4863992
143,3029145
144,4926987
145,3928028
146,4966331
147,3441580
148,4345436
149,4698402
150,3983743
151,3277230
152,5091605
153,5474075
154,3731894
155,4788620
156,5204123
157,4805951
158,3829273
159,4180672
160,3260559
161,3897800
162,3736046
163,5223171
164,5746581
165,3500259
166,4438660
167,3717396
168,4440053
169,4804204
170,4179801
171,3311013
172,3867094
173,4504976
174,4708508
175,3362983
176,5735602
177,5428572
178,4479639
179,3643177
180,4420892
181,4087916
182,4706418
183,4017689
184,4547739
185,3513724
186,3971807
187,5309250
188,5332698
189,4666430
190,4213034
191,4895686
192,5122271
193,3773700
194,4655437
195,4563967
196,4060148
197,2928454
198,4011559
199,4618950
200,4184183
201,3559767
202,4434064
203,4652240
204,4768274
205,4889410
206,4822774
207,4292005
208,4829632
209,3940328
210,4353690
211,5030475
212,3356144
213,3596076
214,5306411
215,2322662
216,4612941
217,4805434
218,4305619
219,2788751
220,5386353
221,4674298
222,4744000
223,4126628
224,5119549
225,4255786
226,3349625
227,5819024
228,3125813
229,5101364
230,4667226
231,5226873
232,4444801
233,4217696
234,3671679
