Id,Prediction
0,4159437
1,3662378
2,3471263
3,3397004
4,4050504
5,4559938
6,4094684
7,3784772
8,5020917
9,4034832
10,4578253
11,4914007
12,4484045
13,4563761
14,4402891
15,4739367
16,4807009
17,3864289
18,5343220
19,3794444
20,2897540
21,5037130
22,4570411
23,5386856
24,5161877
25,4022015
26,3684819
27,5093749
28,3863392
29,4910328
30,4239879
31,3331981
32,3312735
33,4906566
34,3160382
35,4443082
36,4082206
37,4772174
38,3373881
39,3727050
40,4809450
41,4614217
42,4930547
43,5000860
44,5540626
45,4496253
46,3372639
47,2809463
48,4739068
49,4495197
50,4423128
51,3763740
52,5005424
53,3337224
54,3486794
55,4552295
56,5774392
57,4204077
58,4766470
59,5144429
60,3041960
61,3875939
62,3994158
63,4253637
64,4724947
65,5944209
66,4538255
67,5713937
68,5118245
69,4841706
70,4152653
71,3274367
72,4275367
73,4066164
74,5238116
75,4399952
76,4844560
77,4221808
78,4757331
79,4476023
80,5529966
81,4919478
82,4009713
83,4471512
84,5465455
85,2184928
86,4624982
87,4973114
88,4640509
89,3838820
90,5188560
91,4175553
92,3897731
93,4434953
94,5334376
95,3510050
96,4600339
97,4664075
98,4058559
99,4819448
100,4315650
101,2829877
102,3750702
103,3644250
104,4012097
105,3478673
106,4501421
107,4958840
108,5033348
109,4981294
110,5032823
111,4300359
112,4648120
113,4805511
114,4105375
115,4616268
116,3374583
117,5085153
118,3997770
119,4811187
120,4896859
121,4879395
122,4202421
123,5567190
124,3485508
125,4150670
126,5367575
127,3850418
128,4193273
129,4381396
130,2947740
131,4882405
132,5252790
133,3574008
134,4337351
135,4024561
136,4228702
137,4142494
138,4534844
139,4447509
140,5857226
141,2913809
142,4919339
143,3157212
144,4947201
145,3977474
146,4938785
147,3574132
148,4382547
149,4761213
150,4100171
151,3374896
152,5172996
153,5666631
154,3582550
155,5079782
156,5174195
157,4913769
158,3759969
159,4036646
160,3295947
161,4184539
162,3907483
163,5228391
164,6299923
165,3436696
166,4432628
167,3881135
168,4443213
169,4842585
170,4088400
171,3375853
172,3879847
173,4946760
174,4940522
175,3452659
176,5698159
177,5114897
178,4369160
179,3646600
180,4359516
181,4455958
182,4840749
183,4023055
184,4628857
185,3592633
186,3855076
187,5313350
188,5529486
189,4784921
190,4422866
191,4995427
192,5425360
193,3919138
194,4622104
195,4601257
196,4203711
197,2779043
198,3720360
199,4510808
200,4315510
201,3868595
202,4500978
203,4863926
204,5110088
205,5222488
206,4858248
207,4376847
208,4701495
209,3870780
210,4493044
211,4955516
212,3543844
213,3486974
214,5587475
215,2290406
216,4698939
217,5060781
218,4107682
219,2932294
220,5464649
221,4790606
222,5027791
223,4148616
224,4870504
225,4504571
226,3635897
227,6223822
228,3326916
229,4956850
230,4649024
231,5763087
232,4237106
233,4297361
234,3825018
235,4788067
236,4335203
237,3606981
238,4349798
239,4558966
240,4496477
241,4220469
242,3554655
243,4430808
244,4921294
245,4818803
246,4103248
247,4713292
248,4609699
249,4444292
250,3089275
251,4699009
252,5727407
253,4294631
254,4614909
255,3756634
256,4512785
257,4585679
258,3749201
259,4139567
260,4407702
261,4026393
262,5579559
263,4377446
264,2580043
265,5472967
266,4363259
267,6250203
268,4871892
269,4315797
270,3831275
271,3071203
272,4808605
273,4819836
274,3897653
275,5588289
276,6097965
277,5526500
278,4742767
279,4209931
280,5117851
281,3969725
282,3337962
283,4009474
284,4823096
285,3019135
286,5078642
287,4248981
288,4596851
289,3871256
290,4224604
291,4438467
292,3508605
293,4872741
294,3726923
295,5368331
296,5337039
297,5508192
298,4681783
299,4913773
300,4638666
301,4891560
302,5057766
303,5563069
304,4236702
305,4761003
306,4110255
307,4857197
308,2448133
309,4347209
310,4476153
311,3905608
312,3369781
313,4225623
314,3603359
315,3829764
316,3137629
317,4553540
318,5566822
319,4053863
320,4015565
321,3746709
322,4102775
323,4383958
324,4412985
325,4260852
326,4951138
327,4503977
328,4667580
329,5378216
330,3353850
331,4917142
332,4802595
333,5614292
334,5372630
335,4614137
336,3169727
337,4782775
338,4066303
339,3522813
340,4879088
341,4761670
342,4875185
343,4789483
344,4542840
345,4007207
346,3853023
347,5485151
348,3218229
349,4790381
350,4501416
351,5263980
352,5703532
353,3815282
354,3769756
355,4654663
356,5187954
357,4590030
358,4966444
359,5062623
360,4381396
361,4204557
362,4091176
363,4683687
364,5334742
365,3782328
366,3123956
367,3984333
368,3938180
369,4850446
370,4005783
371,4581062
372,4692735
373,5267964
374,3680660
375,4777586
376,3930594
377,3951085
378,4937073
379,4546794
380,4929856
381,4017323
382,3489021
383,4868803
384,4049655
385,5913235
386,4018377
387,4789841
388,4731630
389,4423019
390,5277649
391,3672762
392,3655169
393,4581561
394,5424220
395,3460880
396,5269770
397,5323033
398,5410717
399,5278733
400,3463316
401,3845173
402,3788669
403,4718641
404,3571813
405,4350411
406,4647013
407,4455973
408,2799413
409,3826882
410,3618825
411,3919105
412,4709047
413,5035808
414,5285428
415,4067977
416,5280173
417,2736814
418,4082563
419,3726189
420,4526477
421,4937590
422,4824213
423,3886203
424,4783194
425,4622594
426,4505474
427,3797575
428,4822753
429,3473338
430,3859128
431,4068245
432,2824629
433,4309477
434,3605590
435,4581326
436,4103919
437,3258679
438,3503581
439,5342490
440,4850467
441,4805965
442,4743913
443,4636889
444,4727607
445,4420782
446,5708810
447,4506169
448,4824403
449,5889623
450,5008379
451,3703441
452,3728362
453,5035430
454,4816903
455,4221303
456,3447954
457,4153492
458,4252346
459,3134502
460,5143778
461,4564927
462,5270694
463,3332789
464,4721382
465,3757962
466,4287375
467,3515265
468,4317463
469,4562288
470,4235433
471,4481662
472,3688677
473,4550075
474,4992660
475,4069286
476,3805810
477,4862832
478,4138949
479,4874081
480,3896907
481,5657050
482,3705770
483,4757962
484,5468325
485,3448293
486,4642939
487,4324492
488,4838491
489,3839524
490,4716069
491,3341551
492,4568995
493,5069556
494,4474221
495,4361996
496,4969465
497,4340642
498,4184060
499,4482285
500,4650627
501,2787555
502,4157389
503,5296559
504,4101840
505,4019696
506,3806556
507,4543844
508,3462719
509,4684347
510,5296701
511,5251154
512,2832338
513,5006134
514,3690137
515,2781692
516,3549805
517,4620455
518,4459999
519,4490591
520,3773047
521,5443634
522,5282699
523,5457991
524,4649848
525,4898390
526,2858679
527,4945799
528,5729517
529,4624235
530,3921699
531,4348488
532,4638169
533,4052677
534,5117635
535,4536248
536,4520287
537,3618160
538,3748082
539,5360894
540,4673440
541,3569741
542,3901914
543,4311305
544,4171119
545,4750429
546,3126713
547,4262645
548,3986199
549,4289607
550,3916375
551,4336531
552,4261122
553,5094046
554,4543484
555,4480377
556,3366163
557,5083623
558,4134704
559,4374600
560,4719165
561,5645631
562,2771451
563,4747492
564,3422295
565,4638092
566,3302681
567,5425118
568,4228844
569,3788785
570,4702048
571,5265685
572,4469085
573,4809121
574,4390262
575,3350694
576,6017704
577,4043304
578,3938050
579,4550160
580,3680509
581,4411506
582,5521764
583,4094019
584,4352408
585,4637252
586,3626981
587,3917395
588,5135772
589,4232032
590,3734971
591,4214679
592,4400838
593,3226465
594,3833044
595,3641352
596,4052857
597,3867649
598,4453280
599,5330182
600,5160439
601,5203868
602,5049517
603,3042084
604,2945148
605,3459448
606,3303560
607,3948181
608,2975258
609,5286558
610,5854220
611,2756037
612,4796583
613,4700493
614,5295222
615,3226443
616,4939721
617,5060450
618,5990912
619,4343471
620,4208295
621,5429401
622,4818510
623,5106203
624,3409860
625,5001267
626,4742101
627,4860468
628,3918736
629,4029959
630,5899457
631,5271837
632,5190452
633,5361700
634,2920506
635,3961595
636,5007777
637,3972153
638,4254524
639,4643572
640,4787211
641,4909644
642,3440556
643,4951704
644,5050693
645,3373754
646,4875122
647,3770395
648,3934987
649,3652131
650,3452426
651,4357168
652,5185184
653,5228069
654,4071343
655,5316500
656,3969620
657,5018141
658,5771030
659,4142330
660,5105436
661,5377528
662,4952617
663,4723616
664,4152187
665,3618169
666,5566024
667,3702361
668,4199013
669,4350163
670,5455904
671,5322598
672,3791959
673,4485666
674,4662637
675,3354988
676,4097435
677,3426889
678,3977542
679,4973986
680,3711196
681,4612559
682,3538410
683,4672667
684,4651755
685,4919387
686,3751561
687,2866197
688,5201684
689,3745734
690,4048359
691,3727624
692,3460249
693,3635229
694,3451984
695,3457943
696,4227464
697,5062284
698,4604975
699,3336455
700,5718787
701,4152397
702,4147465
703,5000634
704,4950282
705,5221887
706,5191448
707,4394639
708,4482778
709,4112690
710,4732598
711,5229319
712,4171463
713,4106467
714,4731483
715,4176026
716,3785472
717,4712306
718,4887962
719,5538612
720,4670143
721,5868152
722,4637753
723,3036793
724,4588617
725,4230386
726,3042604
727,3854877
728,3979655
729,3590366
730,3865412
731,4319485
732,3624361
733,6012946
734,4274914
735,4424533
736,3654348
737,4424091
738,3368830
739,4088995
740,4815507
741,4891817
742,4151328
743,4943733
744,4527522
745,5288515
746,3516722
747,5645177
748,5101627
749,4544661
750,5686150
751,4122775
752,4017415
753,2619784
754,3616238
755,3558779
756,3917786
757,4711037
758,3769724
759,5447343
760,3853460
761,4051863
762,3413853
763,3954533
764,5231360
765,5693956
766,4635513
767,3753162
768,4258846
769,4802076
770,3972378
771,4255578
772,4956888
773,4142843
774,4216221
775,4382666
776,3715573
777,4695019
778,4423341
779,3881939
780,3493458
781,4704369
782,5471737
783,3663269
784,4638214
785,3667723
786,5690407
787,4688272
788,4961396
789,4488989
790,3606486
791,4781607
792,3556394
793,3150535
794,3705751
795,4478980
796,3387411
797,3754862
798,4084462
799,4987905
800,5302732
801,4513067
802,4771184
803,4131230
804,4130392
805,4031663
806,4604155
807,4942532
808,4248600
809,2806551
810,4657599
811,4446262
812,5068424
813,4559460
814,3039441
815,4758390
816,3939842
817,3529245
818,4209070
819,3141837
820,4520063
821,4576065
822,4384156
823,4554085
824,4315537
825,4597071
826,4859575
827,2851276
828,5308561
829,4029534
830,5080297
831,5008676
832,4513895
833,5246628
834,5611677
835,3886842
836,2572448
837,4560914
838,4006465
839,2584373
840,3971788
841,3246193
842,5340861
843,4609435
844,4791019
845,4647498
846,4956530
847,4836642
848,3440835
849,3861645
850,3920782
851,4350023
852,5940624
853,3526523
854,3797569
855,3639223
856,4950219
857,4623489
858,3695377
859,5059334
860,4228691
861,4969077
862,3607114
863,4582677
864,5274350
865,4905606
866,3947375
867,3175798
868,4768906
869,4879399
870,2911365
871,4912306
872,4620257
873,4500044
874,4545865
875,3457920
876,3411906
877,5149526
878,3233385
879,4915850
880,3512552
881,3682524
882,5057533
883,4616865
884,4726577
885,5063230
886,4198958
887,5068299
888,3435533
889,4621747
890,3878457
891,4612438
892,5457196
893,4000653
894,5387840
895,4523946
896,4497411
897,4215079
898,4547183
899,5053221
900,3890009
901,5481349
902,5001024
903,4249029
904,3186383
905,4287993
906,4306446
907,4305572
908,4701521
909,3915503
910,4679519
911,5073894
912,4027768
913,4052351
914,4210883
915,5265002
916,2328967
917,5690021
918,3836954
919,4439985
920,4084113
921,3651043
922,4864579
923,4325413
924,4746128
925,5585829
926,5052135
927,4014424
928,5217322
929,4422396
930,4200802
931,3037568
932,4592321
933,5698309
934,4334130
935,4076320
936,3342435
937,4339623
938,4099202
939,5750812
940,5150526
941,4557753
942,4126960
943,5234619
944,4703154
945,2588166
946,5513342
947,4733553
948,4608666
949,3407522
950,5156331
951,3842936
952,3681475
953,4062973
954,5593872
955,4687764
956,4647654
957,5200217
958,4830522
959,4290314
960,5093755
961,4913490
962,4739815
963,5385471
964,6017504
965,3423573
966,5057750
967,5106677
968,3897253
969,3711582
970,3537770
971,3799141
972,3372537
973,3364853
974,3811992
975,3435716
976,3254782
977,4753742
978,4079873
979,5937152
980,4963561
981,2686280
982,4274996
983,5396347
984,5305223
985,4482257
986,3573191
987,4495759
988,5238950
989,4046446
990,4546522
991,2695303
992,4754575
993,5343153
994,5018779
995,3255336
996,4243925
997,4933748
998,4295242
999,4937701
1000,4475580
1001,3795505
1002,3917831
1003,5384283
1004,4955324
1005,4801506
1006,6012563
1007,4311236
1008,3126626
1009,3879721
1010,3842496
1011,4756202
1012,4047203
1013,4624339
1014,4575715
1015,4768048
1016,5119767
1017,4429896
1018,4179404
1019,4058694
1020,4666418
1021,4071220
1022,4647083
1023,3507689
1024,4498964
1025,4681653
1026,4384642
1027,4027607
1028,4906475
1029,3811254
1030,5607277
1031,3771413
1032,3284316
1033,4923622
1034,5043729
1035,4014675
1036,4473173
1037,4265504
1038,4832259
1039,5064314
1040,4737150
1041,3755829
1042,3144688
1043,4359844
1044,4821196
1045,5247765
1046,4857143
1047,4768863
1048,4093353
1049,4689536
1050,5177234
1051,3996271
1052,3950375
1053,3301232
1054,5537757
1055,2812136
1056,6090472
1057,4987656
1058,2959877
1059,4532859
1060,4767750
1061,4661637
1062,5028313
1063,4859511
1064,4967274
1065,4081558
1066,5275296
1067,4628599
1068,4895727
1069,4435671
1070,4428610
1071,4159336
1072,4720448
1073,5510688
1074,5699774
1075,4056949
1076,4241114
1077,3647544
1078,3456350
1079,5267511
1080,4068201
1081,4349599
1082,3847484
1083,4786728
1084,3692815
1085,2464444
1086,5113485
1087,4029094
1088,4509430
1089,3647087
1090,4961601
1091,4086980
1092,4607292
1093,4453785
1094,4786985
1095,4308953
1096,2964226
1097,4214657
1098,3868247
1099,4315591
1100,4176525
1101,4850290
1102,4072583
1103,4419489
1104,4643196
1105,4005542
1106,4013663
1107,5190063
1108,4429363
1109,4632787
1110,4687935
1111,5330590
1112,4110340
1113,3536060
1114,3949277
1115,3440870
1116,3620010
1117,5563699
1118,4956376
1119,3644031
1120,4161830
1121,2599957
1122,4740777
1123,3699525
1124,3945442
1125,5188561
1126,4779267
1127,3158683
1128,4430208
1129,4521738
1130,4293444
1131,5316027
1132,4047635
1133,3736052
1134,4700853
1135,3024360
1136,4927024
1137,3433124
1138,4830034
1139,4978018
1140,4915823
1141,4528557
1142,4613768
1143,4204341
1144,3662726
1145,4638252
1146,4110089
1147,5653391
1148,4147432
1149,4760600
1150,4354186
1151,2515550
1152,4128434
1153,4915045
1154,4462414
1155,3436395
1156,4166266
1157,5094674
1158,5016963
1159,4025672
1160,4519236
1161,4868306
1162,4845076
1163,4243814
1164,4180896
1165,4346712
1166,4673758
1167,5414942
1168,3541090
1169,5100064
1170,4216983
1171,3808168
1172,2250947
1173,4904644
1174,3616238
1175,4391596
1176,4805351
1177,4780048
1178,4559612
1179,4707748
1180,4723389
1181,4538866
1182,5440630
1183,3737947
1184,3865087
1185,3341330
1186,4678317
1187,3794350
1188,4644775
1189,4764563
1190,4831182
1191,4389538
1192,4167986
1193,3243675
1194,4476995
1195,4415910
1196,4333961
1197,3587714
1198,4045474
1199,4333842
1200,6144675
1201,4855794
1202,3524083
1203,3473638
1204,3545481
1205,3105155
1206,4825282
1207,4362640
1208,4626809
1209,4778226
1210,4031448
1211,3908925
1212,3770682
1213,4767285
