Id,Prediction
0,4016265
1,3762020
2,3412327
3,3362647
4,3813010
5,4815395
6,4125898
7,3686527
8,4946848
9,3884391
10,4803777
11,4548911
12,4365993
13,4421325
14,4383427
15,4684843
16,4793878
17,3753592
18,5133747
19,3769366
20,2569558
21,5236351
22,4358967
23,5193868
24,5008334
25,4129351
26,3686476
27,4743452
28,3869099
29,4521600
30,4403536
31,3198999
32,3273011
33,4724857
34,3170611
35,4565675
36,4018087
37,4496741
38,3606818
39,3931207
40,4789254
41,4506431
42,4691040
43,4746608
44,5312419
45,4428939
46,3350672
47,2842757
48,4765851
49,4350241
50,4413382
51,3771832
52,5175019
53,3378542
54,3463406
55,4782243
56,5415053
57,3968283
58,4914929
59,4843426
60,3064012
61,3859969
62,4084758
63,4300107
64,4608167
65,5592517
66,4698373
67,5537790
68,5225343
69,4944499
70,4124815
71,3255760
72,4441988
73,3987642
74,4826060
75,4303674
76,5134181
77,4245842
78,4617531
79,4346475
80,5154729
81,4843985
82,4220543
83,4371752
84,5460246
85,2402136
86,4704408
87,4796826
88,4432508
89,3893914
90,4890858
91,4035462
92,3761200
93,4288214
94,5310821
95,3642465
96,4423618
97,4567688
98,3981868
99,4819296
100,4164133
101,2870755
102,3800902
103,3559055
104,3565977
105,3422764
106,4236629
107,4720920
108,4840957
109,4672197
110,4760402
111,4115677
112,4683005
113,4524373
114,4063035
115,4692063
116,3378394
117,5194910
118,4006346
119,4586493
120,4987477
121,4853302
122,4306653
123,5394578
124,3498350
125,3852273
126,5292500
127,3794111
128,4132557
129,4399109
130,2995161
131,4751607
132,5112963
133,3539101
134,4384438
135,3947552
136,4233504
137,3995779
138,4355204
139,4653176
140,5607840
141,2753674
142,4852732
143,3021506
144,4941201
145,3957526
146,4988900
147,3469905
148,4358615
149,4698311
150,3997001
151,3275002
152,5099465
153,5489989
154,3744338
155,4798569
156,5215961
157,4798780
158,3844452
159,4175047
160,3279740
161,3901293
162,3751512
163,5212687
164,5767571
165,3503651
166,4455833
167,3738337
168,4458996
169,4811455
170,4178039
171,3312813
172,3875289
173,4512376
174,4710302
175,3373203
176,5739945
177,5424247
178,4486883
179,3643874
180,4440140
181,4095117
182,4710109
183,4018228
184,4567384
185,3545520
186,3988718
187,5322123
188,5343123
189,4692267
190,4210941
191,4899585
192,5128701
193,3796252
194,4647256
195,4584046
196,4074009
197,2942939
198,4010470
199,4626950
200,4207085
201,3585454
202,4438429
203,4677100
204,4767620
205,4895113
206,4824247
207,4303036
208,4830838
209,3964934
210,4361916
211,5035192
212,3377955
213,3608028
214,5300655
215,2341725
216,4616750
217,4820170
218,4312797
219,2797477
220,5399904
221,4685411
222,4771991
223,4135800
224,5117382
225,4262035
226,3372804
227,5835047
228,3141626
229,5091397
230,4661184
231,5244945
232,4452101
233,4233076
234,3678007
235,4719891
236,4300367
237,3799432
238,4173803
239,4137788
240,4606799
241,4014730
242,3426696
243,4574747
244,5122551
245,4631283
246,4101341
247,4862753
248,4512273
249,4213711
250,2885065
251,4587545
252,5287030
253,4276571
254,4684052
255,3888591
256,4309457
257,4407456
258,3908230
259,3959864
260,4297663
261,4021683
262,5295134
263,4320522
264,2610685
265,5218562
266,4215779
267,5755680
268,4843211
269,4155379
270,3690150
271,2967148
272,4699336
273,4763004
274,4048910
275,5288406
276,5775032
277,5351097
278,4741999
279,4267899
280,5042021
281,3878548
282,3415572
283,3899540
284,4960234
285,2827812
286,5111580
287,4054566
288,4427993
289,3762884
290,4311243
291,4418216
292,3432371
293,4956668
294,3445077
295,5331684
296,4852131
297,5140527
298,4544101
299,4874357
300,4488375
301,4707011
302,4906058
303,5097460
304,4116199
305,4758382
306,4494728
307,4467878
308,2510037
309,4118174
310,4421025
311,3904401
312,3557897
313,4333409
314,3532109
315,3708937
316,3037432
317,4397911
318,5096120
319,3855751
320,4094174
321,3771578
322,4225521
323,4542080
324,4611694
325,4216797
326,4810345
327,4532585
328,4628201
329,5133397
330,3343666
331,4676606
332,4633599
333,5535510
334,5210762
335,4642619
336,3262625
337,4585243
338,4110402
339,3408827
340,4472123
341,4761360
342,4686555
343,4823584
344,4327981
345,4068163
346,3930064
347,4843977
348,3094176
349,4995870
350,4511928
351,5089189
352,5610324
353,3797470
354,3934942
355,4394534
356,5228266
357,4424038
358,4897552
359,4890235
360,4386989
361,4304044
362,4056157
363,4470332
364,5043580
365,3753089
366,2784699
367,3863401
368,3946231
369,4743949
370,3964415
371,4594410
372,4616186
373,5113849
374,3628142
375,4582227
376,3720823
377,3840350
378,4946562
379,4677936
380,4760251
381,3960771
382,3406714
383,4809138
384,4082352
385,5747978
386,3972049
387,4711237
388,4449274
389,4398591
390,5317405
391,3756033
392,3688166
393,4630012
394,5235163
395,3545792
396,4873992
397,5071570
398,5014593
399,5132078
400,3392318
401,4013813
402,3707892
403,4758151
404,3665277
405,4408140
406,4538369
407,4457336
408,2791874
409,3868757
410,3695107
411,4006334
412,4381653
413,4926932
414,5391751
415,4134691
416,5421948
417,2765578
418,4305657
419,3744591
420,4505180
421,4971950
422,4415190
423,4038941
424,4629114
425,4487975
426,4463921
427,3724936
428,4825176
429,3420683
430,3556665
431,3859479
432,2828983
433,4269331
434,3798719
435,4553149
436,3970270
437,3361574
438,3523764
439,5139354
440,4768036
441,4755844
442,4159426
443,4697216
444,4732334
445,4419766
446,5524617
447,4697062
448,4637390
449,5919806
450,4873785
451,3737396
452,3637454
453,5029489
454,4967890
455,4150159
456,3354901
457,3920782
458,4445027
459,3279507
460,4940026
461,4506682
462,4897616
463,3345503
464,4632379
465,3680669
466,4170265
467,3550397
468,4320156
469,4396260
470,4114322
471,4424175
472,3240900
473,4585540
474,4809127
475,3947381
476,3823894
477,4873339
478,4242614
479,4891209
480,3860186
481,5461932
482,3802279
483,4799534
484,5358325
485,3380862
486,4639504
487,4215066
488,4920504
489,3953561
490,4718390
491,3458773
492,4534940
493,4814219
494,4370656
495,4261305
496,4779081
497,3947708
498,4269065
499,4317197
500,4579451
501,2823067
502,4151597
503,5260965
504,3675776
505,4080526
506,3806939
507,4483631
508,3462989
509,4527918
510,5071777
511,5028949
512,2825171
513,4861879
514,3731883
515,2796347
516,3589988
517,4586641
518,4346691
519,4594006
520,3858278
521,5063740
522,5458746
523,5352260
524,4207647
525,4794163
526,2659056
527,4796770
528,5443633
529,4615604
530,3936232
531,4007143
532,4664103
533,4119926
534,4969259
535,4095476
536,4465784
537,3577196
538,3726439
539,4986161
540,4554968
541,3646054
542,3771888
543,4197988
544,4307038
545,4914461
546,3094362
547,4041977
548,3884577
549,4196079
550,3908955
551,4337245
552,3983815
553,4939123
554,4580430
555,4439017
556,3562032
557,4907619
558,4022709
559,4352689
560,4217127
561,5444736
562,2744743
563,4739571
564,3355831
565,4607307
566,3432395
567,5246198
568,4188488
569,3751384
570,4267738
571,5127264
572,4335146
573,5046645
574,4037725
575,3267150
576,5745214
577,4044199
578,4029381
579,4355201
580,3762897
581,4475189
582,5330554
583,3862875
584,4125760
585,4703204
586,3601393
587,3981192
588,4873112
589,4193803
590,3944492
591,4287665
592,4289357
593,3277335
594,3677822
595,3461891
596,3986688
597,3742524
598,4445299
599,5276640
600,4996492
601,4944750
602,4876590
603,3521815
604,2925382
605,3389486
606,3149324
607,3667509
608,2869835
609,4791882
610,5369661
611,2710292
612,4543957
613,4563019
614,5318957
615,3158347
616,4796354
617,4866114
618,5629167
619,4096897
620,4301775
621,5314907
622,4778604
623,4789687
624,3194392
625,4851562
626,4657431
627,4872924
628,3666646
629,3821927
630,5819769
631,5080885
632,5138575
633,5072245
634,2951136
635,3881395
636,4858276
637,4187552
638,4091758
639,4521442
640,4910788
641,4814598
642,3458179
643,4956761
644,4667769
645,3362153
646,4645444
647,3765664
648,3915591
649,3939919
650,3849784
651,4324334
652,5209685
653,4862027
654,4044895
655,5179691
656,3888047
657,4952602
658,5198271
659,4393776
660,4977431
661,5211476
662,4857515
663,4828247
664,4202620
665,3629544
666,5517941
667,3655154
668,4277302
669,4292227
670,5191557
671,5107966
672,3737802
673,4391855
674,4533945
675,3286544
676,3981492
677,3442415
678,3708696
679,4902678
680,3725968
681,4483431
682,3545887
683,4641276
684,4694046
685,4843615
686,3691328
687,2909879
688,5143552
689,3762414
690,4021692
691,3704555
692,3530059
693,3654167
694,3441663
695,3449298
696,4229212
697,4988712
698,4213900
699,3344438
700,5464818
701,4192112
702,4300865
703,5044792
704,5125594
705,5394032
706,4862662
707,4402731
708,4595860
709,3985161
710,4534118
711,5073670
712,4075971
713,4072271
714,4746720
715,4378840
716,3597545
717,4466226
718,4864307
719,5286464
720,4654106
721,5449042
722,4781653
723,2866272
724,4502825
725,3914329
726,2950468
727,3768150
728,4026222
729,3610753
730,3890082
731,4210712
732,3678267
733,5778052
734,4334237
735,4490453
736,3503896
737,4333492
738,3330649
739,4308363
740,4644412
741,4678612
742,4131067
743,4761836
744,4721071
745,5288388
746,3332403
747,5542314
748,4859705
749,4738726
750,5457411
751,4259386
752,4013673
753,2492997
754,3682185
755,3471291
756,3921197
757,5045485
758,3606509
759,5148439
760,3721978
761,4039757
762,3519181
763,3730856
764,5058561
765,5720260
766,4668633
767,3697568
768,4256718
769,4785849
770,4012625
771,4194157
772,4542900
773,4222229
774,4446209
775,4424049
776,3672435
777,4174873
778,4506454
779,4069156
780,3430352
781,4400209
782,5096172
783,3580442
784,4533901
785,3626099
786,5515747
787,4720175
788,4954692
789,4619364
790,3242529
791,4716659
792,3611803
793,3344824
794,3666834
795,4538137
796,3303229
797,3593559
798,3937314
799,4769451
800,5182245
801,4205065
802,4432309
803,3928964
804,4132436
805,4211505
806,4865211
807,5025641
808,3832442
809,2798255
810,4584861
811,4707757
812,4835737
813,4293233
814,2909689
815,4641768
816,3953479
817,3464758
818,4103835
819,3212718
820,4158080
821,4646897
822,4188768
823,4385768
824,4014927
825,4327870
826,4636322
827,2850383
828,5313457
829,4001502
830,4904685
831,4763340
832,4498353
833,5381178
834,5229968
835,3872114
836,2526315
837,4423823
838,3870909
839,2646378
840,4040608
841,3217913
842,5109315
843,4396124
844,4936681
845,4648366
846,4561717
847,4878567
848,3424412
849,3920277
850,3944999
851,4004263
852,5527206
853,3544723
854,3764475
855,3663246
856,5164883
857,4421469
858,3744445
859,4935667
860,4353094
861,4865279
862,3616090
863,4347138
864,5189953
865,4898783
866,4079741
867,3114816
868,4793805
869,5131393
870,2875434
871,4691257
872,4564018
873,4212348
874,4483848
875,3234224
876,3371625
877,4974118
878,3147996
879,4956564
880,3581359
881,3784905
882,4859813
883,4305129
884,4599700
885,4804962
886,4073989
887,4870167
888,3400379
889,4568495
890,3817664
891,4291819
892,5125341
893,3896010
894,4911733
895,4593055
896,4449232
897,4189952
898,4432602
899,4844618
900,3752188
901,5202414
902,4899862
903,4332371
904,3096887
905,4261972
906,4145126
907,4228606
908,4608948
909,3560640
910,4585834
911,5071341
912,3916941
913,4018132
914,3975163
915,5036244
916,2513579
917,5472196
918,3835044
919,4536550
920,3938202
921,3531297
922,4689562
923,4338198
924,4793296
925,5601309
926,4945206
927,3978817
928,5244045
929,4314582
930,4167876
931,3076948
932,4513830
933,5357629
934,4262543
935,4056821
936,3271576
937,4217259
938,4004022
939,5375219
940,4956248
941,4473108
942,3997326
943,5044865
944,4730413
945,2665395
946,5227872
947,4520832
948,4553838
949,3376096
950,4908638
951,4087554
952,3700553
953,4235099
954,5508666
955,4611300
956,4735060
957,5132785
958,4745226
959,4408751
960,5053225
961,4736189
962,4686750
963,5201024
964,5523500
965,3456511
966,4994857
967,5126719
968,3287755
969,3317212
970,3536942
971,3998294
972,3417304
973,3247338
974,3763359
975,3470100
976,3147932
977,4746154
978,4047367
979,5375129
980,4638434
981,2598691
982,4299850
983,5024779
984,5380548
985,4544377
986,3587348
987,4507959
988,5141696
989,4157149
990,4394900
991,2652678
992,4969145
993,5082315
994,5119226
995,3138825
996,3989664
997,5007160
998,4139298
999,5040219
1000,4383297
1001,3792663
1002,4219139
1003,5383541
1004,5105639
1005,4640182
1006,5644977
1007,4347024
1008,3145795
1009,3865282
1010,3957916
1011,4664938
1012,3895612
1013,4793708
1014,4648613
1015,4900337
1016,4913176
1017,4488091
1018,4089753
1019,4092569
1020,4595690
1021,3843975
1022,4482811
1023,3549897
1024,4430763
1025,4526271
1026,4478679
1027,3918991
1028,4686454
1029,3856617
1030,5820362
1031,3759285
1032,3079164
1033,5075248
1034,4632716
1035,4101747
1036,4558457
