Id,Prediction
0,4016005
1,3760716
2,3410640
3,3362207
4,3813605
5,4814997
6,4129817
7,3683628
8,4947638
9,3885444
10,4804230
11,4548071
12,4365561
13,4423078
14,4381739
15,4685290
16,4793838
17,3755409
18,5135085
19,3771976
20,2572920
21,5237882
22,4355789
23,5193922
24,5006680
25,4129370
26,3689511
27,4742084
28,3866005
29,4522583
30,4403586
31,3196699
32,3274999
33,4723371
34,3169627
35,4568955
36,4018328
37,4495909
38,3605729
39,3932685
40,4787928
41,4506937
42,4689656
43,4745983
44,5315164
45,4431934
46,3349741
47,2843020
48,4765948
49,4353857
50,4411909
51,3771295
52,5173457
53,3378066
54,3461511
55,4786514
56,5413919
57,3967837
58,4914621
59,4843896
60,3063598
61,3860764
62,4081554
63,4301720
64,4607608
65,5590608
66,4700281
67,5536203
68,5227486
69,4943807
70,4121601
71,3256114
72,4442182
73,3987830
74,4823077
75,4306024
76,5132798
77,4247556
78,4616078
79,4346499
80,5153062
81,4842924
82,4218738
83,4374064
84,5460323
85,2402301
86,4707830
87,4798047
88,4433455
89,3892129
90,4891982
91,4035723
92,3763116
93,4287362
94,5307954
95,3641498
96,4421361
97,4568806
98,3978583
99,4818463
100,4163728
101,2871623
102,3802376
103,3560215
104,3566362
105,3422651
106,4235575
107,4721620
108,4839703
109,4674739
110,4762653
111,4115536
112,4684657
113,4525472
114,4062742
115,4685876
116,3377559
117,5198892
118,4011614
119,4585506
120,4992993
121,4852396
122,4304736
123,5398401
124,3497620
125,3854507
126,5290879
127,3796010
128,4128548
129,4400473
130,2997737
131,4749999
132,5109906
133,3540697
134,4382776
135,3946335
136,4236889
137,3995251
138,4357270
139,4653387
140,5607540
141,2754820
142,4853075
143,3020827
144,4941340
145,3957276
146,4987949
147,3468339
148,4361124
149,4700805
150,3996974
151,3276853
152,5099495
153,5487010
154,3743611
155,4801621
156,5212793
157,4794503
158,3844335
159,4178988
160,3281038
161,3904331
162,3750173
163,5212445
164,5766224
165,3507384
166,4451847
167,3734594
168,4458089
169,4815676
170,4173937
171,3311282
172,3875779
173,4514160
174,4711581
175,3376037
176,5738276
177,5424799
178,4488854
179,3643669
180,4440842
181,4094826
182,4715089
183,4017535
184,4566021
185,3548110
186,3988817
187,5323557
188,5342290
189,4691327
190,4213358
191,4901164
192,5127398
193,3793369
194,4652020
195,4585624
196,4072268
197,2940464
198,4009895
199,4623133
200,4208545
201,3586557
202,4439817
203,4676174
204,4768444
205,4895396
206,4821708
207,4300055
208,4831946
209,3961122
210,4363526
211,5035709
212,3376075
213,3608295
214,5304450
215,2344622
216,4618216
217,4822304
218,4314866
219,2799776
220,5395605
221,4686548
222,4768267
223,4131435
224,5118516
225,4262005
226,3370409
227,5836543
228,3138097
229,5096418
230,4660338
231,5243048
232,4453091
233,4233294
234,3683065
235,4721272
236,4300289
237,3801796
238,4175005
239,4135952
240,4607674
241,4013552
242,3428792
243,4575911
244,5121020
245,4633645
246,4102950
247,4860980
248,4513709
249,4214041
250,2887819
251,4588860
252,5285513
253,4277617
254,4684771
255,3892720
256,4306802
257,4407967
258,3910957
259,3958094
260,4298935
261,4019992
262,5296413
263,4322085
264,2611158
265,5216838
266,4215889
267,5754736
268,4848667
269,4156017
270,3687600
271,2966253
272,4701262
273,4760640
274,4048381
275,5288336
276,5773227
277,5351868
278,4739614
279,4267604
280,5043034
281,3880186
282,3416489
283,3901344
284,4959268
285,2825062
286,5109689
287,4056655
288,4426018
289,3764100
290,4311032
291,4421172
292,3430235
293,4953147
294,3444110
295,5331199
296,4852036
297,5136218
298,4543789
299,4872421
300,4483930
301,4707182
302,4907147
303,5093505
304,4112884
305,4758667
306,4495092
307,4465797
308,2509607
309,4113059
310,4419858
311,3903375
312,3559894
313,4330554
314,3532444
315,3711147
316,3035317
317,4400447
318,5099352
319,3856592
320,4093531
321,3773815
322,4227812
323,4541022
324,4615551
325,4216936
326,4811971
327,4532442
328,4627653
329,5131272
330,3341531
331,4674513
332,4629248
333,5537720
334,5210946
335,4643329
336,3264685
337,4583670
338,4113853
339,3407037
340,4471695
341,4759652
342,4687426
343,4819913
344,4328316
345,4070852
346,3930610
347,4842277
348,3095849
349,4996072
350,4510911
351,5087448
352,5609140
353,3797994
354,3937022
355,4395274
356,5228348
357,4425523
358,4893747
359,4887468
360,4384018
361,4303800
362,4055559
363,4470881
364,5041409
365,3750745
366,2788411
367,3862207
368,3947989
369,4744037
370,3967578
371,4595530
372,4612534
373,5111606
374,3627935
375,4581670
376,3726343
377,3839120
378,4949244
379,4677215
380,4761864
381,3960157
382,3406077
383,4807304
384,4078601
385,5749632
386,3969618
387,4711670
388,4447343
389,4399700
390,5315875
391,3758530
392,3689438
393,4628976
394,5233894
395,3547869
396,4870681
397,5071334
398,5011782
399,5130907
400,3389841
401,4013071
402,3704924
403,4758926
404,3664121
405,4409933
406,4538689
407,4456621
408,2792869
409,3867645
410,3692999
411,4011236
412,4381561
413,4924294
414,5393195
415,4134562
416,5421236
417,2764570
418,4303695
419,3741438
420,4508334
421,4974330
422,4419875
423,4041407
424,4626445
425,4489681
426,4463371
427,3726421
428,4822526
429,3422962
430,3558716
431,3861239
432,2828793
433,4272414
434,3797247
435,4552053
436,3969792
437,3361428
438,3524730
439,5137490
440,4766480
441,4755786
442,4160235
443,4699404
444,4731578
445,4419978
446,5521865
447,4693684
448,4639223
449,5919686
450,4869680
451,3737330
452,3639281
453,5031100
454,4967580
455,4151282
456,3350067
457,3922411
458,4445685
459,3279736
460,4942360
461,4506915
462,4898247
463,3349574
464,4631202
465,3676511
466,4169412
467,3548298
468,4320711
469,4394324
470,4112711
471,4424555
472,3241790
473,4586832
474,4810100
475,3947013
476,3821895
477,4870489
478,4243633
479,4886405
480,3863057
481,5461662
482,3800066
483,4799470
484,5360227
485,3383109
486,4638531
487,4213869
488,4917049
489,3954519
490,4718203
491,3461246
492,4534860
493,4812332
494,4370622
495,4261185
496,4781686
497,3944630
498,4268215
499,4315940
500,4582674
501,2820859
502,4150557
503,5260423
504,3676185
505,4082527
506,3809718
507,4483810
508,3463231
509,4527445
510,5072180
511,5028417
512,2824002
513,4859871
514,3733074
515,2794725
516,3591333
517,4586518
518,4346774
519,4594829
520,3861101
521,5063641
522,5458734
523,5353393
524,4207101
525,4793665
526,2658681
527,4797086
528,5441200
529,4614495
530,3935530
531,4008975
532,4664441
533,4121321
534,4968138
535,4093466
536,4467542
537,3575919
538,3728211
539,4986278
540,4557471
541,3644447
542,3774535
543,4200251
544,4308991
545,4913278
546,3095093
547,4044311
548,3884450
549,4193373
550,3908993
551,4338929
552,3981363
553,4938421
554,4580057
555,4438374
556,3563601
557,4909411
558,4022096
559,4352724
560,4215660
561,5441603
562,2742544
563,4744030
564,3359192
565,4607488
566,3433585
567,5242527
568,4189789
569,3753024
570,4268331
571,5125939
572,4337920
573,5049073
574,4038457
575,3265251
576,5743167
577,4040458
578,4028322
579,4353897
580,3762872
581,4477010
582,5331172
583,3862989
584,4126823
585,4707219
586,3600232
587,3983360
588,4873107
589,4196408
590,3943606
591,4289746
592,4289711
593,3276648
594,3675792
595,3463030
596,3989391
597,3742590
598,4445965
599,5277039
600,4996215
601,4947013
602,4882332
603,3518278
604,2920367
605,3390788
606,3148479
607,3665058
608,2870422
609,4793217
610,5365994
611,2710985
612,4544425
613,4563620
614,5321199
615,3157477
616,4799283
617,4865868
618,5630508
619,4096028
620,4305065
621,5318050
622,4780419
623,4789779
624,3194380
625,4851342
626,4662310
627,4872248
628,3666920
629,3825783
630,5819469
631,5080894
632,5137850
633,5070610
634,2951024
635,3879646
636,4856596
637,4185044
638,4092798
639,4520484
640,4912165
641,4817633
642,3457754
643,4955051
644,4666427
645,3361782
646,4643899
647,3763310
648,3917636
649,3938978
650,3850992
651,4323536
652,5211210
653,4861034
654,4042170
655,5181126
656,3888694
657,4951554
658,5199262
659,4397092
660,4974808
661,5214710
662,4861354
663,4831549
664,4200931
665,3634615
666,5517411
667,3653581
668,4275555
669,4293729
670,5190441
671,5109278
672,3734521
673,4391285
674,4532634
675,3287173
676,3982534
677,3442099
678,3708054
679,4904046
680,3727874
681,4480458
682,3550114
683,4640530
684,4697667
685,4840314
686,3692549
687,2912349
688,5143415
689,3766751
690,4021315
691,3701308
692,3529501
693,3653878
694,3440335
695,3448884
696,4235017
697,4989912
698,4214450
699,3347998
700,5464847
701,4191993
702,4301438
703,5042798
704,5125542
705,5393450
706,4862396
707,4407170
708,4595702
709,3986872
710,4533636
711,5073353
712,4075725
713,4073783
714,4744977
715,4382349
716,3598072
717,4466166
718,4864871
719,5286264
720,4650652
721,5451990
722,4776927
723,2866787
724,4502992
725,3916009
726,2952849
727,3769626
728,4022605
729,3610645
730,3888386
731,4211082
732,3675622
733,5778494
734,4336550
735,4489561
736,3506456
737,4331608
738,3334206
739,4308249
740,4640268
741,4677165
742,4130279
743,4760011
744,4722784
745,5289293
746,3331784
747,5542469
748,4860372
749,4739605
750,5456757
751,4261356
752,4011304
753,2492340
754,3681890
755,3469953
756,3919860
757,5048359
758,3603643
759,5150140
760,3721567
761,4039107
762,3521031
763,3731036
764,5060270
765,5720944
766,4670409
767,3696239
768,4260082
769,4785040
770,4008939
