Id,Prediction
0,4139489
1,3642527
2,3451086
3,3377179
4,4030589
5,4539927
6,4074760
7,3764869
8,5000935
9,4014888
10,4558327
11,4893920
12,4464175
13,4543657
14,4383085
15,4719500
16,4786973
17,3844303
18,5323199
19,3774407
20,2877548
21,5017243
22,4550554
23,5366961
24,5141781
25,4002126
26,3664884
27,5073818
28,3843474
29,4890178
30,4219924
31,3312025
32,3292802
33,4886379
34,3140463
35,4423183
36,4062249
37,4752123
38,3353812
39,3707121
40,4789345
41,4594202
42,4910357
43,4980789
44,5520704
45,4476310
46,3352409
47,2789364
48,4718958
49,4475168
50,4403113
51,3743570
52,4985484
53,3317234
54,3466952
55,4532380
56,5754444
57,4184280
58,4746504
59,5124500
60,3021968
61,3855868
62,3974112
63,4233476
64,4704895
65,5924135
66,4518369
67,5694015
68,5098327
69,4821721
70,4132805
71,3254383
72,4255463
73,4046090
74,5218273
75,4379937
76,4824541
77,4201897
78,4737123
79,4455942
80,5510099
81,4899567
82,3989841
83,4451535
84,5445511
85,2165099
86,4604983
87,4953099
88,4620558
89,3818787
90,5168480
91,4155602
92,3877528
93,4415085
94,5314583
95,3490069
96,4580178
97,4644107
98,4038591
99,4799448
100,4295488
101,2809859
102,3730796
103,3624270
104,3991841
105,3458716
106,4481404
107,4938909
108,5013260
109,4961334
110,5012950
111,4280434
112,4628260
113,4785256
114,4085611
115,4596401
116,3354676
117,5065179
118,3977839
119,4791182
120,4876925
121,4859480
122,4182232
123,5547220
124,3465538
125,4130682
126,5347555
127,3830460
128,4173221
129,4361465
130,2927631
131,4862515
132,5232630
133,3554074
134,4317348
135,4004337
136,4208597
137,4122601
138,4514581
139,4427538
140,5837124
141,2893934
142,4899413
143,3137053
144,4927318
145,3957514
146,4918960
147,3553986
148,4362594
149,4741227
150,4080209
151,3354985
152,5153044
153,5646598
154,3562552
155,5059586
156,5154142
157,4893848
158,3739849
159,4016610
160,3276058
161,4164612
162,3887504
163,5208505
164,6279843
165,3416965
166,4412448
167,3861206
168,4423258
169,4822529
170,4068327
171,3355765
172,3859801
173,4926663
174,4920500
175,3432573
176,5678161
177,5095124
178,4349431
179,3626420
180,4339503
181,4436066
182,4820799
183,4003013
184,4608766
185,3572632
186,3834994
187,5293416
188,5509396
189,4764775
190,4402853
191,4975417
192,5405444
193,3899391
194,4602312
195,4581158
196,4183851
197,2759058
198,3700317
199,4490877
200,4295537
201,3848624
202,4481127
203,4843954
204,5090244
205,5202422
206,4838203
207,4356884
208,4681502
209,3850780
210,4473020
211,4935509
212,3523937
213,3467167
214,5567450
215,2270412
216,4678848
217,5040701
218,4087785
219,2912293
220,5444735
221,4770639
222,5007720
223,4128660
224,4850438
225,4484589
226,3615989
227,6203896
228,3306969
229,4936944
230,4629031
231,5743022
232,4217116
233,4277417
234,3805093
235,4768116
236,4315339
237,3587041
238,4329847
239,4538969
240,4476547
241,4200505
242,3534709
243,4410808
244,4901435
245,4798880
246,4083274
247,4693296
248,4589671
249,4424347
250,3069322
251,4679075
252,5707472
253,4274618
254,4594835
255,3736639
256,4492686
257,4565875
258,3729267
259,4119682
260,4387358
261,4006492
262,5559485
263,4357352
264,2560043
265,5452917
266,4343307
267,6230294
268,4851893
269,4295792
270,3811372
271,3051391
272,4788507
273,4800029
274,3877615
275,5568349
276,6077896
277,5506479
278,4722712
279,4189965
280,5097972
281,3949783
282,3317928
283,3989448
284,4803106
285,2999279
286,5058567
287,4228857
288,4576829
289,3851215
290,4204605
291,4418528
292,3488598
293,4852640
294,3707014
295,5348234
296,5317103
297,5488034
298,4661693
299,4893861
300,4618574
301,4871347
302,5037839
303,5542893
304,4216799
305,4741100
306,4090151
307,4837148
308,2428123
309,4327241
310,4456028
311,3885628
312,3349629
313,4205848
314,3583469
315,3809705
316,3117755
317,4533485
318,5546811
319,4033829
320,3995705
321,3726701
322,4082900
323,4363719
324,4392895
325,4240900
326,4931192
327,4483782
328,4647495
329,5358233
330,3333914
331,4897209
332,4782735
333,5594345
334,5352634
335,4594105
336,3149645
337,4762830
338,4046358
339,3502810
340,4859188
341,4741609
342,4855255
343,4769592
344,4522930
345,3987205
346,3833048
347,5465031
348,3198244
349,4770280
350,4481471
351,5243907
352,5683550
353,3795424
354,3749908
355,4634870
356,5167709
357,4570013
358,4946366
359,5042493
360,4361357
361,4184577
362,4071035
363,4663864
364,5314777
365,3762630
366,3104060
367,3964455
368,3917968
369,4830603
370,3985563
371,4561033
372,4672703
373,5247915
374,3660654
375,4757591
376,3910688
377,3931165
378,4917067
379,4526858
380,4909845
381,3997334
382,3469187
383,4848591
384,4029622
385,5893131
386,3998353
387,4769864
388,4711610
389,4402969
390,5257636
391,3652693
392,3635126
393,4561690
394,5404162
395,3440894
396,5249820
397,5302929
398,5390741
399,5258862
400,3443346
401,3825233
402,3768516
403,4698486
404,3551810
405,4330409
406,4627107
407,4435845
408,2779360
409,3806857
410,3598907
411,3899364
412,4688991
413,5015938
414,5265344
415,4048140
416,5260173
417,2716647
418,4062742
419,3706087
420,4506381
421,4917607
422,4804247
423,3866182
424,4763249
425,4602571
426,4485418
427,3777580
428,4802814
429,3453345
430,3839286
431,4048091
432,2804718
433,4289599
434,3585537
435,4561344
436,4083891
437,3238420
438,3483661
439,5322306
440,4830426
441,4785969
442,4724159
443,4616947
444,4707741
445,4400677
446,5688858
447,4486129
448,4804385
