Id,Prediction
0,4137212
1,3637541
2,3409705
3,3368125
4,4026421
5,4536769
6,4086024
7,3792231
8,4997713
9,3995355
10,4526701
11,4881016
12,4450405
13,4578478
14,4368180
15,4705940
16,4792456
17,3820443
18,5315198
19,3756991
20,2899981
21,4986978
22,4539797
23,5344341
24,5166479
25,4021045
26,3660090
27,5054646
28,3849399
29,4871647
30,4227241
31,3367567
32,3285763
33,4867486
34,3115016
35,4424029
36,4033908
37,4751037
38,3311616
39,3717277
40,4766017
41,4590755
42,4930580
43,4983173
44,5533615
45,4476973
46,3369532
47,2768892
48,4714560
49,4499037
50,4425454
51,3743722
52,5003831
53,3301696
54,3488198
55,4521674
56,5748547
57,4163117
58,4741995
59,5117090
60,3009623
61,3908845
62,3963335
63,4199786
64,4708471
65,5936739
66,4517057
67,5720713
68,5068958
69,4815137
70,4097375
71,3243689
72,4253781
73,4024507
74,5255524
75,4351044
76,4817087
77,4181625
78,4703320
79,4473519
80,5520886
81,4873589
82,3992706
83,4440971
84,5416641
85,2152798
86,4608621
87,4968295
88,4619004
89,3834464
90,5185338
91,4152626
92,3857260
93,4384650
94,5305169
95,3507683
96,4601442
97,4648318
98,4066225
99,4771555
100,4310330
101,2788295
102,3739103
103,3637120
104,3971573
105,3472228
106,4481605
107,4936963
108,5005255
109,4981741
110,4988163
111,4297607
112,4610956
113,4757729
114,4075713
115,4589046
116,3320724
117,5080982
118,3965441
119,4787568
120,4856261
121,4880509
122,4176626
123,5521330
124,3485569
125,4152551
126,5325097
127,3831795
128,4159169
129,4371856
130,2936765
131,4847251
132,5246087
133,3579074
134,4351294
135,3994227
136,4188800
137,4103521
138,4525354
139,4444036
140,5872506
141,2884507
142,4890162
143,3119756
144,4948562
145,3955993
146,4917746
147,3512017
148,4346565
149,4744410
150,4066977
151,3350781
152,5149592
153,5654936
154,3537077
155,5088394
156,5140835
157,4870388
158,3719361
159,3978392
160,3306547
161,4155860
162,3887493
163,5230424
164,6232071
165,3434582
166,4391841
167,3852401
168,4395513
169,4848207
170,4047730
171,3339947
172,3876327
173,4931342
174,4943694
175,3430567
176,5667384
177,5086979
178,4366115
179,3640753
180,4350534
181,4421564
182,4819667
183,3990241
184,4622341
185,3570381
186,3831463
187,5328259
188,5507033
189,4728910
190,4405694
191,4965673
192,5435951
193,3935069
194,4611838
195,4599303
196,4184253
197,2786176
198,3722751
199,4478115
200,4301350
201,3846048
202,4494974
203,4827080
204,5088066
205,5180258
206,4805424
207,4378572
208,4662730
209,3858104
210,4489707
211,4913381
212,3536279
213,3455779
214,5570289
215,2308015
216,4680176
217,5060003
218,4081523
219,2908491
220,5421851
221,4771862
222,5035995
223,4112469
224,4825450
225,4486241
226,3621015
227,6204348
228,3293726
229,4894383
230,4657889
231,5729362
232,4218063
233,4273850
234,3806911
235,4793030
236,4313264
237,3603993
238,4283147
239,4560310
240,4512373
241,4206233
242,3527443
243,4418800
244,4911058
245,4768096
246,4102142
247,4695607
248,4571960
249,4407641
250,3064211
251,4688614
252,5701173
253,4276450
254,4591651
255,3763984
256,4501973
257,4563337
258,3720373
259,4103383
260,4369643
261,4030509
262,5568805
263,4348375
264,2548470
265,5430042
266,4346499
267,6234557
268,4848909
269,4283841
270,3838118
271,3028074
272,4805228
273,4808590
274,3862553
275,5583586
276,6066807
277,5506740
278,4719390
279,4181624
280,5101408
281,3945616
282,3317514
283,3984518
284,4795602
285,3004972
286,5082709
287,4182261
288,4596480
289,3803514
290,4236530
291,4374249
292,3477457
293,4869646
294,3692204
295,5332952
296,5299819
297,5510538
298,4639713
299,4888396
300,4614897
301,4900468
302,5014331
303,5538328
304,4200961
305,4747538
306,4134767
307,4807047
308,2432588
309,4331112
310,4434662
311,3865482
312,3322092
313,4195306
314,3580062
315,3819235
316,3134216
317,4555741
318,5516912
319,4057148
320,3993867
321,3693159
322,4078176
323,4397415
324,4391375
325,4263620
326,4938008
327,4482222
328,4604402
329,5385706
330,3330531
331,4898600
332,4794880
333,5561907
334,5339061
335,4564346
336,3144922
337,4780073
338,4059413
339,3527226
340,4858174
341,4739153
342,4824398
343,4787559
344,4515805
345,3995228
346,3816068
347,5496319
348,3183096
349,4755888
350,4463962
351,5257140
352,5682707
353,3797900
354,3725528
355,4646147
356,5144644
357,4551875
358,4963063
359,5018705
360,4377229
361,4174192
362,4091494
363,4662024
364,5315212
365,3780289
366,3110600
367,3949737
368,3929152
369,4793034
370,3986195
371,4583080
372,4646730
373,5278776
374,3649499
375,4764263
376,3901340
377,3945903
378,4899703
379,4513046
380,4903392
381,3963814
382,3474715
383,4880462
384,4026414
385,5881896
386,3985780
387,4762431
388,4721434
389,4400379
390,5247801
391,3670241
392,3618125
393,4555829
394,5429658
395,3459345
396,5247075
397,5303313
398,5356166
399,5243507
400,3470693
401,3841420
402,3768317
403,4704430
404,3538350
405,4326770
406,4631381
407,4452094
408,2795040
409,3783208
410,3545081
411,3919174
412,4683308
413,4984691
414,5263256
415,4061053
416,5239407
417,2712645
418,4097617
419,3688287
420,4520651
421,4913399
422,4799784
423,3857632
424,4744678
425,4595643
426,4457019
427,3738596
