Id,Prediction
0,4089058
1,3592602
2,3400443
3,3327052
4,3979532
5,4488072
6,4025074
7,3714556
8,4951522
9,3966979
10,4507006
11,4842822
12,4412577
13,4494891
14,4333354
15,4666484
16,4737725
17,3793569
18,5274393
19,3723792
20,2827265
21,4966793
22,4497760
23,5317144
24,5091679
25,3952759
26,3616974
27,5023805
28,3793077
29,4840670
30,4171163
31,3262913
32,3242994
33,4836437
34,3089580
35,4372338
36,4012114
37,4703315
38,3304790
39,3655606
40,4739434
41,4543893
42,4860490
43,4930857
44,5469958
45,4425178
46,3302124
47,2738384
48,4671792
49,4425685
50,4356027
51,3694896
52,4934766
53,3268513
54,3418592
55,4484325
56,5703936
57,4133506
58,4698139
59,5073849
60,2972141
61,3805625
62,3923488
63,4183727
64,4652936
65,5872476
66,4467724
67,5643835
68,5050414
69,4771836
70,4082006
71,3204632
72,4205569
73,3995985
74,5168540
75,4329080
76,4773308
77,4151701
78,4684427
79,4407642
80,5459119
81,4850361
82,3939949
83,4400745
84,5396255
85,2112986
86,4553956
87,4903414
88,4570894
89,3767785
90,5118288
91,4104140
92,3828473
93,4364453
94,5264549
95,3440858
96,4530852
97,4592766
98,3989875
99,4749188
100,4245211
101,2760454
102,3680124
103,3574718
104,3943926
105,3407928
106,4433847
107,4888170
108,4965226
109,4912545
110,4963307
111,4229702
112,4577981
113,4734723
114,4035748
115,4546289
116,3306382
117,5016646
118,3927028
119,4739900
120,4825049
121,4809490
122,4132484
123,5496755
124,3415689
125,4081187
126,5298041
127,3780389
128,4123558
129,4310499
130,2876187
131,4813893
132,5182687
133,3504925
134,4267222
135,3956301
136,4159431
137,4072319
138,4465516
139,4378103
140,5783307
141,2843075
142,4848782
143,3087303
144,4876053
145,3908827
146,4869282
147,3504224
148,4312130
149,4691405
150,4030851
151,3303918
152,5104884
153,5597225
154,3511939
155,5008593
156,5102800
157,4845469
158,3689221
159,3967221
160,3226345
161,4113056
162,3837475
163,5158450
164,6229332
165,3367712
166,4362999
167,3811601
168,4374565
169,4772614
170,4018319
171,3306817
172,3811331
173,4875493
174,4871783
175,3382934
176,5629320
177,5044768
178,4298579
179,3577762
180,4289450
181,4385820
182,4769010
183,3954691
184,4560031
185,3523654
186,3785055
187,5242008
188,5460080
189,4713478
190,4352683
191,4927646
192,5355003
193,3849896
194,4553152
195,4530494
196,4134678
197,2708704
198,3650588
199,4441174
200,4245607
201,3797756
202,4431934
203,4793665
204,5040579
205,5152441
206,4788154
207,4307669
208,4630376
209,3802213
210,4423752
211,4887577
212,3475258
213,3414788
214,5515051
215,2220051
216,4629413
