Id,Prediction
0,4088986
1,3592559
2,3400530
3,3326912
4,3979540
5,4487983
6,4024983
7,3714623
8,4951345
9,3966935
10,4506969
11,4842686
12,4412606
13,4494930
14,4333450
15,4666521
16,4737699
17,3793737
18,5274294
19,3723755
20,2827184
21,4966824
22,4497930
23,5317205
24,5091663
25,3952706
26,3616978
27,5023961
28,3793223
29,4840829
30,4171134
31,3262864
32,3243073
33,4836347
34,3089584
35,4372094
36,4012146
37,4703476
38,3304916
39,3655505
40,4739415
41,4543646
42,4860400
43,4930769
44,5469985
45,4425036
46,3301974
47,2738365
48,4671723
49,4425797
50,4356064
51,3695006
52,4934826
53,3268474
54,3418631
55,4484289
56,5703944
57,4133394
58,4698057
59,5073878
60,2972076
61,3805614
62,3923546
63,4183958
64,4653009
65,5872369
66,4467796
67,5643949
68,5050310
69,4771823
70,4082140
71,3204737
72,4205440
73,3995979
74,5168822
75,4329198
76,4773185
77,4151600
78,4684456
79,4407633
80,5459011
81,4850419
82,3939954
83,4400800
84,5396349
85,2113061
86,4553975
87,4903416
88,4570869
89,3767856
90,5118364
91,4104104
92,3828536
93,4364481
94,5264548
95,3440873
96,4530710
97,4592749
98,3989857
99,4749220
100,4245168
101,2760455
102,3680245
103,3574716
104,3943854
105,3407915
106,4433984
107,4888083
108,4965245
109,4912730
110,4963287
111,4229727
112,4578081
113,4734825
114,4035751
115,4546292
116,3306370
117,5016713
118,3927099
119,4739901
120,4824993
121,4809424
122,4132591
123,5496739
124,3415722
125,4081072
126,5298049
127,3780534
128,4123592
129,4310410
130,2876194
131,4813936
132,5182598
133,3504871
134,4267105
135,3956242
136,4159526
137,4072191
138,4465346
139,4378054
140,5783547
141,2842998
142,4848719
143,3087318
144,4876112
145,3908945
146,4869302
147,3504231
148,4311959
149,4691359
150,4030899
151,3303829
152,5104950
153,5597207
154,3511961
155,5008520
156,5103034
157,4845495
158,3689232
159,3967099
160,3226472
161,4113045
162,3837368
163,5158406
164,6229096
165,3367734
166,4363030
167,3811552
168,4374607
169,4772707
170,4018519
171,3306789
172,3811289
173,4875539
174,4871845
175,3382946
176,5629326
177,5044769
178,4298792
179,3577743
180,4289356
181,4385778
182,4769180
183,3954661
184,4560170
185,3523756
186,3785075
187,5241874
188,5460143
189,4713493
190,4352697
191,4927686
192,5354880
193,3849768
194,4553134
195,4530409
196,4134711
197,2708746
198,3650504
199,4440990
200,4245688
201,3797874
202,4431916
203,4793908
204,5040726
205,5152270
206,4788261
207,4307831
208,4630415
209,3802204
210,4423755
211,4887552
212,3475125
213,3414741
214,5514909
215,2219933
216,4629493
217,4989194
218,4037636
219,2861751
220,5396778
221,4719264
222,4957495
223,4077085
224,4801678
225,4434527
226,3565187
227,6154039
228,3256591
229,4887259
230,4578750
231,5693191
232,4167328
233,4228927
234,3755075
235,4717162
236,4264585
237,3535251
238,4279699
239,4487985
240,4426922
241,4149455
242,3486361
243,4360235
244,4850063
245,4749101
246,4032643
247,4645778
248,4540053
249,4374803
250,3017617
251,4628297
252,5656867
253,4224191
254,4545715
255,3686723
256,4444181
257,4512642
258,3679719
259,4069352
260,4336998
261,3955494
262,5509716
263,4305600
264,2511117
265,5404075
266,4293975
267,6180714
268,4800813
269,4243735
270,3761718
271,3002085
272,4739799
273,4748084
274,3827964
275,5516954
276,6026359
277,5453821
278,4672068
279,4140261
280,5048165
281,3899611
282,3268380
283,3941332
284,4752707
285,2951599
286,5007395
287,4178347
288,4527017
289,3799982
290,4155668
291,4369482
292,3437097
293,4803966
294,3657961
295,5298826
296,5266820
297,5436398
298,4612653
299,4844062
300,4568609
301,4821103
302,4986082
303,5492692
304,4168929
305,4690183
306,4040509
307,4786949
308,2374916
309,4275828
310,4407545
311,3837156
312,3299752
313,4155206
314,3533853
315,3761648
316,3068327
317,4482385
318,5496531
319,3984524
320,3944815
321,3676302
322,4031466
323,4313652
324,4342851
325,4191271
326,4881952
327,4434726
328,4598651
329,5308687
330,3283185
331,4846704
332,4733785
333,5544621
334,5302262
335,4544681
336,3100043
337,4713390
338,3993972
339,3454504
340,4809503
341,4691407
342,4805198
343,4718271
344,4472162
345,3938541
346,3783122
347,5415596
348,3148274
349,4719655
350,4431575
351,5194078
352,5633357
353,3745670
354,3700190
355,4586713
356,5118100
357,4518838
358,4894154
359,4994555
360,4310787
361,4134065
362,4021809
363,4614074
364,5263754
365,3711147
366,3051983
367,3913557
368,3867999
369,4779462
370,3936401
371,4510904
372,4625115
373,5198228
374,3610179
375,4707659
376,3862816
377,3881990
378,4867131
379,4477954
380,4859687
381,3945641
382,3420462
383,4798888
384,3979931
385,5842557
386,3947764
387,4719105
388,4663440
389,4353343
390,5208674
391,3601985
392,3584396
393,4513201
394,5353933
395,3389629
396,5201091
397,5252086
398,5340329
399,5209122
400,3394390
401,3774260
402,3719066
403,4649826
404,3501309
405,4280359
406,4578406
407,4385609
408,2729313
409,3755595
410,3546820
411,3849613
412,4639813
413,4965291
414,5215543
415,3997942
416,5213312
417,2666857
418,4012916
419,3656473
420,4458921
421,4867055
422,4753178
423,3813437
424,4712710
425,4552497
426,4434102
427,3726714
428,4752434
429,3402934
430,3789233
431,3998299
432,2754893
433,4240708
434,3534111
435,4511489
436,4034420
437,3187682
438,3432589
439,5273449
440,4781521
441,4736519
442,4672727
443,4567167
444,4657216
445,4351297
446,5639095
447,4434509
448,4752856
449,5819633
450,4938117
451,3632958
452,3657871
453,4964395
454,4747285
455,4151741
456,3375682
457,4084463
458,4182873
459,3064760
460,5073864
461,4494885
462,5199281
463,3263160
464,4652477
465,3687460
466,4216288
467,3447135
468,4247361
469,4493517
470,4164363
471,4411334
472,3617345
473,4481574
474,4921714
475,3999601
476,3735528
477,4793010
478,4069233
479,4802646
480,3827023
481,5585493
482,3636509
483,4690572
484,5398348
485,3379964
486,4572812
487,4254629
488,4767454
489,3768684
490,4644272
491,3271269
492,4499597
493,4998740
494,4404655
495,4292367
496,4899832
497,4271486
498,4114816
499,4411288
500,4580957
501,2717965
502,4086241
503,5225433
504,4031500
505,3949934
506,3737027
507,4474476
508,3392957
509,4615137
510,5227718
511,5181122
512,2761539
513,4934474
514,3619301
515,2714003
516,3480919
517,4550782
518,4387280
519,4421463
520,3703719
521,5374236
522,5211467
523,5389356
524,4579586
525,4829447
526,2785369
527,4876927
528,5659677
529,4554856
530,3851479
531,4277899
532,4569458
533,3982431
534,5047903
535,4465675
536,4449365
537,3549045
538,3680663
539,5289703
540,4603162
541,3499148
542,3832453
543,4240738
544,4101783
545,4681151
546,3054810
547,4190714
548,3916193
549,4219658
550,3846913
551,4266123
552,4190720
553,5024342
554,4472737
555,4411311
556,3295059
557,5012410
558,4063949
559,4303207
560,4649693
561,5576348
562,2700757
563,4679409
564,3353161
565,4566537
566,3231420
567,5356279
568,4159249
569,3718605
570,4631908
571,5196734
572,4397792
573,4738535
574,4320711
575,3281177
576,5947546
577,3973746
578,3868601
579,4480496
580,3611531
581,4340468
582,5453149
583,4023416
584,4281355
585,4567754
586,3556721
587,3847903
