Id,Prediction
0,4129127
1,3714810
2,3796341
3,3595159
4,4040435
5,4561828
6,4070279
7,4225890
8,4838254
9,3987523
10,4629678
11,4697179
12,4408645
13,4575536
14,4310405
15,4808977
16,4690828
17,3899331
18,5128790
19,4181567
20,3416670
21,4989844
22,4489783
23,5024966
24,4923774
25,3926539
26,3638348
27,4803262
28,4005147
29,4628526
30,4784400
31,3558871
32,4035692
33,4854609
34,3497705
35,4354081
36,4166433
37,4565291
38,3385067
39,4144640
40,4655060
41,4618687
42,4954801
43,4927815
44,5324321
45,4155840
46,3689681
47,3172443
48,4874187
49,4578248
50,4447852
51,4318052
52,4821888
53,3548546
54,3392421
55,4615616
56,5371154
57,4353830
58,4641495
59,4862433
60,3177807
61,3817441
62,3969886
63,4076363
64,4771877
65,5461967
66,4675680
67,5250610
68,5024183
69,4638062
70,4034884
71,3574282
72,4457625
73,3654196
74,5064847
75,4525304
76,4704495
77,4429749
78,4730812
79,4340060
80,5189793
81,4497552
82,4213394
83,4472925
84,5159500
85,2630545
86,4511169
87,4838969
88,4418959
89,4098040
90,5220800
91,4210780
92,3700967
93,4590612
94,5183055
95,3976803
96,4378209
97,4376152
98,3866137
99,4670790
100,4292458
101,2878583
102,4133145
103,3893081
104,3901770
105,3285968
106,4472801
107,4721928
108,4798408
109,4927337
110,4873084
111,4481198
112,4670499
113,4676686
114,4034836
115,4604742
116,3629436
117,5008907
118,3886718
119,4654190
120,4976840
121,4897231
122,4077820
123,5294265
124,3745544
125,3965596
126,5089063
127,3783833
128,4216766
129,4349335
130,3180104
131,4715948
132,5254272
133,3424707
134,4345817
135,4015307
136,4395423
137,4120424
138,4511042
139,4430484
140,5402928
141,3188963
142,4848196
143,3515043
144,4608400
145,3965862
146,4757726
147,3525921
148,4423270
149,4416357
150,3985773
151,3678577
152,5032871
153,5315314
154,3623058
155,4861514
156,5000439
157,4798630
158,4070566
159,4057185
160,3663929
161,4124481
162,3850738
163,5084237
164,5746249
165,3895910
166,4435143
167,4147513
168,4297429
169,4901144
170,3997021
171,3468864
172,4059593
173,4676331
174,4509234
175,3896287
176,5435477
177,4872095
178,4116849
179,4045532
180,4380683
181,4313919
182,4707486
183,4093525
184,4536998
185,3550129
186,3886066
187,4964251
188,5373336
189,4832126
190,4235722
191,4954857
192,5240037
193,3931637
194,4443233
195,4537854
196,4002692
197,3377148
198,4218317
199,4411318
200,4296095
201,4102600
202,4557250
203,4684740
204,5029098
205,4889520
206,4963392
207,4288268
208,4518632
209,3970683
210,4701161
211,4684092
212,3910768
213,3705885
214,5322439
215,2605274
216,4558799
217,4761090
218,4360139
219,3264253
220,5147852
221,4745428
222,4939857
223,4195145
224,4820581
225,4340880
226,4300523
227,5573131
228,3551275
229,4846709
230,4635862
231,5377177
232,4526525
233,4244596
234,4087656
235,4761812
236,4189107
237,3735665
238,4575237
239,4442622
240,4259806
241,4035488
242,3529241
243,4496637
244,4790536
245,5027178
246,4093101
247,4674762
248,4455910
249,4359301
250,3712421
251,4568537
252,5247228
253,4326783
254,4410598
255,4406308
256,4354270
257,4309329
258,3874788
259,4061584
260,4246581
261,4183466
262,5240074
263,4227272
264,2906109
265,5081547
266,4388138
267,5660505
268,4742538
269,4146566
270,3864583
271,3405934
272,4912453
273,4631899
274,3805587
275,5291150
276,5449754
277,4996383
278,4751115
279,4207237
280,4898365
281,4296432
282,3578498
283,3969011
284,4890621
285,3191104
286,4931045
287,4115542
288,4709452
289,3958795
290,4246319
291,4513545
292,3597926
293,4590546
294,3750406
295,5038878
296,5049204
297,5334416
298,4384569
299,5055939
300,4422706
301,4885681
302,4915169
303,4947329
304,4297482
305,4741595
306,4017625
307,4666171
308,2899230
309,4264778
310,4534586
311,3891710
312,3742798
313,4260429
314,3961052
315,4094289
316,3605477
317,4518620
318,5165133
319,4499140
320,4430182
321,3716972
322,4072199
323,4345892
324,4531815
325,4504073
326,4769608
327,4535032
328,4726551
329,5057693
330,3878491
331,4727471
332,4799120
333,5173694
334,5096961
335,4530209
336,3173551
337,4584208
338,4494940
339,3820164
340,4556108
341,4354161
342,4745148
343,4748521
344,4391569
345,3935031
346,4206840
347,5291932
348,3563429
349,4868195
350,4435066
351,5005467
352,5272758
353,4360584
354,3827702
355,4656106
356,4803601
357,4362059
358,4646760
359,4928317
360,4349335
361,4142953
362,4032876
363,4551927
364,4885253
365,4233438
366,3309822
367,3776376
368,3946728
369,4694595
370,4014654
371,4673111
372,4582175
373,4959597
374,4261369
375,4419141
376,3899759
377,3989265
