Id,Prediction
0,4139437
1,3642378
2,3451263
3,3377004
4,4030504
5,4539938
6,4074684
7,3764772
8,5000917
9,4014832
10,4558253
11,4894007
12,4464045
13,4543761
14,4382891
15,4719367
16,4787009
17,3844289
18,5323220
19,3774444
20,2877540
21,5017130
22,4550411
23,5366856
24,5141877
25,4002015
26,3664819
27,5073749
28,3843392
29,4890328
30,4219879
31,3311981
32,3292735
33,4886566
34,3140382
35,4423082
36,4062206
37,4752174
38,3353881
39,3707050
40,4789450
41,4594217
42,4910547
43,4980860
44,5520626
45,4476253
46,3352639
47,2789463
48,4719068
49,4475197
50,4403128
51,3743740
52,4985424
53,3317224
54,3466794
55,4532295
56,5754392
57,4184077
58,4746470
59,5124429
60,3021960
61,3855939
62,3974158
63,4233637
64,4704947
65,5924209
66,4518255
67,5693937
68,5098245
69,4821706
70,4132653
71,3254367
72,4255367
73,4046164
74,5218116
75,4379952
76,4824560
77,4201808
78,4737331
79,4456023
80,5509966
81,4899478
82,3989713
83,4451512
84,5445455
85,2164928
86,4604982
87,4953114
88,4620509
89,3818820
90,5168560
91,4155553
92,3877731
93,4414953
94,5314376
95,3490050
96,4580339
97,4644075
98,4038559
99,4799448
100,4295650
101,2809877
102,3730702
103,3624250
104,3992097
105,3458673
106,4481421
107,4938840
108,5013348
109,4961294
110,5012823
111,4280359
112,4628120
113,4785511
114,4085375
115,4596268
116,3354583
117,5065153
118,3977770
119,4791187
120,4876859
121,4859395
122,4182421
123,5547190
124,3465508
125,4130670
126,5347575
127,3830418
128,4173273
129,4361396
130,2927740
131,4862405
132,5232790
133,3554008
134,4317351
135,4004561
136,4208702
137,4122494
138,4514844
139,4427509
140,5837226
141,2893809
142,4899339
143,3137212
144,4927201
145,3957474
146,4918785
147,3554132
148,4362547
149,4741213
150,4080171
151,3354896
152,5152996
153,5646631
154,3562550
155,5059782
156,5154195
157,4893769
158,3739969
159,4016646
160,3275947
161,4164539
162,3887483
163,5208391
164,6279923
165,3416696
166,4412628
167,3861135
168,4423213
169,4822585
170,4068400
171,3355853
172,3859847
173,4926760
174,4920522
175,3432659
176,5678159
177,5094897
178,4349160
179,3626600
180,4339516
181,4435958
182,4820749
183,4003055
184,4608857
185,3572633
186,3835076
187,5293350
188,5509486
189,4764921
190,4402866
191,4975427
192,5405360
193,3899138
194,4602104
195,4581257
196,4183711
197,2759043
198,3700360
199,4490808
200,4295510
201,3848595
202,4480978
203,4843926
204,5090088
205,5202488
206,4838248
207,4356847
208,4681495
209,3850780
210,4473044
211,4935516
212,3523844
213,3466974
214,5567475
215,2270406
216,4678939
217,5040781
218,4087682
219,2912294
220,5444649
221,4770606
222,5007791
223,4128616
224,4850504
225,4484571
226,3615897
227,6203822
