Id,Prediction
0,4000000
1,3000000
2,4000000
3,4000000
4,4000000
5,4000000
6,6000000
7,4000000
8,4000000
9,4000000
10,6000000
11,2000000
12,5000000
13,4000000
14,7000000
15,4000000
16,7000000
17,4000000
18,2000000
19,4000000
20,2000000
21,4000000
22,5000000
23,3000000
24,6000000
25,5000000
26,5000000
27,3000000
28,4000000
29,8000000
30,6000000
31,4000000
32,2000000
33,2000000
34,2000000
35,5000000
36,4000000
37,6000000
38,3000000
39,5000000
40,4000000
41,6000000
42,3000000
43,6000000
44,3000000
45,5000000
46,4000000
47,2000000
48,4000000
49,7000000
50,3000000
51,4000000
52,2000000
53,2000000
54,2000000
55,6000000
56,7000000
57,4000000
58,4000000
59,4000000
60,1000000
61,7000000
62,5000000
63,2000000
64,5000000
65,5000000
66,6000000
67,5000000
68,4000000
69,4000000
70,2000000
71,2000000
72,4000000
73,3000000
74,4000000
75,5000000
76,2000000
77,7000000
78,4000000
79,2000000
80,4000000
81,3000000
82,5000000
83,5000000
84,5000000
85,2000000
86,6000000
87,6000000
88,5000000
89,4000000
90,4000000
91,5000000
92,3000000
93,4000000
94,3000000
95,2000000
96,4000000
97,6000000
98,4000000
99,4000000
100,3000000
101,1000000
102,4000000
103,5000000
104,3000000
105,2000000
106,3000000
107,7000000
108,7000000
109,4000000
110,5000000
111,4000000
112,5000000
113,7000000
114,4000000
115,2000000
116,4000000
117,5000000
118,2000000
119,5000000
120,4000000
121,5000000
122,4000000
123,8000000
124,2000000
125,5000000
126,7000000
127,2000000
128,5000000
129,3000000
130,1000000
131,8000000
132,4000000
133,5000000
134,5000000
135,2000000
136,5000000
137,3000000
138,4000000
139,6000000
140,4000000
141,2000000
142,6000000
143,1000000
144,2000000
145,5000000
146,4000000
147,2000000
148,3000000
149,5000000
150,3000000
151,1000000
152,5000000
153,7000000
154,3000000
155,4000000
156,4000000
157,2000000
158,2000000
159,4000000
160,2000000
161,4000000
162,2000000
163,5000000
164,5000000
165,1000000
166,3000000
167,4000000
168,5000000
169,5000000
170,2000000
171,4000000
172,4000000
173,3000000
174,4000000
175,4000000
176,4000000
177,4000000
178,8000000
179,6000000
180,5000000
181,5000000
182,4000000
183,6000000
184,4000000
185,3000000
186,3000000
187,6000000
188,4000000
189,4000000
190,3000000
191,4000000
192,5000000
193,4000000
194,3000000
195,5000000
196,5000000
197,2000000
198,2000000
199,3000000
200,4000000
201,2000000
202,2000000
203,4000000
204,7000000
205,3000000
206,3000000
207,4000000
208,3000000
209,2000000
210,3000000
211,2000000
212,2000000
213,4000000
214,6000000
215,2000000
216,5000000
217,4000000
218,2000000
219,2000000
220,4000000
221,5000000
222,4000000
223,2000000
224,4000000
225,5000000
226,2000000
227,7000000
228,3000000
229,2000000
230,3000000
231,7000000
232,5000000
233,5000000
234,3000000
235,4000000
236,2000000
237,2000000
238,6000000
239,5000000
240,6000000
241,5000000
242,4000000
243,8000000
244,5000000
245,5000000
246,2000000
247,4000000
248,5000000
249,3000000
250,2000000
251,2000000
252,4000000
253,6000000
254,2000000
255,3000000
256,3000000
257,3000000
258,4000000
259,3000000
260,2000000
261,4000000
262,5000000
263,7000000
264,2000000
265,4000000
266,5000000
267,4000000
268,6000000
269,2000000
270,5000000
271,4000000
272,6000000
273,6000000
274,2000000
275,5000000
276,5000000
277,3000000
278,7000000
279,2000000
280,4000000
281,7000000
282,3000000
283,2000000
284,2000000
285,5000000
286,5000000
287,5000000
288,5000000
289,4000000
290,5000000
291,6000000
292,4000000
293,6000000
294,3000000
295,2000000
296,6000000
297,4000000
298,3000000
299,2000000
300,5000000
301,4000000
302,3000000
303,3000000
304,4000000
305,5000000
306,2000000
307,3000000
308,2000000
309,3000000
310,4000000
311,7000000
312,5000000
313,5000000
314,4000000
315,2000000
316,2000000
317,5000000
318,4000000
319,4000000
320,4000000
321,4000000
322,3000000
323,2000000
324,4000000
325,4000000
326,5000000
327,5000000
328,7000000
329,5000000
330,4000000
331,5000000
332,3000000
333,5000000
334,8000000
335,2000000
336,3000000
337,5000000
338,3000000
339,2000000
340,5000000
341,2000000
342,5000000
343,3000000
344,3000000
345,5000000
346,4000000
347,4000000
348,4000000
349,4000000
350,4000000
351,4000000
352,4000000
353,4000000
354,4000000
355,4000000
356,2000000
357,2000000
358,2000000
359,4000000
360,3000000
361,2000000
362,3000000
363,5000000
364,2000000
365,4000000
366,1000000
367,5000000
368,4000000
369,4000000
370,4000000
371,4000000
372,5000000
373,5000000
374,4000000
375,3000000
376,3000000
377,4000000
378,5000000
379,7000000
380,5000000
381,4000000
382,4000000
383,5000000
384,4000000
385,4000000
386,4000000
387,4000000
388,2000000
389,3000000
390,4000000
391,4000000
392,2000000
393,6000000
394,6000000
395,2000000
396,4000000
397,4000000
398,6000000
399,4000000
400,3000000
401,2000000
402,4000000
403,6000000
404,5000000
405,4000000
406,4000000
407,5000000
408,1000000
409,4000000
410,4000000
411,4000000
412,6000000
413,5000000
414,5000000
415,4000000
416,8000000
417,2000000
418,3000000
419,2000000
420,2000000
421,5000000
422,5000000
423,3000000
424,6000000
425,3000000
426,6000000
427,4000000
428,5000000
429,2000000
430,3000000
431,3000000
432,2000000
433,5000000
434,3000000
435,4000000
436,4000000
437,3000000
438,4000000
439,7000000
440,4000000
441,4000000
442,3000000
443,5000000
444,5000000
445,5000000
446,5000000
447,7000000
448,4000000
449,8000000
450,5000000
451,3000000
452,4000000
453,5000000
454,4000000
455,6000000
456,4000000
457,4000000
458,4000000
459,3000000
460,6000000
461,4000000
462,3000000
463,4000000
464,6000000
465,5000000
466,7000000
467,4000000
468,7000000
469,5000000
470,3000000
471,5000000
472,3000000
473,4000000
474,3000000
475,2000000
476,3000000
477,8000000
478,2000000
479,2000000
480,4000000
481,8000000
482,4000000
483,7000000
484,8000000
485,4000000
486,3000000
487,4000000
488,4000000
489,2000000
490,5000000
491,3000000
492,5000000
493,5000000
494,3000000
495,3000000
496,5000000
497,5000000
498,3000000
499,4000000
500,5000000
501,2000000
502,5000000
503,5000000
504,2000000
505,4000000
506,4000000
507,5000000
508,4000000
509,5000000
510,6000000
511,4000000
512,1000000
513,5000000
514,3000000
515,2000000
516,7000000
517,5000000
518,7000000
519,6000000
520,4000000
521,7000000
522,8000000
523,6000000
524,2000000
525,2000000
526,2000000
527,5000000
528,7000000
529,6000000
530,7000000
531,4000000
532,5000000
533,5000000
534,6000000
535,3000000
536,5000000
537,4000000
538,4000000
539,3000000
540,6000000
541,2000000
542,4000000
543,5000000
544,5000000
545,3000000
546,4000000
547,4000000
548,4000000
549,3000000
550,3000000
551,4000000
552,7000000
553,7000000
554,4000000
555,4000000
556,3000000
557,5000000
558,3000000
559,5000000
560,3000000
561,4000000
562,2000000
563,4000000
564,2000000
565,4000000
566,3000000
567,3000000
568,2000000
569,4000000
570,4000000
571,5000000
572,7000000
573,7000000
574,3000000
575,2000000
576,8000000
577,6000000
578,3000000
579,4000000
580,4000000
581,4000000
582,4000000
583,3000000
584,5000000
585,4000000
586,3000000
587,2000000
588,4000000
589,3000000
590,4000000
591,3000000
592,6000000
593,2000000
594,5000000
595,3000000
596,4000000
597,2000000
598,5000000
599,8000000
600,6000000
601,6000000
602,5000000
603,5000000
604,2000000
605,4000000
606,2000000
607,3000000
608,2000000
609,4000000
610,6000000
611,2000000
612,4000000
613,4000000
614,7000000
615,2000000
616,6000000
617,7000000
618,8000000
619,4000000
620,4000000
621,4000000
622,5000000
623,2000000
624,2000000
625,3000000
626,6000000
627,5000000
628,5000000
629,4000000
630,4000000
631,2000000
632,6000000
633,4000000
634,4000000
635,4000000
636,6000000
637,3000000
638,4000000
639,4000000
640,3000000
641,6000000
642,2000000
643,6000000
644,3000000
645,3000000
646,7000000
647,3000000
648,4000000
649,4000000
650,3000000
651,2000000
652,6000000
653,5000000
654,4000000
655,8000000
656,5000000
657,2000000
658,7000000
659,5000000
660,4000000
661,6000000
662,3000000
663,7000000
664,3000000
665,5000000
666,8000000
667,6000000
668,3000000
669,6000000
670,5000000
671,4000000
672,2000000
673,4000000
674,5000000
675,2000000
676,4000000
677,4000000
678,2000000
679,4000000
680,3000000
681,6000000
682,4000000
683,5000000
684,2000000
685,6000000
686,4000000
687,2000000
688,2000000
689,4000000
690,3000000
691,4000000
692,4000000
693,4000000
694,4000000
695,4000000
696,3000000
697,5000000
698,3000000
699,2000000
700,7000000
701,7000000
702,5000000
703,3000000
704,3000000
705,2000000
706,4000000
707,5000000
708,6000000
709,3000000
710,8000000
711,4000000
712,5000000
713,3000000
714,2000000
715,2000000
716,3000000
717,2000000
718,3000000
719,4000000
720,5000000
721,4000000
722,4000000
723,2000000
724,7000000
725,2000000
726,2000000
727,2000000
728,3000000
729,4000000
730,2000000
731,5000000
732,5000000
733,8000000
734,4000000
735,4000000
736,2000000
737,3000000
738,4000000
739,3000000
740,5000000
741,2000000
742,4000000
