Id,Prediction
0,4176579
1,3734362
2,3645111
3,3446092
4,3966124
5,4547782
6,4001872
7,4042222
8,5001736
9,4097894
10,4576501
11,4761114
12,4513941
13,4588177
14,4327547
15,4865089
16,4851457
17,3784921
18,5272532
19,3930186
20,3211448
21,5014249
22,4443762
23,5239441
24,5050710
25,4023857
26,3721619
27,4779866
28,3820145
29,4691056
30,4368604
31,3402200
32,3672025
33,4837526
34,3413224
35,4392694
36,4055560
37,4586527
38,3518438
39,3900587
40,4633342
41,4582505
42,5002087
43,4835243
44,5386744
45,4214731
46,3529940
47,3116219
48,4928518
49,4376047
50,4449907
51,4091156
52,4937731
53,3466152
54,3519648
55,4648704
56,5358009
57,4201382
58,4621321
59,4985899
60,3108312
61,3885288
62,4086318
63,4151925
64,4754329
65,5597247
66,4540632
67,5501877
68,5188794
69,4703893
70,4062997
71,3512771
72,4428008
73,3773341
74,5092646
75,4485390
76,4792072
77,4151619
78,4675315
79,4368656
80,5223007
81,4736956
82,3996017
83,4388922
84,5368997
85,2587991
86,4551890
87,4860621
88,4497154
89,3958788
90,5122591
91,4210042
92,3796363
93,4320784
94,5211361
95,3819502
96,4478247
97,4447893
98,3937305
99,4744337
100,4410045
101,2982723
102,3847408
103,3644487
104,4007444
105,3458244
106,4443246
107,4841891
108,4857459
109,4882962
110,4960743
111,4375125
112,4860031
113,4637546
114,4010893
115,4793528
116,3478211
117,4967302
118,4016035
119,4723891
120,5128404
121,4773082
122,4203120
123,5297068
124,3634737
125,4055101
126,5143358
127,3878945
128,4143614
129,4481706
130,3113092
131,4708630
132,5230863
133,3570705
134,4477802
135,4056523
136,4195292
137,4242973
138,4343002
139,4449886
140,5576727
141,3115989
142,4948935
143,3291866
144,4724418
145,3992651
146,4794023
147,3542730
148,4425311
149,4543665
150,4083883
151,3559722
152,5152063
153,5409153
154,3712182
155,4927070
156,5105710
157,4934461
158,3805169
159,4018275
160,3548452
161,4199023
162,3934109
163,5199908
164,5656364
165,3628222
166,4436386
167,3972512
168,4389370
169,4981186
170,4071655
171,3389616
172,3908788
173,4677896
174,4688283
175,3620770
176,5581677
177,5024572
178,4250953
179,3805272
180,4338433
181,4333592
182,4783317
183,4189680
184,4642294
185,3613145
186,3909272
187,4999652
188,5394613
189,4794801
190,4242860
191,4981766
192,5237443
193,3966651
194,4552779
195,4505930
196,4116658
197,3124893
198,3920082
199,4488635
200,4290239
201,3901208
202,4516532
203,4718656
204,4940982
205,4993387
206,5079869
207,4269026
208,4600955
209,3997390
210,4606059
211,4709518
212,3744510
213,3446821
214,5484226
215,2575768
216,4574475
217,4827795
218,4437562
219,3149020
220,5266022
221,4942395
222,5091157
223,4194215
224,4949030
225,4416413
226,3971608
227,5632512
228,3474812
229,4902685
230,4682592
231,5624015
232,4476431
233,4232320
234,3819798
235,4652596
236,4251565
237,3832252
238,4343976
239,4541719
240,4291144
241,4080817
242,3420842
243,4274368
244,4929749
245,4807682
246,4134827
247,4602621
248,4474997
249,4441231
250,3388848
251,4680621
252,5358559
253,4277322
254,4640563
255,4035609
256,4462364
257,4399511
258,3761408
259,4268161
260,4292682
261,4054188
262,5247961
263,4198598
264,2885571
265,5309068
266,4361479
267,5761962
268,4723508
269,4293851
270,3840651
271,3247523
272,4950430
273,4533138
274,3911866
275,5309078
276,5545940
277,5075844
278,4679642
279,4282332
280,5103076
281,3999803
282,3421502
283,4019092
284,4793032
285,3151481
286,5004077
287,4216907
288,4665693
289,3721282
290,4307222
291,4422091
292,3507354
293,4487079
294,3846100
295,5094929
296,5070891
297,5400472
298,4497916
299,5146676
300,4463629
301,4870518
302,5051507
303,5114356
304,4284706
305,4951601
306,4069396
307,4773332
308,2795824
309,4315282
310,4422242
311,3951694
312,3543722
313,4422682
314,3701504
315,3963549
316,3388471
317,4535417
318,5315618
319,4239448
320,4180909
321,3644303
322,4171052
323,4533251
324,4576392
325,4246082
326,4944519
327,4478773
328,4649789
329,5060484
330,3625004
331,4938858
332,4881448
333,5211164
334,5181528
335,4558119
336,3233421
337,4536948
338,4176139
339,3718536
340,4655351
341,4489791
342,4752701
343,4715948
344,4535948
345,3978208
346,3936955
347,5279533
348,3461122
349,4833738
350,4421265
351,5095968
352,5475669
353,4137180
354,3909767
355,4437353
356,5018992
357,4472035
358,4727273
359,5167940
360,4481706
361,4234497
362,4108629
363,4553269
364,5021743
365,3974270
