Id,Prediction
0,4066197
1,4066197
2,3815129
3,3815129
4,3815129
5,4066197
6,4050173
7,3815129
8,4221966
9,4043185
10,4066197
11,3538704
12,3736584
13,6679066
14,4699194
15,15062144
16,2147436
17,3815129
18,3193892
19,3815129
20,1920998
21,7983616
22,4066197
23,4699194
24,3193892
25,2682908
26,4043185
27,8904084
28,3815129
29,3826542
30,2811210
31,3815129
32,1920998
33,4699194
34,1920998
35,4699194
36,3815129
37,7728186
38,2682908
39,2811210
40,5202650
41,4043185
42,4535475
43,4699194
44,7728186
45,7728186
46,3815129
47,1920998
48,7350956
49,3815129
50,4066197
51,3815129
52,4699194
53,1920998
54,2250044
55,4699194
56,7728186
57,3815129
58,4221966
59,7350956
60,2811210
61,4043185
62,4535475
63,4066197
64,4050173
65,15062144
66,6679066
67,3193892
68,3193892
69,4699194
70,4050173
71,1920998
72,4066197
73,8213524
74,3736584
75,4043185
76,7728186
77,3815129
78,6679066
79,6679066
80,6679066
81,4699194
82,3815129
83,4050173
84,3193892
85,1920998
86,4699194
87,4699194
88,4043185
89,3815129
90,4221966
91,4050173
92,3538704
93,3815129
94,4699194
95,1149870
96,6679066
97,2250044
98,8213524
99,4699194
100,7983616
101,2250044
102,2811210
103,3815129
104,3538704
105,3705219
106,8213524
107,7983616
108,4221966
109,4043185
110,3736584
111,3815129
112,15062144
113,3538704
114,4050173
115,3620927
116,3815129
117,3620927
118,2682908
119,5099581
120,4699194
121,3620927
122,4699194
123,3620927
124,1920998
125,5202650
126,7728186
127,3538704
128,3815129
129,4535475
130,2811210
131,5099581
132,4221966
133,2250044
134,5099581
135,4043185
136,3815129
137,5099581
138,3815129
139,6412623
140,3193892
141,1920998
142,7983616
143,2811210
144,4699194
145,4066197
146,4221966
147,2682908
148,2147436
149,3826542
150,4066197
151,2811210
152,3193892
153,7983616
154,2250044
155,6679066
156,3736584
157,15062144
158,1149870
159,4066197
160,1920998
161,8213524
162,6412623
163,15062144
164,7728186
165,2811210
166,4066197
167,3815129
168,4699194
169,4699194
170,4066197
171,3815129
172,3815129
173,4699194
174,4699194
175,3815129
176,4699194
177,4221966
178,4050173
179,2811210
180,7728186
181,4066197
182,3736584
183,5099581
184,3736584
185,3705219
186,2250044
187,3736584
188,4221966
189,6679066
190,4221966
191,6679066
192,7983616
193,3815129
194,7983616
195,8213524
196,4066197
197,1920998
198,1149870
199,4699194
200,4050173
201,1920998
202,4043185
203,4699194
204,4066197
205,7983616
206,7983616
207,4050173
208,7983616
209,2250044
210,3620927
211,7728186
212,1920998
213,3815129
214,3193892
215,1920998
216,3620927
217,4699194
218,4699194
219,1920998
220,4699194
221,4699194
222,3620927
223,4066197
224,3193892
225,5202650
226,1149870
227,7728186
228,2811210
229,3826542
230,6679066
231,7983616
232,4535475
233,4066197
234,3815129
235,4221966
236,4699194
237,2250044
238,3815129
239,5202650
240,5202650
241,5202650
242,3815129
243,4066197
244,5099581
245,3736584
246,4043185
247,6679066
248,4066197
249,4043185
250,1920998
251,2147436
252,5099581
253,4066197
254,6679066
255,2811210
256,4699194
257,7728186
258,4066197
259,4066197
260,4066197
261,3815129
262,7728186
263,2682908
264,1920998
265,3193892
266,4066197
267,4699194
268,4066197
269,4066197
270,2250044
271,3815129
272,4699194
273,5202650
274,2250044
275,4699194
276,3826542
277,7728186
278,4066197
279,4699194
280,4699194
281,2811210
282,3815129
283,2682908
284,4221966
285,2811210
286,4535475
287,5202650
288,4535475
289,3815129
290,4066197
291,8213524
292,3815129
293,4066197
294,2682908
295,4699194
296,4699194
297,4699194
298,15062144
299,4699194
300,3620927
301,3620927
302,15062144
303,4699194
304,4066197
305,3193892
306,7728186
307,4221966
308,1920998
309,4066197
310,3736584
311,3538704
312,2811210
313,2147436
314,3815129
315,1149870
316,1920998
317,4043185
318,7350956
319,3815129
320,3815129
321,3815129
322,2250044
323,8904084
324,4535475
325,3815129
326,4699194
327,3736584
328,2250044
329,4050173
330,3815129
331,15062144
332,3620927
333,4699194
334,4699194
335,3620927
336,2682908
337,7728186
338,2811210
339,1920998
340,6679066
341,7728186
342,4050173
343,3193892
344,7983616
345,5202650
346,2811210
347,4221966
348,3815129
349,4699194
350,4221966
351,4699194
352,4221966
353,3815129
354,4043185
355,3815129
356,2147436
357,6679066
358,7728186
359,4221966
360,4535475
361,4699194
362,4066197
363,7350956
364,3826542
365,3815129
366,2811210
367,2682908
368,4066197
369,7983616
370,8213524
371,4221966
372,7983616
373,3193892
374,2811210
375,4221966
376,2682908
377,3815129
378,15062144
379,4066197
380,3736584
381,4066197
382,3815129
383,4699194
384,3815129
385,4699194
386,3815129
387,3620927
388,6679066
389,5099581
390,4699194
391,3815129
392,1920998
393,15062144
394,8904084
395,1149870
396,4221966
397,4699194
398,7983616
399,6679066
400,2682908
401,4699194
402,3815129
403,15062144
404,4043185
405,4066197
406,3736584
407,4050173
408,2811210
409,2682908
410,3815129
411,3815129
412,6412623
413,4699194
414,3193892
415,2811210
416,3193892
417,1920998
418,2682908
419,1149870
420,3826542
421,3620927
422,4699194
423,3538704
424,8904084
425,2147436
426,4066197
427,3815129
428,3193892
429,1920998
430,2682908
431,3538704
432,1920998
433,3815129
434,2811210
435,3736584
436,3815129
437,3705219
438,3815129
439,3826542
440,3620927
441,3736584
442,7983616
443,15062144
444,3826542
445,8213524
446,4699194
447,3826542
448,6679066
449,3736584
450,3620927
451,4066197
452,3815129
453,3736584
454,3193892
455,2250044
456,3815129
457,4043185
458,4066197
459,2682908
460,4699194
461,6679066
462,4699194
463,3815129
464,6679066
465,4043185
466,8213524
467,3815129
468,2682908
469,4043185
470,2682908
471,8213524
472,2682908
473,3538704
474,4699194
475,4066197
476,4050173
477,4535475
478,4066197
479,7983616
480,3815129
481,6679066
482,3815129
483,7728186
484,4699194
485,2811210
486,3826542
487,3736584
488,3193892
489,4066197
490,8904084
491,2682908
492,3736584
493,6679066
494,4221966
495,4050173
496,3620927
497,4066197
498,5202650
499,4043185
500,5202650
501,1920998
502,3538704
503,3193892
504,1920998
505,4043185
506,3815129
507,3620927
508,3815129
509,3620927
510,7728186
511,4699194
512,2811210
513,3193892
514,4043185
515,1920998
516,3705219
517,4699194
518,4699194
519,6679066
520,3815129
521,7983616
522,4699194
523,7728186
524,4699194
525,4699194
526,1920998
527,3193892
528,4699194
529,4066197
530,3538704
531,3815129
532,2147436
533,3538704
534,7728186
535,2682908
536,5202650
537,3815129
538,3538704
539,3826542
540,4699194
541,1149870
542,3815129
543,8213524
544,4066197
545,3826542
546,3815129
547,3815129
548,3815129
549,2682908
550,4066197
551,8213524
552,2811210
553,7983616
554,4066197
555,2147436
556,5202650
557,7728186
558,2682908
559,5202650
560,4043185
561,4221966
562,1920998
563,4043185
564,1920998
565,4221966
566,3705219
567,7728186
568,5202650
569,3815129
570,3736584
571,7350956
572,4699194
573,7728186
574,2682908
575,8213524
576,3736584
577,2811210
578,4535475
579,3736584
580,3815129
581,4221966
582,3736584
583,3815129
584,7350956
585,4699194
586,4043185
587,4066197
588,4699194
589,7728186
590,3815129
591,3826542
592,6412623
593,1920998
594,2250044
595,2682908
596,3815129
597,1920998
598,4066197
599,4066197
600,15062144
601,8904084
602,3193892
603,2811210
604,1920998
605,3815129
606,1920998
607,3538704
608,1920998
609,6679066
610,7728186
611,1920998
612,4699194
613,4043185
614,4699194
615,1149870
616,4699194
617,7728186
618,6679066
619,3736584
620,4043185
621,15062144
622,4221966
623,7728186
624,1920998
625,7728186
626,15062144
627,6679066
628,8213524
629,3815129
630,3193892
631,8904084
632,4699194
633,4699194
634,3815129
635,3815129
636,8904084
637,2682908
638,3815129
639,5099581
640,3736584
641,7728186
642,1149870
643,7728186
644,7728186
645,3538704
646,6679066
647,3538704
648,3815129
649,3815129
650,4043185
651,7728186
652,15062144
653,4699194
654,3815129
655,3620927
656,4043185
657,4221966
658,6782425
659,4066197
660,15062144
661,15062144
662,3826542
663,4699194
664,2682908
665,2811210
666,7350956
667,2811210
668,2147436
669,5202650
670,3193892
671,6679066
672,1920998
673,8213524
674,4699194
675,1920998
676,3815129
677,3815129
678,4043185
679,3620927
680,2682908
681,3736584
682,3815129
683,5099581
684,4221966
685,3826542
686,3815129
687,3705219
688,2147436
689,3815129
690,4535475
691,3815129
692,3815129
693,3815129
694,3815129
695,3815129
696,4050173
697,4043185
698,4699194
699,1920998
700,7983616
701,15062144
702,2147436
703,4699194
704,7983616
705,3193892
706,4221966
707,3620927
708,3826542
709,4066197
710,4066197
711,15062144
712,4066197
713,4066197
714,3826542
715,4699194
716,4043185
717,7728186
718,4066197
719,6679066
720,4699194
721,4699194
722,3620927
723,1920998
724,4699194
725,2250044
726,1920998
727,2811210
728,5099581
729,2811210
730,4066197
731,4066197
732,2811210
733,3620927
734,3815129
735,4043185
736,1149870
737,4699194
738,3815129
739,4043185
740,3620927
741,6679066
742,5099581
743,4066197
744,4699194
745,3193892
746,3815129
747,4221966
748,3736584
749,3736584
750,4699194
751,4699194
752,3815129
753,1920998
754,3538704
755,3815129
756,4066197
757,4535475
758,1920998
759,8904084
760,3815129
761,4066197
762,3815129
763,4066197
764,7728186
765,15062144
766,4066197
767,1149870
768,7983616
769,5099581
770,4066197
771,5202650
772,4043185
773,6679066
774,4043185
775,3736584
776,4043185
777,4066197
778,4066197
779,4050173
780,1920998
781,4066197
782,4699194
783,3815129
784,7983616
785,3815129
786,3193892
787,7728186
788,4699194
789,3620927
790,5202650
791,15062144
792,4043185
793,2811210
794,2250044
795,4535475
796,3815129
797,7983616
798,4043185
799,7728186
800,3193892
801,8213524
802,4066197
803,2682908
804,3193892
805,6412623
806,3193892
807,4699194
808,4043185
809,1920998
810,8904084
811,4699194
812,7728186
813,4699194
814,1920998
815,4043185
816,2811210
817,3815129
818,2682908
819,1149870
820,3620927
821,4221966
822,4043185
823,5202650
824,4066197
825,8213524
826,6679066
827,1920998
828,4699194
829,4066197
830,3736584
831,7350956
832,5099581
833,5099581
834,7350956
835,4066197
836,1920998
837,4699194
838,8213524
839,1920998
840,3538704
841,2811210
842,3620927
843,4066197
844,3826542
845,5099581
846,3736584
847,3193892
848,3705219
849,3815129
850,3815129
851,4066197
852,4699194
853,3815129
854,3815129
855,3815129
856,3193892
857,5099581
858,3815129
859,7728186
860,6679066
861,3736584
862,1920998
863,4699194
864,3620927
865,3736584
866,7983616
867,1920998
868,4066197
869,4535475
870,1920998
871,5202650
872,7728186
873,4050173
874,4535475
875,1920998
876,1920998
877,4699194
878,3705219
879,3193892
880,2682908
881,4043185
882,4699194
883,2682908
884,4066197
885,6679066
886,4050173
887,4066197
888,1149870
889,7350956
890,3815129
891,2682908
892,4221966
893,3815129
894,3736584
895,4699194
896,5202650
897,4066197
898,7350956
899,4221966
900,4050173
901,7350956
902,4699194
903,6679066
904,1149870
905,4221966
906,3193892
907,4043185
908,4221966
909,3538704
910,3620927
911,4699194
912,4066197
913,3815129
914,7728186
915,3826542
916,1920998
917,4699194
918,3815129
919,4066197
920,4066197
921,3815129
922,4535475
923,5202650
924,6679066
925,7983616
926,4221966
927,3815129
928,2147436
929,3538704
930,4050173
931,1920998
932,6679066
933,6679066
934,4066197
935,3815129
936,1920998
937,4043185
938,3815129
939,3193892
940,3826542
941,4066197
942,3736584
943,7728186
944,3620927
945,1920998
946,3736584
947,4043185
948,7350956
949,4043185
950,6679066
951,3705219
952,3815129
953,4066197
954,7728186
955,3736584
956,4699194
957,3736584
958,5099581
959,4066197
960,3193892
961,4050173
962,3826542
963,4699194
964,4699194
965,3815129
966,3736584
967,3620927
968,4043185
969,2811210
970,2682908
971,2682908
972,3815129
973,2811210
974,2811210
975,3815129
976,1920998
977,7728186
978,3815129
979,3193892
980,4050173
981,1920998
982,4699194
983,3193892
984,15062144
985,3193892
986,1149870
987,4535475
988,4699194
989,4066197
990,3736584
991,1920998
992,15062144
993,4043185
994,15062144
995,3815129
996,2811210
997,3620927
998,3815129
999,4699194
1000,4066197
1001,8213524
1002,2682908
1003,7728186
1004,4221966
1005,4066197
1006,4699194
1007,8213524
1008,1920998
1009,3815129
1010,4043185
1011,15062144
1012,4043185
1013,4221966
1014,2147436
1015,4221966
1016,3736584
1017,2147436
1018,4699194
1019,3815129
1020,3826542
1021,4066197
1022,3815129
1023,1920998
1024,4699194
1025,4699194
1026,4535475
1027,3815129
1028,4221966
1029,2250044
1030,7728186
1031,4066197
1032,2811210
1033,15062144
1034,3193892
1035,2250044
1036,4066197
1037,4043185
1038,4221966
1039,7983616
1040,4043185
1041,1149870
1042,1920998
1043,5099581
1044,4221966
1045,6679066
1046,4699194
1047,3620927
1048,8213524
1049,7728186
1050,5099581
1051,3815129
1052,3538704
1053,2250044
1054,7983616
1055,2811210
1056,4699194
1057,6679066
1058,1920998
1059,3815129
1060,4050173
1061,4066197
1062,4050173
1063,7728186
1064,3620927
1065,3815129
1066,15062144
1067,2147436
1068,3826542
1069,4221966
1070,7350956
1071,2250044
1072,5099581
1073,7728186
1074,7728186
1075,3815129
1076,4699194
1077,4043185
1078,3538704
1079,4535475
1080,3815129
1081,4699194
1082,2811210
1083,7728186
1084,4066197
1085,1920998
1086,3736584
1087,3538704
1088,4699194
1089,4066197
1090,6679066
1091,1920998
1092,4221966
1093,4221966
1094,3193892
1095,4043185
1096,1920998
1097,2682908
1098,1920998
1099,4535475
1100,3815129
1101,3193892
1102,2682908
1103,4043185
1104,5202650
1105,8213524
1106,3815129
1107,4066197
1108,4050173
1109,7350956
1110,8904084
1111,7728186
1112,4043185
1113,3815129
1114,2682908
1115,2811210
1116,3815129
1117,3826542
1118,3620927
1119,3815129
1120,3193892
1121,1920998
1122,4050173
1123,3815129
1124,3815129
1125,3620927
1126,3826542
1127,1920998
1128,7728186
1129,3193892
1130,4043185
1131,3620927
1132,3193892
1133,1920998
1134,2147436
1135,3705219
1136,5099581
1137,1920998
1138,4699194
1139,4221966
1140,15062144
1141,5099581
1142,5099581
1143,4043185
1144,3815129
1145,7728186
1146,4535475
1147,15062144
1148,4066197
1149,3620927
1150,4535475
1151,1920998
1152,1149870
1153,6679066
1154,5202650
1155,3705219
1156,4699194
1157,4535475
1158,8904084
1159,4535475
1160,3620927
1161,3620927
1162,3826542
1163,4050173
1164,3736584
1165,4699194
1166,3620927
1167,7728186
1168,3815129
1169,4699194
1170,4066197
1171,3815129
1172,1920998
1173,4699194
1174,3538704
1175,4066197
1176,4699194
1177,3736584
1178,2147436
1179,4221966
1180,3193892
1181,3620927
1182,3620927
1183,1920998
1184,4043185
1185,3815129
1186,3620927
1187,3193892
1188,3736584
1189,4050173
1190,3620927
1191,3736584
1192,3815129
1193,2682908
1194,4535475
1195,3620927
1196,2682908
1197,3815129
1198,4066197
1199,4066197
1200,15062144
1201,7728186
1202,1920998
1203,3815129
1204,3815129
1205,1920998
1206,3736584
1207,4699194
1208,3826542
1209,4535475
1210,3815129
1211,3815129
1212,4699194
1213,4535475
1214,7728186
1215,1149870
1216,7728186
1217,3815129
1218,1149870
1219,4050173
1220,3193892
1221,4535475
1222,15062144
1223,3826542
1224,4699194
1225,4221966
1226,3815129
1227,3826542
1228,4066197
1229,3193892
1230,3736584
1231,7728186
1232,2811210
1233,7728186
1234,3193892
1235,2682908
1236,3815129
1237,2250044
1238,3736584
1239,6679066
1240,4535475
1241,2811210
1242,3736584
1243,7728186
1244,3736584
1245,1920998
1246,2682908
1247,4221966
1248,1149870
1249,4221966
1250,4050173
1251,2250044
1252,3815129
1253,3826542
1254,2811210
1255,4066197
1256,4221966
1257,2811210
1258,7728186
1259,4066197
1260,4066197
1261,4699194
1262,6782425
1263,3815129
1264,4066197
1265,4066197
1266,2682908
1267,4699194
1268,2250044
1269,2811210
1270,5202650
1271,4699194
1272,6679066
1273,3705219
1274,1920998
1275,4699194
1276,1920998
1277,3815129
1278,4699194
1279,3538704
1280,3815129
1281,8213524
1282,5202650
1283,2811210
1284,4699194
1285,6782425
1286,1920998
1287,4066197
1288,3815129
1289,1920998
1290,3815129
1291,2811210
1292,15062144
1293,7728186
1294,7728186
1295,4043185
1296,7983616
1297,4066197
1298,3815129
1299,4699194
1300,3736584
1301,2250044
1302,4699194
1303,2147436
1304,1920998
1305,3826542
1306,3193892
1307,6679066
1308,15062144
1309,4043185
1310,4699194
1311,5202650
1312,1920998
1313,3193892
1314,3815129
1315,6679066
1316,5202650
1317,4699194
1318,4699194
1319,3826542
1320,3620927
1321,5202650
1322,4066197
1323,2250044
1324,4699194
1325,3815129
1326,3815129
1327,8213524
1328,6679066
1329,3620927
1330,7983616
1331,4043185
1332,7728186
1333,1149870
1334,3538704
1335,2811210
1336,2811210
1337,3620927
1338,2811210
1339,1920998
1340,4066197
1341,4221966
1342,2811210
1343,1920998
1344,15062144
1345,3815129
1346,4221966
1347,3815129
1348,6679066
1349,3538704
1350,4699194
1351,15062144
1352,4221966
1353,2147436
1354,1920998
1355,1920998
1356,4535475
1357,3815129
1358,6679066
1359,3705219
1360,4535475
1361,3826542
1362,7728186
1363,5202650
1364,7350956
1365,4699194
1366,3815129
1367,6679066
1368,2147436
1369,4535475
1370,4066197
1371,3620927
1372,15062144
1373,3736584
1374,4066197
1375,4535475
1376,4050173
1377,2682908
1378,3815129
1379,3815129
1380,3193892
1381,4699194
1382,4043185
1383,4699194
1384,3193892
1385,5099581
1386,5202650
1387,4699194
1388,4535475
1389,1920998
1390,4043185
1391,7983616
1392,4050173
1393,3620927
1394,7728186
1395,4221966
1396,3538704
1397,3736584
1398,7728186
1399,4043185
1400,3815129
1401,3736584
1402,3620927
1403,4066197
1404,6412623
1405,7728186
1406,4066197
1407,4699194
1408,6679066
1409,3826542
1410,3815129
1411,7983616
1412,3815129
1413,4699194
1414,5202650
1415,4066197
1416,3736584
1417,5202650
1418,4699194
1419,4699194
1420,7350956
1421,3620927
1422,2811210
1423,7350956
1424,4699194
1425,5202650
1426,1920998
1427,3736584
1428,4043185
1429,3815129
1430,4535475
1431,4066197
1432,4699194
1433,4699194
1434,2682908
1435,7983616
1436,4066197
1437,3736584
1438,4699194
1439,3826542
1440,4221966
1441,3620927
1442,1920998
1443,7728186
1444,8213524
1445,7728186
1446,7350956
1447,6412623
1448,5202650
1449,4699194
1450,3736584
1451,3193892
1452,4066197
1453,4066197
1454,2147436
1455,4043185
1456,5099581
1457,4699194
1458,7728186
1459,3815129
1460,3538704
1461,8213524
1462,4535475
1463,8213524
1464,2682908
1465,1920998
1466,7983616
1467,15062144
1468,2250044
1469,4221966
1470,6679066
1471,3815129
1472,3620927
1473,2682908
1474,4699194
1475,3815129
1476,4535475
1477,4699194
1478,3815129
1479,2250044
1480,4699194
1481,2250044
1482,4050173
1483,8213524
1484,15062144
1485,5099581
1486,4066197
1487,4699194
1488,2811210
1489,7983616
1490,1920998
1491,4066197
1492,5099581
1493,3815129
1494,15062144
1495,3736584
1496,3736584
1497,1920998
1498,1920998
1499,7728186
1500,6412623
1501,3815129
1502,4221966
1503,4043185
1504,15062144
1505,2147436
1506,4066197
1507,4066197
1508,4043185
1509,6679066
1510,3815129
1511,3736584
1512,7350956
1513,8904084
1514,7728186
1515,15062144
1516,4699194
1517,4221966
1518,3620927
1519,15062144
1520,6679066
1521,2147436
1522,3193892
1523,3736584
1524,3193892
1525,3815129
1526,6679066
1527,15062144
1528,2811210
1529,4221966
1530,5202650
1531,7728186
1532,3815129
1533,4043185
1534,4699194
1535,3826542
1536,3736584
1537,7728186
1538,5202650
1539,3736584
1540,3815129
1541,4043185
1542,6679066
1543,8213524
1544,15062144
1545,3815129
1546,2811210
1547,2682908
