Id,Prediction
0,4063037
1,3573119
2,3448067
3,3470840
4,3939091
5,4792577
6,4121911
7,3832400
8,4854663
9,3810116
10,5563451
11,4394367
12,4507222
13,4383571
14,4614075
15,4687231
16,4969798
17,3685961
18,5207172
19,3873409
20,2351720
21,5336188
22,4183337
23,5246663
24,4929952
25,3869221
26,3537070
27,4935988
28,3931669
29,4947267
30,4721551
31,3088515
32,3639663
33,4629727
34,3321343
35,5079258
36,4143349
37,4659857
38,3435886
39,4276858
40,5494991
41,4838992
42,4759927
43,4875100
44,5251351
45,4447949
46,3417881
47,2844744
48,4852833
49,4821311
50,4506160
51,3831311
52,5739187
53,3516214
54,3290134
55,5007726
56,5901189
57,4176032
58,4970767
59,4899448
60,3141203
61,3597634
62,4187351
63,4493645
64,4913229
65,5796443
66,4814963
67,5967258
68,5485684
69,4778760
70,4219242
71,3611843
72,4511971
73,3551492
74,4923909
75,4132548
76,4979593
77,4250179
78,4653805
79,4579812
80,5593093
81,4835442
82,4393340
83,4370821
84,5474135
85,2242442
86,4914349
87,4510989
88,4542649
89,3849421
90,4974141
91,3992267
92,3815806
93,4770920
94,5864353
95,3626084
96,4691768
97,4965702
98,3923975
99,4588215
100,3999887
101,2774044
102,3987929
103,3558867
104,3347191
105,3207279
106,4528155
107,4835888
108,4949999
109,4711944
110,4520368
111,4197506
112,4770447
113,4627051
114,4374334
115,4523484
116,3397080
117,5494967
118,4243895
119,4329139
120,4962012
121,5030644
122,4012932
123,5858469
124,3795440
125,4209520
126,5823650
127,3718326
128,4207677
129,4849024
130,3007374
131,5236756
132,5502046
133,3392005
134,4441578
135,3859793
136,4561653
137,3805398
138,4789017
139,5071481
140,5900357
141,2914912
142,4859065
143,3081866
144,4925270
145,3700713
146,4782161
147,3184746
148,4360292
149,4680890
150,3799088
151,3364646
152,4908707
153,5969502
154,3766299
155,5087331
156,5212315
157,4680713
158,4175787
159,4127016
160,3473316
161,3828878
162,3439934
163,5350570
164,6021667
165,3427720
166,4273656
167,3796428
168,4201043
169,4870040
170,4163312
171,3347319
172,3971534
173,4441676
174,4851573
175,3151772
176,6160420
177,5525483
178,4535469
179,3917443
180,4299984
181,4130158
182,4803265
183,4002920
184,4532339
185,3261812
186,3869346
187,5833584
188,5414064
189,4754003
190,4328757
191,4684313
192,5093729
193,3923221
194,4941788
195,4993859
196,4266793
197,3295178
198,4214501
199,4510813
200,4248282
201,3599995
202,4586330
203,4907433
204,4696408
205,5053943
206,4960683
207,4629363
208,5010294
209,3804807
210,4677716
211,5361532
212,3402442
213,4112332
214,5353157
215,2213304
216,4872239
217,4766104
218,4494756
219,2968051
220,5231382
221,4552392
222,4818882
223,4130158
224,4944456
225,3935953
226,3306814
227,6369868
228,3241380
229,5463310
230,4776370
231,5494720
232,4820497
233,4290067
234,3605176
235,4909306
236,4302565
237,3632703
238,4613431
239,4314599
240,4850924
241,3909744
242,3712282
243,4823747
244,5295229
245,4828644
246,4200719
247,4919282
248,4765994
249,3982989
250,3206704
251,4576733
252,5264544
253,4319519
254,4655600
255,4169805
256,4254365
257,4447949
258,3798760
259,3707079
260,4430877
261,4165790
262,5785677
263,4537606
264,2478035
265,5273700
266,3970822
267,6301906
268,5361496
269,4468200
270,3779162
271,2940997
272,4369987
273,4962081
274,4185521
275,5448306
276,6001810
277,5558189
278,5041691
279,4227988
280,4917772
281,4356720
282,3661305
283,3949065
284,5047350
285,2781050
286,5381651
287,4050562
288,4485399
289,4506734
290,4174170
291,4576600
292,3472944
293,5245741
294,3225373
295,5973014
296,4811802
297,5175455
298,4858221
299,4978677
300,5095029
301,4901374
302,4804505
303,5183941
304,4187517
305,4660639
306,4394562
307,4717814
308,2414177
309,3916883
310,4611155
311,3802248
312,3803474
313,4423505
314,3542593
315,3904198
316,3019159
317,4453368
318,5043928
319,4004389
320,4310587
321,3763620
322,4292372
323,4671456
324,4711559
325,4324912
326,4287289
327,4729431
328,4750251
329,5458179
330,3325692
331,4686517
332,4404419
333,6055808
334,5888203
335,4612736
336,3114772
337,4873088
338,4645262
339,3651618
340,4922881
341,4658958
342,4764237
343,4841601
344,4579688
345,4143426
346,4411996
347,5027985
348,3011562
349,4791295
350,4646478
351,5357340
352,5574959
353,3994532
354,3886645
355,4857531
356,5632446
357,4454242
358,5026662
359,4852763
360,4849024
361,4320537
362,4062466
363,4309447
364,5141883
365,3896303
366,2649735
367,3643449
368,3911034
369,5017473
370,3974214
371,4766314
372,4795753
373,5433844
374,4309766
375,4647497
376,3681634
377,3855612
378,5248311
379,4862142
380,4894386
381,3990764
382,3441926
383,4902233
384,4532598
385,5912972
386,4019979
387,5022952
388,4523491
389,4560495
390,5147088
391,3678263
392,3798565
393,4634154
394,5758438
395,3763088
396,4876821
397,5038141
398,5386016
399,5356123
400,3167641
401,4280583
402,3687487
403,4712871
404,3602227
405,4583874
406,4638486
407,4522138
408,2649735
409,3452249
410,4123596
411,4509194
412,4294714
413,5172919
414,6052009
415,4170410
416,5464469
417,2914912
418,4404361
419,3817681
420,4683057
421,5115123
422,4450936
423,4080695
424,4677489
425,4660927
426,4638995
427,4259550
428,5073234
429,4104628
430,3160866
431,3715056
432,2877611
433,4428280
434,4021801
435,4663968
436,3922193
437,2998530
438,3491670
439,5369937
440,4800646
441,4981972
442,3863559
443,4640512
444,4971488
445,4357996
446,5789541
447,4781965
448,4226099
449,6186016
450,5321186
451,3438848
452,3677597
453,5451268
454,5222649
455,4035825
456,3403708
457,3913167
458,4634550
459,3069064
460,4838498
461,4717439
462,5010067
463,3224032
464,4868506
465,3575159
466,4135182
467,3857418
468,4415777
469,4313840
470,3869221
471,4338641
472,3114772
473,4698531
474,4677612
475,3891782
476,3843226
477,5360010
478,4126916
479,5188019
480,3931949
481,6109292
482,3672445
483,5096795
484,5626544
485,3984434
486,4701794
487,4445125
488,4934049
489,3861219
490,4852527
491,3353172
492,4831398
493,5088418
494,4396017
495,4533624
496,5089847
497,3988589
498,4390667
499,4369682
500,4580863
501,2942653
502,4123799
503,5519520
504,3937061
505,4088777
506,3632362
507,4773841
508,3401182
