Id,Prediction
0,4222115
1,3530568
2,3550463
3,3366112
4,3934940
5,4331853
6,4030721
7,3760319
8,4789676
9,3963156
10,4498999
11,4434025
12,4363769
13,4481727
14,4075420
15,4790228
16,4458290
17,3775599
18,5330278
19,3710985
20,2781982
21,5125900
22,4359882
23,4600986
24,4932277
25,3825457
26,3571433
27,4910908
28,3618714
29,4729163
30,4071698
31,3262308
32,3381799
33,4671277
34,3134630
35,4487156
36,4059257
37,4709073
38,3286712
39,3772374
40,4644977
41,4453303
42,4745294
43,4895915
44,4895858
45,4089087
46,3404854
47,2704531
48,4750416
49,4445693
50,4363275
51,3793269
52,4925009
53,3297340
54,3454114
55,4523003
56,5346176
57,4076863
58,4375359
59,4945660
60,2993302
61,3655281
62,4078016
63,4077861
64,4670788
65,5581363
66,4295703
67,5568558
68,4987242
69,4976041
70,4136131
71,3270730
72,4319022
73,3445058
74,4764249
75,4328847
76,4393518
77,4069495
78,4738566
79,4379840
80,4757934
81,5040321
82,3906787
83,4419761
84,5320296
85,2157366
86,4617773
87,5143914
88,4268928
89,3791059
90,5070484
91,4248092
92,3534453
93,4324346
94,5298694
95,3579103
96,4485130
97,4566217
98,3961429
99,4825867
100,4434757
101,2802036
102,3794318
103,3572427
104,3563193
105,3380819
106,4436000
107,5006414
108,4533855
109,4623454
110,4783550
111,4219368
112,4882471
113,4415696
114,4123002
115,4336745
116,3341593
117,4846544
118,3856833
119,4604460
120,5068080
121,4587178
122,4336365
123,5065319
124,3305938
125,4137350
126,5017608
127,3782184
128,3861161
129,4364519
130,2802725
131,4715988
132,4895868
133,3496599
134,4360360
135,3829813
136,4215595
137,4091202
138,4208958
139,4374847
140,5250469
141,2879093
142,4856357
143,2987184
144,5009721
145,3818057
146,4657748
147,3435482
148,4354086
149,4612300
150,3894565
151,3133465
152,4979063
153,5311185
154,3516483
155,4823267
156,4628463
157,4842051
158,3838623
159,4088794
160,3251470
161,4068143
162,3629748
163,5157368
164,5189149
165,3338700
166,4271745
167,3734661
168,4376882
169,4789100
170,4057078
171,3352913
172,3796104
173,4595860
174,5023314
175,3212887
176,5228075
177,4798107
178,4359921
179,3677471
180,4304764
181,4170334
182,4503740
183,4106340
184,4506646
185,3488616
186,3613813
187,5075166
188,5069357
189,4564513
190,4258347
191,4747845
192,5020031
193,3834040
194,4396102
195,4349136
196,4120903
197,2623006
198,3677688
199,4635518
200,4216435
201,3892786
202,4097406
203,4690153
204,4647320
205,5185129
206,4837715
207,4409566
208,4673263
209,3825646
210,4545388
211,4683022
212,3442288
213,3574138
214,5293233
215,2228939
216,4651006
217,4816281
218,4361441
219,2910453
220,5566322
221,4807844
222,4692880
223,4119346
224,4859104
225,4371901
226,3529439
227,5157033
228,3243583
229,4774273
230,4380550
231,5349833
232,4326870
233,4306681
234,3689669
235,4552812
236,4477835
237,3611203
238,4123878
239,4507024
240,4542699
241,4035658
242,3548498
243,4361297
244,4600995
245,4596209
246,3997502
247,4689950
248,4222302
249,4225540
250,3052604
251,4473893
252,4937895
253,4108833
254,4198906
255,3777656
256,4384795
257,4247875
258,3712817
259,3812683
260,4158210
261,3961586
262,4956362
263,4396413
264,2397012
265,4979717
266,4131923
267,5518783
268,4696750
269,4040590
270,4005290
271,2820841
272,4890153
273,4606468
274,3976935
275,5433767
276,5169393
277,5185218
278,4674268
279,4384825
280,4906917
281,3881585
282,3355116
283,4016399
284,4580549
285,2833499
286,4649341
287,4277799
288,4387652
289,3814332
290,4176054
291,4379978
292,3440935
293,4666317
294,3483429
295,5150970
296,5053676
297,5711914
298,4531521
299,5079435
300,4557471
301,4961984
302,4838462
303,5300999
304,4267457
305,4745634
306,4064483
307,4561279
308,2423916
309,4032899
310,4455949
311,3800625
312,3337767
313,4169534
314,3570143
315,3690876
316,3061754
317,4459910
318,5078308
319,3984365
320,4057992
321,3580727
322,4090792
323,4340824
324,4361179
325,4044089
326,4751900
327,4441724
328,4614304
329,5050858
330,3350186
331,4970254
332,4542422
333,5128736
334,5066761
335,4559836
336,3074293
337,4593229
338,4064635
339,3646011
340,4778175
341,4460392
342,4799977
343,4741975
344,4657347
345,4085264
346,3661688
347,5386718
348,3204588
349,4596577
350,4459912
351,5183026
352,4897703
353,3846068
354,3777742
355,4522046
356,4461689
357,4408393
358,4743702
359,4706283
360,4364519
361,4304188
362,4151266
363,4391499
364,4782554
365,3710386
366,2835828
367,3689131
368,3813613
369,5062222
370,4014137
371,4491490
372,4906477
373,5178302
374,3738551
375,4435032
376,3651744
377,3727966
378,5044508
379,4504625
380,4800918
381,3927674
382,3490502
383,4988003
384,4043613
385,5363305
386,4023476
387,4787538
388,4423569
389,4383954
390,5462610
391,3507972
392,3623353
393,4400607
394,5165498
395,3340416
396,4874886
397,5138988
398,5421093
399,4876469
400,3221199
401,3921266
402,3732555
403,4886504
404,3552674
405,4436606
406,4523973
407,4409607
408,2713900
409,3738780
410,3690863
411,4005399
412,4310461
413,4970515
414,5100262
415,4023671
416,5059594
417,2733954
418,4014637
419,3639622
420,4318479
421,4737862
422,4965612
423,3715264
424,4847459
425,4545211
426,4432800
427,3789467
428,4766726
429,3555173
430,3471840
431,3956132
432,2841804
433,4207583
434,3588004
435,4457950
436,3950417
437,3069338
438,3354476
439,4808258
440,4842487
441,4662733
442,4312811
443,4853066
444,4725226
445,4438496
446,5510849
447,4482723
448,4521027
449,5211936
450,4824852
451,3390922
452,3614497
453,4622682
454,4530603
455,4183088
456,3361969
457,3957840
458,3959216
459,3016397
460,5038243
461,4442506
462,4994915
463,3197620
464,4753329
465,3821980
466,4265218
467,3540099
468,4017134
469,4319994
470,3910826
471,4277521
472,3374106
473,4565743
474,4878874
475,4066080
476,3636554
477,4660002
478,3969628
479,5041061
480,3896279
481,5192194
482,3547683
483,4740368
484,5462090
485,3523000
486,4466802
487,4185948
488,4680210
489,3804602
490,4442757
491,3226624
492,4550211
493,4884011
494,4357769
495,4289243
496,4817677
497,4025078
498,4288304
499,4433557
500,4675943
501,2846561
502,4198723
503,5176769
504,3829134
505,3952078
506,3838772
507,4547907
508,3398989
509,4541953
510,4989735
511,5155017
512,2724404
513,5105366
514,3469489
515,2787847
516,3586580
517,4741917
518,4583574
519,4497254
520,3718870
521,5407399
522,5327352
523,4878714
524,4541272
525,4766525
526,2900142
527,4896445
528,5625645
529,4486635
530,3900209
531,4112183
532,4389612
533,3841488
534,5029361
535,4033720
536,4574930
537,3773529
538,3769127
539,4714848
540,4549102
541,3562717
542,3788574
543,4029821
544,4211358
545,4257643
546,3112708
547,4059257
548,3846106
549,4076883
550,3954481
551,4282193
552,4187098
553,4946256
554,4364603
555,4160739
556,3275616
557,4640383
558,3960953
559,4198523
560,4429738
561,4967965
562,2876400
563,4589414
564,3354256
565,4532620
566,3171276
567,5034648
568,4204027
569,3745200
570,4608999
571,5130153
572,4286324
573,4669194
574,4087079
575,3151756
576,5371698
577,4029908
578,3865770
579,4345513
580,3604822
581,4355982
582,4847887
583,3935517
584,4365705
585,4613235
586,3542593
587,3776437
588,5337028
589,4133526
590,3692202
591,4128006
592,3988797
593,3219517
594,3674773
595,3399232
596,4054426
597,3716422
598,4190565
599,5003270
600,5033400
601,4991511
602,5085925
603,3005436
604,3026931
605,3449242
606,3476776
607,3648536
608,2952685
