Id,Prediction
0,4091927
1,3548821
2,3441850
3,3303598
4,3881127
5,4291964
6,4046530
7,3704510
8,8804112
9,3927889
10,4374432
11,4470296
12,4375135
13,4484384
14,4109245
15,4997746
16,4373013
17,3670815
18,9519210
19,3643090
20,2685725
21,5454951
22,4394217
23,4612741
24,4856252
25,3788291
26,3555152
27,4838501
28,3576661
29,4699126
30,4066867
31,3092999
32,3339618
33,4934823
34,3206688
35,4502001
36,3986482
37,4853002
38,3294104
39,3784424
40,4698808
41,4497996
42,4724572
43,4973668
44,4989211
45,4211304
46,3419865
47,2760564
48,4727435
49,4459338
50,4279043
51,3771167
52,5016829
53,3292798
54,3451283
55,4573176
56,5419085
57,3995509
58,4379834
59,4950205
60,3040260
61,3706354
62,4014418
63,4032805
64,4672575
65,9963799
66,4225009
67,9449087
68,5028981
69,4910413
70,4089116
71,3184107
72,4359805
73,3509381
74,4707278
75,4337883
76,4507439
77,4123053
78,4869147
79,4351309
80,4865494
81,5127789
82,3924974
83,4371391
84,9722730
85,2203921
86,4895463
87,9065104
88,4236868
89,3714832
90,5120131
91,4138157
92,3596370
93,4260212
94,5365189
95,3487704
96,4474449
97,4671503
98,4037738
99,4774577
100,4571630
101,2756515
102,3726569
103,3556009
104,7424251
105,3339378
106,4404307
107,8459704
108,4494330
109,4698435
110,4889218
111,4283199
112,5066703
113,4403553
114,4078589
115,4397852
116,3330827
117,4886030
118,3804911
119,4603836
120,5124909
121,4554917
122,4451606
123,9383746
124,3395933
125,4097790
126,5134970
127,3767074
128,3953331
129,4414222
130,2858463
131,4688853
132,4891875
133,3452754
134,4348977
135,3811862
136,4317660
137,4108887
138,4287315
139,4398732
140,5404153
141,2933375
142,4795752
143,3002856
144,4967266
145,3771375
146,4573229
147,3430542
148,4343688
149,4653691
150,3898632
151,3093053
152,5183368
153,8966483
154,3393526
155,4853114
156,4733707
157,5029653
158,3802928
159,4095616
160,3238853
161,4176787
162,3651595
163,5180086
164,5152133
165,3241901
166,4384334
167,3667393
168,4514088
169,4889311
170,4032383
171,3319421
172,3737188
173,8536039
174,4968086
175,3111517
176,5453487
177,4774100
178,4414004
179,3734049
180,4134679
181,4186839
182,4601036
183,4073538
184,4510643
185,3524536
186,3609558
187,5202812
188,5129243
189,4511846
190,4336914
191,4743328
192,4984221
193,3841390
194,4532887
195,4222647
196,4109814
197,2704289
198,3726493
199,4655088
200,4181194
