Id,Prediction
0,4131864
1,3742310
2,3605077
3,3453048
4,3932697
5,4565665
6,4028907
7,3980220
8,4904698
9,4065484
10,4606325
11,4639840
12,4571477
13,4581671
14,4454688
15,4842142
16,4846918
17,3811795
18,5265588
19,3933702
20,3147446
21,4951857
22,4350464
23,5174338
24,5022866
25,4007013
26,3720616
27,4709058
28,3706423
29,4670708
30,4375994
31,3369700
32,3638934
33,4773467
34,3352823
35,4531314
36,4040541
37,4545465
38,3601895
39,3900701
40,4534325
41,4546992
42,4819020
43,4662211
44,5218690
45,4104899
46,3559537
47,3151266
48,4881266
49,4467760
50,4478185
51,4142969
52,4994589
53,3458100
54,3525593
55,4658451
56,5436269
57,4240613
58,4718478
59,4983126
60,3195360
61,3838427
62,4025801
63,4149444
64,4653730
65,5582625
66,4595850
67,5449184
68,5134928
69,4627800
70,4096010
71,3545551
72,4366768
73,3829778
74,5091320
75,4399599
76,4721917
77,4141888
78,4761616
79,4455322
80,5210257
81,4668941
82,4061204
83,4362549
84,5311398
85,2624200
86,4414807
87,4699449
88,4465947
89,4009590
90,5160526
91,4123484
92,3868695
93,4333889
94,5222413
95,3832779
96,4531490
97,4396887
98,3996655
99,4772861
100,4267232
101,3043267
102,3900988
103,3629883
104,4060237
105,3467874
106,4499145
107,4764691
108,4834206
109,4763463
110,4902291
111,4356992
112,4845419
113,4609155
114,4051058
115,4787741
116,3468698
117,4996552
118,3948840
119,4691222
120,4942955
121,4801912
122,4151731
123,5178199
124,3596062
125,4021790
126,5087952
127,3821325
128,4079470
129,4496341
130,3164278
131,4810206
132,5276297
133,3534600
134,4462072
135,4076404
136,4262168
137,4288674
138,4286089
139,4382501
140,5575776
141,3014406
142,4873749
143,3281567
144,4691083
145,3991624
146,4837160
147,3649854
148,4385550
149,4561793
150,4111152
151,3560379
152,5058156
153,5472600
154,3800786
155,4889196
156,5021643
157,4935910
158,3923418
159,4017924
160,3522654
161,4166577
162,3840075
163,5220766
164,5701934
165,3657298
166,4529167
167,3971672
168,4322778
169,4907700
170,4100780
171,3378655
172,3929234
173,4667511
174,4689858
175,3631523
176,5484529
177,4994913
178,4207614
179,3874101
180,4290648
181,4309990
182,4798501
183,4208835
184,4626436
185,3606621
186,3861370
187,4985993
188,5429973
189,4733933
190,4350937
191,4796748
192,5294905
193,3953381
194,4550239
195,4640531
196,4161953
197,3221420
198,3897228
199,4354293
200,4191676
201,3881176
202,4563529
203,4738257
204,4925892
205,4953630
206,5011436
207,4326218
208,4584996
209,4040672
210,4726385
211,4743375
212,3641061
213,3501624
214,5335033
215,2600700
216,4531619
217,4828914
218,4395341
219,3074612
220,5202123
221,4869976
222,5073823
223,4235462
224,4954231
225,4379112
226,3898169
227,5640955
228,3409206
229,4824445
230,4619314
231,5472219
232,4532609
233,4252236
234,3738241
235,4724462
236,4246461
237,3786512
238,4361146
239,4537108
240,4268804
241,4029385
242,3471295
243,4296397
244,4888630
245,4953989
246,4132049
247,4650227
248,4479222
249,4373254
250,3349301
251,4711644
252,5283973
253,4230353
254,4564646
255,3989132
256,4429532
257,4310266
258,3737662
259,4188341
260,4232394
261,4074268
262,5269181
263,4217771
264,2956556
265,5212328
266,4232514
267,5766634
268,4706599
269,4216188
270,3897977
271,3172245
272,4858572
273,4543691
274,3867764
275,5329287
276,5566991
277,5056039
278,4660382
279,4226594
280,4993089
281,4002747
282,3482136
283,4054257
284,4867052
285,3142630
286,4984093
287,4191474
288,4590334
289,3695746
290,4392430
291,4361495
292,3544345
293,4470035
294,3819497
295,5077441
296,4935779
297,5288302
298,4535082
299,5058827
300,4457466
301,4801462
302,5004353
303,5092394
304,4330718
305,4910287
306,4069815
307,4780361
308,2765683
309,4289900
310,4523957
