Id,Prediction
0,4242138
1,3569681
2,4342894
3,3972554
4,5084357
5,4387163
6,3837562
7,4939747
8,4743896
9,4167868
10,4370884
11,4612461
12,4812891
13,5109297
14,4040130
15,4271440
16,4694905
17,4398388
18,5162895
19,4581949
20,3775065
21,4430605
22,4569577
23,4747846
24,4827377
25,3721562
26,3369183
27,5374892
28,5291345
29,5350509
30,5138144
31,3742985
32,4243426
33,4636274
34,3973136
35,3884322
36,4486560
37,5098889
38,2907719
39,4608602
40,4800820
41,4496774
42,4844309
43,4429408
44,5231932
45,4689787
46,4111770
47,3464458
48,4735628
49,5040111
50,4226488
51,4758357
52,4748688
53,4131662
54,3236730
55,4433887
56,5574350
57,5152995
58,4526249
59,4865806
60,3300978
61,3809774
62,4127627
63,4080029
64,4631387
65,4549040
66,4519659
67,5410765
68,4703848
69,4155326
70,3951907
71,4165749
72,4103713
73,3903374
74,5321441
75,4339569
76,4885327
77,4968289
78,4701400
79,4648751
80,5178341
81,4137018
82,4243221
83,4309310
84,4885903
85,2525911
86,4379186
87,4376464
88,4562658
89,4480691
90,5358226
91,4114806
92,3280957
93,5446443
94,4997653
95,4482657
96,4986254
97,4238164
98,3833078
99,4428316
100,3775022
101,2705960
102,4408457
103,4137722
104,3315425
105,3385321
106,4837301
107,4187110
108,4809644
109,4687755
110,4606911
111,5319372
112,4328683
113,4229307
114,3984778
115,4349142
116,3780366
117,4954138
118,3790386
119,4870096
120,4844771
121,4775551
122,3620009
123,5462339
124,4464812
125,4236480
126,5328558
127,3665862
128,4831545
129,4356764
130,3235944
131,4859663
132,5644762
133,3603423
134,4228954
135,3751118
136,4590933
137,4256720
138,5257240
139,4128120
140,5212427
141,3550328
142,4672950
143,3594479
144,4625744
145,3783873
146,4668546
147,3101555
148,4402711
149,4686346
150,3641655
151,3569506
152,4487192
153,5541640
154,3355226
155,5267379
156,4817027
157,4474274
158,4351439
159,3861426
160,4068799
161,3946420
162,3455551
163,4898719
164,5910132
165,4112752
166,4659167
167,4933771
168,3811402
169,4788011
170,3939872
171,3989207
172,4606114
173,3996579
174,4402142
175,4313984
176,5057608
177,4591297
178,4261027
179,4169796
180,4397567
181,4198432
182,4898333
183,4167599
184,4320571
185,3385894
186,3291632
187,5354644
188,5649273
189,4666601
190,4597220
191,5021673
192,5359899
193,4944141
194,3961182
195,4411712
196,4319180
197,3504372
198,4763292
199,3965569
200,4136564
201,4871789
202,4061360
203,4301298
204,5000843
205,4948493
206,4671998
207,4181319
208,4466630
209,3616383
210,4420402
211,5110156
212,4854750
213,3940478
214,4931682
215,2573862
216,4736035
217,4720373
218,4049341
219,3600139
220,4804637
221,4588458
222,4723079
223,4099161
224,4388702
