Id,Prediction
0,4043132
1,3743013
2,3440124
3,3064414
4,4347855
5,4373771
6,3447241
7,3061971
8,4579561
9,3020474
10,5872259
11,5024969
12,4027481
13,4064047
14,3597867
15,4089737
16,4736137
17,4352452
18,4882032
19,4166185
20,2130453
21,5307586
22,4305121
23,6131640
24,5486429
25,3912492
26,4010553
27,5190164
28,4318385
29,4448578
30,4177533
31,2412692
32,3487775
33,4436583
34,3122123
35,4039973
36,4280359
37,4592488
38,3506236
39,3962564
40,5021969
41,4609268
42,4892967
43,4132571
44,5276557
45,5310221
46,3523809
47,3033117
48,4614022
49,4162259
50,4825710
51,3524555
52,6216062
53,4135217
54,3532933
55,5155975
56,5697941
57,4126177
58,4756111
59,4921646
60,2494889
61,3523247
62,4150401
63,3940412
64,4584632
65,4469564
66,4247805
67,4858860
68,4667691
69,4637389
70,3946126
71,2011121
72,4827834
73,3570713
74,4606274
75,4984313
76,5738615
77,4494354
78,5093492
79,4952988
80,4785311
81,6192723
82,4034803
83,4081673
84,5146777
85,2003457
86,3597611
87,4258882
88,3991748
89,3767770
90,4890323
91,3836006
92,3679243
93,4230864
94,6229622
95,3659869
96,5128095
97,4529102
98,3274342
99,4824692
100,3701463
101,3009717
102,4293045
103,3401505
104,3696570
105,2870627
106,3985401
107,4444734
108,6044394
109,4522029
110,5256983
111,3841568
112,4553930
113,3458501
114,4025933
115,4552856
116,3050594
117,4028402
118,4429920
119,4579724
120,5269586
121,6133601
122,4309390
123,5231629
124,3548915
125,4250448
126,6286127
127,4402547
128,4350186
129,4648746
130,2582734
131,4766153
132,5737839
133,3795207
134,4645635
135,3879076
136,4265618
137,4720196
138,4119070
139,4737460
140,5594250
141,2842729
142,5339951
143,2403164
144,4715413
145,2999155
146,6158022
147,3583264
148,4349966
149,4585694
150,3557662
151,2436458
152,5050410
153,5737539
154,3122720
155,5413621
156,5438077
157,4469915
158,3844195
159,4528927
160,3280390
161,3274342
162,2990334
163,4042862
164,4928220
165,2800995
166,4488103
167,3787023
168,3263443
169,5141700
170,4226009
171,3197434
172,3993415
173,3969486
174,4562673
175,2201772
176,6079047
177,5935036
178,3244609
179,3821800
180,5420835
181,3870563
182,5530708
183,4111902
184,5142300
185,3559483
186,3424086
187,5224604
188,5545981
189,4780817
190,4648020
191,5488157
192,6217300
193,3376355
194,5006011
195,3903081
196,4351297
197,2258238
198,4291498
199,4660016
200,3625409
201,4395895
202,4732848
203,3765494
204,4071215
205,5569561
206,4631039
207,4276082
208,5607319
209,3946126
210,4751912
211,6151836
212,4332204
213,2943944
214,4938029
215,2040122
216,5823880
217,4621548
218,4329160
219,2800966
220,5079392
221,4584532
222,4559665
223,3946126
224,4999279
225,4158407
226,3320973
227,6296516
228,3153709
229,5308040
230,5303318
231,4984970
232,3990965
233,3592717
234,3503426
235,6150207
236,4421283
237,3475777
238,3566705
239,4040827
240,3671088
241,4449237
242,2842729
243,4092188
244,5242574
245,4655710
246,4253426
247,5004762
248,4558335
249,4651879
250,2956662
251,4985591
252,4747933
253,3963570
254,4428568
255,4162455
256,4184417
257,5310221
258,3833612
259,3535646
260,4392255
261,3396333
262,5440575
263,4931579
264,2111384
265,5178522
266,4158178
267,6401846
268,4874596
269,4199560
270,3911954
271,1970548
272,4961201
273,4645998
274,4653280
275,4265849
276,6391330
277,6287071
278,4650012
279,3651739
280,4664754
281,4332984
282,3228158
283,4289040
284,4975838
285,2642524
286,5310363
287,3834510
288,5013658
289,3365720
290,4540308
291,4300007
292,3343445
293,4087209
294,3598895
295,6317909
296,3974603
297,4897744
298,4014236
299,4630906
300,4568704
301,5411775
302,4549485
303,6340717
304,4627506
305,4826503
306,5401316
307,5012918
308,1965800
309,3515920
310,4483389
311,3675775
312,3501162
313,4621633
314,3579728
315,3845563
316,2410523
317,4666118
318,5092057
