Id,Prediction
0,4197549
1,3777601
2,3780682
3,3582179
4,4067404
5,4705820
6,4158968
7,4214850
8,5133356
9,4229326
10,4751000
11,4578329
12,4652767
13,4946303
14,4635796
15,5455238
16,5046681
17,3980402
18,5659750
19,4007840
20,3286312
21,5527749
22,4428213
23,5319762
24,5396030
25,3963090
26,3706612
27,4925817
28,3892550
29,4776307
30,4680046
31,3606439
32,3686614
33,5095678
34,3479902
35,5006234
36,4119144
37,4655948
38,3635481
39,3963518
40,4518068
41,4520955
42,5013977
43,5175090
44,5445267
45,4196733
46,3721004
47,3184325
48,5031815
49,4391510
50,4587109
51,4372988
52,5192264
53,3534606
54,3563643
55,4975475
56,5423601
57,4411132
58,4830399
59,4859167
60,3117116
61,3854813
62,4076736
63,4332834
64,4761970
65,6204809
66,4641392
67,5922052
68,5419255
69,5136667
70,4142919
71,3652501
72,4392285
73,3905027
74,5465442
75,4361232
76,4685373
77,4256800
78,4698277
79,4519847
80,5389033
81,5090992
82,4038196
83,4424365
84,6090158
85,2638691
86,5043137
87,5249370
88,4466788
89,4195406
90,5250174
91,4267598
92,3885054
93,4479085
94,5482362
95,3945956
96,4650765
97,4502497
98,4022541
99,5144709
100,4676986
101,3035435
102,4003919
103,3634002
104,4076167
105,3592673
106,4631561
107,5097531
108,4926950
109,4840519
110,5060378
111,4602633
112,5351237
113,4611734
114,4123947
115,4923945
116,3613371
117,5164953
118,3982199
119,4781752
120,5312021
121,4835085
122,4564189
123,5629797
124,3727677
125,3923043
126,5127057
127,3892098
128,4264018
129,4607154
130,3194832
131,4803684
132,5291137
133,3634929
134,4549101
135,4193906
136,4267244
137,4372579
138,4632471
139,4558943
140,5841575
141,3120605
142,5308377
143,3337782
144,5113723
145,4046535
146,4819227
147,3652345
148,4633688
149,4622525
150,4105088
151,3615835
152,5555598
153,5792465
154,3843470
155,4913349
156,5213228
157,5588023
158,3980925
159,4089474
160,3774042
161,4280012
162,4007303
163,5585056
164,5759777
165,3817650
166,4546107
167,4077239
168,4773327
169,5203319
170,4094908
171,3548247
172,4033288
173,4956778
174,5179582
175,3757554
176,5932207
177,5172104
178,4501272
179,3945081
180,4429469
181,4406013
182,4836519
183,4183451
184,4712604
185,3586778
186,3885853
187,5285855
188,5527304
189,4888451
190,4305573
191,4943996
192,5356962
193,4137114
194,4775781
195,4870122
196,4169503
197,3171261
198,4007271
199,4823103
200,4287950
201,4129095
202,4602837
203,5021335
204,5090467
205,5324433
206,5344194
207,4424719
208,5018827
209,4066935
210,4822049
211,4805719
212,3805122
213,3478731
214,5745386
215,2669428
216,4671465
217,5210031
218,4570429
219,3148985
220,5613650
221,5163056
222,5221820
223,4248697
224,5255498
225,4526731
226,4101628
227,5790073
228,3590793
229,4943528
230,4735457
231,5902930
232,4627283
233,4342823
234,3814810
235,4659519
236,4584767
237,3845138
238,4555116
239,4578026
240,4440147
241,3977877
242,3500844
243,4472964
244,5080305
245,5184472
246,4269963
247,4805000
248,4657559
249,4316019
250,3437245
251,4814321
252,5369681
253,4454906
254,4668811
255,4148420
256,4782870
257,4386687
258,3835082
259,4277098
260,4205763
261,4377513
262,5283086
263,4209447
264,2924113
265,5680532
266,4312948
267,6208385
268,4682674
269,4233206
270,4013525
271,3361047
272,5253910
273,4564613
274,3959298
275,5868751
276,5866605
277,5095866
278,4659100
279,4782521
280,5215131
281,4061875
282,3470280
283,4036143
284,4880961
285,3182998
286,5150712
287,4296708
288,4659450
289,3917210
290,4361493
291,4490563
292,3703042
293,4620276
294,4004400
295,5422423
296,5641917
297,5813260
298,4988322
299,5468896
300,4454979
301,4816390
302,5363086
303,5375857
304,4310783
305,5418911
306,4058558
307,4837574
308,2935580
309,4357375
310,4466114
311,4109185
312,3553988
313,4464890
314,3891733
315,4204666
316,3622241
317,4535759
318,5230114
319,4403691
320,4302964
321,3812840
322,4206988
323,4654112
324,4702468
325,4443440
326,5257740
327,4589355
328,4691038
329,5353042
330,4024382
331,5399108
332,4891150
333,5557223
334,5481228
335,4647867
336,3289138
337,4591886
338,4351175
339,3914811
340,4750142
341,4547876
342,4787003
343,5101975
344,4765335
345,4047344
346,3939554
347,5273795
348,3690737
349,5147016
350,4453970
351,5660443
352,5618171
353,4421765
354,3858443
355,4818366
356,5219296
357,4691365
358,4765232
359,5141074
360,4607154
361,4480083
362,4122968
363,4505327
364,5364675
365,4155180
366,3252936
367,3856822
368,3962595
369,5139718
370,4187387
371,4669103
372,4970932
373,5613269
374,3974791
375,4643150
376,3985757
377,4030610
378,5418305
379,4471090
380,4805115
381,4093509
382,3622920
383,5166557
384,4055039
385,6108658
386,4465996
387,4762074
388,4549417
389,4594261
390,5606406
391,3973916
392,3956023
393,4873167
394,5292825
395,3919554
396,5492645
397,5453197
398,5341860
399,5108470
400,3628099
401,4277215
402,4010038
403,5332611
404,3805741
405,4447243
406,4759414
407,4413105
408,2972211
409,3855105
410,3664553
411,4079285
412,4497297
413,5528475
414,5541430
415,4469636
416,5627366
417,2990430
418,4137246
419,4163156
420,4491428
421,5009350
422,5062474
423,4156769
424,4676139
425,4508543
426,4498975
427,3668889
428,5381323
429,3642458
430,3757190
431,4173864
