Id,Prediction
0,4009700
1,3761561
2,3730551
3,3512994
4,4003179
5,4284087
6,4013546
7,3810836
8,5079948
9,4338724
10,4476574
11,4134266
12,4866607
13,4582241
14,4149584
15,4215405
16,5193581
17,4071543
18,4682526
19,4084332
20,4150623
21,4580970
22,4629377
23,5444187
24,4773616
25,3785941
26,3583062
27,4383007
28,4652363
29,4274120
30,4947230
31,3792408
32,3697370
33,5058195
34,3564240
35,4388970
36,4279248
37,4775275
38,3664287
39,4151539
40,4199408
41,4169463
42,4811400
43,5125137
44,5508655
45,3815291
46,3669206
47,3361553
48,4533993
49,4758602
50,4745048
51,4691536
52,4344120
53,3567880
54,3464038
55,4593093
56,5261451
57,4476925
58,4545479
59,4999051
60,3329370
61,4326465
62,4283073
63,4029938
64,5291773
65,5626591
66,4684875
67,5097802
68,4669353
69,4447739
70,3802637
71,3562386
72,4210217
73,3680099
74,5479431
75,4826426
76,5238474
77,4083816
78,4516645
79,4195308
80,5024293
81,4470816
82,4659907
83,4821609
84,5219938
85,2831090
86,4151395
87,4448190
88,4799113
89,4282402
90,5480513
91,4595324
92,3791772
93,4391676
94,5080699
95,4396732
96,4355931
97,4174773
98,3781911
99,4598631
100,4740565
101,3127649
102,4398330
103,4290645
104,4760929
105,3492493
106,4679488
107,5122617
108,5314902
109,4517031
110,4637231
111,4814725
112,4440048
113,4186364
114,3841088
115,4541068
116,3670557
117,4489539
118,3717275
119,4798382
120,4776455
121,4977762
122,4109292
123,5292489
124,3638286
125,3940847
126,4940784
127,3752976
128,4904656
129,4312075
130,3243892
131,4464323
132,5418791
133,3781168
134,4342331
135,4018260
136,4179954
137,4339707
138,4745608
139,4157690
140,5396620
141,3818130
142,5261291
143,3984025
144,4634699
145,3902833
146,4380603
147,3729131
148,4269981
149,4305690
150,4477700
151,4216187
152,5125966
153,5437105
154,4496403
155,5058209
156,5232320
157,4721091
158,3980900
159,3911938
160,3542280
161,4691912
162,4283459
163,4600588
164,5516562
165,4416897
166,4304980
167,4034289
168,3968675
169,4445474
170,3872337
171,3497552
172,4191022
173,5072913
174,4429006
175,3714751
176,5538937
177,4575594
178,3881348
179,3956868
180,4698594
181,3959112
182,5159986
183,4528753
184,4408663
185,3424896
186,4025705
187,4557957
188,5569156
189,4974329
190,4541868
191,4610854
192,5486289
193,4217605
194,4295823
195,4239619
196,4408025
197,3136293
198,4141931
199,4231443
200,4635008
201,4139763
202,5016977
203,4889777
204,5178272
205,5253050
206,5116698
207,4272807
208,4194308
209,3842831
210,4806446
211,4422568
212,4635271
213,3565643
214,5220696
215,2924598
216,4541020
217,4583115
218,4084473
219,3973158
220,5369168
221,4612737
222,5409453
223,4157042
224,4489912
225,4600899
226,4953782
227,5784518
228,3459696
229,4557156
230,5096654
231,5522327
232,4231645
233,4157354
234,3732825
235,4427140
236,3986193
237,3616633
238,5148118
239,4480108
240,4057839
241,4649740
242,3459186
243,4159781
244,4761614
245,5369604
246,4188834
247,4567092
248,4672361
249,4883933
250,4169164
251,5005729
252,5137226
253,4182030
254,4673628
255,4729690
256,4285557
257,4758212
258,3901395
259,4790569
260,3987938
261,4406417
262,4646185
263,4015136
264,3079597
265,4640115
266,4663901
267,5798722
268,4473570
269,4070529
270,3888582
271,4037861
272,4970937
273,4626040
274,3701719
275,4496732
276,5681834
277,4677520
278,4930079
279,4058407
280,4667961
281,4818734
282,3995282
283,4576449
284,4407485
285,3297090
286,4382300
287,4513858
288,5096561
289,3586742
290,4168236
291,4178990
292,3591444
293,4194023
294,4603071
295,4598459
296,5120682
297,4909574
298,4206382
299,4613689
300,4149464
301,4404300
302,5117113
303,5472483
304,4637845
305,4825940
306,3841885
307,4869589
308,3215489
309,4034525
310,4699172
311,3901434
312,4342564
313,4675449
314,3828128
315,4113077
316,3608196
317,4338005
318,5435768
319,5074327
320,4888578
321,3809736
322,4389670
323,4309630
324,4282203
325,4964160
326,5066012
327,4398290
328,4275948
329,5013051
330,3690669
331,5158203
332,5006918
333,5264034
334,5124683
335,4536802
336,3305948
337,4816473
338,3955583
339,3679047
340,4432043
341,4169744
342,4604183
343,4528689
344,4961015
345,3734935
346,3746167
347,5512566
348,4129988
349,5080763
350,4317568
351,4919624
352,5569173
353,4167010
354,3715540
355,4565895
356,4525247
357,4266510
358,4470945
359,5323633
360,4356514
361,4078684
362,4040158
363,4824803
364,5419331
365,4545179
366,3980733
367,3678143
368,4099869
369,4368493
370,4046435
371,4891751
372,5014376
373,4595948
374,4664419
375,4254535
376,4500511
377,4698364
378,4364393
379,4112757
380,4596730
381,3942902
382,3770290
383,4529877
384,4454262
385,5538734
386,4220200
387,4994356
388,4342834
389,4858923
390,4819729
391,4486136
392,3861698
393,4705170
394,4607091
395,3836995
396,5370225
397,4561177
398,5209365
399,5345557
400,4117194
401,3818642
402,4152958
403,4850649
404,3673320
405,4167298
406,4836589
407,4003726
408,3092026
409,3593253
410,3620434
411,4153344
412,4803060
413,4875812
414,4733715
415,5047197
416,4595113
417,3173233
418,4634439
419,4657960
420,4111406
421,4650688
422,4780029
423,3869718
424,4364061
425,4271621
426,4249108
427,3590207
428,4483772
429,3534090
430,4480044
431,4675987
432,3329963
433,5150769
434,3725691
435,4392531
436,4220467
437,3194121
438,3982675
439,5381714
440,4550988
441,4277730
442,4949587
443,5085480
444,4274314
445,3958373
446,5159716
447,4072179
448,4783890
449,4870853
450,5071785
451,4237724
452,3835434
453,4469555
454,4579022
455,4622783
456,3762054
457,4704540
458,4251920
459,3277636
460,4810906
461,4376432
462,5382150
463,3829301
464,4750392
465,4293112
466,4504512
467,3737611
468,4046989
469,4872370
470,4741721
471,4681826
472,4230087
473,4885176
474,4919621
475,4031971
476,3701371
477,4378271
478,4281909
479,4354672
480,4721091
481,5196220
482,3739957
483,4565543
484,4954282
485,4482136
486,4052235
487,4208763
488,4646726
489,3707229
490,4891278
491,3421880
492,4417814
493,4637337
494,4914256
495,4215831
496,4921277
497,4396613
498,3851094
499,4745899
500,4100738
501,3276512
502,3842175
503,4506106
504,4703635
505,3731293
506,4724830
507,4380058
508,3491014
509,4928692
510,4563924
511,4784197
512,3088292
513,5278060
514,4343972
515,3122750
516,3716528
517,4508942
518,4322943
519,4278202
520,4622757
521,5509194
522,4618792
523,4625973
524,4154567
525,4700620
526,3234968
527,4606850
528,5586454
529,4305599
530,3874729
531,4928097
532,4751455
533,3864771
534,5047136
535,4935806
536,4146685
537,4560191
538,3815662
539,5457000
540,4708623
541,4361119
542,4062703
543,4051655
544,3983567
545,4117857
546,3362117
547,4617023
548,3843858
549,4912382
550,3966717
551,4164085
552,4914147
553,4859559
554,4385954
555,4787152
556,3277458
557,5003625
558,4307386
559,4001861
560,4989502
561,5578651
562,3497863
563,4365223
564,4388740
565,5106083
566,3350117
567,5233049
568,3821641
569,4254892
570,4440119
571,4333820
572,4868770
573,4486985
574,4842577
575,3267515
576,5282171
577,4796946
578,4274065
579,4480027
580,4664391
581,4754513
582,4559888
583,4867728
584,4313115
585,4514006
586,4485445
587,3845042
588,4328434
589,4612887
590,4715320
591,3788372
592,4583517
593,3669088
594,3784710
595,4378574
596,4344587
597,3922883
598,4158148
599,5035278
600,5160602
601,4664639
602,4989152
603,3454138
604,4080714
605,3641955
606,3201868
607,4519915
608,4012760
609,5334202
610,5427521
611,3369979
612,5106771
613,4940505
614,4728835
615,4217569
616,5237413
617,5230803
618,5665823
619,4316925
620,4741218
621,5530888
622,4423965
623,4254506
624,4574431
625,5036474
626,4570547
627,4632370
628,3894098
629,4901098
630,5582737
631,5364955
632,5105907
633,5178474
634,3203719
635,4311294
636,5056353
637,3962902
638,4363034
639,5078649
640,4492087
641,4772485
642,3725273
643,4545903
644,5170772
645,3642949
646,5208621
647,3880425
648,4435520
649,3993923
650,3483922
651,4544491
652,5146950
653,4410230
654,4105106
655,5124180
656,3748700
657,4549221
658,5443283
659,3866695
660,5005603
661,5323749
662,5334771
663,4516156
664,4047784
665,3898537
666,4653531
667,3910222
668,4415387
669,3955024
670,5045985
671,5385558
672,4113924
673,4261756
674,4775860
675,4492458
676,5085928
677,3745339
678,4653578
679,4963438
680,3616567
681,4903492
682,3587621
683,4402997
684,4171128
685,4681551
686,4092597
687,3257179
688,4545142
689,4146902
690,4198283
691,3848125
692,4345184
693,3858093
694,3629707
695,3835259
696,4041005
697,4113027
698,4277573
699,3813745
700,5533184
701,4047420
702,4772437
703,4720356
704,4421558
705,4607288
706,5380626
707,4826839
708,4682144
709,3938877
710,4506726
711,5284850
712,4637187
713,4019203
714,4365361
715,4009305
716,3731158
717,3975194
718,4656220
719,5272400
720,4339361
721,5566668
722,4157233
723,4173296
724,5068625
725,4792120
726,3919310
727,3876183
728,4471887
729,4481863
730,3745912
731,4129485
732,3882276
733,4755906
734,4469772
735,4123903
736,4874742
737,4301627
738,4507005
739,3745286
740,4292590
741,4636540
742,4668809
743,4324998
744,4618388
745,4621682
746,3755446
747,4797051
748,4708997
749,4681877
750,5132273
751,4174382
752,4074979
753,3132575
754,3643037
755,3577079
756,3797128
757,4671183
758,4692422
759,5627800
760,4630196
761,3605621
762,4685381
763,3925148
764,5198879
765,4863390
766,4160675
767,4127984
768,3787050
769,4415568
770,3955277
771,3829978
772,5129192
773,3939276
774,3928247
775,4125734
776,3749788
777,4079347
778,4240719
779,3839904
780,4594143
781,4119860
782,4701912
783,4858778
784,4989916
785,4125961
786,4776904
787,4319024
788,4620890
789,4944237
790,3436439
791,5024978
792,3755718
793,3213293
794,3550459
795,4901482
796,3841346
797,4442706
798,4639360
799,4967796
800,4557612
801,4621682
802,4333203
803,4676510
804,3871754
805,3922459
806,4548566
807,4658457
808,4589326
809,3453645
810,4585083
811,4240766
812,4380283
813,4102774
814,3230918
815,4457664
816,4014711
817,3776767
818,3886033
819,3796516
820,4550488
821,4450407
822,4046067
823,3970507
824,4877147
825,4766503
826,5393265
827,3199215
828,5283683
829,3887162
830,4554743
831,5036095
832,4457026
833,4996459
834,4632849
835,3796860
836,3084757
837,4787029
838,4000987
839,3111214
840,3781963
841,4357000
842,4543270
843,4128951
844,4377177
845,4523996
846,5087911
847,4365171
848,3535108
849,4102543
850,4136431
851,4815432
852,5413413
853,4424396
854,4430955
855,3684928
856,4654013
857,4381351
858,3989486
859,4427083
860,4128305
861,5275814
862,4384391
863,4984339
864,4733881
865,4726298
866,3919108
867,3618178
868,4252331
869,4274313
870,3930446
871,4829858
872,3986937
873,4822786
874,4554542
875,4440894
876,4433571
877,5210673
878,3312125
879,4738659
880,3674109
881,3773009
882,4929248
883,4904213
884,5017748
885,4814736
886,3758798
887,5083185
888,4647385
889,4456381
890,4663715
891,4967347
892,5359314
893,4180388
894,5357328
895,4522284
896,3978352
897,3960533
898,4167203
899,5311528
900,3660619
901,5008676
902,4184983
903,4885736
904,4172556
905,4040935
906,4511096
907,4927489
908,5148306
909,4522874
910,4794189
911,4669274
912,4632008
913,4217430
914,4546834
915,4425575
916,2923306
917,5394460
918,4749999
919,4207809
920,4623578
921,3788282
922,4486095
923,4370653
924,5175422
925,5340335
926,5333801
927,4780718
928,5026465
929,4684214
930,4251552
931,4178534
932,4295241
933,5588478
934,4038542
935,4211139
936,3803432
937,4691620
938,4336658
939,5513030
940,5287231
941,4153058
942,4261200
943,5282286
944,4161438
945,4071749
946,5597363
947,4078540
948,4054064
949,4131206
