Id,Prediction
0,4199801
1,3578246
2,3566238
3,3409839
4,4746675
5,4405398
6,3933384
7,4191333
8,4751778
9,3961500
10,4854188
11,5259772
12,3973043
13,4065181
14,4113730
15,4420866
16,4544120
17,4260323
18,5709179
19,4045868
20,2771064
21,4932724
22,4559472
23,5319898
24,4853804
25,3907809
26,3553148
27,5572903
28,4690817
29,4736218
30,5015085
31,3296351
32,3306465
33,4890851
34,3401902
35,4131699
36,4578945
37,5270360
38,3405986
39,4085379
40,4708569
41,4659697
42,5305938
43,4796899
44,5818906
45,4770836
46,3850733
47,3095425
48,4548728
49,4845003
50,4100842
51,3881962
52,5054616
53,3719099
54,3472012
55,4649488
56,6248207
57,4632370
58,4728351
59,5292875
60,2935781
61,3663936
62,4288973
63,4238549
64,5054200
65,4577198
66,4404617
67,4811360
68,4750055
69,4666614
70,3803544
71,3059733
72,4146019
73,4255616
74,5026641
75,4443681
76,5388413
77,4753447
78,5245027
79,4492988
80,5291705
81,5011520
82,4069646
83,4315118
84,4578314
85,2031084
86,4215922
87,4605838
88,4384373
89,4078545
90,5584652
91,3882033
92,3887778
93,4686887
94,5278581
95,3978105
96,4747829
97,4683900
98,3790543
99,4496998
100,3770831
101,2551167
102,4231793
103,3844604
104,3822981
105,3284639
106,4278569
107,4616463
108,4707843
109,4771533
110,4547581
111,4349986
112,4113511
113,4691778
114,3941806
115,4207013
116,3453530
117,4525376
118,4120976
119,4540325
120,5069086
121,4816613
122,3976878
123,5205352
124,3682761
125,4260875
126,5489036
127,3626461
128,5033733
129,4178155
130,3031541
131,4682149
132,4938142
133,3756840
134,4203881
135,3867442
136,4451185
137,4061980
138,4728646
139,4409116
140,5694796
141,2910537
142,4550933
143,3043948
144,4679556
145,4073503
146,4810799
147,3522361
148,4229552
149,5045042
150,3983263
151,2936791
152,5026098
153,5821538
154,3395448
155,5098595
156,4815443
157,4382761
158,4069060
159,4051839
160,3418604
161,4036014
162,3744001
163,4547159
164,6227489
165,3296259
166,4419861
167,4542452
168,3938829
169,5247201
170,4208098
171,3365968
172,4401795
173,4329598
174,4469385
175,3191914
176,5335579
177,4697580
178,3830445
179,3844396
180,4908707
181,4118934
182,4864142
183,3986662
184,4483550
185,3651687
186,3220352
187,4863255
188,5151520
189,4564414
190,4624131
191,5020541
192,6119894
193,3826382
194,4734809
195,4072654
196,4249242
197,2753966
198,4483687
199,4243777
200,4029106
201,4509905
202,4561291
203,4579486
204,5021294
205,5049819
206,4910113
207,4356382
208,4906795
209,3583176
210,4381725
211,5271385
212,4259954
213,3712981
214,5413580
215,2176254
216,4960122
217,5195714
218,4076817
219,2941693
220,5589614
221,4541109
222,4790627
223,4077726
224,4484118
225,4411560
226,4479912
227,6768797
228,3256473
229,5067764
230,4579426
231,5541986
232,3930142
233,3997693
234,4033142
235,4697847
236,4115314
237,3292342
238,4749688
239,4630371
240,4238790
241,3862875
242,3555410
243,4459561
244,4546675
245,4606958
246,4019784
247,4895367
248,4582489
249,4483094
250,3189846
251,5029133
252,5085992
253,4020661
254,4328308
255,4105226
256,4293165
257,4942707
258,3730597
259,3897737
260,4560595
261,4186362
262,5752996
263,4644308
264,2646805
265,4858140
266,4322484
267,5788191
268,5003023
269,4220723
270,3881053
271,2885956
272,4884849
273,4791296
274,3981535
275,4973119
276,5845706
277,6173844
278,4647342
279,3600888
280,4894868
281,4762959
282,3396317
283,3787405
284,5073870
285,2835068
286,4544864
287,4140038
288,4662588
289,3849181
290,4161626
291,4168348
292,3627784
293,4674754
294,3721836
295,5389902
296,4596238
297,5487280
298,4099775
299,4779481
300,4544998
301,5286589
302,5051587
303,6150487
304,4260753
305,4532543
306,4252894
307,4900395
308,2390733
309,4130383
310,4696506
311,3475649
312,3386492
313,4300286
314,3618630
315,4360959
316,3104448
317,4447086
318,5994693
319,4655502
320,4054562
321,4271938
322,3898496
323,4297824
324,4142733
325,4838811
326,4316720
327,4431136
328,4587840
329,4961684
330,3325248
331,4775021
332,5109623
333,5183919
334,4958743
335,4803606
336,3087023
337,4948112
338,4822324
339,3409892
340,5041776
341,4753169
342,4873837
343,4861747
344,4301236
345,3919440
346,4159133
347,5939558
348,3102006
349,5100571
350,4625851
351,5302236
352,4890307
353,4107309
354,3929654
355,4651797
356,4910106
357,4563506
358,5351862
359,4682067
360,4178155
361,3978113
362,4143368
363,4781496
364,4879605
365,4343189
366,3021240
367,3887638
368,3873579
369,4450428
370,3975662
371,4642979
372,4461623
373,5034799
374,4017415
375,4862492
376,3713539
377,4743552
378,4405248
379,4554097
380,4684365
381,3924130
382,3608148
383,5689860
384,4517009
385,5410987
386,4037847
387,5005048
388,5046193
389,4505921
390,5079723
391,4069945
392,4219866
393,3986664
394,5442327
395,3622587
396,4985935
397,5126199
398,5172466
399,5152033
400,3201845
401,3648897
402,4293440
403,3835385
404,3490493
405,4235662
406,4678431
407,4352058
408,2789021
409,3720260
410,3868934
411,4450814
412,4323115
413,4425724
414,5695871
415,4529514
416,4631980
417,2810426
418,4197235
419,4407770
420,4442143
421,4396604
422,4343932
423,3627572
424,5209685
425,5238082
426,4735001
427,3971844
428,4484685
429,3599425
430,3675256
431,4008177
432,2734775
433,4016738
434,4140055
435,5045997
