Id,Prediction
0,4501598
1,2734339
2,4219484
3,4501598
4,5857766
5,4219484
6,4063832
7,4167947
8,5051603
9,4063832
10,4501598
11,4501598
12,5857766
13,5051603
14,4063832
15,4167947
16,5412402
17,4920163
18,5051603
19,4167947
20,2734339
21,4920163
22,4501598
23,4920163
24,5051603
25,4219484
26,4219484
27,4167947
28,4920163
29,4167947
30,4455192
31,2734339
32,4219484
33,4501598
34,4501598
35,2734339
36,4920163
37,4121992
38,2734339
39,4219484
40,4501598
41,4501598
42,4084988
43,4501598
44,5051603
45,4920163
46,4501598
47,2734339
48,4455192
49,4167947
50,4501598
51,4455192
52,4920163
53,4920163
54,4219484
55,4455192
56,5051603
57,5857766
58,5857766
59,4167947
60,4063832
61,4219484
62,4088436
63,4219484
64,4501598
65,4920163
66,4920163
67,4455192
68,5412402
69,4167947
70,4501598
71,4063832
72,4501598
73,2734339
74,5051603
75,4501598
76,4920163
77,4167947
78,4455192
79,5857766
80,5857766
81,5847440
82,4167947
83,4501598
84,5051603
85,2734339
86,4501598
87,4219484
88,2734339
89,5412402
90,5857766
91,4501598
92,2734339
93,4455192
94,4920163
95,5857766
96,5847440
97,4219484
98,4501598
99,4167947
100,4219484
101,2734339
102,4920163
103,4501598
104,2734339
105,4063832
106,4501598
107,4219484
108,5847440
109,4219484
110,4167947
111,4121992
112,5051603
113,4063832
114,4501598
115,4455192
116,4501598
117,4167947
118,4501598
119,5051603
120,4455192
121,4167947
122,4501598
123,5051603
124,5847440
125,4501598
126,5051603
127,4219484
128,4121992
129,4084988
130,4063832
131,5051603
132,5847440
133,4063832
134,5051603
135,2734339
136,4167947
137,5051603
138,4084988
139,4219484
140,5412402
141,4219484
142,4167947
143,4063832
144,4920163
145,4063832
146,4920163
147,4063832
148,4167947
149,5051603
150,4501598
151,2734339
152,4167947
153,5857766
154,2734339
155,5857766
156,5847440
157,5051603
158,4167947
159,4219484
160,4219484
161,4501598
162,4063832
163,4920163
164,5847440
165,2734339
166,4033682
167,4920163
168,4063832
169,4455192
170,4219484
171,4219484
172,4033682
173,2734339
174,4501598
175,2734339
176,5847440
177,5847440
178,4063832
179,4219484
180,5051603
181,4219484
182,5847440
183,5051603
184,5051603
185,4219484
186,2734339
187,4455192
188,5857766
189,4455192
190,4455192
191,4455192
192,4167947
193,5857766
194,2734339
195,2734339
196,4501598
197,2734339
198,5857766
199,4219484
200,4063832
201,5857766
202,4501598
203,4063832
204,4219484
205,4920163
206,4084988
207,4501598
208,4167947
209,4219484
210,5051603
211,4920163
212,4920163
213,4501598
214,5408784
215,2734339
216,5051603
217,4167947
218,4219484
219,4219484
220,4920163
221,5051603
222,4455192
223,4219484
224,4920163
225,4501598
226,4920163
227,5857766
228,4219484
229,4121992
230,5857766
231,5051603
232,5051603
233,2734339
234,4219484
235,4167947
236,4501598
237,4219484
238,4920163
239,4501598
240,4501598
241,4501598
242,4501598
243,4033682
244,5408784
245,4455192
246,4219484
247,5847440
248,4219484
249,4219484
250,4219484
251,5051603
252,5857766
253,4501598
254,5847440
255,4088436
256,2734339
