Id,Prediction
0,4065927
1,3586661
2,3353442
3,3352976
4,3913329
5,4269516
6,4057566
7,3770007
8,5094083
9,4131523
10,4770648
11,5192560
12,4530041
13,4590916
14,4294814
15,4816246
16,4714497
17,3759633
18,5869937
19,3657914
20,2518558
21,5340477
22,4626208
23,5513456
24,5290376
25,4024071
26,3645455
27,5144939
28,3689261
29,5007609
30,3920106
31,3062313
32,3166167
33,4932199
34,3020396
35,4621911
36,4079829
37,4850315
38,3355286
39,3453377
40,4840211
41,4687330
42,5167879
43,4858358
44,5496449
45,4510576
46,3298657
47,2607069
48,4787994
49,4369707
50,4636087
51,3697304
52,5390412
53,3321299
54,3379357
55,4613103
56,6043763
57,3988549
58,4663302
59,5093128
60,2875789
61,3747999
62,3986141
63,4132882
64,4832821
65,6444234
66,4585981
67,5811783
68,5194825
69,4915346
70,4042065
71,3035574
72,4371747
73,3918921
74,5294013
75,4451239
76,4942837
77,4201919
78,4953245
79,4414195
80,5465520
81,5249515
82,3859388
83,4385383
84,5532451
85,2095484
86,4660267
87,5268462
88,4599410
89,3604586
90,5330036
91,4329123
92,3798339
93,4054492
94,5822581
95,3317755
96,4553801
97,4740757
98,4034778
99,4875495
100,4599828
101,2819409
102,3684939
103,3645203
104,4035520
105,3360780
106,4484542
107,5176695
108,5026671
109,5118916
110,5089835
111,4188981
112,4893838
113,5027718
114,4201461
115,4627267
116,3294790
117,5004210
118,4049554
119,4748361
120,5051289
121,4922699
122,4397795
123,5615904
124,3312058
125,4106596
126,5853278
127,3717941
128,4215005
129,4791626
130,2700935
131,5104326
132,5175833
133,3481973
134,4485502
135,3921402
136,4191681
137,4222082
138,4487678
139,4442606
140,6192743
141,2799178
142,5097743
143,2902211
144,4946363
145,4010406
146,4865014
147,3523791
148,4447898
149,4738366
150,4124328
151,3244827
152,5334074
153,5686112
154,3540005
155,5182403
156,5067052
157,5034567
158,3606080
159,4035120
160,3215328
161,4329384
162,3993843
163,5319905
164,6308155
165,3308223
166,4310408
167,3688048
168,4528763
169,4806149
170,4076807
171,3354015
172,3689806
173,5533436
174,5067378
175,3102845
176,5876987
177,5325210
178,4368517
179,3563633
180,4503798
181,4397786
182,4954350
183,4071853
184,4717440
185,3564913
186,4033206
187,5582283
188,5406662
189,4787356
190,4451533
191,4953074
192,5840541
193,3781826
194,4914200
195,4710669
196,4127125
197,2562130
198,3494897
199,4659442
200,4242815
201,3709541
202,4606302
203,5286813
204,4896398
205,5580893
206,5004948
207,4560919
208,4872125
209,3738475
210,4596147
211,4886799
212,3485299
213,3541285
214,5727144
215,2154544
216,4655594
217,4942130
218,4254101
219,2859957
220,5891157
221,4970539
222,5297152
223,4052864
224,4999357
225,4561357
226,3492468
227,6418251
228,3205207
229,5253130
230,4635915
231,5828714
232,4387172
233,4332536
234,3801933
235,4780944
236,4461722
237,3533218
238,4372030
239,4687576
240,4462895
241,4181391
242,3569284
243,4574558
244,4994455
245,4795843
246,3976598
247,4912498
248,4448044
249,4414902
250,2958621
251,4571757
252,5622083
253,4252048
254,4591548
255,3625817
256,4709460
257,4700017
258,3759157
259,4098154
260,4307410
261,3878324
262,5529907
263,4448168
264,2271103
265,5376921
266,4284183
267,6600614
268,4906179
269,4206906
270,3806303
271,2809959
272,4880188
273,4726355
274,3980334
275,5435797
276,6243064
277,5881598
278,4923438
279,4214174
280,5172576
281,3875495
282,3372437
283,4098795
284,4748111
285,2828277
286,5014354
287,4220867
288,4654871
289,3836828
290,4164046
291,4549561
292,3387689
293,4993170
294,3967206
295,5745670
296,5541266
297,5795917
298,4881509
299,5080241
300,4581627
301,5062317
302,5231712
303,5876445
304,4233766
305,4722905
306,4183122
307,5040940
308,2222334
309,4181608
310,4507492
311,3848465
312,3250360
313,4298241
314,3471142
315,3569180
316,2846350
317,4459562
318,5502331
319,3853904
320,3853643
321,3752872
322,4080017
323,4516483
324,4446943
325,4081826
326,4949528
327,4527938
328,4775076
329,5449136
330,3279495
331,5041024
332,4905018
333,5902569
334,5669876
335,4615518
336,3209872
337,4969954
338,4088842
339,3353354
340,5005425
