Id,Prediction
0,4185009
1,3678376
2,3775711
3,3599017
4,4003490
5,4353305
6,4093241
7,4239309
8,4956018
9,4302431
10,4628257
11,4695333
12,4605021
13,4714528
14,4405123
15,4909627
16,4708658
17,3818591
18,5214477
19,3999502
20,3307936
21,4887091
22,4501816
23,5254536
24,5016905
25,4027253
26,3660584
27,4856717
28,3946653
29,4869158
30,4539584
31,3492474
32,3755357
33,4885310
34,3504132
35,4387703
36,4128407
37,4687058
38,3451713
39,4047482
40,4496292
41,4617850
42,4816320
43,4896175
44,5218338
45,4268113
46,3692087
47,3224861
48,4928999
49,4619388
50,4350520
51,4206802
52,4939773
53,3550819
54,3576759
55,4664535
56,5256677
57,4316245
58,4635643
59,4951544
60,3173662
61,3987321
62,4199496
63,4202409
64,4663055
65,5546775
66,4747852
67,5374107
68,5058669
69,4652254
70,4106898
71,3572958
72,4396289
73,3913304
74,5151528
75,4411980
76,4723953
77,4289857
78,4658427
79,4433015
80,5248510
81,4709552
82,4179141
83,4516784
84,5274987
85,2611521
86,4507836
87,4736575
88,4480331
89,4050982
90,5163895
91,4230963
92,4030807
93,4241126
94,5306147
95,3954438
96,4410853
97,4431391
98,4095727
99,4794839
100,4447740
101,3030345
102,3990985
103,3832644
104,4093156
105,3440864
106,4594829
107,4923836
108,4829990
109,4812502
110,4860917
111,4560337
112,4825402
113,4698471
114,4043931
115,4799896
116,3546237
117,4867309
118,4061220
119,4720582
120,5010858
121,4700985
122,4188768
123,5170672
124,3697120
125,4219258
126,5126360
127,3867807
128,4425650
129,4467044
130,3292691
131,4824145
132,5224330
133,3659469
134,4432582
135,4087878
136,4270518
137,4307842
138,4503673
139,4591131
140,5453485
141,3255621
142,4779034
143,3382306
144,4670399
145,4095136
146,4742963
147,3651697
148,4329264
149,4665627
150,4012600
151,3694321
152,5061443
153,5404698
154,3735279
155,4889331
156,5102552
157,4909122
158,4001292
159,4017174
160,3701451
161,4345700
162,3891478
163,5068767
164,5608796
165,3817945
166,4359355
167,4075174
168,4327153
169,4917223
170,4093772
171,3421036
172,4058559
173,4705404
174,4692156
175,3631881
176,5425710
177,4948239
178,4133052
179,3822580
180,4409686
181,4413731
182,4851489
183,4266631
184,4555633
185,3712052
186,3870928
187,5140575
188,5284421
189,4803474
190,4373965
191,4902855
192,5286710
193,4074634
194,4685946
195,4461101
196,4260919
197,3339056
198,3968199
199,4453162
200,4288951
201,3951708
202,4729010
203,4724042
204,5036444
205,5047493
206,4999710
207,4353266
208,4620246
209,4064483
210,4528429
211,4684498
212,3821099
213,3629487
214,5374864
215,2596412
216,4701024
217,4798389
218,4268518
219,3190517
220,5218502
221,4746053
222,5074708
223,4238878
224,4877012
225,4448091
226,4091356
227,5636541
228,3584043
229,4938987
230,4690130
231,5455037
232,4552461
233,4322783
234,3940558
235,4652461
236,4328058
237,3870278
238,4562530
239,4662861
240,4210015
241,4127962
242,3431038
243,4363191
244,4879978
245,4954856
246,4212906
247,4793272
248,4499281
249,4378094
250,3612579
251,4747659
252,5219464
253,4355984
254,4630215
255,4115019
256,4476653
257,4417590
258,3602976
259,4214258
260,4276591
261,4141553
262,5262259
263,4205574
264,2996482
265,5137348
266,4336906
267,5643818
268,4702133
269,4362624
270,3939171
271,3408015
272,4917526
273,4582614
274,3954977
275,5203961
276,5529104
277,5097911
278,4733028
279,4226854
280,4924850
281,4171257
282,3621148
283,4060256
284,4928415
285,3238200
286,4938681
287,4307010
288,4819831
289,3762937
290,4293155
291,4535279
292,3609528
293,4479820
294,3879595
295,5013006
296,5068047
297,5125883
298,4599216
299,4969237
300,4378212
301,4906556
302,4968080
303,5162352
304,4368974
305,4837743
306,4101477
307,4793007
308,2807269
309,4343919
310,4518572
311,3986539
312,3695684
313,4390740
314,3763953
315,4094989
316,3534618
317,4545602
318,5184713
319,4430336
320,4394715
321,3754281
322,4224683
323,4552375
324,4634508
325,4379421
326,4975457
327,4478855
328,4656995
329,4963765
330,3726331
331,4893919
332,4826437
333,5121666
334,5124928
335,4584003
336,3238592
337,4576414
338,4405773
339,3744486
340,4707219
341,4403624
342,4794258
343,4716833
344,4612050
345,4095155
346,4176744
347,5281516
348,3550633
349,4904620
350,4420806
351,5053207
352,5299026
353,4290967
354,3919863
355,4382309
356,5040484
357,4586621
358,4691705
359,5024314
360,4467044
361,4259851
362,4099651
363,4623824
364,5048028
365,4116347
366,3365729
367,3883916
368,3806824
369,4754367
370,4173051
371,4739971
372,4723080
373,4944193
374,4044298
375,4641489
376,3972151
377,4048812
378,4759934
379,4502574
380,4779426
381,4053185
382,3599963
383,4720658
384,4111513
385,5549357
386,4234998
387,4786234
388,4715673
389,4550337
390,5072794
391,3858827
392,3892005
393,4540731
394,5073445
395,3793877
396,5109691
397,5034876
398,4964865
399,5026931
400,3580283
401,4035567
402,3806561
403,4694432
404,3703497
405,4495151
406,4663994
407,4456355
408,3065823
409,3789086
410,3762252
411,4205545
412,4512477
413,5123198
414,5280750
