Id,Prediction
0,4172301
1,3775800
2,3652700
3,3464800
4,3921200
5,4670700
6,4081700
7,4104800
8,5069600
9,4085100
10,4664600
11,4855100
12,4508700
13,4670800
14,4392800
15,4891900
16,4866300
17,3743200
18,5377900
19,4005700
20,3196000
21,5064000
22,4452500
23,5295500
24,5198800
25,4072400
26,3792400
27,4842400
28,3829800
29,4708500
30,4429700
31,3440500
32,3636300
33,4832900
34,3432600
35,4461500
36,4081600
37,4589600
38,3531300
39,3872300
40,4731600
41,4695900
42,5005800
43,4939900
44,5455600
45,4184100
46,3571900
47,3050900
48,4959000
49,4341300
50,4490100
51,4127100
52,5001100
53,3424500
54,3554500
55,4652000
56,5469200
57,4242700
58,4680300
59,5085700
60,3080600
61,3874300
62,4055500
63,4150000
64,4807500
65,5707100
66,4611400
67,5610800
68,5220600
69,4720500
70,4128900
71,3487700
72,4501300
73,3752500
74,5133200
75,4474300
76,4844200
77,4134200
78,4655700
79,4381700
80,5313300
81,4752200
82,4052000
83,4420300
84,5486800
85,2574700
86,4573800
87,4967900
88,4526000
89,3921000
90,5173400
91,4221500
92,3783100
93,4354600
94,5214600
95,3762700
96,4509300
97,4621800
98,3903100
99,4774600
100,4436300
101,3001500
102,3812900
103,3666800
104,4005300
105,3417400
106,4560500
107,4916600
108,4856200
109,4940300
110,4914800
111,4398800
112,4854400
113,4721700
114,4033100
115,4765400
116,3506300
117,4999100
118,4049900
119,4679700
120,5139800
121,4843200
122,4237500
123,5396500
124,3568400
125,3933900
126,5248400
127,3901300
128,4072500
129,4523600
130,3079300
131,4802800
132,5352200
133,3504000
134,4527800
135,4022100
136,4163000
137,4182200
138,4439400
139,4535200
140,5643900
141,3138100
142,4959200
143,3309000
144,4758500
145,3957800
146,4840300
147,3512000
148,4418400
149,4451200
150,4115500
151,3615000
152,5181500
153,5529000
154,3637500
155,4946900
156,5189900
157,5032400
158,3793600
159,4050500
160,3562100
161,4159000
162,3981000
163,5281100
164,5731600
165,3647100
166,4450800
167,4009200
168,4429600
169,5018100
170,4137100
171,3398100
172,3881000
173,4767100
174,4690500
175,3589700
176,5671900
177,4998700
178,4336100
179,3792700
180,4381400
181,4393300
182,4794900
183,4192400
184,4618100
185,3595500
186,3953400
187,5127100
188,5486600
189,4810300
190,4213900
191,5000600
192,5295300
193,3974800
194,4606900
195,4608400
196,4115400
197,3060100
198,3861200
199,4562700
200,4342700
201,3867800
202,4663700
203,4759100
204,5021500
205,4967800
206,5121500
207,4333600
208,4610600
209,4054700
210,4626900
211,4687300
212,3674600
213,3446100
214,5531800
215,2583000
216,4645300
217,4876300
218,4507100
219,3171000
220,5265800
221,4928800
222,5165300
223,4230700
224,4992800
225,4350800
226,3980800
227,5742400
228,3483100
229,4915000
230,4688700
231,5637100
232,4489900
233,4305100
234,3821800
235,4719300
236,4250200
237,3899200
238,4373800
239,4567700
240,4404300
241,4159900
242,3442100
243,4333800
244,4930300
245,4848900
246,4116300
247,4594700
248,4548000
249,4509600
250,3415500
251,4651700
252,5394700
253,4318700
254,4635200
255,3976300
256,4503000
257,4375900
258,3795100
259,4274100
260,4259300
261,4108500
262,5272400
263,4297600
264,2820900
265,5403700
266,4303800
267,5868300
268,4766500
269,4263300
270,3844800
271,3257400
272,4939700
273,4594500
274,4061000
275,5435900
276,5669800
277,5068800
278,4817300
279,4299300
280,5058600
281,3983300
282,3376700
283,3987500
284,4859700
285,3089700
286,5030600
287,4221700
288,4763700
289,3700600
290,4330600
291,4426100
292,3501600
293,4625000
294,3789600
295,5161300
296,5258200
297,5543600
298,4553200
299,5234100
300,4535000
301,4935100
302,5028000
303,5103300
304,4341100
305,5008300
306,4076300
307,4764500
308,2817600
309,4372200
310,4474300
311,3919300
312,3535300
313,4492600
314,3737700
315,4047900
316,3398300
317,4551600
318,5343700
319,4264100
320,4216800
321,3621900
322,4188400
323,4536400
324,4629900
325,4289700
326,5010400
327,4498900
328,4739300
329,5118700
330,3639000
331,4938000
332,4836100
333,5289500
334,5294800
335,4614400
336,3282800
337,4587700
338,4110300
339,3760200
340,4559900
341,4465300
342,4854600
343,4754700
344,4604700
345,4065100
346,3920900
347,5261900
348,3522500
349,4814500
350,4436800
351,5107100
352,5485400
353,4202800
354,3951500
355,4504300
356,5046300
357,4545200
358,4678400
359,5099500
360,4523600
361,4234300
362,4134900
363,4603400
364,5041300
365,3986100
366,3173900
367,3727700
368,3925700
369,4830300
370,4097500
371,4651100
372,4768800
373,5194100
374,3898600
375,4582000
376,3906900
377,3926000
378,4928700
379,4561500
380,4818900
381,4069400
382,3532700
383,4771800
384,4003200
385,5788100
386,4151300
387,4801000
388,4538900
389,4534900
390,5318600
391,3800500
392,3688400
393,4749800
394,5122600
395,3677500
396,5258000
397,5150900
398,5211900
399,5102000
400,3595300
401,3930900
402,3867700
403,4709300
404,3721500
405,4479100
406,4768100
407,4320300
408,2893100
409,3875100
410,3590700
411,4046100
412,4588800
413,5025000
414,5252100
415,4326600
416,5116300
417,2958400
418,4253100
419,3950100
420,4341400
421,4906500
422,4793300
423,4130900
424,4805800
425,4540300
426,4448900
427,3690900
428,4938900
429,3595600
430,3793800
431,4192000
432,3089800
433,4413900
434,3661500
435,4588700
436,4025400
437,3214600
438,3549500
439,5191000
440,4704500
441,4623500
442,4499600
443,5114200
444,4511100
445,4422600
446,5533700
447,4298800
448,4649900
449,5441700
450,4987900
451,3708300
452,3697000
453,5043100
454,4870100
455,4224400
456,3506600
457,4284500
458,4413000
459,3202300
460,5151900
461,4643300
462,5194000
463,3593000
464,4670300
465,3820500
466,4230600
467,3560800
468,4441700
469,4513300
470,4229500
471,4635200
472,3692000
473,4744900
474,4880600
475,4087000
476,3744700
477,4762800
478,4299200
479,4812200
480,4000900
481,5440300
482,3592600
483,4505900
484,5477600
485,3800800
486,4493800
487,4315400
488,4884000
489,3898300
490,4611400
491,3443200
492,4655000
493,4921100
494,4415600
495,4263400
496,4883900
497,4188900
498,4133700
499,4597900
500,4417600
501,3018500
502,4118000
503,5179600
504,4031100
505,4016300
506,4017900
507,4594300
508,3567300
509,4524100
510,5078500
511,5319000
512,2917300
513,5027900
514,3788400
515,3047500
516,3622300
517,4804600
518,4492200
519,4456100
520,3937300
521,5211500
522,5227600
523,5096900
524,4577000
525,5109100
526,3085000
527,5000500
528,5344500
529,4709100
530,3845100
531,4377200
532,4762400
533,4075400
534,4767900
535,4437100
536,4233100
537,3870700
538,3830500
539,5018400
540,4572700
541,3641500
