Id,Prediction
0,4313503
1,4092109
2,4087689
3,3982297
4,4100381
5,4325814
6,4102266
7,4446260
8,4178877
9,3875163
10,4286416
11,4183312
12,4156733
13,4063536
14,4094563
15,4219407
16,4491341
17,4093932
18,4184737
19,4421167
20,3996287
21,4192105
22,4668896
23,4224082
24,4084968
25,4061738
26,4065364
27,4197944
28,4068934
29,4261982
30,4317171
31,4012306
32,4185615
33,4440947
34,4035826
35,4090644
36,4185511
37,4090628
38,3927905
39,4103449
40,4475504
41,4179486
42,4366137
43,4250248
44,4524994
45,4070325
46,3784750
47,3915762
48,4247829
49,4258660
50,4425126
51,4155436
52,4177280
53,3979966
54,3996778
55,4158114
56,4345425
57,4152356
58,4156392
59,4605602
60,3912521
61,4115631
62,4105334
63,4116765
64,4289926
65,4242274
66,4408327
67,4773593
68,4207995
69,4143832
70,4220710
71,4035187
72,4169813
73,4022004
74,4363244
75,3971528
76,4245155
77,3935439
78,4349689
79,4189672
80,4194215
81,4240498
82,4052743
83,4265942
84,4414768
85,3760672
86,4369267
87,4183279
88,4282142
89,4121291
90,4276465
91,4337077
92,4023247
93,4634078
94,4256475
95,4158235
96,4275495
97,4195609
98,3911861
99,4311605
100,4159761
101,3890533
102,4084047
103,3909931
104,3972142
105,3793344
106,4260835
107,4218907
108,4372117
109,4132531
110,4537421
111,4263360
112,4226336
113,4319444
114,4208911
115,4282848
116,3939840
117,4643781
118,4140570
119,4270717
120,4339250
121,4553952
122,3922395
123,4577664
124,4047870
125,3963897
126,3969563
127,4152931
128,4061277
129,4205027
130,3863603
131,4120880
132,4444961
133,3758180
134,4076402
135,4063258
136,4220452
137,3858185
138,4186638
139,4230966
140,4226709
141,3936367
142,4060733
143,3960118
144,4226968
145,3992094
146,4355575
147,3759984
148,4532625
149,4663058
150,3976439
151,4026595
152,4407794
153,4196489
154,3987573
155,4291413
156,4403514
157,3792437
158,4072285
159,4262259
160,4067831
161,4249325
162,3894039
163,4181666
164,4356372
165,4164617
166,4180625
167,4211075
168,4147936
169,4476468
170,4225143
171,4040829
172,4057163
173,4083453
174,4165118
175,4087856
176,4345647
177,4347049
178,4341844
179,3983984
180,3898900
181,4344900
182,4327035
183,3942843
184,4267692
185,3975475
186,4091882
187,4937297
188,4416824
189,4445414
190,4107023
191,4531945
192,4106428
193,4123635
194,4161581
195,4238948
196,3967630
197,3944775
198,4160619
199,4157318
200,4199602
201,4100205
202,4143997
203,4094379
204,4312291
205,4257609
206,4287606
207,4425771
208,4173068
209,4175069
210,4580375
211,4306926
212,4062028
213,3993761
214,4298794
215,3780596
216,4303624
217,4341279
218,4144775
219,3977353
220,4310811
221,4058384
222,4366833
223,4251957
224,4256380
225,3909050
226,4130172
227,4227282
228,3981702
229,4269086
230,4291811
231,4046986
232,4497426
233,4165501
234,4124250
235,4522904
236,4318727
237,4073844
238,4255332
239,4122580
240,4400138
241,4273222
242,4101672
243,4162555
244,4286970
245,4402578
246,4192570
247,4297430
248,4198445
249,4269384
250,4033256
251,4405758
252,4361332
253,4227517
254,4146737
255,4352952
256,4080567
257,4096133
258,4003377
259,3911244
260,4396555
261,4068910
262,4295028
263,4130527
264,3828325
265,4184648
266,4101272
267,4372895
268,4261979
269,4057803
270,3914370
271,3904913
272,4014158
273,4758974
274,4074564
275,4581265
276,4437765
277,4314702
278,4158631
279,4100478
280,4233834
281,4103616
282,3801908
283,3930891
284,4303908
285,4070766
286,4305532
287,4310347
288,4090351
289,4243629
290,4116789
291,4308947
292,4053775
293,4387259
294,3960583
295,4546698
296,4308464
297,4408051
298,3987693
299,4446083
300,4303420
301,4371654
302,4413135
303,4215526
304,4201409
305,4137414
306,4196664
307,4216483
308,3880614
309,4193499
310,4254809
311,4126520
312,4034939
313,4250090
314,4115449
315,4277780
316,4000116
317,4602648
318,4362569
319,4218375
320,4225295
321,4057278
322,4046879
323,4286933
324,4249931
325,4136875
326,4071948
327,4267723
328,4210854
329,4816636
330,4094417
331,4177136
332,4425181
333,4683262
334,4591980
335,4536676
336,3985644
337,4281734
338,4146067
339,4201249
340,4237749
341,4201705
342,4161682
343,4220777
344,4150917
345,4235788
346,4150400
347,4304116
348,3991874
349,3847789
350,4344778
351,4277193
352,4239527
353,4204552
354,4241500
355,4557484
356,4241053
357,4189613
358,4327304
359,4342335
360,4205027
361,4103832
362,4171689
363,4451011
364,4339118
365,4197979
366,3958960
367,4153077
368,4167575
369,4381909
370,4177286
371,4426669
372,4200464
373,4650998
374,4182807
375,4205178
376,4118751
377,4026945
378,4514992
379,4188221
380,4308978
381,4085468
382,4064711
383,4340253
384,4324145
385,4366614
386,4387998
387,4464786
388,4211110
389,4264814
390,4331830
391,4166169
392,4086646
393,3921500
394,4880877
395,4007296
396,4354707
397,4147864
398,4249553
399,4359658
400,3988164
401,3944156
402,4148079
403,4089010
404,4103885
405,4154790
406,4330992
407,4543801
408,3894329
409,4095629
410,4329530
411,4251348
412,4131176
413,4190960
414,4085652
415,4285701
416,4592235
417,3896390
418,4128741
419,4097828
420,4004864
421,4696249
422,4548015
423,4027633
424,4377219
425,4257769
426,4126450
427,4372058
428,4259645
429,4308132
430,4080069
431,4068359
432,3939502
433,4426324
434,4132356
435,4174378
436,4093918
437,3918151
438,4137033
439,4579822
440,4422868
441,4264630
442,4145024
443,4179067
444,3995935
445,4252883
446,5023366
447,4189759
448,4301937
449,4643745
450,4553431
451,4015577
452,3768271
453,4209616
454,4233649
455,3873628
456,3990867
457,4174906
458,3913818
459,3948185
460,4523282
461,4257015
462,4304716
463,4000479
464,4256219
465,3873647
466,4043203
467,4209679
468,4033621
469,4139619
470,4117109
471,3774991
472,4019089
473,4295150
474,4271686
475,4142530
476,4138956
477,4131059
478,4210276
479,4267211
480,4151845
481,4557831
482,4049679
483,4204672
484,4582648
485,4172696
486,4260508
487,4226809
488,4060970
489,4117789
490,4258829
491,3999508
492,4335724
493,4419026
494,4216342
495,4125077
496,4546058
497,4296189
498,4442782
499,4144691
500,4778919
501,4025412
502,4266029
503,4742552
504,4156023
505,4152731
506,4197495
507,4396867
508,4070457
509,4310423
510,4283063
511,4361204
512,3910283
513,4509843
514,4104729
515,3935253
516,3981407
517,4251916
518,4105114
519,4362255
520,4209122
521,4314498
522,4771740
523,4360716
524,4133698
525,4085805
526,3982000
527,4272702
528,4225772
529,4311513
530,4164816
531,4187953
532,4232729
533,4080294
534,4202917
535,4107535
536,4489791
537,4063081
538,4226111
539,4247281
540,4407274
541,4040410
542,4065329
543,4351663
544,4168065
545,4084235
546,3971325
547,4268898
548,4141601
549,4128096
550,4137030
551,4310991
552,4186997
553,4042318
554,4113955
555,4204578
556,4000112
557,4304445
558,4071278
559,4345521
560,4259400
561,4498000
562,3924381
563,4213286
564,4031295
565,4300255
566,3949346
567,4294828
568,4295209
569,4081167
570,4259804
571,4930876
572,4005628
573,4012547
574,4140516
575,3972643
576,4853636
577,3930492
578,3758565
579,4212545
580,4096235
581,4385131
582,4308037
583,4202452
584,4125987
585,4002620
586,4043608
587,4125918
588,4338418
589,3896613
590,4095440
591,4088815
592,4256975
593,4075554
594,4104835
595,4016857
596,4110167
597,4048514
598,4267047
599,4694877
600,3910927
601,4459075
602,4373038
603,4057032
604,3975320
605,4008111
606,3944486
607,4139657
608,4012806
609,4312167
610,4375964
611,4028132
612,4348926
613,4252466
614,4298054
615,4156503
616,4226498
617,4168510
618,4672537
619,4170203
620,4246723
621,4408975
622,4222754
623,4236949
624,4042126
625,4085679
626,4013935
627,4405781
628,4067020
629,4145865
630,4264688
631,4156201
632,4117539
633,4301193
634,3911414
635,4091197
636,4422323
637,4099041
638,4058235
639,4112484
640,4301447
641,4138968
642,4056282
643,4115846
644,4282337
645,3997668
646,4183139
647,4173129
648,4025595
649,4131419
650,4049175
651,3886843
652,4128312
653,4290642
654,4149895
655,4728203
656,4141076
657,4251950
658,4260419
659,4202906
660,4209300
661,4634777
662,4367633
663,4132595
664,4144710
665,4200137
666,5006954
667,4002375
668,4307110
669,4213586
670,4170833
671,4400846
672,4118346
673,4177460
674,4189982
675,4202307
676,4163502
677,4020029
678,4206134
679,4516967
680,4026407
681,4667037
682,4239122
683,4238664
684,4236033
685,4701528
686,4149425
687,3724640
688,4233642
689,4221924
690,3999579
691,4071928
692,4125906
693,4195708
694,3915368
695,3840468
696,4308348
697,4653698
698,4177882
699,3899117
700,4139578
701,4085581
702,4141687
703,4334253
704,4124433
705,4269734
706,4311933
707,4342771
708,4304609
709,4095213
710,4166149
711,4314565
712,4079654
713,4091410
714,4227030
715,4165988
716,4019622
717,4173770
718,4350520
719,4334880
720,4521919
721,4604551
722,4452006
723,3974298
724,4228784
725,4146948
726,4008807
727,4109391
728,4103824
729,4323387
730,4198009
731,4271891
732,3784341
733,4762108
734,4354488
735,4235149
736,4284111
737,4231514
738,4109056
739,4083976
740,4376772
741,4186830
742,4220196
743,4342075
744,4076009
745,4336320
746,4025980
747,4307371
748,4305372
749,4243569
750,5020325
751,4016103
752,4188860
753,3845338
754,4122102
755,4110636
756,4163984
757,4269133
758,4029339
759,4325849
760,4132131
761,4204053
762,4082103
763,3969937
764,4239153
765,4265557
766,4308610
767,4069534
768,4147279
769,4215304
770,4119934
771,4500453
772,4153016
773,4133434
774,4204196
775,4201903
776,3855018
777,4287016
778,4152070
779,4409717
780,3958526
781,4301363
782,4151179
783,4198845
784,3939124
785,4091139
786,4239276
787,4278326
788,4367109
789,4448793
790,3985241
791,4046581
792,3991384
793,3946057
794,4138475
795,4265057
796,4010495
797,3919083
798,4073601
799,4166912
800,4145284
801,4207334
802,4180761
803,4120566
804,4110489
805,3991794
806,4169832
807,4619412
808,4192756
809,3889506
810,4206100
811,4169245
812,4279467
813,4178700
814,3942098
815,4321089
816,3989051
817,4111005
818,4149352
819,4049997
820,4255625
821,4274332
822,4192716
823,4705240
824,4003165
825,4528553
826,4252929
827,3920105
828,4329997
829,4108871
830,4336030
831,4705102
832,4458138
833,4201750
834,4307512
835,4024034
836,3921767
837,4133224
838,4142210
839,3861811
840,3789498
841,4069766
842,4654648
843,4378556
844,4240606
845,4356604
846,4171877
847,4344892
848,3970993
849,4136954
850,4079789
851,4354090
852,4494243
853,4101712
854,4154702
855,4209278
856,4175506
857,4360009
858,3738048
859,4292214
860,4316207
861,4448723
862,4016134
863,4205765
864,4766549
865,4339161
866,4086281
867,3978709
868,4279222
869,4203840
870,3954598
871,4629090
872,4111294
873,4299486
874,4330505
875,4174008
876,4049883
877,4355553
878,3938410
879,4074806
880,4033700
881,4072207
882,4479345
883,4064207
884,4167966
885,4397667
886,3991927
887,4290664
888,4089647
889,4007579
890,4119297
891,3678410
892,4215645
893,4251841
894,4428359
895,3978178
896,4650957
897,4319337
898,4158352
899,4276017
900,3986291
901,5090695
902,4205761
903,3895840
904,3747608
905,3987495
906,4203105
907,4187646
908,4474461
909,4128634
910,4651845
911,4222443
912,4202857
913,4068843
914,4035081
915,4227229
916,3785119
917,4271285
918,4231147
919,4242696
920,4195100
921,4076818
922,4235114
923,4225038
924,4612779
925,4349448
926,4497601
927,4233902
928,4563075
929,4248524
930,4346288
931,3959800
932,4242466
933,4389003
934,4198176
935,4193828
936,4132290
937,4273557
938,4019747
939,4370192
940,4315793
941,4097946
942,4157319
943,4422406
944,4448069
945,3840319
946,4432186
947,4248345
948,4215483
949,4024957
950,4329647
951,4029229
952,4082616
953,4104812
954,4368768
955,4277357
956,3955335
957,4408590
958,4632022
959,4266769
960,4103837
961,4398248
962,4264330
963,4323330
964,4748360
965,3963712
966,4255688
967,4897121
968,4058152
969,4064298
970,4046047
971,3981096
972,4012226
973,4102966
974,4134742
975,4021850
976,3888422
977,4626681
978,4185836
979,4507724
980,4383872
981,3904665
982,4249364
983,4168220
984,4663601
985,4066728
986,4088130
987,4151181
988,4342351
989,4128604
990,4128143
991,3882055
992,4214089
993,4670971
994,4088463
995,3997439
996,3978448
997,4525475
998,4437355
999,4489588
1000,4429245
1001,4119244
1002,4098616
1003,4147329
1004,4468764
1005,4165156
1006,4286258
1007,4482761
1008,4001569
1009,4064398
1010,4248642
1011,4237632
1012,4183371
1013,4322056
1014,4155659
1015,4295922
1016,4177905
1017,4027758
1018,4073816
1019,4013661
1020,4083378
1021,4179286
1022,4131010
1023,4072535
1024,4303267
1025,4053840
1026,4185978
1027,4118283
1028,4416426
1029,3993076
1030,4214798
1031,4108689
1032,4103431
1033,4406359
1034,4009224
1035,4123810
1036,4130053
1037,4104177
1038,4361111
1039,4152652
1040,4198029
1041,4123116
1042,4069844
1043,4050299
1044,4352736
1045,4197706
1046,4156364
1047,4378261
1048,4079147
1049,4147452
1050,4312052
1051,4140750
1052,4096607
1053,3971031
1054,4552682
1055,3865723
1056,4346588
1057,4366479
1058,3965916
1059,4321687
1060,4245829
1061,4209206
1062,4491427
1063,4534331
1064,4411990
1065,4187617
1066,4452338
1067,4184552
1068,4271888
1069,3821003
1070,3987339
1071,4125803
1072,4268161
1073,4478110
1074,4272071
1075,4106303
1076,4115612
1077,4049208
1078,3932236
1079,4304318
1080,4178660
1081,4074414
1082,4027114
1083,4250075
1084,3983467
1085,3837196
1086,4356143
1087,3984699
1088,4060709
1089,4050075
1090,4436794
1091,4134236
1092,4273023
1093,4256165
1094,4279091
1095,4195864
1096,3966189
1097,3892231
1098,4222742
1099,4064659
1100,4080053
1101,4443592
1102,4106345
1103,4171548
1104,4419558
1105,4095600
1106,4153816
1107,4357502
1108,4446397
1109,4149854
1110,4333335
1111,4263118
1112,4172995
1113,4118455
1114,4134485
1115,4203770
1116,4284372
1117,4442471
1118,4571058
1119,4145824
1120,3852690
1121,3827321
1122,4168441
1123,3996436
1124,4069084
1125,4689913
1126,4155014
1127,4032304
1128,3991905
1129,3990138
1130,4281007
1131,4827663
1132,4026814
1133,4073725
1134,4053810
1135,3881718
1136,4255790
1137,3756826
1138,4281345
1139,4403256
1140,4185229
1141,4286587
1142,4370453
1143,4036397
1144,4159788
1145,4677093
1146,3751677
1147,4191572
1148,4163489
1149,4458891
1150,4252099
1151,3913220
1152,4460023
1153,4249032
1154,4285691
1155,3936243
1156,4151951
1157,4233009
1158,4246441
1159,4016670
1160,4257013
1161,4396736
1162,4290156
1163,4134267
1164,4032281
1165,4160553
1166,4406705
1167,4296693
1168,4038395
1169,4256039
1170,4089006
1171,4071034
1172,3791224
1173,4047488
1174,4122102
1175,4469800
1176,4147635
1177,4265311
1178,4056537
1179,4219573
1180,4223245
1181,4223158
1182,4851496
1183,4127142
1184,4088526
1185,4032604
1186,4350666
1187,4042609
1188,4258263
1189,4486193
1190,4575884
1191,4217379
1192,4176621
1193,3933884
1194,4300934
1195,4501235
1196,4177800
1197,4217027
1198,4108667
1199,4453609
1200,4574909
1201,4189113
1202,4078863
1203,4013468
1204,4037587
1205,4053592
1206,4291857
1207,4122396
1208,4078175
1209,4282213
1210,4133197
1211,4432065
1212,4131609
1213,4365305
1214,4217198
1215,4101626
1216,3846843
1217,4064029
1218,4131949
1219,4506524
1220,4353889
1221,4317188
1222,4072577
1223,4231967
1224,4230797
1225,4355516
1226,4469969
1227,4559668
1228,4211357
1229,4198671
1230,4347622
