Id,Prediction
0,4170922
1,3792522
2,3641828
3,3444461
4,3913995
5,4608649
6,3999802
7,4031636
8,5028678
9,4154667
10,4582952
11,4787502
12,4517163
13,4606796
14,4255956
15,4920006
16,4941034
17,3855243
18,5335749
19,3939798
20,3194823
21,5088419
22,4417143
23,5194680
24,5107054
25,4033494
26,3718830
27,4583281
28,3785689
29,4586680
30,4255523
31,3415041
32,3713988
33,4794904
34,3462673
35,4318278
36,4087174
37,4565935
38,3504648
39,3889274
40,4524675
41,4509715
42,4975701
43,4722684
44,5392605
45,4223898
46,3525645
47,3168171
48,4937120
49,4289359
50,4429920
51,4090235
52,4948670
53,3548928
54,3513170
55,4686479
56,5206503
57,4221256
58,4706652
59,4861404
60,3087121
61,3957312
62,4158954
63,4210291
64,4657032
65,5473976
66,4522696
67,5393258
68,5205864
69,4752034
70,4045372
71,3515322
72,4452036
73,3751290
74,5032750
75,4446904
76,4757550
77,4182603
78,4647273
79,4350819
80,5220141
81,4702468
82,4097500
83,4424605
84,5349811
85,2622926
86,4521325
87,4872075
88,4448694
89,4043493
90,5112253
91,4270449
92,3767982
93,4322110
94,5292301
95,3921636
96,4426309
97,4381773
98,3959720
99,4753116
100,4448646
101,2986735
102,3951643
103,3691430
104,4010256
105,3467220
106,4364930
107,4750357
108,4853943
109,4872214
110,4997341
111,4288406
112,4879131
113,4544472
114,3993797
115,4842170
116,3490775
117,4932307
118,4033141
119,4716333
120,5171745
121,4712159
122,4172815
123,5311912
124,3704520
125,4113344
126,5055315
127,3856748
128,4096957
129,4462959
130,3120982
131,4632902
132,5107990
133,3599496
134,4470511
135,3980055
136,4122092
137,4258190
138,4280408
139,4513572
140,5525106
141,3102903
142,4940303
143,3345954
144,4658690
145,4051251
146,4763560
147,3545560
148,4343456
149,4516113
150,4191415
151,3522520
152,5207422
153,5319498
154,3713095
155,4804188
156,5179589
157,5012483
158,3814537
159,4085638
160,3547547
161,4187765
162,3908905
163,5142582
164,5555934
165,3618883
166,4469995
167,3914620
168,4488065
169,4954783
170,4127382
171,3425718
172,3972628
173,4798744
174,4546210
175,3613786
176,5577568
177,5022625
178,4204786
179,3880228
180,4417102
181,4292623
182,4764603
183,4255743
184,4734556
185,3609383
186,4021829
187,4923784
188,5398078
189,4792704
190,4299811
191,5021700
192,5211997
193,3996069
194,4522937
195,4429899
196,4157009
197,3119075
198,3984669
199,4516445
200,4286748
201,3975150
202,4488521
203,4726129
204,4872309
205,4949700
206,5125403
207,4267569
208,4605015
209,3965250
210,4589797
211,4649757
212,3795781
213,3487912
214,5519605
215,2580999
216,4538613
217,4725731
218,4476660
219,3167461
220,5301180
221,4978378
222,5161686
223,4132830
224,5033187
225,4373080
226,4057152
227,5558971
228,3440861
229,4912982
230,4645067
231,5615245
232,4449211
233,4161074
234,3742559
235,4647709
236,4278628
237,3870151
238,4250216
239,4458472
240,4343789
241,4098598
242,3362026
243,4279998
244,4965596
245,4705211
246,4111088
247,4615098
248,4475925
249,4494718
250,3378574
251,4658849
252,5364030
253,4284160
254,4660173
255,4080979
256,4444804
257,4350923
258,3752635
259,4331989
260,4288489
261,4056954
262,5135151
263,4145090
264,2915539
265,5314881
266,4411282
267,5685226
268,4657876
269,4310930
270,3831964
271,3279300
272,4980729
273,4475784
274,3919858
275,5186222
276,5456106
277,4948041
278,4665875
279,4264303
280,5147550
281,4071255
282,3506013
283,4084038
284,4815523
285,3173775
286,5034283
287,4235958
288,4584092
289,3704155
290,4351349
291,4433506
292,3532998
293,4479039
294,3859098
295,5052420
296,5035051
297,5261797
298,4523153
299,5076392
300,4430996
301,4688222
302,5104454
303,5079700
304,4274062
305,4988108
