Id,Prediction
0,4285516
1,3939629
2,3742615
3,3518741
4,4070202
5,4604446
6,4110178
7,4080007
8,4989662
9,4214654
10,4604488
11,4694374
12,4656466
13,4745373
14,4439151
15,4921021
16,4767140
17,3805374
18,5276749
19,4005865
20,3279767
21,4962184
22,4345991
23,5000507
24,5350882
25,4045663
26,3845372
27,4899400
28,3860179
29,4591140
30,4325579
31,3528530
32,3689775
33,4705323
34,3278566
35,4443855
36,4159361
37,4576855
38,3665418
39,3865260
40,4377920
41,4659243
42,5007889
43,4951428
44,5414651
45,4242063
46,3571603
47,3248140
48,4828192
49,4439826
50,4443031
51,4199958
52,4855252
53,3486853
54,3641051
55,4686081
56,5493144
57,4261641
58,4526058
59,4923940
60,2943377
61,3902750
62,4167091
63,4236428
64,4813117
65,5689286
66,4719743
67,5143404
68,5031147
69,4674337
70,3992638
71,3512750
72,4488549
73,3860264
74,5195204
75,4645161
76,4784621
77,4296123
78,4769371
79,4491419
80,4994520
81,4749099
82,4140524
83,4373969
84,5321673
85,2607511
86,4293305
87,4808679
88,4632805
89,3916943
90,5227337
91,4052396
92,3872828
93,4267488
94,5112411
95,3725326
96,4494229
97,4436333
98,3783365
99,4764064
100,4394610
101,3033008
102,3894036
103,3702277
104,4000003
105,3458504
106,4519418
107,4834502
108,4901022
109,4839891
110,4900554
111,4089215
112,4731210
113,4745133
114,4014356
115,4589617
116,3472885
117,4678296
118,4141363
119,4625656
120,5033077
121,5171428
122,4105189
123,5349575
124,3690436
125,3841230
126,5105362
127,3936057
128,4177538
129,4305217
130,3144969
131,4516420
132,5321176
133,3530009
134,4525202
135,4156396
136,4212197
137,4253111
138,4302745
139,4517905
140,5431657
141,3187511
142,5044955
143,3210274
144,4730338
145,3964483
146,4787556
147,3577493
148,4414627
149,4537940
150,4166886
151,3669533
152,5006325
153,5299661
154,3776453
155,4955297
156,5042369
157,5074974
158,3774101
159,4228046
160,3649923
161,4018708
162,3837033
163,5091440
164,5535581
165,3740079
166,4344736
167,4048252
168,4283861
169,4928421
170,4250192
171,3487789
172,3909023
173,4512388
174,4691341
175,3744240
176,5374570
177,4945124
178,3977437
179,3849728
180,4509258
181,4428555
182,4875689
183,4227296
184,4631107
185,3605128
186,4027860
187,4969991
188,5512233
189,4896196
190,4450114
191,5094838
192,5196801
193,4132596
194,4520522
195,4693354
196,4091805
197,3247921
198,4009438
199,4440716
200,4215344
201,4032776
202,4545500
203,4715497
204,5018952
205,4964711
206,5022339
207,4106457
208,4627467
209,4101233
210,4782228
211,4825239
212,3818632
213,3316318
214,5209754
215,2604918
216,4664142
217,4781362
218,4421586
219,3212588
220,5229171
221,4869583
222,5113313
223,4316064
224,4823298
225,4288746
226,4104177
227,5603594
228,3422959
229,4697046
230,4769162
231,5409242
232,4517866
233,4352023
234,3896842
235,4777215
236,3973794
237,3899392
238,4466104
239,4527951
240,4059935
241,4019827
242,3387189
243,4112246
244,4934549
245,4975848
246,4331276
247,4660851
248,4454442
249,4505927
250,3443826
251,4840229
252,4947411
253,4355204
254,4664942
255,4201290
256,4414836
257,4436394
258,3881036
259,4215585
260,4362864
261,4289910
262,5298740
263,4249219
264,2899818
265,5329515
266,4370297
267,5649776
268,4644200
269,4248548
270,3848069
271,3297307
272,5013732
273,4586808
274,3964794
275,5030829
276,5786714
277,5112051
278,4839720
279,4186643
280,4916535
281,4062762
282,3410422
283,4052821
284,4862798
285,3116544
286,4837676
287,4018172
288,4859512
289,3521935
290,4287432
291,4588531
292,3575978
293,4445758
294,3811751
295,4853497
296,5094521
297,5311283
298,4389060
299,5068211
300,4235451
301,4888656
302,5005013
303,5037310
304,4316807
305,5082712
306,4235747
307,4955571
308,2841945
309,4334303
310,4511803
311,4025245
312,3560690
313,4419070
314,3772486
315,3901542
316,3596533
317,4555711
318,5289380
319,4375868
320,4203330
321,3667746
322,4266766
323,4595215
324,4693480
325,4213917
326,5069413
327,4435837
328,4734399
329,4997100
330,3732746
331,4783454
332,4798253
333,5070464
334,4957697
335,4601647
336,3324837
337,4569748
