Id,Prediction
0,4092141
1,3833349
2,4011668
3,3815865
4,4251703
5,4504852
6,4218589
7,4453367
8,4848129
9,4096004
10,4598705
11,4511653
12,4591633
13,4622394
14,4435592
15,4698484
16,4809198
17,4026637
18,5004955
19,4327113
20,3711728
21,4722473
22,4355890
23,4863722
24,4957611
25,4003828
26,3753015
27,4488359
28,4100675
29,4382769
30,4760852
31,3845319
32,4168626
33,4620293
34,3742307
35,4400230
36,4252517
37,4334062
38,3711118
39,4190592
40,4393848
41,4488426
42,4882901
43,4752779
44,5183297
45,3996926
46,3929956
47,3527822
48,4815687
49,4532838
50,4493002
51,4538473
52,4558826
53,3722102
54,3516302
55,4683694
56,5003122
57,4451702
58,4629336
59,4757185
60,3460421
61,3895015
62,4187828
63,4142034
64,4674862
65,5199911
66,4633695
67,5096806
68,4948683
69,4566722
70,4093831
71,3834046
72,4376343
73,3746630
74,4983053
75,4378609
76,4575387
77,4301325
78,4590588
79,4328322
80,5043329
81,4465199
82,4344952
83,4319928
84,5138031
85,3084639
86,4390107
87,4676084
88,4424916
89,4352502
90,4990067
91,4216879
92,3922413
93,4661135
94,4739897
95,4274508
96,4381545
97,4336864
98,3921809
99,4640953
100,4265080
101,3153312
102,4117989
103,3862310
104,4058627
105,3463849
106,4489941
107,4627053
108,4666082
109,4653462
110,4822168
111,4609851
112,4725125
113,4554057
114,4010966
115,4678913
116,3845072
117,4833623
118,3907908
119,4703716
120,4871538
121,4775762
122,4130092
123,5061310
124,3917332
125,3977076
126,4887329
127,3843483
128,4257920
129,4451847
130,3479502
131,4612538
132,5003605
133,3558818
134,4562447
135,4068155
136,4262111
137,4323760
138,4610392
139,4470884
140,5136735
141,3502684
142,4753112
143,3698397
144,4510830
145,4147840
146,4582786
147,3721653
148,4406690
149,4345381
150,4118825
151,3794855
152,4831103
153,5112085
154,3851995
155,4723687
156,4991885
157,4806081
158,4026964
159,4068128
160,3851549
161,4111339
162,4092369
163,4939316
164,5360433
165,3996207
166,4525732
167,4307028
168,4247005
169,4790216
170,4081504
171,3712111
172,4264581
173,4431560
174,4416651
175,4164101
176,5178348
177,4760025
178,4218602
179,4088001
180,4326793
181,4390412
182,4758898
183,4349044
184,4626216
185,3572620
186,3954836
187,4814420
188,5119829
189,4764897
190,4170655
191,4964934
192,4887224
193,4226192
194,4330225
195,4526156
196,4135311
197,3609290
198,4305282
199,4317821
200,4345909
201,4151471
202,4484357
203,4512517
204,4898665
205,4578175
206,4927779
207,4295325
208,4443966
209,4050550
210,4652523
211,4497478
212,3995886
213,3800137
214,5122026
215,3019931
216,4544681
217,4658723
218,4331641
219,3530055
220,4902567
221,4819795
222,4886812
223,4228590
224,4755164
225,4312048
226,4369335
227,5162643
228,3694354
229,4608092
230,4645518
231,5093051
232,4614845
233,4307476
234,4047149
235,4641617
236,4101346
237,3835942
238,4510147
239,4534357
240,4236156
241,4066841
242,3664804
243,4262448
244,4840100
245,4963129
246,4175006
247,4604453
248,4472415
249,4263581
250,3838580
251,4652211
252,5079572
253,4346595
254,4610876
255,4448141
256,4312108
257,4112322
258,3922722
259,4201597
260,4184887
261,4399459
262,5064763
263,3989104
264,3393991
265,5074566
266,4299459
267,5297270
268,4620627
269,4181904
270,3857260
271,3759105
272,4750493
273,4455560
274,3818686
275,4969380
276,5251607
277,4577534
278,4602312
279,4164739
280,4812988
281,4188693
282,3752498
283,4021531
284,4633170
285,3441845
286,4867976
287,4187894
288,4707481
289,3880960
290,4348441
291,4319528
292,3808363
293,4385199
294,3947136
295,4786689
296,4832882
297,5056148
298,4336750
299,4812182
300,4284999
301,4714835
302,4809193
303,4718126
304,4366295
305,4854352
306,3884354
307,4442854
308,3271678
309,4268780
310,4475095
311,4139333
312,3934175
313,4436273
314,4123699
315,4344131
316,3813839
317,4381311
318,4959678
319,4659373
320,4452453
321,3820980
322,4131025
323,4489244
324,4588885
325,4629366
326,4828630
327,4494965
328,4600990
329,4879363
330,4193900
331,4778938
332,4658535
333,5010901
334,4871079
335,4519900
336,3433753
337,4452114
338,4312412
339,3966600
340,4462218
341,4165037
342,4675589
343,4671214
344,4349352
345,3997408
346,4286877
347,4925167
348,3947064
349,4692941
350,4423672
351,4882454
352,5099217
353,4581773
354,3823989
355,4682765
356,4787165
357,4432813
358,4525832
359,4932513
360,4451847
361,4173370
362,4088276
363,4450617
364,4781321
365,4416044
366,3561755
367,3827781
368,4015054
369,4585408
370,4074248
371,4604775
372,4497224
373,4857324
374,4326634
375,4282781
376,4153534
377,4232918
378,4707769
379,4381929
380,4655915
381,4012787
382,3850142
383,4522136
384,4244303
385,5272402
386,4492599
387,4773226
388,4528598
389,4530450
390,4914871
391,4268386
392,4069530
393,4503453
394,4852691
395,4073609
396,4993867
397,4877768
398,4719282
399,4944113
400,3741581
401,3954159
402,4195993
403,4600761
404,3809442
405,4427372
406,4732877
407,4320026
408,3288821
409,3733261
410,3843879
411,4499583
412,4555920
413,4804690
414,4952392
415,4645997
416,4909845
417,3281982
418,4101053
419,4361219
420,4312894
421,4844023
422,4518954
423,4092985
424,4550672
425,4499865
426,4398507
427,3987091
428,4792457
429,3804873
430,3915762
431,4128131
432,3479515
433,4670567
434,4046515
435,4580700
436,4297201
437,3235135
438,3909379
439,4973955
440,4652023
441,4511952
442,4314432
443,4864619
444,4317458
445,4367517
446,5082722
447,4145104
448,4533109
449,5104723
450,4804444
451,3818300
452,3999937
453,4821808
454,4684444
455,4149593
456,3881842
457,4337693
458,4519247
459,3345740
460,4904976
461,4763247
462,4824598
463,3975429
464,4620086
465,3846357
466,4244723
467,3809945
468,4328543
469,4483811
470,4186664
471,4651315
472,3772409
473,4528717
474,4618732
475,4101940
476,3900160
477,4638601
478,4269009
479,4551587
480,4453186
481,5113845
482,3826889
483,4437093
484,5083838
485,4193186
486,4487330
487,4430645
488,4906890
489,3897908
490,4503188
491,3509669
492,4579828
493,4795853
494,4387004
495,4129853
496,4706067
497,4263787
498,4087711
499,4408791
500,4263088
501,3366509
502,3945907
503,4985172
504,4262509
505,3944117
506,4426857
507,4511097
508,3826484
509,4468730
510,4874828
511,5051017
512,3323649
513,4823927
514,3865543
515,3345337
516,3771517
517,4736911
518,4436859
519,4512966
520,4241179
521,4873520
522,4926743
523,4952654
524,4447702
525,4781067
526,3453664
527,4865720
528,4959084
529,4468917
530,3954131
531,4538225
532,4633978
533,4055549
534,4481929
535,4265491
536,4130184
537,4174568
538,3705702
539,4881052
540,4557632
541,4164534
542,4315017
543,4212398
544,4357350
545,4335647
546,3573565
547,4426756
548,4137367
549,4314834
550,3851169
551,4203288
