Id,Prediction
0,3886108
1,4184220
2,4184220
3,4184220
4,4184220
5,4184220
6,3886108
7,3886108
8,3886108
9,3886108
10,4184220
11,4184220
12,4184220
13,3886108
14,4184220
15,3886108
16,4184220
17,4184220
18,4184220
19,3886108
20,4184220
21,4184220
22,3886108
23,4184220
24,3886108
25,4184220
26,4184220
27,3886108
28,4184220
29,5487673
30,4184220
31,4184220
32,4184220
33,3886108
34,4184220
35,4184220
36,4184220
37,4184220
38,4184220
39,4184220
40,5487673
41,3886108
42,4184220
43,4184220
44,3886108
45,4184220
46,3886108
47,4184220
48,3886108
49,4184220
50,3886108
51,4184220
52,4184220
53,4184220
54,4184220
55,4184220
56,4184220
57,4184220
58,4184220
59,4184220
60,4184220
61,4184220
62,4184220
63,4184220
64,3886108
65,4184220
66,4184220
67,5487673
68,4184220
69,4184220
70,4184220
71,4184220
72,4184220
73,4184220
74,4184220
75,3886108
76,4184220
77,3886108
78,4184220
79,4184220
80,4184220
81,4184220
82,3886108
83,3886108
84,4184220
85,4184220
86,5487673
87,4184220
88,4184220
89,4184220
90,4184220
91,4184220
92,4184220
93,5487673
94,4184220
95,4184220
96,4184220
97,4184220
98,3886108
99,4184220
100,4184220
101,4184220
102,4184220
103,3886108
104,4184220
105,3886108
106,4184220
107,4184220
108,4184220
109,4184220
110,4184220
111,5487673
112,3886108
113,3886108
114,4184220
115,4184220
116,4184220
117,5487673
118,4184220
119,4184220
120,3886108
121,3886108
122,3886108
123,5487673
124,4184220
125,3886108
126,5487673
127,4184220
128,4184220
129,5487673
130,4184220
131,5487673
132,4184220
133,3886108
134,3886108
135,4184220
136,3886108
137,3886108
138,5487673
139,4184220
140,4184220
141,4184220
142,3886108
143,4184220
144,4184220
145,3886108
146,4184220
147,3886108
148,3886108
149,3886108
150,3886108
151,4184220
152,3886108
153,4184220
154,4184220
155,4184220
156,4184220
157,3886108
158,4184220
159,4184220
160,4184220
161,3886108
162,3886108
163,4184220
164,4184220
165,4184220
166,4184220
167,4184220
168,4184220
169,3886108
170,4184220
171,4184220
172,4184220
173,4184220
174,4184220
175,4184220
176,4184220
177,4184220
178,5487673
179,4184220
180,3886108
181,4184220
182,4184220
183,3886108
184,4184220
185,4184220
186,4184220
187,5487673
188,4184220
189,4184220
190,4184220
191,3886108
192,3886108
193,4184220
194,4184220
195,4184220
196,4184220
197,4184220
198,4184220
199,4184220
200,3886108
201,4184220
202,4184220
203,3886108
204,4184220
205,4184220
206,4184220
207,3886108
208,4184220
209,4184220
210,3886108
211,4184220
212,4184220
213,3886108
214,4184220
215,4184220
216,3886108
217,4184220
218,4184220
219,4184220
220,4184220
221,3886108
222,4184220
223,4184220
224,4184220
225,3886108
226,4184220
227,4184220
228,4184220
229,5487673
230,4184220
231,3886108
232,3886108
233,4184220
234,4184220
235,4184220
236,3886108
237,4184220
238,4184220
239,4184220
240,5487673
241,4184220
242,4184220
243,5487673
244,4184220
245,4184220
246,4184220
247,4184220
248,4184220
249,4184220
250,4184220
251,4184220
252,4184220
253,4184220
254,4184220
255,4184220
256,4184220
257,4184220
258,4184220
259,3886108
260,3886108
261,4184220
262,4184220
263,4184220
264,4184220
265,4184220
266,3886108
267,4184220
268,4184220
269,4184220
270,3886108
271,4184220
272,3886108
273,3886108
274,4184220
275,5487673
276,3886108
277,4184220
278,4184220
279,3886108
280,4184220
281,4184220
282,3886108
283,3886108
284,4184220
285,4184220
286,4184220
287,3886108
288,4184220
289,5487673
290,4184220
291,4184220
292,4184220
293,5487673
294,4184220
295,5487673
296,4184220
297,4184220
298,4184220
299,3886108
300,5487673
301,3886108
302,3886108
303,4184220
304,4184220
305,3886108
306,4184220
307,4184220
308,4184220
309,4184220
310,4184220
311,4184220
312,4184220
313,4184220
314,4184220
315,4184220
316,4184220
317,3886108
318,4184220
319,4184220
320,4184220
321,4184220
322,3886108
323,4184220
324,4184220
325,4184220
326,3886108
327,4184220
328,4184220
329,5487673
330,4184220
331,3886108
332,3886108
333,5487673
334,5487673
335,3886108
336,4184220
337,3886108
338,4184220
339,4184220
340,5487673
341,4184220
342,3886108
343,4184220
344,4184220
345,4184220
346,4184220
347,4184220
348,4184220
349,3886108
350,4184220
351,4184220
352,4184220
353,4184220
354,3886108
355,5487673
356,4184220
357,4184220
358,4184220
359,4184220
360,5487673
361,4184220
362,4184220
363,3886108
364,4184220
365,4184220
366,4184220
367,4184220
368,4184220
369,4184220
370,4184220
371,4184220
372,4184220
373,5487673
374,3886108
375,4184220
376,4184220
377,4184220
378,5487673
379,4184220
380,4184220
381,4184220
382,4184220
383,4184220
384,3886108
385,4184220
386,4184220
387,4184220
388,4184220
389,5487673
390,4184220
391,4184220
392,4184220
393,3886108
394,5487673
395,4184220
396,4184220
397,3886108
398,4184220
399,4184220
400,4184220
401,4184220
402,4184220
403,4184220
404,4184220
405,4184220
406,4184220
407,3886108
408,4184220
409,4184220
410,3886108
411,3886108
412,3886108
413,4184220
414,4184220
415,4184220
416,5487673
417,4184220
418,4184220
419,4184220
420,3886108
421,3886108
422,3886108
423,4184220
424,4184220
425,4184220
426,3886108
427,3886108
428,5487673
429,3886108
430,4184220
431,4184220
432,4184220
433,3886108
434,4184220
435,3886108
436,4184220
437,4184220
438,5487673
439,3886108
440,4184220
441,4184220
442,4184220
443,3886108
444,5487673
445,4184220
446,5487673
447,4184220
448,3886108
449,5487673
450,5487673
451,4184220
452,3886108
453,5487673
454,4184220
455,3886108
456,3886108
457,4184220
458,3886108
459,4184220
460,3886108
461,4184220
462,4184220
463,4184220
464,3886108
465,3886108
466,4184220
467,3886108
468,4184220
469,4184220
470,4184220
471,3886108
472,4184220
473,4184220
474,4184220
475,4184220
476,4184220
477,5487673
478,4184220
479,4184220
480,4184220
481,5487673
482,4184220
483,4184220
484,5487673
485,4184220
486,4184220
487,4184220
488,3886108
489,4184220
490,3886108
491,4184220
492,3886108
493,4184220
494,4184220
495,3886108
496,3886108
497,3886108
498,3886108
499,4184220
500,3886108
501,4184220
502,3886108
503,5487673
504,4184220
505,4184220
506,4184220
507,3886108
508,4184220
509,3886108
510,4184220
511,3886108
512,4184220
513,4184220
514,4184220
515,4184220
516,4184220
517,3886108
518,4184220
519,4184220
520,4184220
521,4184220
522,5487673
523,4184220
524,4184220
525,4184220
526,4184220
527,5487673
528,4184220
529,4184220
530,4184220
531,4184220
532,3886108
533,4184220
534,4184220
535,4184220
536,3886108
537,4184220
538,3886108
539,4184220
540,3886108
541,4184220
542,4184220
543,3886108
544,4184220
545,4184220
546,4184220
547,4184220
548,3886108
549,4184220
550,4184220
551,3886108
552,4184220
553,3886108
554,3886108
555,4184220
556,4184220
557,4184220
558,5487673
559,4184220
560,4184220
561,4184220
562,4184220
563,4184220
564,4184220
565,4184220
566,4184220
567,4184220
568,4184220
569,4184220
570,4184220
571,5487673
572,4184220
573,3886108
574,4184220
575,4184220
576,5487673
577,3886108
578,3886108
579,4184220
580,4184220
581,3886108
582,4184220
583,4184220
584,4184220
585,3886108
586,4184220
587,4184220
588,4184220
589,3886108
590,3886108
591,4184220
592,4184220
593,4184220
594,4184220
595,4184220
596,4184220
597,4184220
598,4184220
599,5487673
600,3886108
601,3886108
602,5487673
603,4184220
604,4184220
605,4184220
606,3886108
607,4184220
608,4184220
609,4184220
610,3886108
611,4184220
612,4184220
613,4184220
614,4184220
615,5487673
616,4184220
617,3886108
618,5487673
619,3886108
620,4184220
621,4184220
622,5487673
623,4184220
624,4184220
625,4184220
626,3886108
627,4184220
628,4184220
629,4184220
630,4184220
631,5487673
632,3886108
633,4184220
634,4184220
635,4184220
636,4184220
637,4184220
638,4184220
639,5487673
640,4184220
641,3886108
642,4184220
643,4184220
644,4184220
645,4184220
646,4184220
647,4184220
648,5487673
649,4184220
650,4184220
651,3886108
652,4184220
653,3886108
654,4184220
655,5487673
656,4184220
657,4184220
658,4184220
659,4184220
660,3886108
661,3886108
662,3886108
663,3886108
664,4184220
665,3886108
666,5487673
667,3886108
668,4184220
669,3886108
670,3886108
671,4184220
672,4184220
673,4184220
674,4184220
675,4184220
676,3886108
677,4184220
678,4184220
679,3886108
680,4184220
681,3886108
682,4184220
683,4184220
684,4184220
685,3886108
686,4184220
687,3886108
688,4184220
689,3886108
690,3886108
691,4184220
692,4184220
693,4184220
694,4184220
695,3886108
696,4184220
697,5487673
698,4184220
699,4184220
700,4184220
701,4184220
702,3886108
703,5487673
704,4184220
705,4184220
706,4184220
707,4184220
708,4184220
709,4184220
710,5487673
711,4184220
712,3886108
713,4184220
714,4184220
715,4184220
716,4184220
717,4184220
718,4184220
719,4184220
720,3886108
721,5487673
722,5487673
723,4184220
724,4184220
725,4184220
726,4184220
727,4184220
728,3886108
729,3886108
730,4184220
731,4184220
732,3886108
733,5487673
734,5487673
735,4184220
736,3886108
737,4184220
738,4184220
739,4184220
740,4184220
741,4184220
742,3886108
743,4184220
744,4184220
745,4184220
746,4184220
747,4184220
748,4184220
749,4184220
750,5487673
751,4184220
752,4184220
753,4184220
754,4184220
755,4184220
756,4184220
757,4184220
758,4184220
759,3886108
760,4184220
761,3886108
762,4184220
763,4184220
764,3886108
765,4184220
766,4184220
767,4184220
768,4184220
769,4184220
770,4184220
771,3886108
772,4184220
773,4184220
774,4184220
775,4184220
776,3886108
777,4184220
778,4184220
779,3886108
780,4184220
781,4184220
782,3886108
783,4184220
784,3886108
785,4184220
786,4184220
787,4184220
788,5487673
789,4184220
790,4184220
791,3886108
792,4184220
793,3886108
794,4184220
795,3886108
796,4184220
797,4184220
798,4184220
799,3886108
800,3886108
801,4184220
802,4184220
803,4184220
804,4184220
805,3886108
806,3886108
807,3886108
808,4184220
809,4184220
810,4184220
811,4184220
812,3886108
813,4184220
814,4184220
815,4184220
816,3886108
817,4184220
818,4184220
819,4184220
820,4184220
821,4184220
822,4184220
823,3886108
824,3886108
825,3886108
826,4184220
827,4184220
828,4184220
829,4184220
830,4184220
831,4184220
832,3886108
833,4184220
834,4184220
835,4184220
836,4184220
837,4184220
838,4184220
839,4184220
840,3886108
841,4184220
842,5487673
843,3886108
844,4184220
845,5487673
846,4184220
847,3886108
848,4184220
849,4184220
850,4184220
851,3886108
852,5487673
853,4184220
854,4184220
855,4184220
856,5487673
857,5487673
858,3886108
859,4184220
860,4184220
861,4184220
862,4184220
863,4184220
864,5487673
865,4184220
866,4184220
867,4184220
868,4184220
869,4184220
870,4184220
871,3886108
872,4184220
873,4184220
874,4184220
875,4184220
876,4184220
877,3886108
878,4184220
879,3886108
