Id,Prediction
0,4001370
1,3852237
2,4032529
3,3791900
4,4034617
5,4188581
6,3852909
7,4149768
8,4874819
9,4407540
10,4649815
11,4402677
12,4424502
13,4451875
14,4422452
15,5289680
16,5374586
17,3777890
18,5348648
19,3938383
20,3852203
21,5135605
22,3877608
23,4861422
24,4988984
25,4189491
26,3735903
27,4165408
28,4046832
29,4359693
30,4551606
31,3655408
32,4161938
33,5164571
34,3917915
35,4890270
36,3995590
37,5172330
38,3982591
39,4176787
40,4268765
41,4418835
42,5122502
43,5115355
44,4598030
45,4161745
46,3787026
47,3543103
48,4616027
49,4322742
50,4479401
51,4397881
52,4838008
53,3695783
54,3799803
55,4476269
56,4730833
57,4200622
58,4211536
59,4422159
60,3530328
61,3917375
62,4414945
63,4159454
64,4252676
65,5390201
66,4269648
67,5457321
68,5879283
69,4605610
70,4093619
71,3954583
72,4159697
73,3874686
74,4680957
75,4293106
76,4457202
77,4028375
78,4263238
79,4136354
80,4912634
81,4788262
82,4201551
83,4289655
84,5671775
85,3563253
86,4743423
87,4716609
88,4344607
89,5256185
90,4657155
91,4132791
92,4058432
93,4405573
94,5003189
95,4311164
96,4093854
97,4206972
98,4045014
99,4657797
100,4625536
101,3557309
102,4123083
103,3845425
104,4273674
105,3593729
106,4214161
107,4942255
108,4516078
109,4857196
110,4684766
111,5577081
112,5279649
113,4396897
114,3875817
115,4572250
116,3641396
117,4485946
118,4033103
119,4680640
120,5255825
121,4562129
122,4613508
123,5032174
124,3975687
125,3854093
126,4941666
127,3924194
128,4365647
129,4691838
130,3611770
131,4496975
132,4591540
133,3369837
134,4236741
135,3812964
136,3937229
137,3843697
138,4762880
139,4325412
140,6507663
141,3871249
142,4633128
143,3596080
144,4703855
145,3800280
146,4250743
147,3732829
148,4136526
149,4196456
150,4115835
151,4051963
152,5344352
153,5585366
154,4024588
155,4543106
156,4761984
157,5288711
158,3757503
159,3830723
160,3880494
161,4361195
162,3956645
163,4711642
164,4829828
165,4133535
166,4360897
167,4187241
168,4724723
169,5173116
170,4087855
171,3642837
172,4068469
173,5044898
174,4650377
175,3821458
176,5585973
177,4520797
178,4205678
179,4024819
180,4210677
181,4308947
182,4433677
183,4471701
184,4195781
185,3683130
186,4076125
187,4516591
188,4842377
189,4455662
190,4373298
191,4725894
192,4928163
193,4205834
194,4936253
195,4296600
196,4565928
197,3766583
198,4199118
199,4698559
200,4255663
201,4009715
202,4518365
203,5016721
204,4494942
205,4895010
206,5080066
207,3888418
208,4835087
209,4101774
210,4609765
211,4209464
212,4015861
213,3678073
214,5282955
215,3542944
216,4275023
217,4493952
218,4510994
219,3774636
220,5136087
221,4610305
222,4773450
223,4121182
224,4844227
225,4390403
226,4209174
227,5207725
228,3911784
229,5564531
230,4504055
231,5857635
232,4507394
233,4032287
234,4017564
235,4265912
236,4747489
237,4106892
238,4066564
239,4619885
240,4045621
241,4059300
242,3626676
243,3969160
244,5016613
245,4529729
246,4036771
247,4283290
248,4009297
249,4276978
250,3672776
251,4459960
252,4837271
253,4142401
254,4482002
255,4463129
256,4916084
257,4149434
258,3629078
259,4321997
260,4013913
261,4233215
262,4720472
263,3940236
264,3542851
265,4983297
266,4234381
267,5413852
268,4445021
269,4291364
270,3733475
271,3926275
272,5120161
273,4357870
274,4052828
275,5398565
276,5083361
277,4344005
278,4507623
279,4834183
280,4646264
281,4194497
282,3809609
283,4212401
284,4531370
285,3379610
286,4442535
287,3861983
288,4410809
289,3744806
290,4205706
291,3989215
292,3726633
293,4404570
294,4137940
295,5255759
296,4977579
297,4896958
298,5035270
299,5164644
300,4050089
301,4407202
302,4876742
303,5028714
304,4300673
305,5717476
306,3931127
307,4278925
308,3577196
309,4277106
310,4297675
311,4036730
312,4130034
313,4607279
314,3798779
315,4234219
316,3732190
317,4151992
318,4525489
319,4490201
320,4391917
321,3797813
322,4243674
323,4483000
324,4366910
325,4293662
326,5029662
327,4810676
328,4298906
329,4671406
330,4039024
331,5220524
332,4595642
333,4946326
334,5554185
335,4224043
336,3686718
337,4225267
338,4175418
339,4037643
340,4173302
341,4131761
342,4822807
343,4500165
344,4919911
345,3844197
346,4311208
347,4592690
348,3858294
349,5116510
350,4186051
351,4876796
352,5035531
353,4422041
354,3970832
355,4388683
356,5019498
357,4356690
358,4083961
359,4737442
360,4691838
361,4428576
362,3946425
363,3960439
364,4701621
365,4256330
366,3667985
367,3502932
368,3445865
369,4793401
370,3971879
371,4435088
372,4940319
373,5285423
374,4162591
375,4267110
376,4015184
377,4200489
378,5037561
379,4166082
380,4302818
381,3960489
382,3826013
383,4898554
384,3952711
385,5589168
386,4072666
387,4513987
388,4424565
389,5294141
390,4967526
391,4177472
392,3976993
393,4717422
394,4414839
395,4035321
396,4651182
397,4873241
398,4955333
399,4622629
400,3972611
401,4770138
402,3622278
403,5169226
404,3764693
405,4307316
406,4569316
407,4113802
408,3415721
409,3780694
410,3714232
411,4381577
412,4311906
413,5108958
414,5334163
415,4462751
416,4701735
417,3662254
418,4354768
419,4253437
420,4094340
421,4712535
422,4606055
423,4316437
424,4212696
425,4214257
426,4111539
427,3888552
428,5316398
429,3441581
430,3746550
431,4189066
432,3598093
433,4582718
434,4054595
435,4374434
436,4125275
437,3691304
438,4073335
439,4683655
440,4402748
441,4310290
442,4866512
443,5576047
444,4512794
445,4359828
446,5309622
447,3900393
448,4079539
449,4851868
450,4613053
451,4010063
452,3954218
453,4732860
454,5157724
455,3942697
456,3898487
457,4120468
458,4296985
459,3600733
460,5103501
461,4418601
462,5221249
463,3877191
464,4403620
465,3863963
466,4505033
467,3538720
468,4491812
469,4388924
470,4412767
471,4483153
472,3911884
473,4383764
474,4786775
475,3874166
476,3987360
477,5058501
478,4165278
479,4822510
480,4677901
481,4916196
482,3873053
483,4134174
484,5464697
485,4184868
486,4377101
487,4326521
488,5317073
489,3849867
490,4439531
491,3720274
492,4286006
493,4849588
494,4438031
495,4077720
496,4354504
497,4188115
498,4028683
499,4226984
500,4044504
501,3667117
502,4101825
503,4870047
504,4252132
505,3978457
506,4225999
507,4496245
508,3520625
509,4468372
510,4641527
511,5513369
512,3501262
513,5218730
514,4110057
515,3490101
516,3934769
517,4630511
518,4355629
519,4221938
520,3971388
521,5042215
522,5098901
523,4608987
524,5160347
525,5275129
526,3711376
527,5262809
528,5165139
529,4189138
530,3801480
531,4202704
532,4381814
533,4196245
534,4295817
535,4395346
536,4048353
537,4065614
538,3786963
539,5029957
540,4302780
541,3676057
542,4112032
543,4319140
544,4274236
545,4369925
546,3522381
547,4216582
548,3800725
549,4469020
550,3984162
551,4186332
552,4100002
553,4974599
554,4806192
555,4441626
556,3632885
557,4499288
558,4375747
559,4070942
560,4239395
561,4754434
562,3581152
563,4803558
564,3885543
565,4630472
566,3801833
567,4367648
568,3868566
569,3801551
570,4251926
571,4557186
572,4644313
573,4270256
574,4305110
575,3530243
576,5026701
577,3998182
578,4065605
579,5263223
580,4020741
581,4098033
582,4526170
583,4002243
584,4124774
585,4910500
586,3740858
587,3899270
588,5116712
589,4602348
590,4195204
591,3990607
592,4421636
593,3845749
594,3911933
595,3920394
596,4561804
597,4132902
598,3855424
599,4455428
600,5468148
601,4321710
602,5058470
603,3856178
604,3725385
605,3719854
606,3719847
607,4091208
608,3671512
609,4263561
610,4759238
611,3545138
612,4798784
613,4405612
614,4674823
615,3745005
616,4785249
617,4439616
618,4976589
619,4662552
620,4197627
621,5314497
622,4323117
623,4111727
624,3941947
625,4935783
626,5421221
627,4463673
628,4151332
629,4077423
630,5591468
631,4608322
632,5008175
633,4696678
634,3667658
635,4307656
636,4407484
637,4201948
638,4265872
639,5505715
640,4083842
641,4261826
642,3934307
643,4677685
644,4300271
645,3591608
646,4286477
647,3857638
648,4403842
649,4124104
650,3870784
651,4021950
652,5399725
653,5204393
654,4171376
655,4633941
656,3925922
657,4825896
658,4763901
659,4036009
660,5596538
661,5483353
662,4686476
663,4917314
664,4190935
665,3878270
666,4546098
667,4329166
668,4177675
669,3712623
670,5501151
671,4577042
672,4100978
673,4334017
674,5276095
675,4193379
676,4425793
677,3800738
678,4071999
679,4546580
680,4009554
681,4586968
682,3521010
683,4868474
684,4577569
685,4703015
686,4056904
687,3567514
688,4865465
689,3887490
690,3910430
691,3605808
692,4175556
693,3963506
694,3800621
695,3358600
696,3947302
697,4136756
698,4420152
699,3782580
700,4906672
701,4707467
702,4520830
703,5135287
704,4700254
705,4826700
706,4472277
707,4350982
708,4335154
709,3967414
710,4481787
711,5157499
712,4093263
713,4163140
714,4300354
715,4734877
716,3839557
717,4125949
718,4059453
719,4425822
720,4431984
721,5564129
722,4274353
723,3910080
724,5008606
725,4218195
726,3889296
727,3862892
728,3891094
729,4220423
730,3720780
731,3377606
732,4201562
733,4993280
734,4390909
735,4293931
736,4131277
737,4985819
738,4154748
739,4059721
740,4636462
741,4427464
742,4705747
743,4461106
744,5217926
745,5524822
746,3788701
747,4860725
748,4572278
749,4582680
750,5286564
751,4455636
752,4059994
753,3503711
754,3885353
755,3471386
756,3848821
757,5379595
758,4197203
759,4674553
760,3999920
761,3504326
762,4097029
763,4023397
764,4619187
765,4775148
766,4290700
767,4105775
768,4814587
769,4622835
770,3978869
771,3857490
772,4402242
773,4044099
774,4149980
775,4121582
776,3681099
777,4201217
778,4196841
779,4005015
780,4181874
781,4297733
782,5252401
783,4249635
784,5014029
785,4214864
786,5366170
787,4011338
788,5076777
789,4443974
790,3824133
791,5426650
792,4056494
793,3426864
794,3813762
795,4403738
796,3871270
797,4480964
798,4124059
799,4242404
800,5170631
801,4342069
802,4150266
803,4328635
804,4563784
805,4258717
806,5372127
807,4931569
808,4095433
809,3639358
810,4150321
811,4911074
812,4464618
813,4861032
814,3687257
815,4279874
816,3911861
817,3952121
818,4129957
819,3968606
820,4481427
821,4286369
822,4203534
823,4016422
824,4241263
825,4500543
826,4368838
827,3728859
828,4740301
829,3971040
830,4544276
831,4688709
832,4535813
833,4510875
834,4570933
835,4136605
836,3385395
837,5201403
838,3911935
839,3469981
840,4046177
841,3563055
842,4668880
843,4133086
844,4350769
845,5507744
846,5146070
847,4367476
848,3826426
849,4056430
850,4294326
851,4297209
852,5164571
853,3631932
854,4128210
855,3656727
856,5558939
857,3944031
858,3396823
859,4157187
860,4132593
861,4457884
862,3976580
863,4952855
864,4428230
865,4277371
866,4407617
867,3855198
868,4200919
869,4649023
870,3753804
871,4314139
872,3948421
873,4224986
874,4875868
875,4063503
876,3870635
877,5482544
878,3601820
879,5249973
880,3700202
881,4085237
882,4761343
883,4486425
884,4498067
885,4687372
886,4025963
887,4675734
888,4004752
889,4344108
890,4486569
891,4481949
892,4583977
893,4311664
894,4425197
895,4665192
896,4337690
897,4089560
898,4112944
899,4673468
900,4273696
901,4616698
902,4817482
903,4231621
904,4016344
905,3797094
906,4502745
907,4412740
908,4317851
909,3797724
910,4376304
911,5149902
912,4054676
913,4019635
914,4058854
915,4502630
916,3614052
917,5160344
918,4300582
919,4537163
920,4146328
921,3970752
922,4996680
923,3954853
924,4664771
925,5151160
926,4490250
927,4468329
928,4747859
929,4503795
930,4129799
931,3904530
932,4212746
933,4752666
934,4186858
935,4188353
936,3848345
937,4225186
938,4562497
939,5128997
940,4580651
941,4651354
942,4627166
943,4504679
944,4397691
945,3606742
946,4771339
947,4463529
948,4086334
949,3935326
950,5081672
951,4066219
952,4050848
953,4112317
954,4334817
955,4660191
956,4756833
957,4650543
958,4512202
959,4029800
960,5158531
961,4523773
962,4407508
963,5383723
964,5490697
965,3961422
966,4456980
967,4439152
968,4007906
969,4040461
970,3540695
971,3913667
972,3943187
973,3749275
974,3731961
975,3745958
976,3958500
977,4289729
978,4153874
979,5521974
980,4356157
981,3694614
982,4186638
983,4961516
984,5084608
985,5010747
986,4411174
987,5066522
988,4953121
989,4178481
990,4677823
991,3862107
992,4894246
993,4622637
994,5875218
995,3753242
996,4190895
997,4631058
998,4274249
999,5300898
1000,4038868
1001,4021652
1002,4221974
1003,4958284
1004,4398792
1005,4558330
1006,5819172
1007,4207810
1008,3825393
1009,3822526
1010,3878162
1011,5471893
1012,3842213
1013,4605075
1014,4116640
1015,4454173
1016,4384490
1017,4112903
1018,4053105
1019,4002513
1020,4327324
1021,4083298
1022,4832752
1023,4580507
1024,4339163
1025,4720675
1026,4866238
1027,3844012
1028,4479344
1029,3910572
1030,4673846
1031,3727383
1032,3396694
1033,5295702
1034,5442774
1035,4220619
1036,4351972
1037,4275908
1038,4183765
1039,4956961
1040,4490227
1041,4271929
1042,3967636
1043,4265642
1044,4398977
1045,4748837
1046,4390692
1047,4254950
1048,4280914
1049,4253253
1050,5137723
1051,4052596
1052,3980631
1053,3962483
1054,5233671
1055,3434779
1056,5637104
1057,4555672
1058,3702225
1059,4455844
1060,4415220
1061,4111572
1062,4721070
1063,4087878
1064,4410004
1065,3968236
1066,5347592
1067,4595588
1068,4178561
1069,3821386
1070,4225004
1071,4198156
1072,5074329
1073,4834303
1074,4373890
1075,5129812
1076,4647315
1077,3897700
1078,4048105
1079,5199861
1080,3787676
1081,4431054
1082,3736087
1083,4389072
1084,3640868
1085,3504135
1086,4619603
1087,4146827
1088,5036813
1089,3775472
1090,4456405
1091,4194527
1092,4226955
1093,4301389
1094,5148163
1095,4207944
1096,3765168
1097,4134710
1098,4195805
1099,3919995
1100,5003473
1101,5308284
1102,4121759
1103,4352506
1104,4337060
1105,4148790
1106,3665927
1107,4755861
1108,4097353
1109,4372390
1110,4367519
1111,4285292
1112,3922751
1113,3902460
1114,4120220
1115,4197223
1116,4318619
1117,4384779
1118,4305931
1119,3836775
1120,5039582
1121,3594305
1122,4591520
1123,4268667
1124,4400610
1125,4331053
1126,4258667
1127,3795895
1128,4406076
1129,5392887
1130,4211772
1131,4511292
