Id,Prediction
0,4041580
1,3759512
2,3408332
3,3349525
4,3797472
5,4820994
6,4131176
7,3701195
8,4950278
9,3892035
10,4802573
11,4585269
12,4370289
13,4430714
14,4388014
15,4661982
16,4808076
17,3750818
18,5148959
19,3773739
20,2553034
21,5239419
22,4373332
23,5212658
24,5003400
25,4119586
26,3680742
27,4736139
28,3864203
29,4498756
30,4425423
31,3241696
32,3275543
33,4712844
34,3193820
35,4560924
36,4037504
37,4446162
38,3550697
39,3903702
40,4806316
41,4554972
42,4677841
43,4750512
44,5332314
45,4396397
46,3341178
47,2832645
48,4775997
49,4308242
50,4425315
51,3773926
52,5174707
53,3364539
54,3502352
55,4798709
56,5426345
57,3977593
58,4895576
59,4857448
60,3045213
61,3839802
62,4100369
63,4315559
64,4646822
65,5545595
66,4672837
67,5561891
68,5196509
69,4918867
70,4101516
71,3256278
72,4475625
73,4005890
74,4814662
75,4280292
76,5111835
77,4229162
78,4619298
79,4354858
80,5158726
81,4829568
82,4187545
83,4402624
84,5431062
85,2357811
86,4698805
87,4814710
88,4404693
89,3842347
90,4859090
91,4038334
92,3746217
93,4297031
94,5313939
95,3621314
96,4409736
97,4533307
98,3998455
99,4805224
100,4171149
101,2858474
102,3804937
103,3560026
104,3588619
105,3410368
106,4255701
107,4754057
108,4822041
109,4701903
110,4782916
111,4145028
112,4687747
113,4554446
114,4087683
115,4699026
116,3348834
117,5201085
118,3995814
119,4547274
120,4957059
121,4831462
122,4289177
123,5395834
124,3526856
125,3852471
126,5291887
127,3790951
128,4129795
129,4390872
130,2984582
131,4793330
132,5111562
133,3522182
134,4361593
135,3965519
136,4212056
137,3991970
138,4341299
139,4700115
140,5612147
141,2754721
142,4834911
143,3037298
144,4907711
145,3951716
146,4968424
147,3462409
148,4349904
149,4676635
150,4005218
151,3294987
152,5076226
153,5502866
154,3745138
155,4791910
156,5183223
157,4806274
158,3869507
159,4179325
160,3268013
161,3929481
162,3760499
163,5220505
164,5785236
165,3504863
166,4438177
167,3737093
168,4475378
169,4812364
170,4188173
171,3307049
172,3866236
173,4510905
174,4681868
175,3361965
176,5754866
177,5434558
178,4487646
179,3638845
180,4458283
181,4109044
182,4721165
183,3999883
184,4584202
185,3557151
186,3967616
187,5342021
188,5352374
189,4706212
190,4203287
191,4894797
192,5120855
193,3817335
194,4628022
195,4586834
196,4073583
197,2943543
198,3996493
199,4570038
200,4213632
201,3612600
202,4461089
203,4695693
204,4808162
205,4882453
206,4805991
207,4318562
208,4783353
209,3960324
210,4371133
211,5047484
212,3414913
213,3574879
214,5280328
215,2326443
216,4650362
217,4826580
218,4316584
219,2828117
220,5378549
221,4666106
222,4764225
223,4109044
224,5107578
225,4219872
226,3356372
227,5805652
228,3145844
229,5109468
230,4660054
231,5260489
232,4455068
233,4227691
234,3657991
235,4755283
236,4298883
237,3804814
238,4188454
239,4129141
240,4619213
241,4012422
242,3449953
243,4579792
244,5106604
245,4634695
246,4069045
247,4857281
248,4533263
249,4217186
250,2915679
251,4573353
252,5281977
253,4279980
254,4692850
255,3918239
256,4330134
257,4396397
258,3897901
259,3980506
260,4316442
261,4022601
262,5334586
263,4324241
264,2601301
265,5227690
266,4191768
267,5751196
268,4847967
269,4185374
270,3708335
271,2967383
272,4695244
273,4757416
274,4034318
275,5283620
276,5764737
277,5348144
278,4732268
279,4265343
280,5059987
281,3883485
282,3413746
283,3902945
284,4929694
285,2853207
286,5107006
287,4068426
288,4419825
289,3785946
290,4302439
291,4453247
292,3441889
293,4960463
294,3394251
295,5356156
296,4844188
297,5146359
298,4570691
299,4872335
300,4502582
301,4708406
302,4937396
303,5118727
304,4158201
305,4798867
306,4484171
307,4509615
308,2489453
309,4105328
310,4416941
311,3908266
312,3570568
313,4321861
314,3537088
315,3699389
316,3031041
317,4402036
318,5085450
319,3824994
320,4118124
321,3756768
322,4221113
323,4529119
324,4604717
325,4176348
326,4825316
327,4564470
328,4636080
329,5121398
330,3338537
331,4704854
332,4629881
333,5530729
334,5232393
335,4620374
336,3285690
337,4572499
338,4085859
339,3394906
340,4479516
341,4774677
342,4661986
343,4790719
344,4320473
345,4066430
346,3897566
347,4812893
