Id,Prediction
0,4001622
1,3852142
2,4032578
3,3791953
4,4034693
5,4188673
6,3852872
7,4150244
8,4875391
9,4408538
10,4650563
11,4403233
12,4424813
13,4452579
14,4423138
15,5290872
16,5375921
17,3777671
18,5349148
19,3938597
20,3852536
21,5135969
22,3877758
23,4862177
24,4989544
25,4189881
26,3735686
27,4165506
28,4046659
29,4360031
30,4552581
31,3654865
32,4161856
33,5165210
34,3917751
35,4891297
36,3995633
37,5172413
38,3982691
39,4177271
40,4268709
41,4419102
42,5122320
43,5116088
44,4598594
45,4161879
46,3786706
47,3542220
48,4615683
49,4322735
50,4479905
51,4398561
52,4838495
53,3695711
54,3799480
55,4476751
56,4730567
57,4200641
58,4210881
59,4422273
60,3530212
61,3917795
62,4413641
63,4160245
64,4252884
65,5391658
66,4269944
67,5458231
68,5880334
69,4605896
70,4093605
71,3954751
72,4159762
73,3875008
74,4682017
75,4293322
76,4457704
77,4027992
78,4262979
79,4136365
80,4912733
81,4788753
82,4201001
83,4290302
84,5673177
85,3562888
86,4743918
87,4717154
88,4345213
89,5257254
90,4657904
91,4132671
92,4058678
93,4405437
94,5003929
95,4311242
96,4093783
97,4207011
98,4044961
99,4658423
100,4626297
101,3556870
102,4123726
103,3845620
104,4274069
105,3592576
106,4215175
107,4943219
108,4516842
109,4858197
110,4684067
111,5577658
112,5280229
113,4397224
114,3875327
115,4573101
116,3641070
117,4486099
118,4033034
119,4681511
120,5256279
121,4562492
122,4613784
123,5032594
124,3975647
125,3852844
126,4941543
127,3924139
128,4365888
129,4690766
130,3611760
131,4496913
132,4591867
133,3368544
134,4235257
135,3812758
136,3936747
137,3843218
138,4761279
139,4325566
140,6508657
141,3871318
142,4633916
143,3595870
144,4704408
145,3799993
146,4251552
147,3732540
148,4136829
149,4196551
150,4116071
151,4052051
152,5345250
153,5586867
154,4025117
155,4543515
156,4762446
157,5289455
158,3756851
159,3830528
160,3880592
161,4361596
162,3956512
163,4712307
164,4830542
165,4133997
166,4361114
167,4187238
168,4725426
169,5173488
170,4087649
171,3642664
172,4067334
173,5045987
174,4651179
175,3821463
176,5587623
177,4520913
178,4205313
179,4025001
180,4210845
181,4309297
182,4434103
183,4471039
184,4194441
185,3682942
186,4076106
187,4516805
188,4843365
189,4455969
190,4372964
191,4726222
192,4928843
193,4206014
194,4936869
195,4297284
196,4566321
197,3766592
198,4198830
199,4698982
200,4256094
201,4009461
202,4518788
203,5017760
204,4495756
205,4895601
206,5079641
207,3888121
208,4835195
209,4101802
210,4609955
211,4209497
212,4016007
213,3678077
214,5283596
215,3542311
216,4274146
217,4493601
218,4510891
219,3774504
220,5136799
221,4609290
222,4774058
223,4121441
224,4844824
225,4390438
226,4209555
227,5208961
228,3911982
229,5565136
230,4504809
231,5859185
232,4508022
233,4032230
234,4017876
235,4265834
236,4747733
237,4106885
238,4067209
239,4620438
240,4045152
241,4059294
242,3626401
243,3968816
244,5017264
245,4530863
246,4037238
247,4283479
248,4009655
249,4277271
250,3672605
251,4460736
252,4837832
253,4142636
254,4482282
255,4462978
256,4916394
257,4149533
258,3628601
259,4322503
260,4014316
261,4232967
262,4720618
263,3939699
264,3542840
265,4984270
266,4234870
267,5415179
268,4445038
269,4291701
270,3733025
271,3926463
272,5120258
273,4358011
274,4052537
275,5399709
276,5084702
277,4344147
278,4507932
279,4834717
280,4646567
281,4195055
282,3809594
283,4212264
284,4531686
285,3379079
286,4442147
287,3861782
288,4411462
289,3744326
290,4205853
291,3989089
292,3726679
293,4404200
294,4138340
295,5255817
296,4978794
297,4897609
298,5036270
299,5165314
