Id,Prediction
0,4025122
1,3815351
2,3429650
3,3353304
4,3822075
5,4817419
6,4114558
7,3690665
8,5037755
9,3950442
10,4804707
11,4541668
12,4354200
13,4407618
14,4368713
15,4635658
16,4795063
17,3792834
18,5124964
19,3778566
20,2589756
21,5153051
22,4368157
23,5221329
24,5136368
25,4190590
26,3819224
27,4669120
28,3851640
29,4487289
30,4518466
31,3283501
32,3270061
33,4732980
34,3144846
35,4527647
36,4053314
37,4543781
38,3536201
39,3902764
40,4678665
41,4538961
42,4690831
43,4757654
44,5383533
45,4407422
46,3338206
47,2846886
48,4841951
49,4283596
50,4516267
51,3793807
52,5158553
53,3382062
54,3526256
55,4831524
56,5456423
57,4001168
58,4876762
59,5024119
60,2838688
61,3954899
62,4057651
63,4306010
64,4652014
65,5517153
66,4593334
67,5564039
68,5117087
69,4844427
70,4017586
71,3240422
72,4539305
73,4033446
74,5095391
75,4308846
76,5131352
77,4265764
78,4687819
79,4324786
80,5188110
81,4835635
82,4180470
83,4372581
84,5488694
85,2351596
86,4658350
87,4827449
88,4461908
89,3850710
90,4809713
91,4053706
92,3786130
93,4069405
94,5367081
95,3615691
96,4395849
97,4556568
98,4012790
99,4848430
100,4230161
101,2905192
102,3878413
103,3550475
104,3668003
105,3398744
106,4291136
107,4758175
108,4833277
109,4680723
110,5031037
111,3961686
112,4694507
113,4424059
114,4183981
115,4805506
116,3344322
117,5086219
118,3973160
119,4707306
120,4986663
121,4913961
122,4309496
123,5401672
124,3516966
125,3824553
126,5341798
127,3802070
128,4265457
129,4381368
130,2922809
131,4637231
132,5038574
133,3503980
134,4378414
135,4178098
136,4234776
137,4010601
138,4295602
139,4652652
140,5471962
141,2747557
142,4826327
143,3110279
144,4902194
145,3897793
146,4894605
147,3377527
148,4337602
149,4682050
150,4004564
151,3333726
152,5116134
153,5424613
154,3751319
155,4785220
156,5072699
157,4827026
158,3995300
159,4233351
160,3268500
161,3978188
162,3742878
163,5225983
164,5750308
165,3512954
166,4374833
167,3764746
168,4457099
169,4864684
170,4232547
171,3327931
172,3867354
173,4612947
174,4715719
175,3364075
176,5671580
177,5378163
178,4191437
179,3631922
180,4466013
181,4244012
182,4710503
183,4052940
184,4733417
185,3541393
186,3943229
187,5279844
188,5397660
189,4646059
190,4151064
191,4989712
192,5292037
193,3784421
194,4632615
195,4539671
196,4075285
197,3029066
198,3904278
199,4563187
200,4154712
201,3601653
202,4477028
203,4698492
204,4849076
205,4837261
206,4853880
207,4270430
208,4831899
209,4047492
210,4414545
211,5046738
212,3446006
213,3534208
214,4988463
215,2333153
216,4675265
217,4986812
218,4320370
219,2870708
220,5313417
221,4724490
222,4848433
223,4161414
224,5072921
225,4205198
226,3446108
227,5895481
228,3241734
229,5012220
230,4574598
231,5223489
232,4336371
233,4236182
234,3695033
235,4873037
236,4163439
237,3849646
238,4187243
239,4362638
240,4606026
241,3953991
242,3367974
243,4479742
244,4880542
245,4680592
246,4096851
247,4819282
248,4542705
249,4323628
250,3252690
251,4737296
252,5204057
253,4295181
254,4618163
255,3955054
256,4355262
257,4512354
258,3840863
259,3988471
260,4377943
261,3976464
262,5253118
263,4425024
264,2578140
265,5215743
266,4191674
267,5841289
268,4834666
269,4188623
270,3685059
271,3035150
272,4721308
273,4748408
274,4075766
275,5251339
276,5979078
277,5202523
278,4734402
279,4283918
280,4959567
281,3896795
282,3426751
283,3986207
284,4819075
285,2880221
286,5038849
287,4049753
288,4442013
289,3746452
290,4286333
291,4467675
292,3460439
293,4939251
294,3374296
295,5322128
296,4907863
297,5183357
298,4572842
299,4644461
300,4373664
301,4741953
302,4862251
303,5151473
304,4120219
305,4947262
306,4416649
307,4546335
308,2489576
309,4144263
310,4385922
311,3909458
312,3555989
313,4413418
314,3561978
315,3690896
316,3005448
317,4370082
318,5146312
319,3825244
320,4089389
321,3779527
322,4180697
323,4397503
324,4529150
325,4151990
326,4930544
327,4547678
328,4637375
329,5054103
330,3334535
331,4688816
332,4603434
333,5481707
334,5170005
335,4630961
336,3286377
337,4570184
338,4252678
339,3326116
340,4425234
341,4793861
342,4705911
343,4746801
344,4318642
345,3936965
346,3880749
347,5177698
348,3076957
349,5070232
350,4764683
351,5082643
352,5598951
353,3862396
354,3762801
355,4267247
356,5214431
357,4467701
358,4886866
359,4816849
360,4381340
361,4258725
362,4082650
363,4441464
364,5006534
365,3865958
366,2840790
367,3859474
368,3949927
369,4785963
370,4028090
371,4569574
372,4601896
373,5164561
374,3653068
375,4570260
376,3802119
377,3854303
378,4840491
379,4771727
380,4768138
381,3998375
382,3451802
383,4874258
384,4003394
385,5642472
386,3850469
387,4737593
388,4422768
389,4357982
390,5261287
391,3748682
392,3704546
393,4550970
394,5199078
395,3537709
396,4917842
397,5131653
398,5036623
399,5132726
400,3438478
401,3971011
402,3718788
403,4741763
404,3744863
405,4367251
406,4567266
407,4316983
408,2800728
409,3860112
410,3643410
411,4027215
412,4370112
413,4828538
414,5184394
415,4110866
416,5371309
417,2744476
418,4281388
419,3655340
420,4454300
421,5117980
422,4417147
423,4033780
424,4617043
425,4501226
426,4518452
427,3669872
428,4782601
429,3293553
430,3598462
431,3931423
432,2876571
433,4198083
434,3750019
435,4622640
436,3976690
437,3415275
438,3284583
439,5106828
440,4776552
441,4730965
442,4300956
443,4717081
444,4722697
445,4441884
446,5494675
447,4680115
448,4632249
449,5876856
450,4877479
451,3726813
452,3683745
453,4799176
454,4978891
455,4169977
456,3342115
457,4115648
458,4267253
459,3230635
460,4972539
461,4523862
462,5076423
463,3343482
464,4592103
465,3674116
466,4192788
467,3579881
468,4324254
469,4388294
470,4153727
471,4443615
472,3362072
473,4566406
474,4785689
475,3982326
476,3685992
477,4922877
478,4231061
479,4884303
480,3869837
481,5464734
482,3750794
483,4804468
484,5301587
485,3408867
486,4653939
487,4121825
488,5173333
489,3915698
490,4770883
491,3484555
492,4555808
493,4809644
