Id,Prediction
0,4032091
1,3773918
2,3407448
3,3350301
4,3799228
5,4829773
6,4134909
7,3709135
8,4926572
9,3897168
10,4809163
11,4581639
12,4368898
13,4433106
14,4365073
15,4663771
16,4815173
17,3764006
18,5140898
19,3770424
20,2552249
21,5241709
22,4373250
23,5222604
24,5014062
25,4118930
26,3683420
27,4748160
28,3883946
29,4511066
30,4439103
31,3237930
32,3275394
33,4708613
34,3196763
35,4546926
36,4045072
37,4443885
38,3552708
39,3924368
40,4805193
41,4554245
42,4674663
43,4759282
44,5345077
45,4370741
46,3336498
47,2824705
48,4766049
49,4301117
50,4427568
51,3772897
52,5175904
53,3363567
54,3500890
55,4802621
56,5425861
57,3978713
58,4905752
59,4859241
60,3024515
61,3844243
62,4093794
63,4314984
64,4644189
65,5552519
66,4676888
67,5554536
68,5204086
69,4914158
70,4101837
71,3257788
72,4477822
73,4019552
74,4816419
75,4281660
76,5113787
77,4230851
78,4604124
79,4353382
80,5159900
81,4834273
82,4186487
83,4404022
84,5436892
85,2351243
86,4695176
87,4808564
88,4400165
89,3842384
90,4863488
91,4029302
92,3749033
93,4296311
94,5322880
95,3617118
96,4410814
97,4540543
98,4002324
99,4792296
100,4164891
101,2854720
102,3814627
103,3558022
104,3585255
105,3409985
106,4257353
107,4741085
108,4818000
109,4705481
110,4786024
111,4143258
112,4687312
113,4543006
114,4085307
115,4720009
116,3346340
117,5204354
118,4004668
119,4544895
120,4955477
121,4829353
122,4298541
123,5395119
124,3530150
125,3850321
126,5290189
127,3790415
128,4121922
129,4389504
130,2974798
131,4800013
132,5109110
133,3520136
134,4360704
135,3954085
136,4196708
137,3991814
138,4336826
139,4701247
140,5606773
141,2749586
142,4847095
143,3036745
144,4905432
145,3943767
146,4956056
147,3422352
148,4343552
149,4674551
150,4000275
151,3289426
152,5084911
153,5491723
154,3740571
155,4791746
156,5171331
157,4804818
158,3871208
159,4181396
160,3271398
161,3927083
162,3765339
163,5299254
164,5780555
165,3517995
166,4435367
167,3742643
168,4469760
169,4817946
170,4186802
171,3307438
172,3867153
173,4511022
174,4686614
175,3358015
176,5754206
177,5443654
178,4485994
179,3645657
180,4443980
181,4110222
182,4719509
183,3969056
184,4590860
185,3543770
186,3969155
187,5370125
188,5363371
189,4697848
190,4193958
191,4896046
192,5141269
193,3818106
194,4618365
195,4576626
196,4073584
197,2939145
198,3998099
199,4571687
200,4210007
201,3609734
202,4467652
203,4695838
204,4804434
205,4879885
206,4812467
207,4316717
208,4771306
209,3960311
210,4358766
211,5047008
212,3414326
213,3579761
214,5284370
215,2316982
216,4662425
217,4828705
218,4312231
219,2827998
220,5382253
221,4664484
222,4767488
223,4110222
224,5102452
225,4210821
226,3355086
227,5814059
228,3143533
229,5092152
230,4654949
231,5261358
232,4455958
233,4219612
234,3659569
235,4747444
236,4291004
237,3810785
238,4185984
239,4132961
240,4615931
241,4011307
242,3442837
243,4572061
244,5100616
245,4653427
246,4066064
247,4853657
248,4535467
249,4215134
250,2917110
251,4573741
252,5264451
253,4283172
254,4691328
255,3908667
256,4323928
257,4370741
258,3890777
259,3977352
260,4307092
261,4021617
262,5340848
263,4319626
264,2599042
265,5255141
266,4191654
267,5752783
268,4849563
269,4184801
270,3696881
271,2969892
272,4690265
273,4762905
274,4038592
275,5284083
276,5817084
277,5348279
278,4728698
279,4273099
280,5051967
281,3891257
282,3421416
283,3900577
284,4930708
285,2846567
286,5105536
287,4064094
288,4419501
289,3777527
290,4305408
291,4454344
292,3437074
293,4964216
294,3393797
295,5358238
296,4842943
297,5161708
298,4567329
299,4868971
300,4506827
301,4711628
302,4937919
303,5111695
304,4163537
305,4817265
306,4478386
307,4512233
308,2489669
309,4106181
310,4417726
311,3909341
312,3564669
313,4322407
314,3538775
315,3700223
316,3028915
317,4397943
318,5074695
319,3824431
320,4117646
321,3754643
322,4225929
323,4531487
324,4600188
325,4176283
326,4825821
327,4565641
328,4622595
329,5125721
330,3337166
331,4704676
332,4630583
333,5532939
334,5238401
335,4616530
336,3286656
337,4575416
338,4109624
339,3400031
340,4476916
341,4768756
342,4656559
343,4797582
344,4318887
345,4061344
346,3909937
347,4808489
348,3076661
349,5008386
350,4552077
351,5075630
352,5633343
353,3810224
354,3913240
355,4373991
356,5228151
357,4429416
358,4896375
359,4868999
360,4389504
361,4256464
362,4064750
363,4459743
364,5029530
365,3776148
366,2808493
367,3884248
368,3918492
369,4742837
370,3989810
371,4611005
372,4651639
373,5182907
374,3640091
375,4557716
376,3749496
377,3851565
378,4923797
379,4693391
380,4782824
381,3938478
382,3419592
383,4821062
384,4095446
385,5740184
386,3962003
387,4691311
388,4446842
389,4402552
390,5340677
391,3744164
392,3709441
393,4586160
394,5236963
395,3532934
396,4904399
397,5100967
398,4996052
399,5110802
400,3396294
401,4002076
402,3719161
403,4753873
404,3704351
405,4402007
406,4587115
407,4445903
408,2808493
409,3867563
410,3679079
411,4009929
412,4410345
413,4937033
414,5406519
415,4124459
416,5409406
417,2749586
418,4296156
419,3682266
420,4509849
421,4964458
422,4450989
423,4050742
424,4599596
425,4495903
426,4475568
427,3710974
428,4767177
429,3412306
430,3554718
431,3853361
432,2846676
433,4213178
434,3796436
435,4540651
436,3980143
437,3409233
438,3485424
439,5091398
440,4763975
441,4775684
442,4179181
443,4675807
444,4768084
445,4431929
446,5502298
447,4695765
448,4649414
449,5962539
450,4889114
451,3740502
452,3687035
453,5006580
454,4921596
455,4138963
456,3392735
457,3931973
458,4424283
459,3289980
460,4947400
461,4509030
462,4907191
463,3337119
464,4609012
465,3655240
466,4170946
467,3568359
468,4325522
469,4383221
470,4118930
471,4407245
472,3286656
473,4535501
474,4793251
475,3937050
476,3816509
477,4931186
478,4245656
479,4884075
480,3869248
481,5466309
482,3801864
483,4811461
484,5326130
485,3381872
486,4650292
487,4220449
488,4893333
489,3929380
490,4757388
491,3454426
492,4542468
493,4840455
494,4379301
495,4277138
496,4769035
497,3932213
498,4245905
499,4308644
500,4611657
501,2811630
502,4145476
503,5313154
504,3665124
505,4083810
506,3808619
507,4521098
508,3439703
509,4542308
510,5053267
511,4987022
512,2808493
513,4846177
514,3702679
515,2793060
516,3591051
517,4568603
518,4352957
519,4620499
520,3858866
521,5051857
522,5441445
523,5345373
524,4265939
525,4829040
526,2638787
527,4789711
528,5448281
529,4604359
530,3961845
531,3972864
532,4643205
533,4118930
534,4975564
535,4118930
536,4453894
537,3600726
538,3728861
539,5020309
540,4544114
541,3617571
542,3808416
543,4212757
544,4292647
545,4949677
546,3098980
547,4052181
548,3884070
549,4191234
550,3910455
551,4313996
552,4019836
553,4966448
554,4569959
555,4426135
556,3506556
557,4886942
558,4051209
559,4348686
560,4215134
561,5414118
562,2769974
563,4722397
564,3363882
565,4602801
566,3408958
567,5295092
568,4213555
569,3772361
570,4265898
571,5128557
572,4335668
573,5057947
574,4051466
575,3249715
576,5750894
577,4028979
578,4022854
579,4298683
580,3750016
581,4479379
582,5326611
583,3883268
584,4114830
585,4695838
586,3577014
587,4014984
588,4895051
589,4180503
590,3967888
591,4292359
592,4283551
593,3268191
594,3674396
595,3454426
596,3955544
597,3745033
598,4459628
599,5257768
600,5001864
601,4940521
602,4901975
603,3504450
604,2925046
605,3366099
606,3189097
607,3678990
608,2872064
609,4789836
610,5351930
611,2740482
612,4557722
613,4595363
614,5369617
615,3195564
616,4783583
617,4906188
618,5651392
619,4125683
620,4291669
621,5318598
622,4808272
623,4759705
624,3155869
625,4839855
626,4652492
627,4845963
628,3670334
629,3803104
630,5817228
631,5054935
