Id,Prediction
0,4038248
1,3804098
2,3417919
3,3334746
4,3781140
5,4903797
6,4143151
7,3704822
8,4965238
9,3847459
10,4853275
11,4542770
12,4367321
13,4390148
14,4395546
15,4688101
16,4852842
17,3753354
18,5083260
19,3785010
20,2535167
21,5308723
22,4363262
23,5210143
24,4985115
25,4108737
26,3691954
27,4692234
28,3887176
29,4409679
30,4416758
31,3241796
32,3297892
33,4676480
34,3204549
35,4578162
36,4022060
37,4342125
38,3590970
39,3886895
40,4822993
41,4549830
42,4657265
43,4676931
44,5309728
45,4386141
46,3369298
47,2825579
48,4808155
49,4252530
50,4434882
51,3779549
52,5229839
53,3386939
54,3520196
55,4897357
56,5341525
57,3952931
58,4944403
59,4805484
60,3017773
61,3887095
62,4129246
63,4321510
64,4645857
65,5464540
66,4699254
67,5503514
68,5208436
69,4936467
70,4102817
71,3222469
72,4514753
73,3988942
74,4752608
75,4284638
76,5035843
77,4232163
78,4600707
79,4358971
80,5165970
81,4813264
82,4187735
83,4387746
84,5433800
85,2377340
86,4692537
87,4777518
88,4361671
89,3846502
90,4780517
91,4052806
92,3736783
93,4262911
94,5333391
95,3680473
96,4352438
97,4532446
98,4040381
99,4833533
100,4180726
101,2883128
102,3855038
103,3552215
104,3598873
105,3410838
106,4192877
107,4663044
108,4790814
109,4648754
110,4747393
111,4131536
112,4692158
113,4489241
114,4100231
115,4773530
116,3371197
117,5252204
118,4001504
119,4507506
120,4981800
121,4844490
122,4316086
123,5390902
124,3563465
125,3815175
126,5249564
127,3793020
128,4095496
129,4410312
130,3001724
131,4765516
132,5104377
133,3530437
134,4374991
135,3977712
136,4200996
137,4005094
138,4285578
139,4728520
140,5549845
141,2765353
142,4856641
143,3048703
144,4862655
145,3964853
146,5037655
147,3450348
148,4365788
149,4673428
150,4015619
151,3354744
152,5102580
153,5412265
154,3774218
155,4767484
156,5156702
157,4816125
158,3911901
159,4200101
160,3246194
161,3931014
162,3763709
163,5238902
164,5684339
165,3535885
166,4438353
167,3723717
168,4507853
169,4816682
170,4258076
171,3312573
172,3905794
173,4509739
174,4616356
175,3360241
176,5739825
177,5400147
178,4478181
179,3619818
180,4522306
181,4103400
182,4711161
183,4018578
184,4576899
185,3562271
186,3977952
187,5337968
188,5338963
189,4711604
190,4125952
191,4903611
192,5089509
193,3834031
194,4600573
195,4603944
196,4018581
197,2997421
198,4117956
199,4560720
200,4187132
201,3589078
202,4455103
203,4706102
204,4744956
205,4818606
206,4850957
207,4320133
208,4796602
209,3953052
210,4367543
211,5053917
212,3441683
213,3633359
214,5229146
215,2350540
216,4648500
217,4785652
218,4339359
219,2826371
220,5352242
221,4664987
222,4746185
223,4103400
224,5159465
225,4142499
226,3369962
227,5721855
228,3154831
229,5130900
230,4612585
231,5239811
232,4468175
233,4239923
234,3643474
235,4790797
236,4326711
237,3837934
238,4182243
239,4031011
240,4636294
241,3999260
242,3422731
243,4658433
244,5162952
245,4615024
246,4096835
247,4844045
248,4479830
249,4208332
250,2951204
251,4542775
252,5186408
253,4294648
254,4700583
255,3971092
256,4363780
257,4386141
258,3975979
259,4008346
260,4297727
261,4032409
262,5260546
263,4315338
264,2593606
265,5174768
266,4184476
267,5745935
268,4844898
269,4185090
270,3670768
271,2970961
272,4728925
273,4756244
274,4086114
275,5215076
276,5657538
277,5290192
278,4697799
279,4273120
280,4998846
281,3903629
282,3482965
283,3913231
284,4926177
285,2896389
286,5118428
287,4010643
288,4357030
289,3767493
290,4350785
291,4486041
292,3431662
293,4982526
294,3407474
295,5346293
296,4839574
297,5104003
298,4568932
299,4904841
300,4460292
301,4673627
302,4957115
303,5062368
304,4120649
305,4866893
306,4512953
307,4562468
308,2511479
309,4104547
310,4427568
311,3890918
312,3575525
313,4406784
314,3556918
315,3690907
316,3029294
317,4366418
318,5001598
319,3813571
320,4139030
321,3739973
322,4264419
323,4547840
324,4649726
325,4166719
326,4825156
327,4597099
328,4607856
329,5050877
330,3353869
331,4698671
332,4657719
333,5492441
334,5203981
335,4651858
336,3296851
337,4531677
338,4089436
339,3365773
340,4369540
341,4726306
342,4621561
343,4827075
344,4347019
345,4105054
346,3950136
347,4745001
348,3080043
349,5060643
350,4561539
351,5017519
352,5655620
353,3813240
354,3980142
355,4314225
356,5282210
357,4409419
358,4904947
359,4879421
360,4410312
361,4287962
362,4089436
363,4470279
364,4912609
365,3817228
366,2813930
367,3858675
368,3961868
369,4679804
370,4010959
371,4621419
372,4595147
373,5163972
374,3690065
375,4591182
376,3707623
377,3858930
378,4936961
379,4690538
380,4761130
381,3939439
382,3418279
383,4835218
384,4082233
385,5718442
386,3918051
387,4672325
388,4418056
389,4431453
390,5326367
391,3784915
392,3700225
393,4566753
394,5201859
395,3557379
396,4843781
397,5051337
398,4974772
399,5134142
400,3402406
401,4039917
402,3716170
403,4814129
404,3702781
405,4387979
406,4635595
407,4431757
408,2813930
409,3852894
410,3685094
411,4052416
412,4387310
413,4941570
414,5413868
415,4163447
416,5384606
417,2765353
418,4331417
419,3682693
420,4532541
421,4969567
422,4352980
423,4062736
424,4621057
425,4477546
426,4485835
427,3703064
428,4779877
429,3421939
430,3542966
431,3867957
432,2866178
433,4220187
434,3842184
435,4570776
436,3955933
437,3431312
438,3476856
439,5029703
440,4746270
441,4744779
442,4153285
443,4697237
444,4783303
445,4441868
446,5490243
447,4750171
448,4639238
449,5867011
450,4896829
451,3734300
452,3676403
453,5060747
454,4975572
455,4143577
456,3379279
457,3982478
458,4493117
459,3295115
460,4911606
461,4512883
462,4827474
463,3344332
464,4584638
465,3650887
466,4154913
467,3607158
468,4310033
469,4355106
470,4108737
471,4434782
472,3296851
473,4525573
474,4785135
475,3955858
476,3829894
477,4912908
478,4246453
479,4875720
480,3874831
481,5430165
482,3772438
483,4842931
484,5321115
485,3405493
486,4667594
487,4190101
488,4926977
489,3989041
490,4796146
491,3465886
492,4554765
493,4814855
494,4381873
495,4254832
496,4744390
497,3887053
498,4273196
499,4313905
500,4586983
501,2816819
502,4140986
503,5346397
504,3634768
505,4112622
506,3852112
507,4535464
508,3450539
509,4517528
510,4979740
511,4991839
512,2813930
513,4824039
514,3700094
515,2807327
516,3558550
517,4635369
518,4330011
519,4641614
520,3920942
521,5032913
522,5473700
523,5274234
524,4138134
525,4841917
526,2648857
527,4802021
528,5356912
529,4598570
530,3913214
531,3974805
532,4677243
533,4108737
534,4972060
535,4108737
536,4448604
537,3615193
538,3765909
539,4964895
540,4533231
541,3673173
542,3791017
543,4228371
544,4337897
545,4979431
546,3109449
547,4028128
548,3883151
549,4157694
550,3919590
551,4313542
552,3955488
553,4931235
554,4607689
555,4467475
556,3556204
557,4879693
558,4009432
559,4345942
560,4208332
561,5419578
562,2785560
563,4730385
564,3377303
565,4630674
566,3441639
567,5235700
568,4232372
569,3808567
570,4189488
571,5077392
572,4322731
573,5105702
574,4022676
575,3261427
576,5713501
577,4012508
578,4077619
579,4271490
580,3775018
581,4558537
582,5260530
583,3866694
584,4127434
585,4706102
586,3608971
587,4011341
588,4850175
589,4192654
590,4056402
591,4329915
592,4316712
593,3310275
594,3689281
595,3465886
596,3939178
597,3732251
598,4522260
599,5197572
600,5017925
601,4918969
602,4845053
603,3485093
604,2952808
605,3371615
606,3191045
607,3675984
608,2873214
609,4706299
610,5209452
611,2759378
612,4479578
613,4595357
614,5379179
615,3213052
616,4766705
617,4906577
618,5570157
619,4095967
620,4312534
621,5267597
622,4846449
623,4699249
624,3166041
625,4838772
626,4680279
627,4831073
628,3674757
629,3772020
630,5811532
631,4998118
632,5166710
633,5030395
634,2987359
635,3873486
636,4863266
637,4190640
638,4041944
639,4506539
640,5034707
641,4804444
642,3547873
643,4911302
644,4637360
645,3341197
646,4638497
647,3793020
648,3912331
649,3966476
650,3861588
651,4377644
652,5206026
653,4819757
654,4019883
655,5181683
656,3929416
657,4936554
658,5141546
659,4448948
660,4934416
661,5187788
662,4867065
663,4881802
664,4190640
665,3690065
666,5558325
667,3641614
668,4330238
669,4318044
670,5114303
671,5108140
672,3721639
673,4383104
674,4583910
675,3297892
676,4028317
677,3437909
678,3709916
679,4898522
680,3706432
681,4457705
682,3564820
683,4627822
684,4751079
685,4808909
686,3738925
687,2945993
688,5159450
689,3782215
690,4028842
691,3690135
692,3531507
693,3700246
694,3432582
695,3487838
696,4218748
697,5002138
698,4239810
699,3365186
700,5486502
701,4224525
702,4396699
703,5066796
704,5133293
705,5375789
706,4805322
707,4409607
708,4664023
709,3977345
710,4472692
711,5029167
712,4104868
713,4040438
714,4735177
715,4413845
716,3617585
717,4446015
718,4888618
719,5263254
720,4574922
721,5330716
722,4848607
723,2918874
724,4511570
725,3950847
726,2972975
727,3771111
728,4030776
729,3672156
730,3890105
731,4255252
732,3768504
733,5692861
734,4356733
735,4561594
736,3406322
737,4351638
738,3382894
739,4393400
740,4656428
741,4700583
742,4115940
743,4761654
744,4744468
745,5300695
746,3361578
747,5518041
748,4838440
749,4792762
750,5490243
751,4273605
752,4016890
753,2534310
754,3675984
755,3468917
756,3890105
757,5090578
758,3563566
759,5099241
760,3708676
761,4093224
762,3554439
763,3714518
764,5007223
765,5672322
766,4631626
767,3690591
768,4334493
769,4775844
770,4088654
771,4217165
772,4448144
773,4296604
774,4481606
775,4427568
776,3650887
777,4147218
778,4567449
779,4084665
780,3432793
781,4321822
782,5070643
783,3543159
784,4571209
785,3648845
786,5412259
787,4764979
788,4972187
789,4648192
790,3194628
791,4811607
792,3626837
793,3329175
794,3716528
795,4554765
796,3339864
797,3632265
798,3948727
799,4674487
800,5215251
801,4135368
802,4355561
803,3964827
804,4151905
805,4283139
806,4874577
807,5047084
808,3792821
809,2805586
810,4532840
811,4744090
812,4801963
813,4255504
814,2913625
815,4647401
816,3990846
817,3486213
818,4118774
819,3231262
820,4111023
821,4643648
822,4212965
823,4376810
824,3973268
825,4344211
826,4593330
827,2843073
828,5348738
829,4016869
830,4974477
831,4725878
832,4477098
833,5412693
834,5149416
835,3878567
836,2530866
837,4431575
838,3855554
839,2657159
840,4082211
841,3275235
842,5001931
843,4340319
844,4949710
845,4680735
846,4453431
847,4986937
848,3441639
849,3933631
850,3929456
851,3927746
852,5419758
853,3524797
854,3779006
855,3671529
856,5262739
857,4425665
858,3763972
859,4923664
860,4423138
861,4830671
862,3638733
863,4283131
864,5138352
865,4875040
866,4097462
867,3144570
868,4747717
869,5169847
870,2863289
871,4613392
872,4574063
873,4211282
874,4463613
875,3240859
876,3423654
877,4991839
878,3151370
879,4979267
880,3649527
881,3838483
882,4824962
883,4290671
884,4569640
885,4747309
886,4087491
887,4835538
888,3472654
889,4623583
890,3820456
891,4194471
892,5127418
893,3865651
894,4886489
895,4634528
896,4393404
