Id,Prediction
0,4033003
1,3705494
2,3415240
3,3319760
4,3815451
5,4925837
6,4138646
7,3724187
8,4979491
9,3830846
10,4796271
11,4481913
12,4364407
13,4398103
14,4383978
15,4705455
16,4958447
17,3819171
18,5044841
19,3847866
20,2551840
21,5373291
22,4363416
23,5238842
24,4937208
25,4111852
26,3649938
27,4781388
28,3827158
29,4415110
30,4356697
31,3216889
32,3316136
33,4678449
34,3233483
35,4586784
36,4036298
37,4255679
38,3602934
39,3885055
40,4821733
41,4546881
42,4763510
43,4688656
44,5255141
45,4362236
46,3366963
47,2736954
48,4812055
49,4105761
50,4448427
51,3782755
52,5206291
53,3382813
54,3525161
55,4899195
56,5229559
57,3914807
58,4946707
59,4862890
60,3078628
61,3847079
62,4191185
63,4309805
64,4646221
65,5486438
66,4801332
67,5501501
68,5309032
69,4967908
70,4093843
71,3196213
72,4520342
73,3977350
74,4765240
75,4271201
76,5018856
77,4172870
78,4615362
79,4361156
80,5199332
81,4817034
82,4191160
83,4376637
84,5433911
85,2431926
86,4684928
87,4806127
88,4330955
89,3870223
90,4814084
91,3998549
92,3743894
93,4274190
94,5303986
95,3766528
96,4394668
97,4463134
98,4042577
99,4847242
100,4167254
101,2934290
102,3893088
103,3548710
104,3602934
105,3406615
106,4184471
107,4663516
108,4808171
109,4653396
110,4802684
111,4154051
112,4692466
113,4469792
114,4096369
115,4830188
116,3381189
117,5253825
118,4002261
119,4519312
120,4994367
121,4884427
122,4326674
123,5390267
124,3541042
125,3807075
126,5204331
127,3807961
128,4080999
129,4420125
130,3060318
131,4820211
132,5112738
133,3533074
134,4405593
135,3957438
136,4129087
137,4013375
138,4252600
139,4650273
140,5564969
141,2787314
142,4807828
143,3028177
144,4829468
145,3959570
146,5220768
147,3453935
148,4382847
149,4543575
150,4010678
151,3272204
152,5114220
153,5376020
154,3785978
155,4821403
156,5185730
157,4822207
158,3901868
159,4198138
160,3230255
161,3941939
162,3778208
163,5198921
164,5628183
165,3532164
166,4447212
167,3719657
168,4500880
169,4818940
170,4250010
171,3308220
172,3823494
173,4531033
174,4638109
175,3337234
176,5774690
177,5440592
178,4491980
179,3603464
180,4428460
181,4096492
182,4875707
183,4181001
184,4613297
185,3551718
186,3997852
187,5348494
188,5326747
189,4747298
190,4130488
191,4908603
192,5066443
193,3758673
194,4611617
195,4604294
196,4015370
197,2982305
198,4209469
199,4560797
200,4176368
201,3639558
202,4488738
203,4709954
204,4697452
205,4801877
206,4875792
207,4323170
208,4783476
209,3938791
210,4388021
211,5020062
212,3447190
213,3635887
214,5312342
215,2379394
216,4667153
217,4770296
218,4344115
219,2803628
220,5357465
221,4688177
222,4756956
223,4096492
224,5211069
225,4141296
226,3436894
227,5697960
228,3180673
229,5111403
230,4660484
231,5216813
232,4491879
233,4234749
234,3634188
235,4835707
236,4350214
237,3855754
238,4046228
239,4027969
240,4636055
241,3989522
242,3409300
243,4620490
244,5230507
245,4617766
246,4073839
247,4899984
248,4477699
249,4219954
250,2962417
251,4553945
252,5321404
253,4299887
254,4713262
255,4000150
256,4393493
257,4362236
258,3953681
259,4000671
260,4300792
261,3915507
262,5080014
263,4251422
264,2596191
265,5174974
266,4183259
267,5754080
268,4839667
269,4183644
270,3676356
271,2996163
272,4704672
273,4750770
274,4081333
275,5201867
276,5556207
277,5061646
278,4637445
279,4256180
280,5031852
281,3913047
282,3472963
283,3916399
284,4929411
285,2844649
286,5200460
287,4002882
288,4359331
289,3771734
290,4366488
291,4480593
292,3429291
293,4978444
294,3417138
295,5347771
296,4832225
297,5149366
298,4585473
299,4916491
300,4466052
301,4737247
302,5020572
303,5046167
304,4140107
305,4755288
306,4613566
307,4708483
308,2533171
309,4103113
310,4435920
311,3868987
312,3573850
313,4450656
314,3589672
315,3698684
316,3016909
317,4371496
318,5028441
319,3827513
320,4152861
321,3721966
322,4249617
323,4598570
324,4683612
325,4152464
326,4820909
327,4650953
328,4545314
329,5059790
330,3348770
331,4704571
332,4688611
333,5493378
334,5210894
335,4659921
336,3324776
337,4517092
338,4010903
339,3367254
340,4379361
341,4675998
342,4611648
343,4815273
344,4347698
345,4141690
346,3975896
347,4771742
348,3092643
349,5067599
350,4587931
351,5027159
352,5650939
353,3829390
354,3961191
355,4310136
356,5363338
357,4432971
358,4815515
359,4911086
360,4420125
361,4277358
362,4096107
363,4482264
364,4891183
365,3836061
366,2829275
367,3833230
368,3947918
369,4692784
370,4007799
371,4647539
372,4601915
373,5160393
374,3693492
375,4722038
376,3682284
377,3818924
378,4932641
379,4652493
380,4835610
381,3905112
382,3411197
383,4852402
384,4087212
385,5708597
386,3924415
387,4686756
388,4443449
389,4446173
390,5348723
391,3839759
392,3634955
393,4581382
394,5229790
395,3520451
396,4870395
397,5063529
398,4985050
399,5217597
400,3427578
401,4036923
402,3721568
403,4825329
404,3671507
405,4402023
406,4648844
407,4473450
408,2829275
409,3850836
410,3656887
411,4063415
412,4385108
413,4988994
414,5301617
415,4201735
416,5390090
417,2787314
418,4365911
419,3632721
420,4453802
421,4972397
422,4350565
423,4086261
424,4680604
425,4500315
426,4513154
427,3698663
428,4794000
429,3417771
430,3482027
431,3875604
432,2851173
433,4226810
434,3874243
435,4565543
436,3992974
437,3448574
438,3496276
439,4892534
440,4752635
441,4896747
442,4156728
443,4699260
444,4690049
445,4420099
446,5490643
447,4637277
448,4663604
449,5847106
450,4899376
451,3753193
452,3663499
453,5154202
454,4991885
455,4132924
456,3377522
457,3982683
458,4546701
459,3329159
460,4933742
461,4533784
462,4742592
463,3330202
464,4600053
465,3649571
466,4170434
467,3597674
468,4297643
469,4363004
470,4111852
471,4461209
472,3324776
473,4427299
474,4792143
475,3956861
476,3848988
477,5002583
478,4252074
479,4866222
480,3893566
481,5417614
482,3901143
483,4812226
484,5317190
485,3441451
486,4587754
487,4234495
488,4747257
489,3955231
490,4832167
491,3469678
492,4557512
493,4809035
494,4413282
495,4278924
496,4764697
497,3893872
498,4257837
499,4329136
500,4584590
501,2790504
502,4143382
503,5343870
504,3595983
505,4116173
506,3897156
507,4543290
508,3445503
509,4541944
510,4879470
511,4993302
512,2829275
513,4824341
514,3668487
515,2803628
516,3553201
517,4633288
518,4338457
519,4648299
520,3927744
521,5133087
522,5473289
523,5173846
524,4095513
525,4858128
526,2702166
527,4873510
528,5313994
529,4613714
530,3916278
531,3935989
532,4712186
533,4111852
534,4896747
535,4111852
536,4451268
537,3604133
538,3778705
539,4876268
540,4533891
541,3663675
542,3852363
543,4227867
544,4372883
545,4839435
546,3108025
547,4034036
548,3884327
549,4174749
550,3925117
551,4333859
552,3925179
553,4889952
554,4607676
555,4505188
556,3601999
557,4870530
558,4032743
559,4358050
560,4219954
561,5429662
562,2828918
563,4814005
564,3369194
565,4648715
566,3461687
567,5121001
568,4230093
569,3829635
570,4243047
571,5092031
572,4323566
573,5028535
574,4024291
575,3270942
576,5710137
577,4021624
578,4021699
579,4318735
580,3780577
581,4575653
582,5353625
583,3879825
584,4137164
585,4709954
586,3536134
587,4005862
588,4872369
589,4185448
590,4081729
591,4365980
592,4324111
593,3306862
594,3657269
595,3469678
596,3904785
597,3677530
598,4529267
599,5192600
600,5025259
601,4989515
602,4843550
603,3450464
604,2974886
605,3368790
606,3230972
607,3668487
608,2855180
609,4829742
610,5081244
611,2721455
612,4498266
613,4594358
614,5212141
615,3151507
