Id,Prediction
0,4039215
1,3801180
2,3416990
3,3335347
4,3790521
5,4911847
6,4137481
7,3708270
8,4966850
9,3847461
10,4859185
11,4539468
12,4364899
13,4388327
14,4392959
15,4691183
16,4905108
17,3762266
18,5089627
19,3781400
20,2537438
21,5302845
22,4362748
23,5213544
24,4985720
25,4106354
26,3702442
27,4711235
28,3923729
29,4402116
30,4397085
31,3243013
32,3297395
33,4678609
34,3210805
35,4578571
36,4017091
37,4340306
38,3587460
39,3893861
40,4821739
41,4549888
42,4662604
43,4675942
44,5317992
45,4175303
46,3362561
47,2822582
48,4816443
49,4252385
50,4433435
51,3778397
52,5220629
53,3385147
54,3521281
55,4898527
56,5336662
57,3953565
58,4948800
59,4804308
60,3010437
61,3834903
62,4127041
63,4320520
64,4649862
65,5508351
66,4704825
67,5489652
68,5204876
69,4942497
70,4103365
71,3224892
72,4510581
73,4074894
74,4744505
75,4282471
76,5037878
77,4226134
78,4590652
79,4358601
80,5167353
81,4812427
82,4186934
83,4386812
84,5437292
85,2368183
86,4693467
87,4777955
88,4365664
89,3847158
90,4785284
91,4046114
92,3735288
93,4273056
94,5332648
95,3672396
96,4340767
97,4551071
98,4029946
99,4816925
100,4185848
101,2881319
102,3855618
103,3550842
104,3598692
105,3410224
106,4193160
107,4660920
108,4752916
109,4650095
110,4754932
111,4131768
112,4692041
113,4500326
114,4099933
115,4786884
116,3372660
117,5241669
118,4054719
119,4510113
120,4979783
121,4839587
122,4306006
123,5391129
124,3568242
125,3813717
126,5306056
127,3798881
128,4100095
129,4411056
130,3004292
131,4770185
132,5106704
133,3530006
134,4375515
135,3990193
136,4201419
137,4006761
138,4293305
139,4726369
140,5541862
141,2760882
142,4859604
143,3042545
144,4859455
145,3955037
146,5020699
147,3348494
148,4365614
149,4668749
150,4019947
151,3359693
152,5100104
153,5411126
154,3776963
155,4760743
156,5139774
157,4816699
158,3904640
159,4200963
160,3243260
161,3929387
162,3753588
163,5462639
164,5683413
165,3538292
166,4436877
167,3735112
168,4504738
169,4814251
170,4251987
171,3312496
172,3907257
173,4510764
174,4629421
175,3364077
176,5732224
177,5397754
178,4481338
179,3621411
180,4523416
181,4103490
182,4709801
183,4011717
184,4575444
185,3492282
186,3976022
187,5354992
188,5338823
189,4705076
190,4116515
191,4898401
192,5076156
193,3835997
194,4591341
195,4601833
196,4015461
197,3000382
198,4115191
199,4561760
200,4202707
201,3585265
202,4454813
203,4707343
204,4740393
205,4811330
206,4853351
207,4323806
208,4797720
209,3952957
210,4338485
211,5053478
212,3451059
213,3644475
214,5212949
215,2290886
216,4649029
217,4787027
218,4339715
219,2826602
220,5352631
221,4655808
222,4744959
223,4103490
224,5128218
225,4131744
226,3372148
227,5742539
228,3152486
229,5131443
230,4608508
231,5242244
232,4442278
233,4241007
234,3647836
235,4794839
236,4333012
237,3841093
238,4183560
239,4021378
240,4633338
241,3990312
242,3425588
243,4659297
244,5164119
245,4618293
246,4100313
247,4842931
248,4474137
249,4210038
250,2950820
251,4540781
252,5160165
253,4294514
254,4700358
255,3971146
256,4375052
257,4175303
258,3978342
259,4011178
260,4298793
261,4031743
262,5247018
263,4324494
264,2578069
265,5200861
266,4183731
267,5745174
268,4844962
269,4176646
270,3667274
271,2970325
272,4719476
273,4779034
274,4098349
275,5206933
276,5711533
277,5292075
278,4692760
279,4269557
280,5009973
281,3908377
282,3485757
283,3914586
284,4926963
285,2892794
286,5107554
287,3997878
288,4350002
289,3767851
290,4345557
291,4488822
292,3430372
293,4983182
294,3403775
295,5341686
296,4840635
297,5108827
298,4567505
299,4894544
300,4460897
301,4672557
302,4956487
303,5068568
304,4120246
305,4868910
306,4518085
307,4572076
308,2513883
309,4104416
310,4428710
311,3884994
312,3570472
313,4412992
314,3557712
315,3698748
316,3026499
317,4370451
318,5003483
319,3812998
320,4137163
321,3752021
322,4262592
323,4543167
324,4650025
325,4166526
326,4833252
327,4606072
328,4645648
329,5050423
330,3357146
331,4699662
332,4651713
333,5490940
334,5201145
335,4652314
336,3290552
337,4530349
338,4133220
339,3369304
340,4362275
341,4724834
342,4616011
343,4831894
344,4342472
345,4105626
346,3952646
347,4744837
348,3074244
349,5056418
350,4564052
351,5019859
352,5651834
353,3812541
354,3943661
355,4319010
356,5281150
357,4411598
358,4900897
359,4879161
360,4411056
361,4291460
362,4088660
363,4467551
364,4909972
365,3825404
366,2811391
367,3858326
368,3961459
369,4678882
370,4007760
371,4624141
372,4596120
373,5160512
374,3694995
375,4598007
376,3712268
377,3856010
378,4936319
379,4690528
380,4760235
381,3950595
382,3418764
383,4838151
384,4086574
385,5714572
386,3917262
387,4668155
388,4423015
389,4432716
390,5326099
391,3776476
392,3701064
393,4516355
394,5217603
395,3555599
396,4849046
397,5041514
398,4974993
399,5136167
400,3409289
401,4043576
402,3715370
403,4818248
404,3718661
405,4385948
406,4622829
407,4420594
408,2811391
409,3853731
410,3686596
411,4052710
412,4381663
413,4942385
414,5439791
415,4155692
416,5393023
417,2760882
418,4330509
419,3681524
420,4538154
421,4969507
422,4354867
423,4062107
424,4621384
425,4481186
426,4485954
427,3704047
428,4780905
429,3424627
430,3539927
431,3866624
432,2867506
433,4223060
434,3847543
435,4571992
436,3950184
437,3426889
438,3469599
439,5029158
440,4742298
441,4742790
442,4153843
443,4703155
444,4795661
445,4443426
446,5489526
447,4751353
448,4640200
449,5815800
450,4897482
451,3732934
452,3670044
453,5047001
454,4975708
455,4142697
456,3381610
457,3985385
458,4502300
459,3289741
460,4917855
461,4513260
462,4819124
463,3346361
464,4585493
465,3652304
466,4147788
467,3600802
468,4307930
469,4345249
470,4106354
471,4434674
472,3290552
473,4519126
474,4787634
475,3955745
476,3830334
477,4921564
478,4243451
479,4877045
480,3874812
481,5442509
482,3822555
483,4851719
484,5328594
485,3405908
486,4661200
487,4189629
488,4921028
489,3988457
490,4797030
491,3465731
492,4554717
493,4815976
494,4382525
495,4289823
496,4744759
497,3883879
498,4261535
499,4308453
500,4585006
501,2817148
502,4141453
503,5348788
504,3638151
505,4114094
506,3853394
507,4536028
508,3451035
509,4515356
510,4975074
511,4991916
512,2811391
513,4822970
514,3697086
515,2808025
516,3560486
517,4639526
518,4319744
519,4643485
520,3918134
521,5016277
522,5470659
523,5272275
524,4132144
525,4844234
526,2649992
527,4801806
528,5345991
529,4598775
530,3913324
531,3974121
532,4674910
533,4106354
534,4978488
535,4106354
536,4448445
537,3611578
538,3761014
539,4963797
540,4530774
541,3674769
542,3795328
543,4223294
544,4338568
545,4989843
546,3109289
547,4030209
548,3883336
549,4145257
550,3920238
551,4314284
552,3952907
553,4929071
554,4609131
555,4469738
556,3564903
557,4884450
558,4013974
559,4356617
560,4210038
561,5421231
562,2780952
563,4735204
564,3376005
565,4633639
566,3437633
567,5247871
568,4229389
569,3809740
570,4183627
571,5094582
572,4324689
573,5110693
574,4024118
575,3263703
576,5715501
577,4005557
578,4075533
579,4218783
580,3776785
581,4561483
582,5277837
583,3867186
584,4126625
585,4707343
586,3559449
587,4007555
588,4856622
589,4193599
590,4055450
591,4329967
592,4305357
593,3305694
594,3658032
595,3465731
596,3942678
597,3732535
598,4521788
599,5182074
600,5018112
601,4913469
602,4848464
603,3481594
604,2949137
605,3372525
606,3177477
607,3676065
608,2871897
609,4703813
610,5201914
611,2753961
612,4487977
613,4593971
614,5383135
615,3187653
616,4763350
617,4907384
618,5564297
619,4090252
620,4314282
621,5259478
622,4835440
623,4699525
624,3163080
625,4838379
626,4680976
627,4828461
628,3581613
629,3771192
630,5809291
631,4953506
632,5172351
633,5023311
634,2983606
635,3875431
636,4854353
637,4185690
638,4041756
639,4508453
640,5038729
641,4811075
642,3537368
643,4918259
644,4644761
645,3339599
646,4643228
647,3798881
648,3918441
649,3964275
650,3834481
651,4373663
652,5201314
653,4819638
654,4014615
655,5181412
656,3930632
657,4940500
658,5166938
659,4450170
660,4937088
661,5187575
662,4861308
663,4889068
664,4185690
665,3694995
666,5557477
667,3625443
668,4329306
669,4307967
670,5101443
671,5107326
672,3724021
673,4383616
674,4567321
675,3297395
676,4027622
677,3440360
678,3722662
679,4904724
680,3622275
681,4458458
682,3569276
683,4628289
684,4750815
685,4807974
686,3738783
687,2947545
688,5159130
689,3784030
690,3950907
691,3697583
692,3530276
693,3702582
694,3430286
695,3486328
696,4215341
697,5001654
698,4249131
699,3359888
700,5487453
701,4222130
702,4403418
703,5071087
704,5124404
705,5375482
706,4804290
707,4406827
708,4663125
709,3976778
710,4466703
711,5023946
712,4108124
713,4040201
714,4739730
715,4411913
716,3582419
717,4403897
718,4889839
719,5264663
720,4574490
721,5332878
722,4834625
723,2919724
724,4513029
725,3951209
726,2972689
727,3769563
728,4031113
729,3677723
730,3891824
731,4254861
732,3770427
733,5693135
734,4371644
735,4564806
736,3409086
737,4353816
738,3382457
739,4393408
740,4639274
741,4700358
742,4113752
743,4761793
744,4751604
745,5299945
746,3356933
747,5517936
748,4840442
749,4792809
750,5489526
751,4273210
752,4015756
753,2518414
754,3676065
755,3471559
756,3891824
757,5097082
758,3564310
759,5096351
760,3708684
761,4091596
762,3558629
763,3719238
764,5007479
765,5664970
766,4633747
767,3689078
768,4345303
769,4775627
770,4088695
771,4218914
772,4435275
773,4301868
774,4484883
775,4428710
776,3652304
777,4282999
778,4567066
779,4083520
780,3432947
781,4316700
782,5061196
783,3211137
784,4579453
785,3650741
786,5411032
787,4760019
788,4989944
789,4651177
790,3193921
791,4812961
792,3630376
793,3328582
794,3718231
795,4554717
796,3338198
797,3632038
798,3951676
799,4682008
800,5217376
801,4131991
802,4353939
803,3967660
804,4159314
805,4285928
806,4870578
807,5042381
808,3795752
809,2806278
810,4529804
811,4757040
812,4800055
813,4253461
814,2909501
815,4654540
816,3990718
817,3486846
818,4112418
819,3229031
820,4108091
821,4639489
822,4215001
823,4372710
824,3979635
825,4341009
826,4596321
827,2838147
828,5341205
829,4017012
830,4970887
831,4729252
832,4473451
833,5409241
834,5166199
835,3882609
836,2516570
837,4429840
838,3853668
839,2653863
840,4090193
841,3286093
842,4996186
843,4333552
844,4944481
845,4742268
846,4453929
847,4992638
848,3437633
849,3937884
850,3929224
851,3924521
852,5421982
853,3522732
854,3777176
855,3670819
856,5262289
857,4417974
858,3767483
859,4925675
860,4414063
861,4830726
862,3634655
863,4279186
864,5150898
865,4880641
866,4100062
867,3141042
868,4747286
869,5172520
870,2863991
871,4612873
872,4581204
873,4209829
874,4461552
875,3240912
876,3419345
877,4991916
878,3171374
879,4971908
880,3652220
881,3839779
882,4821137
883,4285912
884,4558037
885,4752500
886,4083497
887,4836050
888,3476042
889,4626476
890,3817000
891,4193911
892,5123462
893,3874868
894,4883742
895,4626172
896,4405550
897,4200011
898,4479987
899,4829383
900,3771591
901,5136735
902,4913390
903,4413944
904,3113073
905,4308717
906,4199837
907,4261049
908,4639820
909,3539927
910,4556836
911,5000193
912,3891824
913,3993469
914,3909393
915,5013552
916,2526187
917,5463927
918,3818704
919,4558904
920,3932221
921,3538268
922,4675261
923,4439876
924,4768940
925,5533837
926,4891697
927,3987372
928,5228934
929,4348489
930,4182002
931,3091131
932,4513260
933,5278026
934,4233488
935,4035797
936,3284995
937,4109267
938,4037955
939,5343922
940,4959693
941,4432027
942,4021482
943,5077631
944,4795572
945,2803549
946,5253754
947,4533708
948,4545529
949,3481004
950,4889313
951,4114730
952,3649224
953,4238184
954,5459623
955,4630970
956,4724645
957,5147709
958,4796795
959,4408827
960,5105636
961,4661993
962,4717239
963,5237599
964,5470666
965,3446518
966,4966533
967,5124575
968,3269262
969,3343242
970,3539927
971,4048705
972,3464864
973,3233383
974,3822935
975,3489907
976,3166652
977,4717740
978,4044113
979,5301024
980,4562296
981,2635249
982,4316750
983,4883397
984,5341553
985,4520755
986,3623399
987,4568477
988,5135446
989,4181013
990,4382966
991,2668734
992,4975056
993,5054304
994,5173713
995,3205816
996,3979460
997,5003085
998,4149820
999,5104255
1000,4401052
1001,3816397
1002,4145257
1003,5444982
1004,5121977
1005,4653848
1006,5581805
1007,4453455
1008,3182963
1009,3847610
1010,4089757
1011,4692041
1012,3874128
1013,4860076
1014,4635264
1015,4908802
1016,4897572
1017,4436986
1018,4129555
1019,4080309
1020,4595501
1021,3877855
1022,4471703
1023,3607843
1024,4420139
1025,4477331
1026,4470789
1027,3945956
1028,4687993
1029,3842533
1030,6554892
1031,3790854
1032,3061324
1033,5144026
1034,4557867
1035,4061328
1036,4610663
1037,3850049
1038,4834367
1039,5318709
1040,4344072
1041,3681524
1042,2988251
1043,4573131
1044,4761672
1045,5127191
1046,4803312
1047,4828718
1048,4184116
1049,4446209
1050,5360709
1051,3773801
1052,4098296
1053,3656148
1054,5334012
1055,2807561
1056,5626514
1057,5101861
1058,2809272
1059,4333903
1060,4580546
1061,4786265
1062,4941231
1063,4610122
1064,4848988
1065,3754688
1066,4960151
1067,4576220
1068,4739871
1069,4192999
1070,4079252
1071,4368785
1072,4628289
1073,5558095
1074,5639399
1075,3867057
1076,4111316
1077,3741085
1078,3437633
1079,5379381
1080,4015188
1081,4172536
1082,3791542
1083,4681573
1084,3836284
1085,2491560
1086,5176257
1087,3741283
1088,4370099
1089,3735069
1090,4703811
1091,3702239
1092,4593647
1093,4402742
1094,4507700
1095,4118638
1096,2735288
1097,4374679
1098,3680614
1099,4589250
1100,4143269
1101,4663118
1102,4098296
1103,4299675
1104,4547560
1105,4013033
1106,3825463
1107,5125594
1108,4502073
1109,4468474
1110,4730486
1111,4904307
1112,4231630
1113,3618406
1114,3834273
1115,3637675
1116,3805005
1117,5412865
1118,4853070
1119,3521711
1120,4495700
1121,2312459
1122,4636629
1123,3790290
1124,3878046
1125,5175717
1126,4825937
1127,2876352
1128,4319946
1129,4381497
1130,4477732
1131,5282670
1132,4225923
1133,3578537
1134,4635698
1135,2804481
1136,4775627
1137,3314708
1138,4936863
1139,4855636
1140,4971125
1141,4503230
1142,4832044
1143,3612958
1144,3724911
1145,4506765
1146,4074217
1147,5431477
1148,4148095
1149,4455688
1150,4216819
1151,2466668
1152,4188537
1153,4728056
1154,4556576
1155,3508986
1156,4470217
1157,5107887
1158,5330364
1159,4013337
1160,4625911
1161,4958120
1162,4911345
1163,4196704
1164,4334647
1165,4276532
1166,4561011
1167,5392370
1168,3482326
1169,5050224
1170,4259737
1171,3911168
1172,2368183
1173,4724645
1174,3676065
1175,4308484
1176,4722095
1177,4606661
1178,4491674
1179,4874344
1180,4665641
1181,4447924
1182,5282670
1183,3724021
1184,3450702
1185,3433959
1186,4715515
1187,3885783
1188,4687060
1189,4506397
1190,4826564
1191,4345629
1192,4132818
1193,3213158
1194,4680889
1195,4715285
1196,4422408
1197,3758481
1198,4018238
1199,4096245
1200,5875262
1201,4666392
1202,3562317
1203,3318653
1204,3643235
1205,3192049
1206,4359154
1207,4355814
1208,4461059
1209,4875893
1210,3815005
1211,3868979
1212,3984470
1213,4959590
1214,4926790
1215,3961031
1216,4193599
1217,3712646
1218,3681524
1219,4561972
1220,4061256
1221,5155240
1222,5118918
1223,4864491
1224,4640951
1225,5242494
1226,4004812
1227,4912164
1228,4107092
1229,5067965
1230,4935747
1231,4816228
1232,3302846
1233,4915886
1234,4724645
1235,3849718
1236,4049140
1237,3159564
1238,4225973
1239,4839409
1240,3999695
1241,3768791
1242,5311160
1243,4668328
1244,4554717
1245,3829259
1246,3786895
1247,4631672
1248,2772423
1249,4671945
1250,4419803
1251,4010906
1252,3919867
1253,4908465
1254,3816515
1255,3799582
1256,4453768
1257,4031425
1258,5800784
1259,4141269
1260,4457689
1261,5211022
1262,4754659
1263,3250886
1264,4484756
1265,3461543
1266,4067540
1267,5436157
1268,3457579
1269,3668206
1270,3564794
1271,4979141
1272,4840125
1273,3154920
1274,3317942
1275,5211022
1276,3461340
1277,3668966
1278,4334878
1279,3676065
1280,4176244
1281,3748775
1282,4296772
1283,3283595
1284,5042435
1285,5006819
1286,2988251
