Id,Prediction
0,4038018
1,3802764
2,3417085
3,3332439
4,3782673
5,4906971
6,4145694
7,3700432
8,4964184
9,3859388
10,4844818
11,4545780
12,4361446
13,4388199
14,4407004
15,4691047
16,4869459
17,3756254
18,5078118
19,3781100
20,2535680
21,5309041
22,4362980
23,5207703
24,4991194
25,4109385
26,3697359
27,4698394
28,3894485
29,4406803
30,4419529
31,3239673
32,3295952
33,4678956
34,3213690
35,4569090
36,4021703
37,4336480
38,3591755
39,3887910
40,4822545
41,4550221
42,4650227
43,4682094
44,5308998
45,4358741
46,3362535
47,2828660
48,4807635
49,4248479
50,4441861
51,3778748
52,5231988
53,3386749
54,3520777
55,4894887
56,5331403
57,3954632
58,4943038
59,4813782
60,3011081
61,3868353
62,4130898
63,4316407
64,4649636
65,5466716
66,4699768
67,5499815
68,5214432
69,4937085
70,4109158
71,3228480
72,4511366
73,4002844
74,4752450
75,4278488
76,5035465
77,4224390
78,4597288
79,4358534
80,5165677
81,4816473
82,4187357
83,4395890
84,5437913
85,2377055
86,4688260
87,4784156
88,4361994
89,3846725
90,4785008
91,4044514
92,3732046
93,4273634
94,5329973
95,3676933
96,4348667
97,4534125
98,4032884
99,4836845
100,4182911
101,2881621
102,3852388
103,3551206
104,3598946
105,3410265
106,4187209
107,4670263
108,4785928
109,4650334
110,4755818
111,4130502
112,4692099
113,4491182
114,4100760
115,4781913
116,3369469
117,5242432
118,4009696
119,4508039
120,4983569
121,4840733
122,4316934
123,5390291
124,3565178
125,3817575
126,5272504
127,3796398
128,4095876
129,4410075
130,3007857
131,4762316
132,5106135
133,3529130
134,4374761
135,3983523
136,4199575
137,4005105
138,4290192
139,4725702
140,5550273
141,2763838
142,4868512
143,3042679
144,4860754
145,3956972
146,5029884
147,3411927
148,4364670
149,4667374
150,4018602
151,3348951
152,5104549
153,5412161
154,3778668
155,4761498
156,5152998
157,4816390
158,3906861
159,4201033
160,3248640
161,3930622
162,3751874
163,5292412
164,5702064
165,3538492
166,4437772
167,3731981
168,4502328
169,4818768
170,4253635
171,3312932
172,3911293
173,4518403
174,4623493
175,3367718
176,5740096
177,5400989
178,4480859
179,3623095
180,4521778
181,4104099
182,4706613
183,4007105
184,4577865
185,3554164
186,3980491
187,5343654
188,5339318
189,4707764
190,4123243
191,4900267
192,5091463
193,3836659
194,4595732
195,4604290
196,4022403
197,2995169
198,4117167
199,4561843
200,4194598
201,3587634
202,4455925
203,4706322
204,4743441
205,4816301
206,4855189
207,4322639
208,4806662
209,3952106
210,4364507
211,5054849
212,3439432
213,3635940
214,5231131
215,2346215
216,4646800
217,4787749
218,4339568
219,2826928
220,5354110
221,4664880
222,4747060
223,4104099
224,5156156
225,4140086
226,3366549
227,5729055
228,3155442
229,5134245
230,4609949
231,5246749
232,4464655
233,4239190
234,3644763
235,4789475
236,4327383
237,3840241
238,4185953
239,4027779
240,4634776
241,3998292
242,3423693
243,4675251
244,5165199
245,4617679
246,4100573
247,4844128
248,4479516
249,4210987
250,2951574
251,4540341
252,5170332
253,4295990
254,4699750
255,3967451
256,4368952
257,4358741
258,3976721
259,4008313
260,4301290
261,4035607
262,5254297
263,4313266
264,2590350
265,5189780
266,4184430
267,5746178
268,4845443
269,4183429
270,3671146
271,2971753
272,4725157
273,4762059
274,4085490
275,5215994
276,5652262
277,5295047
278,4692990
279,4272127
280,4996378
281,3902761
282,3479553
283,3913852
284,4926088
285,2893804
286,5112807
287,4004736
288,4356136
289,3770036
290,4353806
291,4489586
292,3428812
293,4985275
294,3405727
295,5342366
296,4842383
297,5110478
298,4568649
299,4899745
300,4460955
301,4667448
302,4956345
303,5063938
304,4124403
305,4863860
306,4512652
307,4570637
308,2512089
309,4104569
310,4427205
311,3887200
312,3571790
313,4407490
314,3555274
315,3697026
316,3024243
317,4369439
318,4999409
319,3813673
320,4140279
321,3743355
322,4265775
323,4546196
324,4654353
325,4166744
326,4823534
327,4598218
328,4617036
329,5059282
330,3355301
331,4697600
332,4654201
333,5484536
334,5201857
335,4654733
336,3296134
337,4532714
338,4101126
339,3370711
340,4380827
341,4720807
342,4623479
343,4830136
344,4346178
345,4108436
346,3947726
347,4746812
348,3076438
349,5054867
350,4562244
351,5021475
352,5655651
353,3812646
354,3973571
355,4318225
356,5277815
357,4411492
358,4904666
359,4878672
360,4410075
361,4293159
362,4089341
363,4465616
364,4914328
365,3823187
366,2812254
367,3868772
368,3960229
369,4681077
370,4010644
371,4621826
372,4599288
373,5154342
374,3689422
375,4590388
376,3709498
377,3857640
378,4934574
379,4684908
380,4755362
381,3946741
382,3418410
383,4834786
384,4088037
385,5723507
386,3919605
387,4673950
388,4420688
389,4429896
390,5327973
391,3783930
392,3704949
393,4559456
394,5213724
395,3558379
396,4845942
397,5064962
398,4973485
399,5137926
400,3405665
401,4037888
402,3716076
403,4813179
404,3709157
405,4389083
406,4638244
407,4428182
408,2812254
409,3852051
410,3685262
411,4055038
412,4381035
413,4945284
414,5418026
415,4161978
416,5388590
417,2763838
418,4333571
419,3682214
420,4538794
421,4965219
422,4360585
423,4062014
424,4618522
425,4476472
426,4480418
427,3703863
428,4779908
429,3423804
430,3541066
431,3866557
432,2868297
433,4221941
434,3846832
435,4569606
436,3951699
437,3432198
438,3480295
439,5024236
440,4744241
441,4743435
442,4156341
443,4701937
444,4781663
445,4437911
446,5490353
447,4747580
448,4639449
449,5955397
450,4896210
451,3730669
452,3670567
453,5054161
454,4981420
455,4139810
456,3387038
457,3980809
458,4501240
459,3294723
460,4916268
461,4512755
462,4822257
463,3346645
464,4585523
465,3653987
466,4154776
467,3605030
468,4314884
469,4355397
470,4109385
471,4434946
472,3296134
473,4521900
474,4789569
475,3956511
476,3834869
477,4908943
478,4244912
479,4874999
480,3875362
481,5424802
482,3786192
483,4854208
484,5324096
485,3405225
486,4665750
487,4189638
488,4926055
489,3985692
490,4796057
491,3466965
492,4553798
493,4814499
494,4382244
495,4259787
496,4744141
497,3892195
498,4268225
499,4309720
500,4584768
501,2817214
502,4141569
503,5346885
504,3630348
505,4114669
506,3851723
507,4535253
508,3450485
509,4517092
510,4976874
511,4992057
512,2812254
513,4822036
514,3700208
515,2807792
516,3566917
517,4635127
518,4330285
519,4642037
520,3918542
521,5029871
522,5473266
523,5278697
524,4135350
525,4846874
526,2647175
527,4802814
528,5354579
529,4598889
